date,open,high,low,close,volume
2025-03-14,202.9711,205.9124,201.5294,204.8965,4511600
2025-03-17,205.3319,208.5054,202.7195,207.5089,5075400
2025-03-18,207.5089,208.1958,205.3803,206.909,5088200
2025-03-19,207.0832,207.5379,203.9386,205.3609,5412900
2025-03-20,206.0962,206.4929,204.2579,205.0803,5836100
2025-03-21,204.8578,205.9705,201.9649,203.1936,16657700
2025-03-24,202.5938,204.1708,200.7651,202.3809,7393800
2025-03-25,202.4293,202.468,192.9086,194.805,10089100
2025-03-26,196.5272,196.5272,190.1124,194.7663,6742900
2025-03-27,195.463,197.0691,194.7663,196.1402,4995300
2025-03-28,196.1499,199.3331,195.0469,198.6268,6478100
2025-03-31,197.7947,203.9677,197.7947,202.7195,11093700
2025-04-01,203.6871,205.2642,198.9268,199.575,7853200
2025-04-02,200.4942,200.4942,193.8375,198.5301,9262800
2025-04-03,203.4742,203.8515,194.7083,195.0953,7593100
2025-04-04,193.5085,193.5085,180.1274,180.8918,13505200
2025-04-07,175.1542,182.0915,170.5584,180.4951,12581100
2025-04-08,181.511,182.2754,166.727,169.9682,12517100
2025-04-09,162.8374,174.7382,159.0543,174.0029,18977800
2025-04-10,171.9807,172.2226,159.6155,168.5459,13970000
2025-04-11,168.1686,171.226,163.834,169.3683,9047700
2025-04-14,171.6808,174.3415,170.481,173.2869,7164400
2025-04-15,173.5212,176.2554,172.1639,172.6424,8078500
2025-04-16,172.3787,172.6912,165.7582,167.6428,9459300
2025-04-17,168.5119,171.08,167.8674,168.922,8998100
2025-04-21,169.3907,170.0742,164.5766,166.1585,7364600
2025-04-22,167.0569,170.5527,166.8909,169.6934,6191900
2025-04-23,170.8847,173.9606,170.2988,172.8865,7119700
2025-04-24,173.4333,177.2221,171.9686,176.1284,8789400
2025-04-25,182.7197,184.2625,175.7574,181.6846,10482100
2025-04-28,183.579,188.5786,183.2275,187.817,10408000
2025-04-29,188.0611,190.9417,186.0983,188.9594,6671400
2025-04-30,189.9164,191.1761,186.5182,190.5121,8400700
2025-05-01,188.3443,191.2151,185.3367,188.7934,5823600
2025-05-02,190.5804,194.3008,190.0531,193.8028,6424800
2025-05-05,193.8028,193.8321,190.4437,191.4593,5121500
2025-05-06,190.9027,191.2151,181.3722,182.749,9392000
2025-05-07,183.745,185.7077,182.3584,183.6669,5771700
2025-05-08,179.8,182.2705,177.3686,181.2159,8816700
2025-05-09,181.3819,185.3074,179.8977,180.259,7806100
2025-05-12,175.7671,188.1587,175.7671,185.6003,12792700
2025-05-13,184.5848,185.2976,181.0499,183.579,7523800
2025-05-14,182.1338,183.2372,172.4471,173.2673,12212000
2025-05-15,173.8337,177.8275,172.4178,177.4076,12073300
2025-05-16,177.0366,179.7414,176.2749,179.6926,6152800
2025-05-19,179.8879,181.4307,178.2181,181.3429,5216700
2025-05-20,180.5129,181.626,179.3215,180.5031,5505100
2025-05-21,179.6047,180.464,177.2709,177.5248,5140900
2025-05-22,177.144,179.2434,176.0113,178.2474,4689200
2025-05-23,178.0814,179.7902,177.4467,178.9505,4027000
2025-05-27,179.9367,181.6163,179.5754,181.3526,5726700
2025-05-28,180.9913,181.7237,178.0814,178.7845,4787800
2025-05-29,179.1458,182.3584,178.3939,181.255,4925900
2025-05-30,180.6496,182.2998,178.7064,181.7335,11609000
2025-06-02,181.3624,182.5928,178.8528,182.5928,4435600
2025-06-03,182.5049,184.2918,180.4738,182.8466,5335600
2025-06-04,183.9794,185.7078,182.8662,182.9345,4382200
2025-06-05,183.0908,184.1649,180.6984,183.0615,4417900
2025-06-06,184.0575,186.0105,183.872,185.366,3607800
2025-06-09,186.03,187.2799,184.5653,184.7117,4661500
2025-06-10,184.5945,187.3678,184.3602,185.0437,4087500
2025-06-11,184.8875,188.188,184.6141,186.9967,3908000
2025-06-12,187.6802,189.0375,183.0029,187.8951,5781400
2025-06-13,187.0553,188.9204,185.8151,186.5866,4965700
2025-06-16,186.4108,187.153,184.4871,186.3718,4203900
2025-06-17,184.7117,186.1276,180.6789,181.1183,4733900
2025-06-18,180.8937,182.7197,179.3801,181.1281,3573200
2025-06-20,181.7139,182.7002,179.8293,180.9425,12158100
2025-06-23,180.1516,181.4308,178.0131,179.4387,5157900
2025-06-24,180.1809,181.7628,178.8821,181.1866,4074400
2025-06-25,180.9425,182.6904,180.298,181.0304,4471100
2025-06-26,182.1436,184.5457,181.421,182.3975,5734000
2025-06-27,183.4814,183.579,177.4564,178.0228,29264700
2025-06-30,178.14,181.8702,177.476,181.255,6482600
2025-07-01,180.6593,187.2506,180.0539,185.5222,5937600
2025-07-02,185.239,188.0611,185.073,186.2643,4658200
2025-07-03,186.6549,186.9674,184.4286,184.8289,3706200
2025-07-07,184.9852,186.8893,182.4365,183.2177,11049100
2025-07-08,182.3975,188.4614,182.2803,185.3074,7106900
2025-07-09,184.0672,186.5963,183.8915,186.1374,5594100
2025-07-10,186.0202,192.8556,185.1023,190.4144,6049400
2025-07-11,189.3305,189.4379,186.6647,187.9244,4991000
2025-07-14,187.2115,188.1392,185.571,187.0163,4072800
2025-07-15,187.3413,187.7943,182.2197,183.5789,6729200
2025-07-16,184.1009,188.5035,183.6872,187.7057,6202600
2025-07-17,186.1495,189.2224,185.4207,188.5133,4853100
2025-07-18,188.6217,189.4391,185.726,186.4056,5332000
2025-07-21,186.7602,187.0359,181.8454,182.0621,4954800
2025-07-22,182.1508,185.3616,182.1113,184.288,4432100
2025-07-23,184.2289,187.9224,183.9532,187.6761,4344500
2025-07-24,187.883,189.3407,187.1246,187.9519,3462700
2025-07-25,188.5133,188.5133,185.6866,187.4102,3786800
2025-07-28,188.3262,188.3262,184.81,185.6768,3776900
2025-07-29,186.2973,189.5869,185.0267,188.336,6715500
2025-07-30,188.8778,189.7937,185.1745,186.4548,5008400
2025-07-31,194.088,195.8313,184.7903,186.1692,10347900
2025-08-01,187.0556,194.088,186.9276,192.2757,8082000
2025-08-04,191.8719,194.3933,190.7983,194.216,4217500
2025-08-05,194.5706,196.8753,193.5167,195.5555,4153400
2025-08-06,194.2554,195.063,191.734,193.3394,4057200
2025-08-07,194.0781,196.8162,193.5364,195.8608,4683300
2025-08-08,196.0775,197.3086,194.1668,195.063,4101700
2025-08-11,195.1911,196.4222,193.9205,195.6441,6067800
2025-08-12,195.1024,197.0033,194.0781,195.6441,3049800
2025-08-13,196.7472,198.6777,196.2055,198.4315,3558500
2025-08-14,198.7565,201.9673,197.8307,201.593,4635400
2025-08-15,202.8045,203.7205,201.2385,203.5727,4430900
2025-08-18,203.4841,205.1978,202.8537,203.4545,6083500
2025-08-19,203.4151,204.666,202.0067,203.0803,3975500
2025-08-20,203.5333,208.4973,203.5333,205.9956,5782100
2025-08-21,205.9858,209.2458,205.7198,206.3403,5323900
2025-08-22,207.6601,208.2806,203.9962,207.4238,5516900
2025-08-25,207.1283,208.1132,203.9273,204.4198,2796200
2025-08-26,204.3902,205.4342,203.4545,205.2175,3702900
2025-08-27,205.6706,207.2464,204.6758,204.922,3459100
2025-08-28,204.5182,204.8728,202.3908,204.7842,4523100
2025-08-29,204.863,207.8177,204.7645,207.2268,4264700
2025-09-02,206.9707,208.9602,205.838,208.7238,4335500
2025-09-03,209.2163,210.2012,208.2905,208.6647,3973500
2025-09-04,209.0489,210.9596,208.4678,209.7876,3531600
2025-09-05,209.3443,211.1073,207.8177,209.3542,4465400
2025-09-08,207.8079,208.8026,204.4788,206.626,5525500
2025-09-09,206.3699,207.5419,205.9661,207.2465,3097100
2025-09-10,207.0593,209.0686,205.2963,208.4481,4520600
2025-09-11,217.0267,218.4253,213.481,216.8987,7647700
2025-09-12,215.8152,217.0563,214.9387,215.047,4418800
2025-09-15,216.288,216.288,211.0778,214.328,5162100
2025-09-16,215.0372,215.4114,212.5847,212.9984,4251000
2025-09-17,215.7956,218.2086,214.0227,217.4798,5258400
2025-09-18,217.7358,218.7208,216.6032,218.642,4445600
2025-09-19,219.0655,220.1194,218.248,219.1147,14415100
2025-09-22,219.1049,221.7642,218.0904,219.2329,5990700
2025-09-23,218.6617,221.0156,218.5829,219.2526,4629900
2025-09-24,218.6518,218.8882,215.244,216.6721,5074500
2025-09-25,216.7805,218.9079,214.7417,215.244,6666000
2025-09-26,217.3025,218.1397,214.3871,217.2828,4185600
2025-09-29,217.4207,219.8731,216.4751,219.7943,4958400
2025-09-30,219.6958,228.8457,219.2132,228.0479,9187300
2025-10-01,230.1163,241.1178,228.501,240.6943,12243100
2025-10-02,237.2569,239.0101,230.983,232.9922,8107700
2025-10-03,233.3271,235.2378,230.1852,230.3822,6547300
2025-10-06,228.2154,229.4367,224.4825,226.7183,11940300
2025-10-07,227.8017,230.5496,224.1575,229.3185,4901000
2025-10-08,227.9888,229.4859,226.216,227.7525,5412800
2025-10-09,229.7518,230.264,227.1418,227.2108,4607600
2025-10-10,228.0184,231.1406,227.0236,227.0236,6156900
2025-10-13,226.5312,230.2837,225.7629,226.8266,5411900
2025-10-14,224.6303,227.1714,224.0787,225.6743,5527600
2025-10-15,225.3866,227.1226,223.5216,224.4144,5459400
2025-10-16,224.4144,226.2893,223.6605,225.0592,4737500
2025-10-17,225.704,228.8686,224.9997,227.7377,7150000
2025-10-20,229.1563,230.4062,228.1642,230.2078,5246700
2025-10-21,230.2971,230.9518,227.9956,229.5432,3298100
2025-10-22,229.8209,230.307,226.6068,226.8548,3523500
2025-10-23,227.1623,228.0254,225.4362,226.4282,5818000
2025-10-24,226.954,227.2119,224.4442,226.1703,3554700
2025-10-27,226.1306,226.7754,225.3072,226.21,2784400
2025-10-28,225.1882,226.577,222.5197,225.7239,3724200
2025-10-29,225.8032,226.1802,222.2518,223.343,5469300
2025-10-30,225.2378,227.817,224.6029,226.3786,5020700
2025-10-31,221.2201,222.0832,214.276,216.2997,10825300
2025-11-03,214.9505,217.252,210.0004,210.2682,8874300
2025-11-04,210.675,215.3474,210.675,214.1669,6184000
2025-11-05,214.0181,215.6946,210.9031,215.0398,4928200
2025-11-06,214.1669,217.9266,213.9288,217.2917,6615300
2025-11-07,217.5596,219.2262,215.3573,217.4108,4647900
2025-11-10,215.268,218.1052,214.4248,216.9644,4530800
2025-11-11,217.252,223.6208,217.252,223.3728,4802400
2025-11-12,223.6009,232.1323,223.4918,231.3685,8583200
2025-11-13,231.8744,237.3801,230.307,230.436,7968500
2025-11-14,231.7454,233.1243,228.4817,230.5054,5461500
2025-11-17,231.3982,233.4716,227.4004,232.1323,5023100
2025-11-18,233.1243,235.2969,230.2574,232.0034,6232600
2025-11-19,231.676,236.2492,228.5214,231.051,7618400
2025-11-20,231.3982,233.0747,226.1802,227.6186,4283600
2025-11-21,228.7099,236.1103,228.3031,234.3941,8017600
2025-11-24,234.1164,235.7234,226.6564,227.6781,10225900
2025-11-25,228.4817,232.2117,228.4718,229.9499,7134100
2025-11-26,230.188,230.6244,224.8311,225.8429,5920800
2025-11-28,225.0394,226.2695,223.7101,225.8826,2655600
2025-12-01,225.3767,227.6583,222.1923,223.3133,5208300
2025-12-02,223.0256,224.8211,221.3292,222.5792,5096700
2025-12-03,223.0454,228.9479,222.728,228.4023,4872900
2025-12-04,228.2734,229.0967,225.7735,226.8846,3732900
2025-12-05,227.1028,227.4202,223.2538,224.2755,3985200
2025-12-08,224.2755,224.3152,220.615,221.3392,4006100
2025-12-09,222.103,223.0256,218.4722,221.2102,4267900
2025-12-10,223.2041,224.1763,219.2361,223.3827,8735200
2025-12-11,223.7398,224.1565,220.4662,222.1923,4170600
2025-12-12,221.9046,222.0336,219.3353,221.5376,5467600
2025-12-15,222.4502,226.4778,221.7756,225.6346,5971900
2025-12-16,224.6029,225.0295,220.1388,221.8848,6405900
2025-12-17,222.0931,224.6029,221.0812,222.5197,5243400
2025-12-18,222.2121,224.4541,221.0118,221.0416,4760400
2025-12-19,221.1705,227.6385,220.5753,225.0096,18968800
2025-12-22,224.3053,226.825,222.4601,226.0909,4828100
2025-12-23,226.3985,228.9479,226.0909,226.9639,3612100
2025-12-24,227.6286,228.9579,227.1524,228.0551,1744900
2025-12-26,227.9857,228.7694,226.8548,228.1444,1593900
2025-12-29,228.313,230.1681,227.9063,228.9975,3803000
2025-12-30,228.9281,229.3646,226.7953,227.9063,2348000
2025-12-31,227.9063,228.4123,226.6068,226.6663,3196900
2026-01-02,226.9143,228.8983,223.9085,227.4798,3336800
2026-01-05,225.1882,225.4263,216.1211,218.4226,9341300
2026-01-06,217.9961,222.4105,217.7977,222.1427,9151700
2026-01-07,223.4422,235.148,222.9462,231.5569,10285400
2026-01-08,229.2852,229.6919,221.3391,222.3411,9365900
2026-01-09,221.9641,223.3232,217.252,218.3234,6714200
2026-01-12,219.4246,220.7142,216.6469,218.2837,6546100
2026-01-13,217.7778,218.9881,214.1272,218.9881,4872600
2026-01-14,219.2361,221.5574,215.268,220.119,8426400
2026-01-15,220.744,221.2499,214.1073,215.02,6954200
2026-01-16,215.61,217.35,213.88,214.35,8649700
2026-01-20,211.7,214.04,209.96,214.04,8251400
2026-01-21,212.47,218.0,211.57,216.15,10727100
2026-01-22,216.28,219.05,214.76,218.11,5650900
2026-01-23,217.26,219.82,215.88,219.26,5816400
2026-01-26,219.11,221.48,218.5,220.77,6553400
2026-01-27,220.88,226.86,220.65,223.93,5747400
2026-01-28,223.6,224.03,216.7,218.67,5215800
2026-01-29,218.0,224.14,218.0,220.43,7834000
2026-01-30,220.51,224.02,219.56,223.01,6622200
2026-02-02,224.85,229.79,224.42,225.64,5413000
2026-02-03,223.95,228.7,223.64,225.66,8158500
2026-02-04,209.78,220.85,204.27,217.11,15319700
2026-02-05,216.9,219.87,214.04,219.02,10794000
2026-02-06,218.75,225.82,218.5,223.43,6067100
2026-02-09,223.42,223.96,220.12,223.26,6767700
2026-02-10,223.75,225.81,221.94,222.44,6044500
2026-02-11,222.27,224.15,218.05,220.89,8072400
2026-02-12,221.57,229.05,220.91,227.5,8712000
2026-02-13,228.42,234.74,228.0,231.5,8252200
2026-02-17,232.66,235.25,231.19,232.86,7336400
2026-02-18,234.0,234.0,226.07,228.72,5495100
2026-02-19,228.97,229.37,223.02,224.35,5410800
2026-02-20,225.04,226.69,223.11,224.81,6830300
2026-02-23,225.82,231.43,225.79,229.48,5463200
2026-02-24,229.0,230.76,227.67,228.44,4880800
2026-02-25,229.71,232.55,226.48,226.92,5410900
2026-02-26,227.59,227.78,221.13,224.69,5331300
2026-02-27,225.1,232.27,225.06,232.08,8018100
2026-03-02,233.66,235.66,231.9,234.26,7438800
2026-03-03,233.36,235.71,230.24,233.86,6595700
2026-03-04,233.56,237.11,232.08,236.19,5380800
2026-03-05,233.42,234.8,228.0,232.35,9423100
2026-03-06,230.36,231.6,226.8,230.11,6139600
2026-03-09,229.97,230.68,223.23,227.45,7915800
2026-03-10,227.66,231.27,226.16,227.01,6466800
2026-03-11,226.05,229.29,225.3,227.68,5299200
2026-03-12,225.12,227.81,223.57,225.37,7607000
2026-03-13,226.89,228.62,219.44,219.68,5676100
2026-03-16,221.09,224.37,220.32,221.45,3991800
2026-03-17,222.04,223.28,219.76,219.76,4405700
2026-03-18,218.5,219.0,207.6,208.34,8597000
2026-03-19,208.37,210.43,204.3,206.23,7006800
2026-03-20,206.265,207.78,203.06,205.07,27365741
