date,open,high,low,close,volume
2025-03-14,122.6977,126.1235,122.207,124.3763,9537900
2025-03-17,124.3861,125.5149,123.8756,125.2891,6662800
2025-03-18,125.5934,126.2511,122.5996,123.9738,7959600
2025-03-19,124.0032,125.4265,123.4634,125.0732,5098500
2025-03-20,124.9848,125.4069,124.0523,124.445,5158500
2025-03-21,124.0032,124.4744,123.1787,124.0131,8857100
2025-03-24,124.867,125.4854,124.2683,124.867,5283000
2025-03-25,125.3284,126.4179,122.2069,123.2867,6726800
2025-03-26,123.4241,124.9946,122.8253,124.2781,6053700
2025-03-27,124.8278,129.5001,124.3272,128.9308,8441400
2025-03-28,128.8424,131.0019,128.3418,128.4106,6708300
2025-03-31,128.4007,130.7467,128.2339,130.2068,9669600
2025-04-01,130.04,130.1872,128.6658,129.2645,4228800
2025-04-02,128.2338,129.6964,127.37,129.5001,4236200
2025-04-03,129.4805,131.1786,129.0584,129.2056,6239200
2025-04-04,128.813,129.9614,121.7161,122.148,10776900
2025-04-07,120.0377,124.1701,118.2512,122.5603,10371300
2025-04-08,124.7296,125.6032,119.8119,121.6671,9880100
2025-04-09,119.3898,125.4069,118.6242,124.7002,10179200
2025-04-10,123.6793,124.4842,119.7726,122.2069,11089400
2025-04-11,123.7382,126.1529,121.7554,124.5431,7357000
2025-04-14,124.6609,126.1333,124.5038,125.6032,6988500
2025-04-15,125.8498,126.7077,123.8578,124.4692,8639400
2025-04-16,127.9009,132.299,127.2205,127.9009,13483200
2025-04-17,128.5715,130.8691,127.8614,129.1631,10474500
2025-04-21,129.1533,130.1296,126.7274,128.0883,6046700
2025-04-22,128.1277,130.1986,128.1277,129.9027,5837100
2025-04-23,130.3761,131.0466,125.3665,128.0389,8777100
2025-04-24,128.2165,128.394,126.2541,127.5854,6595500
2025-04-25,127.4769,127.7333,125.475,127.0627,4849100
2025-04-28,127.536,128.3151,126.7373,127.7333,3843300
2025-04-29,127.1021,129.4491,127.0134,128.6898,4315300
2025-04-30,129.104,129.4491,126.895,128.9363,8510500
2025-05-01,127.7037,129.8041,126.2245,129.0645,6769100
2025-05-02,130.0803,134.9024,129.5083,130.9776,9801400
2025-05-05,131.0467,131.2143,129.6266,130.7607,5752000
2025-05-06,130.1197,131.7468,128.887,131.2143,6290500
2025-05-07,131.6482,132.5653,130.593,132.0919,4924900
2025-05-08,131.4115,133.3443,131.234,132.1413,5994500
2025-05-09,132.1215,133.0978,131.3425,131.3918,4976100
2025-05-12,129.9619,131.806,128.2954,130.1591,5958300
2025-05-13,129.9225,129.9225,127.1317,127.2599,6344700
2025-05-14,127.5065,128.3348,126.4118,126.7767,5266900
2025-05-15,127.0627,131.5792,127.0627,131.5003,8406400
2025-05-16,131.303,133.4134,130.9283,132.9302,7128700
2025-05-19,133.1274,133.8078,132.6639,133.6698,8012800
2025-05-20,133.1274,133.9459,132.6738,133.3246,6455300
2025-05-21,133.226,134.2812,131.1749,131.2045,7209100
2025-05-22,130.6226,131.0368,129.3505,129.6759,6277100
2025-05-23,129.8534,130.3366,128.6208,129.4787,6145000
2025-05-27,130.0211,131.9835,129.7055,131.096,5591000
2025-05-28,131.2538,131.7468,130.0112,130.1887,3622100
2025-05-29,129.9027,131.2143,129.528,131.0072,3078200
2025-05-30,131.0368,132.2695,129.9126,131.7271,14236800
2025-06-02,131.0171,131.8849,130.0507,131.7172,4464000
2025-06-03,131.2734,132.1117,129.7844,131.8553,5914900
2025-06-04,132.5456,132.9992,131.096,131.1157,4057000
2025-06-05,131.5397,132.516,130.3564,132.0821,5581500
2025-06-06,132.9203,133.3443,131.2537,131.7271,3867700
2025-06-09,131.1749,132.4272,129.0054,131.5496,6630100
2025-06-10,131.7074,132.9795,131.4805,132.2695,3579400
2025-06-11,132.2399,133.4725,131.0861,133.4035,4100500
2025-06-12,133.6599,134.9911,133.581,134.5573,5089100
2025-06-13,133.8966,135.1588,133.3739,133.7388,3928900
2025-06-16,133.6796,134.5178,131.4608,132.1511,5084100
2025-06-17,131.8454,132.1511,130.3169,130.4451,5010800
2025-06-18,131.1058,131.52,129.7746,130.5733,4950400
2025-06-20,131.806,131.8257,130.1591,131.1453,11338200
2025-06-23,131.2242,131.6186,130.2775,131.4115,4887200
2025-06-24,131.4707,137.1311,130.5437,136.1647,9894700
2025-06-25,135.9576,136.9141,134.7446,135.4941,5507500
2025-06-26,135.4152,135.6322,130.8692,131.8158,9452900
2025-06-27,131.4411,133.0386,131.0368,132.516,9513500
2025-06-30,132.1413,134.3699,132.1413,134.1234,5749700
2025-07-01,133.6599,135.1786,132.94,134.3699,5337600
2025-07-02,133.3937,134.4488,131.9835,132.2497,4319600
2025-07-03,132.802,133.3641,131.3524,132.5752,3114300
2025-07-07,132.6442,133.0386,131.0072,131.8454,8927400
2025-07-08,131.3918,132.8611,131.0072,131.5101,4782600
2025-07-09,131.6186,131.9145,129.6464,131.3721,4613700
2025-07-10,131.875,133.1767,131.165,131.7468,4857100
2025-07-11,131.4214,131.7271,129.4393,130.1887,4661200
2025-07-14,130.1887,131.2439,129.883,130.1986,4881700
2025-07-15,130.6542,131.1891,129.0693,130.2481,5084800
2025-07-16,130.8722,131.7736,129.0793,130.4958,9893000
2025-07-17,125.3548,125.6618,118.6388,119.3718,27560600
2025-07-18,121.4718,124.4435,121.1152,122.502,19571900
2025-07-21,123.0864,124.8397,120.4515,123.2449,10308000
2025-07-22,123.1557,125.1864,123.0567,124.5425,7098400
2025-07-23,125.1269,125.8401,122.0859,124.6416,6439600
2025-07-24,124.0968,124.7901,123.5222,124.4534,4708000
2025-07-25,124.5821,125.5331,124.2652,125.3449,4741200
2025-07-28,124.9585,125.7906,124.4435,125.1567,8168400
2025-07-29,124.8199,126.8901,124.285,126.801,5834100
2025-07-30,126.7614,128.475,125.8798,127.3359,5359700
2025-07-31,126.3354,127.9302,124.6218,124.9982,6722600
2025-08-01,124.285,126.5632,124.285,126.0878,5453300
2025-08-04,126.2463,128.901,126.2463,128.7028,5671400
2025-08-05,128.683,130.2382,128.0293,129.4557,5355400
2025-08-06,128.8514,130.4759,128.584,129.6934,5170100
2025-08-07,129.9212,131.2486,129.4953,130.8127,4690600
2025-08-08,130.5552,133.4377,130.5057,133.0118,4985400
2025-08-11,132.8137,133.0811,129.317,130.1193,7125600
2025-08-12,130.4958,130.6443,128.3958,129.7826,5657500
2025-08-13,129.8816,130.4066,127.118,128.1778,6723700
2025-08-14,127.8807,128.9109,127.3161,128.059,9688300
2025-08-15,128.6929,131.1,128.4453,130.5057,6784500
2025-08-18,130.3868,131.0505,128.9307,129.0396,3831400
