date,open,high,low,close,volume
2025-03-14,313.2819,315.7473,311.1829,315.6681,4086000
2025-03-17,316.8364,323.4999,316.4404,322.49,3518100
2025-03-18,320.4404,321.8365,316.3314,320.8662,2811300
2025-03-19,321.9751,323.4999,317.8958,321.2622,4314100
2025-03-20,293.2222,303.8164,288.6281,297.9352,10699500
2025-03-21,295.1034,302.5788,292.6578,302.3015,11735300
2025-03-24,305.0541,307.3907,302.1629,304.1432,3793200
2025-03-25,304.5095,309.3808,302.4006,305.8461,3890400
2025-03-26,305.9749,309.6581,305.965,308.0838,3669700
2025-03-27,306.163,309.9056,304.4402,305.4798,2871000
2025-03-28,305.3313,307.0046,300.8362,301.3213,2377500
2025-03-31,299.4599,310.0145,297.4302,308.9551,5511900
2025-04-01,308.5195,312.8957,307.9056,310.4799,3503900
2025-04-02,306.6878,314.8562,306.6878,313.2027,4123000
2025-04-03,304.955,308.7076,297.9945,298.4797,3614800
2025-04-04,293.8658,296.0935,281.7864,282.2419,4659000
2025-04-07,276.1823,290.1429,272.2912,281.9052,6333600
2025-04-08,287.4201,290.133,273.9447,278.6081,4730400
2025-04-09,277.2319,297.4797,276.1626,296.9747,6702200
2025-04-10,291.0145,294.6265,276.9549,283.8006,4578600
2025-04-11,281.1737,284.8752,275.3529,282.925,5019500
2025-04-14,288.4772,291.8006,285.2136,288.3479,3299300
2025-04-15,287.4723,290.6265,285.9101,287.2235,3273200
2025-04-16,288.0096,291.0444,282.328,283.8205,3183900
2025-04-17,284.0991,285.2434,280.3678,280.9449,2321500
2025-04-21,280.9349,280.9349,274.6066,277.8404,2835500
2025-04-22,279.9996,283.6812,278.7558,282.5469,2499500
2025-04-23,293.1837,295.4623,285.5419,286.726,2763100
2025-04-24,283.5817,290.3081,283.323,289.9598,3271400
2025-04-25,290.0692,292.5469,287.5817,291.93,2919200
2025-04-28,293.0543,294.5867,288.4474,291.7906,1865200
2025-04-29,294.1489,297.5519,293.3329,296.9847,3251900
2025-04-30,293.8006,298.0593,290.2583,297.6613,2834700
2025-05-01,299.313,303.2434,297.0145,299.0344,2848600
2025-05-02,303.4822,304.8155,302.3578,303.8105,1810000
2025-05-05,301.92,307.8702,301.9001,306.1787,3548600
2025-05-06,302.3478,304.4275,301.6912,302.2881,2719400
2025-05-07,303.2832,306.5568,301.9598,304.5667,2647700
2025-05-08,307.4623,311.6911,306.4672,307.3429,2861600
2025-05-09,308.4871,310.0394,305.1737,306.3677,1844400
2025-05-12,314.8951,320.8652,313.7906,320.4871,3271300
2025-05-13,320.318,324.0891,319.9598,320.925,2775500
2025-05-14,319.9399,320.4971,316.318,318.8155,2417100
2025-05-15,318.6265,322.3876,318.1687,321.6016,3050400
2025-05-16,315.8404,316.4772,308.1887,316.109,3968000
2025-05-19,314.2185,319.2931,313.5021,317.8006,2247300
2025-05-20,316.8752,318.7359,315.8105,318.5866,2930500
2025-05-21,315.4623,321.2533,314.8454,316.1389,2788000
