date,open,high,low,close,volume
2025-03-14,204.2439,206.6965,203.1308,205.613,2614100
2025-03-17,204.628,210.1635,204.2537,208.4989,2514500
2025-03-18,207.4155,207.5829,204.5689,206.0168,2657000
2025-03-19,206.0464,209.8286,204.9629,206.8146,2571900
2025-03-20,205.0417,205.0417,201.7322,202.8058,2775400
2025-03-21,200.0085,202.1853,198.2552,201.3283,5070200
2025-03-24,206.8442,210.8629,206.5881,209.149,3458300
2025-03-25,207.8095,211.4046,207.8095,210.3704,2549800
2025-03-26,209.9468,211.6706,206.5389,207.3662,2453300
2025-03-27,205.544,207.8292,202.7861,205.8001,2884800
2025-03-28,204.697,204.9333,197.7529,198.531,3521400
2025-03-31,197.221,199.4766,193.8426,198.6394,3803700
2025-04-01,197.2506,197.8219,192.1878,196.1868,3383000
2025-04-02,192.8182,199.2599,192.8182,196.5906,2437500
2025-04-03,188.9374,190.2967,177.689,178.1618,6970800
2025-04-04,171.986,173.759,161.6734,162.1265,9633900
2025-04-07,160.7475,180.5553,156.2659,168.7652,10236500
2025-04-08,172.7445,176.5465,159.3981,163.5941,7640300
2025-04-09,163.5547,195.4776,162.1068,193.6751,10941600
2025-04-10,186.7803,186.7803,168.3613,175.6797,8547900
2025-04-11,169.5433,178.2603,164.6874,176.4677,6528800
2025-04-14,180.506,182.2199,172.9414,175.9161,3912100
2025-04-15,175.9161,179.7279,175.394,176.8419,3035900
2025-04-16,171.0601,174.6947,167.8294,173.2862,4392800
2025-04-17,175.2167,175.66,170.9715,173.6211,3341200
2025-04-21,170.0555,172.8331,168.4303,172.3603,3650100
2025-04-22,174.1234,176.4972,172.577,175.8176,3735000
2025-04-23,183.195,185.0172,179.7378,180.3583,4323300
2025-04-24,189.8337,194.5518,188.179,192.2962,5606700
2025-04-25,190.0504,193.419,188.8093,191.6658,3206800
2025-04-28,190.4542,193.419,187.0955,190.8088,3401400
2025-04-29,188.6222,191.8923,187.4994,189.7746,3939800
2025-04-30,184.7316,192.4045,183.9239,191.9908,4415400
2025-05-01,193.882,194.207,190.5331,190.8286,3439500
2025-05-02,194.8866,196.7088,194.1873,195.6057,3795900
2025-05-05,193.2122,196.7187,192.6507,194.7487,2022700
2025-05-06,191.9613,194.4335,191.3407,192.6606,2535500
2025-05-07,193.6751,197.7037,192.7492,196.8566,2965700
2025-05-08,199.2205,202.9437,197.9401,199.7327,3422400
2025-05-09,204.1257,206.9821,203.1899,204.3916,3537500
2025-05-12,219.5208,222.1014,215.8074,219.7966,6358100
2025-05-13,218.6343,223.6577,216.9402,223.2735,4373500
2025-05-14,224.2191,224.9086,220.6437,223.4114,4648400
2025-05-15,221.0573,225.3617,220.6437,223.7069,3044800
2025-05-16,223.7463,224.3767,222.1408,223.6971,3617900
2025-05-19,220.2792,223.4016,219.7178,221.1657,3974200
2025-05-20,218.9791,221.2248,218.5949,221.1165,2619200
2025-05-21,219.2549,223.9729,218.0039,218.8806,5091100
2025-05-22,218.132,221.0278,208.1936,208.7452,8968300
2025-05-23,205.8395,207.8686,202.9043,207.3071,4848100
2025-05-27,211.9168,214.5959,209.5332,213.6306,5542200
2025-05-28,214.3398,214.9111,212.2222,212.3797,3853900
2025-05-29,214.7831,215.2165,210.7841,212.5078,3800200
2025-05-30,212.0449,212.5964,207.6322,210.7644,10923400
2025-06-02,209.2081,212.951,209.0308,212.2123,2233700
2025-06-03,210.8136,215.6006,209.8484,215.1475,3515800
2025-06-04,217.5123,218.858,215.0387,216.1963,4199200
2025-06-05,217.4826,220.2432,214.7319,215.7412,3496200
2025-06-06,218.3533,222.9741,218.3039,219.9167,3246000
2025-06-09,221.4603,226.7637,221.0546,225.2598,4110600
2025-06-10,225.8633,232.2849,225.6061,230.8799,4164800
2025-06-11,231.622,233.6306,227.8423,230.0883,3311800
2025-06-12,229.089,231.2757,228.4161,229.6727,2144000
2025-06-13,225.1608,226.5263,222.0143,222.6575,3349600
2025-06-16,225.7248,229.4748,225.1014,229.3561,3344900
2025-06-17,226.7835,229.2473,224.9134,225.0421,2726500
2025-06-18,227.9907,230.6226,226.4273,227.2288,2551500
2025-06-20,229.3066,229.5738,223.1918,225.9425,5316100
2025-06-23,225.7842,228.8713,224.3099,228.5448,3573500
2025-06-24,231.4439,233.1259,230.7513,232.5026,3636100
2025-06-25,233.116,233.9571,229.178,232.2057,3548600
2025-06-26,233.5415,235.7084,232.6213,234.7981,3057800
2025-06-27,234.5013,236.5495,232.463,234.4617,3617800
2025-06-30,235.0356,236.1537,233.1754,235.5105,3258700
2025-07-01,234.0461,239.2606,233.3337,238.1029,3500600
2025-07-02,237.9347,242.8523,237.4994,242.5654,3538300
2025-07-03,243.2481,243.9506,241.6056,243.0898,1837400
2025-07-07,242.2289,242.7237,237.8259,239.2606,2783400
2025-07-08,241.0317,245.1182,240.1016,242.5654,3964200
2025-07-09,243.0007,244.3167,238.4591,240.161,3339000
2025-07-10,242.1993,243.1492,239.6663,242.5456,2428200
2025-07-11,240.7942,243.1887,239.4585,242.1003,2037700
2025-07-14,240.5667,241.5561,238.8846,240.8932,2045400
2025-07-15,242.4071,243.1689,237.7368,237.8852,3001700
2025-07-16,237.2223,238.469,233.7889,238.0732,2842100
2025-07-17,237.4103,239.3397,236.5594,238.4294,2830800
2025-07-18,240.4776,241.0317,238.2909,239.3002,2761600
2025-07-21,240.7646,243.1294,237.816,237.9446,2997800
2025-07-22,236.2724,238.8549,231.5329,233.0171,6027500
2025-07-23,228.337,230.0487,219.6594,225.6753,7845200
2025-07-24,226.0612,226.0612,221.4009,223.9834,4771000
2025-07-25,224.2505,226.2393,222.8059,225.4181,2695600
2025-07-28,226.4966,228.6041,226.4471,228.337,3136200
2025-07-29,229.5342,230.1873,226.7242,228.3172,2174200
2025-07-30,229.3858,229.7519,226.6846,228.6734,2324100
2025-07-31,225.8732,227.3574,220.0255,222.2617,5339800
2025-08-01,220.0156,220.8072,216.5427,219.3725,3740500
2025-08-04,219.0855,221.1733,218.2742,220.0552,2848100
2025-08-05,220.6291,222.707,217.077,218.3533,3099000
2025-08-06,218.3533,218.8382,216.0677,218.3633,2547300
2025-08-07,220.7478,223.261,219.8474,220.7676,2522000
2025-08-08,220.7083,222.5685,218.8184,221.5889,3078200
2025-08-11,222.6278,225.9128,221.0843,221.7076,3479200
2025-08-12,224.0922,231.8198,223.0533,229.5936,4979300
2025-08-13,230.5138,235.7579,229.6727,235.1246,3804700
2025-08-14,232.3838,234.3726,230.5138,233.7196,2182100
2025-08-15,234.7091,234.7091,228.6041,229.1879,3826400
2025-08-18,228.0698,231.5725,228.0698,229.1088,2260100
2025-08-19,229.1978,231.7506,227.3871,228.0105,4569000
2025-08-20,237.1629,242.8127,225.705,242.2883,8529000
2025-08-21,241.4275,247.5423,240.9229,244.3464,5991800
2025-08-22,246.5529,254.4982,245.603,249.541,4990800
2025-08-25,249.9764,252.5787,248.6109,251.8069,3419100
2025-08-26,251.3221,255.0028,251.0153,252.9349,5735100
2025-08-27,251.9058,253.5483,250.204,252.8062,3347400
2025-08-28,254.1717,255.4085,251.4903,251.5694,4038100
2025-08-29,250.392,251.5694,247.8788,248.6604,3599000
2025-09-02,244.8657,246.8723,242.2134,246.6737,3115700
2025-09-03,246.6737,247.22,240.326,242.9287,3024500
2025-09-04,241.3989,244.6869,237.9916,244.4783,3574700
2025-09-05,244.5876,248.0743,243.7532,245.432,2166100
2025-09-08,246.4055,247.7763,245.0048,247.3293,2417900
2025-09-09,246.4651,247.667,244.8856,246.5346,2154600
2025-09-10,246.6538,247.3988,244.2399,245.571,2474500
2025-09-11,246.1174,248.3425,244.8558,246.5942,2244700
2025-09-12,245.9783,246.5843,243.3558,243.5843,2110000
2025-09-15,237.8327,245.3326,237.1969,243.2863,2333100
2025-09-16,241.3393,245.6803,240.6141,242.4817,2913800
2025-09-17,242.4916,248.5412,242.4916,244.6869,2617600
2025-09-18,249.4253,250.3293,246.6339,247.3988,3129900
2025-09-19,248.2929,248.2929,241.9651,243.7035,5182600
2025-09-22,243.9817,247.3889,243.9519,245.7002,2167300
2025-09-23,246.7233,248.7001,244.6969,245.1439,2085700
2025-09-24,245.4121,248.1637,245.0644,246.9618,2479000
2025-09-25,245.9287,246.6836,241.9055,245.8889,2410900
2025-09-26,247.0611,247.7565,244.1306,245.9187,2648500
2025-09-29,247.677,247.8458,242.2333,243.1671,3296300
2025-09-30,244.1803,245.5611,241.4585,244.071,2507800
2025-10-01,242.0942,243.9618,234.6539,237.6936,4916300
2025-10-02,240.5247,242.3525,238.8459,240.0677,2774100
