date,open,high,low,close,volume
2025-03-14,282.1057,285.3833,282.1057,284.6029,1429200
2025-03-17,284.915,290.5923,284.0762,289.3047,1818300
2025-03-18,288.5926,289.2071,285.8125,288.6706,1181000
2025-03-19,288.6706,292.9042,288.6706,291.4605,1291700
2025-03-20,287.9001,292.4555,287.6659,290.2119,1602400
2025-03-21,287.9195,288.4072,285.5491,288.0756,3951100
2025-03-24,290.2314,292.8652,289.451,291.558,1709100
2025-03-25,291.6751,292.6701,290.2119,292.036,1474800
2025-03-26,293.0505,299.6057,291.5385,294.9917,1851300
2025-03-27,295.5965,298.7375,293.8894,297.9376,1373800
2025-03-28,298.7862,301.3127,293.2748,293.4504,1785400
2025-03-31,293.8601,298.8155,293.5187,298.0351,2492500
2025-04-01,297.8888,299.8398,296.1427,299.0204,1199200
2025-04-02,297.4499,300.4153,296.2988,299.6935,1089300
2025-04-03,297.2157,301.9078,296.0354,297.8986,1998800
2025-04-04,298.0839,298.4936,278.8867,279.111,3769200
2025-04-07,277.1211,281.4522,265.9324,274.3215,3541600
2025-04-08,275.8627,279.4036,266.8298,269.9709,3130200
2025-04-09,268.4101,288.4365,267.0933,287.4611,3469500
2025-04-10,285.9491,290.1729,278.1454,285.0419,3284700
2025-04-11,285.0418,293.9967,283.1787,292.192,2188000
2025-04-14,292.2994,296.845,291.3922,294.1625,1806200
2025-04-15,294.1625,295.8305,290.4947,290.7484,1763300
2025-04-16,290.6508,291.8604,285.0906,286.9245,1406500
2025-04-17,288.6219,288.8365,285.7735,286.0857,1667100
2025-04-21,283.6372,286.0466,273.4631,277.8625,2315500
2025-04-22,281.2473,288.261,279.7256,285.7052,1725200
2025-04-23,287.1294,290.2997,284.5737,286.3393,1636100
2025-04-24,285.8515,287.6269,281.8716,287.3245,1686300
2025-04-25,285.9003,286.9831,281.6668,284.603,1482000
2025-04-28,284.4956,286.9928,283.2763,286.3685,1669200
2025-04-29,285.2272,288.7584,285.198,288.5146,1618300
2025-04-30,283.608,293.9674,281.2668,293.2261,3342000
2025-05-01,291.8701,292.9529,286.5246,291.3629,1667400
2025-05-02,293.6357,297.5766,292.7188,296.1232,1720800
2025-05-05,295.8598,298.2497,294.0552,296.5036,1232800
2025-05-06,295.7916,296.728,293.548,295.8891,1006800
2025-05-07,295.9671,298.6887,294.9624,297.6937,2013000
2025-05-08,299.3715,302.0736,297.7035,299.5569,1164200
2025-05-09,299.5569,301.1372,298.3181,300.1714,851700
2025-05-12,304.1708,304.483,297.723,301.7907,1683000
2025-05-13,302.4735,303.2344,300.6201,300.6299,1215300
2025-05-14,299.1374,302.376,298.0157,301.82,1163100
2025-05-15,302.3565,308.1995,302.3565,308.102,1696900
2025-05-16,308.6775,311.6625,306.6778,311.5356,1489000
2025-05-19,310.9016,315.2424,309.5847,315.0376,1530400
2025-05-20,313.4768,315.2132,312.9598,314.8815,1015000
2025-05-21,312.4526,315.7204,312.4526,314.7157,1892300
2025-05-22,314.6864,315.2814,312.2965,313.7597,1273700
2025-05-23,311.243,313.9353,309.8578,313.2134,962400
2025-05-27,314.9595,318.003,313.9255,317.7201,1745100
2025-05-28,319.2906,319.9442,315.7692,316.1886,1158700
2025-05-29,316.2472,317.0958,313.389,316.1691,921700
2025-05-30,317.2031,318.5883,315.4375,317.5445,2925000
2025-06-02,314.8815,317.9152,313.1939,317.8079,1502400
2025-06-03,316.5008,318.7834,315.0571,318.52,2155900
2025-06-04,317.7298,319.5247,316.013,318.2078,1229900
2025-06-05,319.154,319.7588,316.7154,318.2274,1817400
2025-06-06,320.7831,321.8366,318.1298,318.7931,1183300
2025-06-09,317.7298,317.8469,310.0041,310.7552,1462900
2025-06-10,310.7162,311.877,305.0097,306.8046,1422000
2025-06-11,306.668,306.668,303.3027,304.7073,1323600
2025-06-12,305.2829,306.5412,297.7913,302.1516,1798900
2025-06-13,301.034,304.7397,299.7302,300.7889,2021600
2025-06-16,301.7497,303.6025,300.6027,301.8575,1622300
2025-06-17,302.7006,303.2202,300.8184,301.5732,2356900
2025-06-18,301.5732,302.7398,300.0635,300.7399,1466700
2025-06-20,302.4457,302.4457,298.0244,300.24,3659000
2025-06-23,301.2203,304.3378,299.7498,304.1417,1707000
2025-06-24,305.1319,305.8573,302.0928,305.2789,1309200
2025-06-25,304.9064,305.0829,291.3776,292.3286,2354900
2025-06-26,293.3579,297.9263,290.9169,297.0244,2304100
2025-06-27,296.9852,300.4458,294.9853,297.4852,1931100
2025-06-30,297.4068,302.8085,296.6617,302.3379,2414600
2025-07-01,302.1222,305.8573,301.2595,304.0339,1496600
2025-07-02,302.0241,302.681,294.8775,299.0537,1327800
2025-07-03,300.9654,303.3182,299.2792,303.1222,1393200
2025-07-07,303.1026,304.7005,300.8674,302.3379,1660400
2025-07-08,301.7202,303.1319,299.3968,300.8673,1919200
2025-07-09,302.1516,302.5928,299.2596,302.3477,1359600
2025-07-10,301.3085,302.4065,299.3185,299.8086,1421500
2025-07-11,299.4263,299.8478,295.9069,296.7009,1097300
2025-07-14,296.2499,297.8675,295.1814,297.3969,1128400
2025-07-15,296.1323,297.2499,292.1913,292.3188,965400
2025-07-16,292.7894,294.7893,290.6326,294.3677,1525500
2025-07-17,293.9853,297.4067,293.9853,296.1813,1313800
2025-07-18,298.2891,298.2891,294.4853,295.8578,1653900
2025-07-21,295.7598,297.3381,294.8383,294.9853,949700
2025-07-22,295.6716,300.3086,295.5539,297.0244,1026700
2025-07-23,296.4362,298.5243,295.5735,298.2498,1135600
2025-07-24,297.946,301.0634,297.2891,300.2203,1148000
2025-07-25,301.1222,302.7496,300.1517,302.5634,967200
2025-07-28,302.534,303.1124,300.289,300.8576,1184800
2025-07-29,301.9163,303.6025,299.4949,302.5732,2670900
2025-07-30,293.4265,309.7689,292.8187,304.8279,2558200
2025-07-31,303.2398,309.063,302.7398,303.4163,2030400
2025-08-01,301.9457,302.2104,293.6716,294.5343,1791600
2025-08-04,294.6422,297.1323,294.4657,296.3186,1560100
2025-08-05,296.2401,296.9362,293.4069,293.554,1774900
2025-08-06,294.6716,296.5146,292.7893,295.7108,1879400
2025-08-07,297.7107,299.7596,295.6519,297.5244,1519900
2025-08-08,298.1518,300.7987,297.6518,299.7988,879400
2025-08-11,298.7694,300.9066,296.5539,297.7499,1265700
2025-08-12,297.5538,298.2204,293.1324,293.7402,1280000
2025-08-13,293.9756,299.1125,293.8383,298.9557,2351700
2025-08-14,298.9557,298.9655,295.5049,295.75,1074400
2025-08-15,295.3872,298.0538,294.1618,295.8578,1362800
2025-08-18,296.0833,297.2009,295.1814,296.7009,1156700
2025-08-19,296.6323,300.7007,296.3088,299.7106,1227200
2025-08-20,300.8086,303.9849,299.6616,302.9555,1440600
2025-08-21,302.4653,302.9163,298.0636,298.9459,1458700
2025-08-22,300.4262,302.828,297.4067,301.8967,1150900
2025-08-25,300.6811,301.7496,297.3185,297.8675,1138000
2025-08-26,297.1715,298.6812,296.1813,297.4852,2503400
2025-08-27,296.5832,298.3478,296.0244,297.1322,1109600
2025-08-28,297.0833,298.4656,295.8186,298.1224,1488200
2025-08-29,296.7009,299.3086,296.7009,298.0734,1106900
2025-09-02,295.7108,296.5048,292.4364,293.8775,1648300
2025-09-03,290.7404,294.1716,288.7993,292.9854,1447900
2025-09-04,293.0442,295.6519,290.8776,295.2696,1735400
2025-09-05,295.2696,296.7303,288.1719,290.1522,1892500
2025-09-08,290.7502,292.7207,287.7406,292.5639,1716600
2025-09-09,292.5638,293.0246,290.3973,291.3972,1349900
