date,open,high,low,close,volume
2025-03-14,248.99,254.89,248.99,254.43,1303000
2025-03-17,252.96,263.25,252.63,260.62,1785300
2025-03-18,259.95,261.36,257.98,259.95,1509700
2025-03-19,263.07,271.63,263.0,268.3,1930200
2025-03-20,268.05,271.47,266.14,267.82,1465400
2025-03-21,262.45,268.38,262.45,267.25,2014200
2025-03-24,271.96,272.31,269.02,269.19,1660400
2025-03-25,270.59,273.79,270.59,273.08,1068500
2025-03-26,271.71,274.26,270.29,271.21,1092800
2025-03-27,268.5,273.52,268.2,269.81,1230500
2025-03-28,267.29,268.57,260.93,261.63,1233400
2025-03-31,259.02,262.17,255.18,261.8,1844800
2025-04-01,261.18,264.9,258.27,264.61,1042900
2025-04-02,260.12,269.67,259.35,267.93,1245700
2025-04-03,256.98,260.43,254.03,257.15,1791100
2025-04-04,250.11,252.66,244.39,245.51,3161400
2025-04-07,237.63,253.96,232.67,243.62,3597300
2025-04-08,249.71,251.49,235.2,238.84,1838100
2025-04-09,238.08,265.14,237.25,263.53,2456700
2025-04-10,257.16,259.2,248.58,256.92,2238400
2025-04-11,256.92,260.79,251.42,258.45,1274600
2025-04-14,263.0,263.64,258.2,260.71,1261600
2025-04-15,262.4,266.55,262.0,265.34,1082300
2025-04-16,261.79,266.15,257.91,260.16,1323100
2025-04-17,262.3,262.39,258.14,259.47,1053400
2025-04-21,255.92,256.52,250.46,254.27,1277200
2025-04-22,257.81,263.14,256.04,261.14,1072900
2025-04-23,265.49,270.8,263.58,264.44,1021800
2025-04-24,265.54,272.77,265.02,271.71,1303300
2025-04-25,271.3,272.27,268.77,269.93,1308100
2025-04-28,269.79,273.56,269.42,271.47,1171900
2025-04-29,270.8,273.18,270.4,272.89,820400
2025-04-30,270.4,274.87,267.61,274.25,1226000
2025-05-01,276.14,278.57,273.14,273.49,1303900
2025-05-02,278.3,281.19,276.32,279.99,959600
2025-05-05,278.19,283.27,278.19,280.07,894600
2025-05-06,277.88,281.3,276.21,278.64,678300
2025-05-07,279.38,284.77,279.37,283.36,1271200
2025-05-08,284.89,291.35,284.06,289.62,1149000
2025-05-09,289.8,291.99,285.77,287.48,906900
2025-05-12,295.95,297.86,292.52,293.2,1500000
2025-05-13,294.18,298.83,292.95,297.01,1220300
2025-05-14,295.85,297.99,294.65,295.54,1353200
2025-05-15,294.97,297.18,294.4,295.78,1780800
2025-05-16,296.1,298.21,294.82,298.08,1901600
2025-05-19,294.59,297.25,293.0,295.9,1635400
2025-05-20,294.59,295.9,292.27,295.84,1388300
2025-05-21,292.77,297.79,291.8,292.93,1831200
2025-05-22,292.39,296.44,292.37,295.0,2366800
2025-05-23,295.0,304.8,291.53,295.35,3197300
2025-05-27,297.52,301.18,294.79,300.36,2132600
2025-05-28,301.0,303.1,298.86,299.23,1477600
2025-05-29,300.48,301.18,294.8,297.0,1250600
2025-05-30,297.49,298.0,293.71,296.12,4533900
2025-06-02,294.41,295.88,291.24,295.26,1023700
2025-06-03,295.12,299.72,294.48,299.52,1525700
2025-06-04,299.1,301.43,298.04,298.36,1031200
2025-06-05,298.36,300.67,297.22,298.22,1091100
2025-06-06,300.17,300.18,297.4,297.86,941700
2025-06-09,297.0,298.79,290.63,297.21,1316600
2025-06-10,298.41,298.52,295.97,297.54,896700
2025-06-11,298.0,299.12,295.98,296.77,1198600
2025-06-12,296.92,299.67,296.11,298.57,1054300
2025-06-13,294.09,296.69,291.14,292.16,1129700
2025-06-16,293.35,299.39,292.9,299.3,1384900
2025-06-17,298.4,300.52,295.81,296.85,1070000
2025-06-18,296.85,297.57,293.76,295.19,1110700
2025-06-20,297.75,299.7,295.08,297.21,2874600
2025-06-23,297.82,301.18,293.49,300.95,1828900
2025-06-24,304.02,306.06,301.92,304.19,1470100
2025-06-25,304.38,305.0,302.02,302.37,1226400
2025-06-26,303.49,305.76,300.71,304.93,1159900
2025-06-27,307.47,309.84,304.86,305.13,1703000
2025-06-30,307.46,310.23,305.76,309.57,1570500
2025-07-01,308.41,312.51,306.15,311.67,2001300
2025-07-02,309.88,310.82,306.32,310.34,1139500
2025-07-03,312.18,318.25,310.34,316.66,836400
2025-07-07,317.73,319.49,313.81,315.31,1409800
2025-07-08,317.21,319.13,314.71,314.91,1457600
2025-07-09,316.07,316.6,300.0,307.27,2562700
2025-07-10,300.0,300.48,281.65,286.11,4698700
2025-07-11,285.61,286.16,279.9,280.39,2441800
2025-07-14,298.37,298.37,286.69,294.55,3744800
