date,open,high,low,close,volume
2025-03-14,94.8966,96.821,94.7023,96.3351,1827700
2025-03-17,96.5392,98.0456,96.2573,97.8998,2861900
2025-03-18,97.2389,97.8123,96.2573,97.0445,1358900
2025-03-19,96.8113,97.6374,96.2962,97.2486,2172800
2025-03-20,97.5694,97.6471,96.6849,97.1612,2262700
2025-03-21,96.1504,97.0154,95.3923,96.131,3577200
2025-03-24,96.4031,97.132,95.8783,96.0338,1146700
2025-03-25,95.713,96.1601,93.8761,94.4496,1395200
2025-03-26,94.4593,96.4711,94.2552,96.1018,1334700
2025-03-27,96.3253,96.5878,95.6742,95.8588,1761800
2025-03-28,96.7335,97.2681,96.3837,96.8988,1797800
2025-03-31,97.1709,98.9981,97.0154,97.5791,3045300
2025-04-01,97.3167,98.0359,96.7918,97.8415,1853400
2025-04-02,98.2497,98.7745,97.2584,98.0067,1916600
2025-04-03,99.0272,100.0477,98.0651,98.8231,3775500
2025-04-04,99.6007,99.659,92.3794,93.0986,3099100
2025-04-07,91.6213,93.9539,89.901,91.6893,2606300
2025-04-08,93.7789,94.5662,90.7077,91.5824,2441000
2025-04-09,90.941,94.8675,89.1916,93.6429,2418400
2025-04-10,93.4291,95.577,92.0878,94.0025,2098100
2025-04-11,93.6429,95.5284,92.6029,94.7897,1321300
2025-04-14,95.334,96.5586,94.4107,96.2281,1881000
2025-04-15,96.51,97.2681,96.0921,96.2476,1668600
2025-04-16,96.578,96.8307,94.8189,95.2465,1231600
2025-04-17,95.6353,97.0154,95.3243,95.8783,1747600
2025-04-21,95.3243,95.4798,92.5932,93.7692,1248000
2025-04-22,94.2746,96.6266,93.847,96.3642,2168700
2025-04-23,96.0046,96.8696,94.9452,95.8588,1055000
2025-04-24,95.6061,96.7821,95.1688,96.1407,847400
2025-04-25,95.9366,96.2184,95.0133,95.5187,1489300
2025-04-28,95.4895,96.6266,95.1979,96.1115,1203200
2025-04-29,95.7811,96.7238,95.5089,96.4225,980000
2025-04-30,96.8793,97.0251,94.6925,96.4517,1755300
2025-05-01,96.1115,96.7821,95.1202,95.334,1537800
2025-05-02,96.1018,97.3264,93.4679,96.6849,2663900
2025-05-05,96.5586,97.0737,95.7616,96.753,1633200
2025-05-06,96.7044,97.307,96.3642,96.6655,1130000
2025-05-07,96.5489,97.307,96.3837,96.7433,1105200
2025-05-08,96.3253,96.6849,94.8092,94.9355,2349600
2025-05-09,94.9355,95.0521,93.9539,94.6634,1295300
2025-05-12,94.2066,94.2066,92.3017,92.739,1314400
2025-05-13,91.7963,92.5349,91.4367,91.6699,3421900
2025-05-14,91.7768,92.6127,90.6494,92.3405,2659100
2025-05-15,93.0889,94.1969,92.7001,94.0997,1659500
2025-05-16,93.9345,95.2854,93.672,95.266,1254600
2025-05-19,95.0619,96.2184,94.7411,96.1893,1751000
2025-05-20,95.8491,96.753,95.6256,95.8102,1236000
2025-05-21,95.4117,95.5673,93.4679,93.7887,1928900
2025-05-22,93.2541,93.4874,91.7477,92.7196,1861300
2025-05-23,93.5554,93.7789,92.2822,93.5943,1451900
2025-05-27,94.226,94.2746,93.3027,93.9733,993600
2025-05-28,93.6623,93.8664,92.4086,92.6418,1106900
2025-05-29,92.0976,93.5263,91.4269,93.4679,1042000
2025-05-30,93.293,94.4301,93.293,94.158,2370600
2025-06-02,93.6429,94.5565,93.293,94.4204,1279200
2025-06-03,94.5856,94.955,93.5068,94.5856,1887200
2025-06-04,94.4398,95.0133,93.672,93.7887,2089200
2025-06-05,93.847,94.09,93.1861,93.3222,2293800
2025-06-06,93.5263,93.8178,92.7973,93.3416,1458000
2025-06-09,93.1278,93.8081,92.5446,93.2347,2344400
2025-06-10,93.4991,93.9593,92.9801,93.6459,1732400
2025-06-11,93.8124,94.1355,93.6166,93.8515,1512800
