date,open,high,low,close,volume
2025-03-14,79.8418,81.7901,78.9117,81.3887,6241300
2025-03-18,82.0753,83.1218,81.7134,82.1927,6080300
2025-03-19,82.222,82.6719,81.3809,81.821,6745900
2025-03-20,81.2635,82.799,81.2635,81.8699,5679400
2025-03-21,81.4396,82.1438,80.7745,81.3516,15949400
2025-03-24,82.0264,82.5448,81.5276,82.3491,4379700
2025-03-25,82.623,83.024,81.4689,82.0753,3492400
2025-03-26,82.3687,83.2391,81.7819,82.3394,6965100
2025-03-27,82.711,83.1805,81.733,82.5643,5337700
2025-03-28,82.7795,83.0338,81.0875,81.7819,5574900
2025-03-31,82.6621,85.5864,82.447,85.0289,9834100
2025-04-01,85.0583,85.5179,84.3736,84.9018,6705600
2025-04-02,84.1291,86.1341,83.9335,85.7918,4944200
2025-04-03,84.1096,85.5473,83.7379,84.3052,6291100
2025-04-04,82.3198,82.7012,76.5495,77.2146,6406300
2025-04-07,76.0703,79.1901,74.4174,75.8551,10099700
2025-04-08,77.3026,79.4347,74.9553,75.9627,7738800
2025-04-09,74.8477,81.7134,74.8477,80.9995,7565200
2025-04-10,79.3662,81.244,77.8894,79.5618,4402300
2025-04-11,79.3466,80.9115,78.3686,80.1682,4039600
2025-04-14,81.1755,82.0753,79.5814,79.7085,6105600
2025-04-15,80.1486,80.9408,79.7476,80.1486,4550000
2025-04-16,80.5692,81.0777,78.8772,79.1902,3468300
2025-04-17,79.5227,80.354,78.8967,79.3564,4021400
2025-04-21,79.3075,79.3955,76.882,77.6351,3637500
2025-04-22,78.7696,80.1388,78.173,79.8454,3545000
2025-04-23,80.4714,80.5594,79.376,79.8552,3086100
2025-04-24,79.8356,81.019,79.4249,80.6376,2620800
2025-04-25,80.2562,80.5203,79.0141,79.4347,2657600
2025-04-28,79.6792,80.4616,79.3271,80.129,3055500
2025-04-29,79.7868,80.7354,79.7868,80.1975,3331600
2025-04-30,79.5618,80.1486,78.2415,79.7281,5777400
2025-05-01,78.8283,79.6205,78.5838,79.063,5974900
2025-05-02,78.8576,82.2513,76.7255,81.821,5783300
2025-05-05,81.5765,82.2025,80.8332,81.2244,2619000
2025-05-06,80.6963,81.4787,80.5105,80.7159,2482300
2025-05-07,80.8919,81.3516,79.7281,79.8943,3325100
2025-05-08,80.4127,81.1755,79.9041,80.0215,3710000
2025-05-09,80.3247,81.0875,79.8845,80.5985,4926000
2025-05-12,81.156,81.6547,79.6889,81.6352,5265100
2025-05-13,81.8112,82.7306,81.5765,81.8015,3285800
2025-05-14,81.8308,81.9188,79.865,80.0899,4188400
2025-05-15,80.3344,81.5178,80.0606,81.4005,2856900
2025-05-16,81.4298,82.5056,81.332,82.4763,2570100
2025-05-19,82.4763,82.7208,82.0068,82.4861,2035300
2025-05-20,82.1144,82.711,82.0068,82.2318,2172000
2025-05-21,82.0068,82.1242,80.7745,80.8137,2644100
2025-05-22,80.931,81.0777,79.6107,80.2171,3172800
2025-05-23,79.464,80.2269,79.3466,79.8259,3313900
2025-05-27,80.2464,81.5569,79.8259,81.3418,2840900
2025-05-28,81.1657,81.6352,80.8234,80.9212,3288000
2025-05-29,80.7745,81.9384,80.7745,81.7526,3004400
2025-05-30,81.4396,83.0533,81.2831,82.7795,7861700
2025-06-02,82.2611,83.8749,82.1144,83.8749,3300300
2025-06-03,83.6304,84.002,82.1047,83.6695,3187300
2025-06-04,83.6695,83.7966,82.9653,83.1413,3686800
2025-06-05,83.4739,83.5912,82.5448,83.5423,2838800
2025-06-06,84.3541,85.5375,84.2269,85.4201,3823900
2025-06-09,84.7844,85.0191,81.019,83.3076,6854600
2025-06-10,82.8675,83.3369,82.0362,82.4763,3328100
2025-06-11,82.6817,82.9849,82.0753,82.5448,3499800
2025-06-12,81.8895,83.9922,81.8797,83.914,3526500
2025-06-13,83.5699,84.3859,82.9603,83.1864,3429700
2025-06-16,83.8845,84.4351,83.2651,84.0025,3468600
2025-06-17,83.678,84.3367,82.2622,82.803,3385300
2025-06-18,82.7735,83.6289,82.5965,82.8325,4097200
2025-06-20,83.1963,84.0713,83.0095,83.6977,9182800
2025-06-23,83.5797,84.5039,83.0193,84.3761,3886100
2025-06-24,84.553,84.7005,83.9336,84.0221,3174900
2025-06-25,83.7272,84.0909,82.3606,82.4884,5057000
2025-06-26,82.8325,83.7763,82.5179,83.5404,5110700
2025-06-27,83.5895,84.1893,83.0586,83.1668,8170500
2025-06-30,83.1766,84.2286,83.0586,84.1499,4597200
2025-07-01,84.4154,85.0151,83.5207,84.4252,3622900
2025-07-02,84.1204,84.3859,80.7187,80.9743,5205300
2025-07-03,81.3282,82.2721,81.2102,81.7805,2804200
2025-07-07,81.6625,81.9378,80.9645,81.633,4335100
2025-07-08,81.3971,82.1541,81.1906,81.8001,4205800
2025-07-09,81.869,82.0165,81.2692,81.6723,2852200
2025-07-10,81.4954,81.6134,80.758,81.0726,3287100
2025-07-11,80.5417,81.0726,80.2271,80.404,3324200
2025-07-14,79.9026,80.7875,79.411,80.2566,6953300
2025-07-15,80.0206,80.3942,79.3717,79.706,4796300
2025-07-16,80.2861,80.5515,79.1554,79.6273,4054600
2025-07-17,79.529,79.7846,78.2706,79.6273,3999300
2025-07-18,79.8043,80.1779,79.5094,79.8436,2967400
2025-07-21,79.9616,80.5614,79.4209,79.4209,2928800
2025-07-22,79.5192,80.1976,79.2439,80.0501,3329900
2025-07-23,79.6077,79.6863,76.6385,78.1722,5584000
2025-07-24,77.7102,78.2902,77.307,77.897,6072100
2025-07-25,77.9658,78.949,77.9166,78.7523,4476800
2025-07-28,78.6147,78.8801,77.4545,77.897,4499300
2025-07-29,78.3885,78.7818,77.0121,77.5922,4504400
2025-07-30,77.2481,77.6413,75.557,76.1076,4479500
2025-07-31,75.9208,77.2087,75.9208,76.3239,5026500
2025-08-01,76.0977,76.3042,75.0851,75.7045,4438100
2025-08-04,76.1076,76.9924,75.8126,76.9728,4757900
2025-08-05,77.3267,77.7888,76.7663,77.1202,2788800
2025-08-06,77.7593,77.9756,77.3562,77.7298,4238500
2025-08-07,76.5697,77.0023,73.9937,75.3112,5966900
2025-08-08,75.9699,77.3562,75.4488,76.8155,4170700
2025-08-11,77.366,77.7691,77.0809,77.307,3839900
2025-08-12,77.5528,77.6708,76.6778,77.1596,5093700
2025-08-13,77.1891,78.7326,77.1301,78.5458,4293700
2025-08-14,78.7228,79.0866,78.2706,78.9588,2524100
2025-08-15,79.1063,79.3029,78.6245,78.6638,3437800
