date,open,high,low,close,volume
2025-03-14,202.2157,208.4676,201.5167,207.9359,428000
2025-03-17,207.1384,212.0808,206.528,211.3719,354600
2025-03-18,210.8403,214.5225,208.4183,209.3143,349400
2025-03-19,209.5505,211.1554,208.5857,210.3972,323600
2025-03-20,209.5998,212.514,208.5266,208.7728,364800
2025-03-21,206.8627,208.7235,202.7276,203.6433,1361800
2025-03-24,205.1102,206.8726,201.5265,206.2031,358900
2025-03-25,206.2917,208.3494,205.0413,207.5716,305400
2025-03-26,209.3241,210.988,207.7587,209.0287,251000
2025-03-27,210.6434,210.6434,207.1286,208.2509,336400
2025-03-28,208.9106,208.9106,201.2705,203.1215,384900
2025-03-31,202.9836,208.438,202.9639,206.5083,530400
2025-04-01,206.9907,208.8023,205.0906,208.2903,328300
2025-04-02,205.9274,208.0639,205.5828,207.5125,301800
2025-04-03,201.5166,204.4998,199.5377,200.2761,577400
2025-04-04,195.7374,197.2733,184.0508,184.1198,867100
2025-04-07,180.1028,184.8877,172.2658,178.6063,775700
2025-04-08,185.5572,187.8906,174.678,176.9523,727200
2025-04-09,174.294,191.6023,173.9002,190.2535,932300
2025-04-10,189.2689,191.2675,185.0649,187.3786,551600
2025-04-11,185.2914,187.0635,180.5655,186.6303,493000
2025-04-14,189.5151,193.4729,187.4278,191.9666,516000
2025-04-15,192.1832,194.7233,190.2239,190.8048,329600
2025-04-16,192.1635,192.193,185.9805,187.3786,435200
2025-04-17,188.6388,188.757,185.6852,186.0495,432700
2025-04-21,185.5473,185.5473,178.941,181.0283,381300
2025-04-22,184.1001,186.7189,183.4502,186.0199,460900
2025-04-23,188.1958,191.1199,186.7485,188.117,351900
2025-04-24,187.3884,190.6276,186.5319,190.2042,277200
2025-04-25,188.757,189.0425,186.4433,187.8807,305000
2025-04-28,188.7668,190.0467,187.0143,189.3181,347300
2025-04-29,189.8793,191.494,187.0045,191.1494,291400
2025-04-30,189.4954,190.2239,185.7147,189.7612,498400
2025-05-01,188.1662,189.9089,187.034,188.6683,281700
2025-05-02,190.6276,194.7036,189.3772,193.975,307100
2025-05-05,192.3407,193.7486,189.4855,193.4434,316000
2025-05-06,192.5376,195.8063,191.9173,194.7627,650600
2025-05-07,199.9217,202.5898,192.9511,194.0144,751300
2025-05-08,194.7331,195.5306,189.7612,191.8583,580200
2025-05-09,191.8583,192.705,190.6374,192.6853,329300
2025-05-12,195.8358,199.203,192.4588,198.947,475300
2025-05-13,199.9414,201.3493,198.3956,199.3211,527400
2025-05-14,198.9273,198.9667,193.0004,193.2563,634800
2025-05-15,193.7585,196.466,192.9708,196.397,434800
2025-05-16,195.9343,199.6755,195.3337,199.203,1065400
2025-05-19,198.4744,201.1425,196.9188,200.2958,429600
2025-05-20,199.9808,200.3549,196.7712,197.5489,499400
2025-05-21,196.3281,196.3281,189.1114,189.6529,822100
2025-05-22,189.8104,191.1592,187.546,190.0368,465200
2025-05-23,188.2942,193.6994,187.2309,193.4828,625300
2025-05-27,193.4828,198.4744,192.0749,197.8935,721200
2025-05-28,197.0173,198.0904,194.3393,194.8808,892600
2025-05-29,195.6488,196.8696,194.2507,196.8696,903400
2025-05-30,195.826,201.0933,194.8316,199.8429,5103900
2025-06-02,197.7951,201.113,196.5644,201.0736,547200
2025-06-03,201.0145,203.5448,197.7163,202.639,658200
2025-06-04,202.6194,203.2987,200.8176,200.8176,592400
2025-06-05,200.5321,203.1313,197.7064,198.2972,506500
2025-06-06,200.2958,201.1524,199.1341,200.3254,390300
2025-06-09,200.6515,200.9085,194.0093,196.3815,355900
2025-06-10,196.4507,196.51,192.7836,193.6633,320700
2025-06-11,193.9599,195.482,192.922,194.2663,353000
2025-06-12,193.5447,196.9746,192.8627,196.8955,334200
2025-06-13,194.8198,197.6566,193.5743,195.8774,461200
2025-06-16,197.2415,199.9003,197.1821,197.6961,352600
2025-06-17,196.767,197.1031,194.7308,195.9763,303400
2025-06-18,196.3716,196.6286,193.09,193.0999,711600
2025-06-20,193.9104,196.4408,193.0307,193.8808,598300
2025-06-23,194.1773,197.4194,192.4377,197.3699,390400
2025-06-24,197.8641,197.8641,195.146,195.7291,290000
2025-06-25,195.4425,195.7094,192.1411,192.3487,324800
2025-06-26,193.0406,194.5331,191.6964,193.9401,360100
2025-06-27,193.7918,196.0158,192.3981,194.5628,484400
2025-06-30,194.721,195.8082,193.8511,195.2053,419300
2025-07-01,194.8396,197.795,194.3058,195.3733,417600
2025-07-02,195.1163,196.6484,188.4345,189.5613,553200
2025-07-03,191.0539,191.8644,190.2335,191.2318,264300
2025-07-07,190.362,193.2383,187.9798,189.3241,462600
2025-07-08,188.3159,190.4905,187.2978,188.0589,397600
2025-07-09,188.5136,188.9683,187.1496,188.2961,295100
2025-07-10,186.9815,188.3159,186.0919,187.7327,248200
2025-07-11,186.7641,187.1397,184.9948,185.3902,256900
2025-07-14,185.3309,189.0078,185.3309,188.8596,377500
2025-07-15,187.4757,189.2055,183.1266,183.1958,327200
2025-07-16,183.522,184.8861,181.8318,183.5912,493200
2025-07-17,183.0674,186.4774,182.7708,185.9041,440200
2025-07-18,186.8333,187.8217,185.7163,185.8943,366000
2025-07-21,185.5878,187.2879,183.6999,183.9471,442400
2025-07-22,184.718,186.4379,183.4133,186.0425,215800
2025-07-23,186.4676,186.9321,183.6209,185.4396,425800
2025-07-24,184.7872,184.9454,182.5237,182.5731,335100
2025-07-25,183.3441,185.3704,183.3441,184.125,271700
2025-07-28,183.5121,184.0459,182.1975,182.7115,315000
2025-07-29,183.8482,184.4116,182.5731,183.0377,350700
2025-07-30,183.097,183.7098,181.2684,182.4249,301000
2025-07-31,182.0196,186.9815,182.0196,185.1332,573400
2025-08-01,184.2732,185.3605,182.8993,184.3226,421700
2025-08-04,185.5878,186.8728,184.8169,186.6949,348300
2025-08-05,187.1595,187.8019,185.8251,186.6455,432600
2025-08-06,193.3075,209.2509,193.3075,207.6101,1072700
2025-08-07,207.106,207.106,198.2991,199.4753,591800
2025-08-08,201.1062,204.111,199.6236,200.9184,402900
2025-08-11,201.6301,203.3895,200.8097,203.3302,429100
2025-08-12,205.7617,207.1258,204.4175,206.9973,404200
2025-08-13,206.9182,211.7813,206.1769,211.119,472900
2025-08-14,210.7928,211.2179,207.3432,210.4666,537400
2025-08-15,212.5028,212.5028,209.834,210.0416,578300
2025-08-18,209.3003,209.3003,206.681,206.7205,471000
2025-08-19,206.5821,211.3463,205.7123,211.2673,372200
2025-08-20,212.3051,213.2936,211.287,212.9081,436600
2025-08-21,211.8999,214.025,211.6528,212.315,305300
2025-08-22,213.0563,215.0826,212.0481,213.4221,393000
2025-08-25,212.2261,212.9081,211.1783,211.4452,260900
2025-08-26,210.6643,212.3842,210.6545,211.7615,438100
2025-08-27,211.722,214.0744,210.5062,213.6395,382700
2025-08-28,213.9262,216.2193,212.4435,216.16,631000
2025-08-29,217.099,217.9886,212.6511,213.1157,625400
2025-09-02,212.4212,213.2347,210.9132,212.8775,508700
2025-09-03,210.6552,213.5621,210.6552,213.195,358400
2025-09-04,214.8717,215.6356,213.6415,214.8022,351700
2025-09-05,214.6633,215.7944,208.9686,209.5044,417200
2025-09-08,209.1075,210.6453,205.903,210.0798,370400
2025-09-09,209.8714,210.6751,209.2365,209.4349,269600
2025-09-10,208.2642,209.6036,206.8852,207.7483,205100
2025-09-11,208.3535,211.7862,207.5301,211.6275,256200
2025-09-12,210.4369,212.2823,210.4369,211.3298,246500
2025-09-15,212.0541,212.5105,206.5776,206.8455,273700
2025-09-16,206.9645,206.9745,203.3929,203.8195,331700
2025-09-17,203.9386,209.6829,203.6707,207.8475,439500
2025-09-18,206.6074,209.4547,206.4288,207.4209,352000
2025-09-19,207.4308,208.5718,206.1808,207.9467,561700
2025-09-22,207.5995,210.0699,205.9725,209.5242,382800
2025-09-23,209.1373,211.935,208.8496,210.8239,371500
2025-09-24,210.3278,213.5621,210.3278,213.4927,441300
2025-09-25,213.6911,214.8618,210.427,214.2963,480400
2025-09-26,215.7943,216.975,213.572,213.9193,362800
2025-09-29,213.9689,214.1475,211.5283,212.7585,224000
2025-09-30,212.5005,215.3082,212.5005,214.8915,254700
2025-10-01,213.443,217.2924,213.443,215.7646,360700
2025-10-02,214.6336,217.6893,214.0681,216.6376,244800
2025-10-03,216.2805,220.0307,215.8142,218.2647,260800
2025-10-06,218.8699,220.1993,217.8976,219.9414,261300
2025-10-07,219.9513,221.8859,214.4649,214.584,365100
2025-10-08,216.0523,217.977,214.9015,217.5305,226500
2025-10-09,218.2647,218.2647,214.8022,216.7269,198200
2025-10-10,218.354,219.1874,215.6356,215.6555,298900
2025-10-13,216.092,217.6198,213.7208,215.7051,262100
2025-10-14,215.8936,221.3403,215.834,220.0604,206400
2025-10-15,219.1675,219.1675,212.4708,213.1553,355100
2025-10-16,210.9231,211.8656,205.7938,206.0617,319300
2025-10-17,206.2998,208.0162,205.3672,207.4606,277600
2025-10-20,207.9567,208.2444,206.2106,207.5003,279800
2025-10-21,207.5102,210.2485,206.9943,209.177,172400
2025-10-22,208.9984,210.6254,207.3812,208.5122,269400
2025-10-23,210.0699,210.675,207.5003,209.9111,252000
2025-10-24,210.5858,211.4687,210.0798,210.1889,196300
2025-10-27,210.3576,211.687,208.3337,210.5163,246600
2025-10-28,209.8318,210.0203,206.1212,206.2502,213800
2025-10-29,205.2284,207.6392,204.4049,206.4685,277600
2025-10-30,207.3614,211.3596,206.9645,210.7544,319100
2025-10-31,209.3258,211.7168,207.9963,210.05,728900
2025-11-03,209.1869,210.8834,206.1411,210.437,297400
2025-11-04,211.31,213.5621,210.2782,212.9073,369100
2025-11-05,218.8898,223.2253,216.1515,216.588,433500
2025-11-06,216.6178,218.4631,214.5641,215.0999,305600
2025-11-07,216.5682,224.0487,214.4451,222.5506,452000
2025-11-10,221.4494,226.3306,219.2072,224.3265,308000
2025-11-11,225.4079,226.3604,222.511,223.7412,217600
2025-11-12,223.1955,226.5588,223.1955,224.6936,261300
2025-11-13,224.9714,226.8366,224.5547,225.2591,228400
2025-11-14,226.5092,230.1899,225.5468,226.787,368000
2025-11-17,226.3703,227.1441,222.0744,223.0566,261800
2025-11-18,222.9971,225.4873,222.5507,224.1678,213800
2025-11-19,223.5527,224.5349,221.4593,222.8483,185000
2025-11-20,226.4496,228.1858,222.5209,224.267,260100
2025-11-21,225.1004,228.0966,224.4654,225.0309,293800
2025-11-24,224.8622,225.15,222.9177,224.2372,291600
2025-11-25,226.2314,227.918,224.2174,226.3703,260600
2025-11-26,226.8068,228.6224,225.8742,226.7175,265700
2025-11-28,226.3504,228.543,225.2591,226.3604,127700
2025-12-01,226.2408,227.7647,224.3087,224.5178,269600
2025-12-02,224.0697,224.0697,220.3049,220.4743,339300
2025-12-03,220.5041,222.1076,218.6417,221.4304,344700
2025-12-04,220.8428,223.98,219.6875,223.3625,368900
2025-12-05,222.6554,223.5518,219.7572,221.9682,264300
2025-12-08,221.2412,221.7391,219.8767,220.8627,233500
2025-12-09,221.5001,225.6731,218.7413,221.5001,288600
2025-12-10,220.8527,223.3327,220.5241,222.0578,368800
2025-12-11,221.6296,227.436,221.6296,227.0974,386700
2025-12-12,229.0693,229.1789,226.7089,228.3722,345100
2025-12-15,230.3541,232.4357,229.0096,232.3161,420300
2025-12-16,233.1727,235.7821,231.1609,232.3759,387300
2025-12-17,232.1568,236.9971,231.2007,236.0809,443600
2025-12-18,235.4833,239.6065,233.7105,237.0668,434000
2025-12-19,236.7581,239.1185,236.7581,238.0529,596700
2025-12-22,237.9034,241.0606,237.8835,240.5328,289000
2025-12-23,241.1005,242.2358,239.5866,240.2738,290600
2025-12-24,238.5409,241.3594,238.3815,240.9112,191700
2025-12-26,241.1702,242.7737,238.4811,239.1584,168600
2025-12-29,239.5468,240.7618,238.3217,240.4631,267000
2025-12-30,240.3535,242.0367,238.3417,241.1503,341900
2025-12-31,240.8614,242.5645,239.7161,239.8754,293200
2026-01-02,238.6604,239.8754,234.2981,236.7581,348900
