date,open,high,low,close,volume
2025-03-14,163.74,166.65,162.47,166.2,1300500
2025-03-17,166.2,171.52,165.29,169.59,1029500
2025-03-18,168.0,170.09,163.44,164.53,1255700
2025-03-19,164.15,168.14,162.58,166.14,1390600
2025-03-20,165.17,170.73,163.9,168.81,1228000
2025-03-21,165.81,169.45,163.24,168.61,1881400
2025-03-24,171.31,172.83,169.62,170.37,726800
2025-03-25,170.92,172.56,168.62,170.0,570900
2025-03-26,168.9,169.29,164.79,166.46,868400
2025-03-27,165.83,167.44,163.44,164.29,659700
2025-03-28,162.25,164.25,157.57,159.21,1330700
2025-03-31,157.1,159.88,153.77,158.86,1387600
2025-04-01,157.06,162.02,156.05,158.08,988100
2025-04-02,155.74,164.13,155.35,163.98,799300
2025-04-03,160.59,160.59,150.8,154.24,1873300
2025-04-04,150.56,155.4,143.0,153.51,2165200
2025-04-07,148.5,162.79,145.12,153.35,2101400
2025-04-08,158.53,158.96,141.74,144.32,1610100
2025-04-09,142.5,167.98,142.5,165.03,2157000
2025-04-10,161.98,165.42,155.83,160.14,1827800
2025-04-11,160.27,165.5,156.78,164.14,1222200
2025-04-14,166.42,168.88,163.45,165.62,1090700
2025-04-15,165.89,167.11,162.27,164.15,734600
2025-04-16,162.71,168.97,162.32,167.18,1527600
2025-04-17,167.36,171.76,165.99,171.41,816200
2025-04-21,168.96,172.24,167.43,172.22,1609400
2025-04-22,174.11,175.4,171.64,173.87,1357600
2025-04-23,180.36,186.28,176.68,177.23,1035100
2025-04-24,178.16,184.46,176.37,184.27,976100
2025-04-25,181.51,184.5,180.0,183.35,1162700
2025-04-28,183.91,185.02,178.92,181.09,1037900
2025-04-29,181.56,181.64,174.27,177.75,1413500
2025-04-30,176.08,177.5,171.18,173.3,2550100
2025-05-01,190.0,191.61,176.5,176.74,2693300
2025-05-02,180.14,185.0,177.13,179.82,1386800
2025-05-05,177.93,180.18,176.94,177.61,920500
2025-05-06,177.66,182.65,172.92,173.07,1447700
2025-05-07,172.66,174.71,168.38,172.22,1171200
2025-05-08,174.01,184.4,174.0,180.93,1016400
2025-05-09,181.12,184.45,181.03,181.88,805000
2025-05-12,192.3,196.38,187.17,189.0,1133400
2025-05-13,189.88,191.66,187.23,190.42,764500
2025-05-14,189.53,190.19,186.03,187.65,855700
2025-05-15,187.24,188.4,184.72,186.72,688300
2025-05-16,187.34,188.36,183.32,188.29,758000
