date,open,high,low,close,volume
2025-03-14,198.7383,203.8478,197.3654,203.4849,2546000
2025-03-17,202.1414,207.0743,201.7393,206.0446,3318900
2025-03-18,205.4169,205.8974,201.0136,201.3764,1894300
2025-03-19,200.6213,201.3372,198.8854,200.9155,1787800
2025-03-20,203.1417,208.8003,203.1417,206.123,2542700
2025-03-21,204.4362,206.8487,201.5431,202.4846,2888200
2025-03-24,203.0044,203.9949,201.7589,203.2986,1240800
2025-03-25,203.838,205.309,202.1315,204.1027,1064600
2025-03-26,205.2796,207.1527,204.0145,205.2404,1086700
2025-03-27,206.5545,206.5545,203.4947,205.2502,1827500
2025-03-28,205.7895,205.7895,200.8468,202.465,2113400
2025-03-31,202.0629,204.4362,201.1312,203.073,1926300
2025-04-01,203.7791,206.123,202.3767,203.4947,1583600
2025-04-02,202.6513,203.5241,199.8367,201.4647,1674700
2025-04-03,198.5618,204.4166,198.3755,201.3568,2010700
2025-04-04,198.4441,199.719,182.6353,182.9687,3352200
2025-04-07,179.6638,183.7729,172.6028,177.0453,4062000
2025-04-08,183.2041,185.9304,177.3199,179.9286,3087000
2025-04-09,176.5255,190.4809,176.5255,189.2746,2844000
2025-04-10,188.1076,190.2455,183.0276,187.1073,1895500
2025-04-11,185.7637,189.6375,183.4199,188.8333,1876900
2025-04-14,190.4711,193.6289,189.6375,191.7263,1631900
2025-04-15,192.4227,194.0997,190.5888,190.7849,1691600
2025-04-16,192.2952,193.9035,189.1962,190.4907,1596100
2025-04-17,192.0206,193.0307,189.4315,190.9026,1905800
2025-04-21,188.3528,189.2648,181.0564,183.3414,1296100
2025-04-22,186.7444,190.726,185.3028,190.1572,1499300
2025-04-23,190.9418,192.6188,189.1275,190.9712,1137700
2025-04-24,190.1572,192.1088,188.6274,191.0987,914300
2025-04-25,190.981,191.0987,186.9504,189.1864,1156100
2025-04-28,189.9219,191.8539,188.6274,191.6381,1504100
2025-04-29,190.981,195.5021,190.9712,194.9529,1462300
2025-04-30,193.9133,194.7763,190.7751,194.5606,2307700
2025-05-01,190.932,194.5508,188.8039,193.4328,2985100
2025-05-02,194.3056,196.8848,192.6188,195.453,1508500
2025-05-05,194.8352,197.6007,193.3543,196.3847,1292700
2025-05-06,196.1395,198.6795,195.7668,198.1597,1119900
2025-05-07,198.8364,200.6115,198.1793,200.1309,1170000
2025-05-08,199.6308,202.1316,198.6403,198.7089,1185900
2025-05-09,198.7089,199.3562,198.2087,198.7285,707200
2025-05-12,199.5719,200.8272,195.502,198.5814,1331600
2025-05-13,198.8756,200.3173,197.4144,198.6501,1077500
2025-05-14,199.0816,199.0816,193.6191,196.7181,1458800
2025-05-15,197.6988,201.6314,196.9731,201.3078,1126000
2025-05-16,201.6608,205.1031,200.7292,205.0246,1111000
2025-05-19,205.2306,206.6133,204.3381,205.8974,1029900
2025-05-20,204.9952,206.172,203.936,204.1027,1058600
2025-05-21,203.2888,203.7987,200.5232,201.347,1516000
2025-05-22,201.4843,201.4843,196.6298,198.6108,1180000
2025-05-23,198.6109,200.1505,197.5321,199.317,821300
2025-05-27,200.788,203.3967,199.1306,203.2496,1095400
2025-05-28,202.5533,203.8576,200.739,200.9743,931100
2025-05-29,201.0038,202.7984,200.0623,202.769,839000
2025-05-30,202.1708,206.329,201.043,205.819,2491900
2025-06-02,204.4067,208.5649,202.9259,208.5355,1567800
2025-06-03,207.8,209.0651,203.2398,207.1821,1263500
2025-06-04,206.986,208.3492,202.72,202.7984,1346600
2025-06-05,203.534,203.534,200.9351,202.6611,1000000
2025-06-06,204.0341,205.1521,203.0436,204.0439,1174000
2025-06-09,203.0979,203.9454,194.3275,197.8455,2427000
2025-06-10,197.1261,197.2838,192.6227,193.5392,1303100
2025-06-11,193.0465,194.2487,190.6913,193.3224,1904000
2025-06-12,193.3125,197.5696,192.7903,197.4021,1088900
2025-06-13,197.4711,198.7324,195.5495,196.0225,1330200
2025-06-16,196.594,198.9098,196.2491,196.7024,1199800
2025-06-17,195.8451,196.4659,194.1304,195.3031,1060800
2025-06-18,192.603,193.8644,188.2179,192.8198,3093600
2025-06-20,193.214,195.5199,192.3567,192.4848,3101500
2025-06-23,193.2041,195.5396,192.0019,195.4411,1448000
2025-06-24,195.1356,195.1356,192.5341,193.1943,1771600
2025-06-25,192.1596,192.8987,187.5675,188.1587,2291400
2025-06-26,189.1836,191.6176,188.4938,191.322,1611600
2025-06-27,191.4501,193.3125,190.1296,192.9085,3249500
2025-06-30,193.6082,198.9886,193.3717,198.3777,2385800
2025-07-01,198.3875,199.0478,194.84,197.2247,1533500
2025-07-02,197.3331,197.3331,189.4693,191.8541,1516100
2025-07-03,192.9972,195.1159,192.5833,195.1159,963000
2025-07-07,194.5148,195.6086,190.7504,191.7063,1597800
2025-07-08,190.3858,192.7114,189.4989,190.5829,2182200
2025-07-09,191.6668,191.6668,189.4201,191.2628,1018300
2025-07-10,190.9672,191.8837,189.8044,191.8442,1379200
2025-07-11,191.0066,191.3614,189.5383,190.5139,1049200
2025-07-14,189.765,193.5293,189.696,193.3421,1287100
2025-07-15,192.268,193.3421,188.6909,189.627,1964400
2025-07-16,190.9672,193.3421,190.3661,192.7705,1448200
2025-07-17,190.4449,191.2136,186.3455,190.2084,2082100
2025-07-18,190.4646,192.0019,190.1,191.253,1617500
2025-07-21,190.6322,192.4158,189.9226,190.1099,1211400
2025-07-22,190.573,194.8203,190.4351,194.5542,1413500
2025-07-23,195.4509,195.579,193.0465,194.7316,1742600
2025-07-24,193.8939,193.9629,191.0165,191.115,1601000
2025-07-25,191.4501,193.8447,191.4501,192.8494,1370900
2025-07-28,192.2778,192.8789,188.7598,189.2033,1583600
2025-07-29,190.6026,191.7161,189.4496,191.0756,1419200
2025-07-30,192.1694,192.1694,188.681,189.4792,1892000
2025-07-31,194.2191,204.0735,193.8053,200.2894,4538200
2025-08-01,199.0576,200.2204,195.3819,196.8601,2041500
2025-08-04,198.5156,200.3682,196.328,200.0726,1531300
2025-08-05,201.0186,204.1819,200.9891,202.5559,1785600
2025-08-06,203.9454,206.7834,202.3785,205.9655,1422200
2025-08-07,206.2316,206.8031,200.9299,202.0139,1213300
2025-08-08,202.8318,204.6155,202.1125,203.7877,1189400
2025-08-11,204.0735,205.256,202.9994,203.4921,843800
2025-08-12,204.1425,204.4972,202.1617,203.7483,1246100
2025-08-13,204.2706,206.9115,203.7286,205.7684,975500
2025-08-14,205.6107,206.675,204.31,205.66,879300
2025-08-15,206.7736,206.7736,203.4822,203.768,1049500
2025-08-18,203.1176,204.7731,202.546,204.0735,922000
2025-08-19,204.1819,207.4042,204.1819,207.3156,1324500
2025-08-20,207.3057,211.6317,207.2367,210.5083,1720000
2025-08-21,209.6412,209.8875,203.4231,203.5413,1991800
2025-08-22,205.1772,205.9655,201.9548,202.5264,1278600
2025-08-25,202.753,202.753,199.0675,199.1364,1068800
2025-08-26,198.2496,200.2204,198.2496,200.2204,1498100
2025-08-27,199.7671,201.4719,199.6489,200.8412,859500
2025-08-28,200.1909,201.2847,199.8755,200.792,1016000
2025-08-29,201.3763,202.8815,201.0098,201.4753,993200
2025-09-02,202.3368,203.1489,200.079,201.3663,1100100
2025-09-03,200.2176,202.624,200.0295,202.5844,1057800
2025-09-04,204.1986,206.4367,203.6341,206.3079,1213900
2025-09-05,205.9217,206.1297,198.851,199.5739,1405000
2025-09-08,199.0887,199.0887,196.0782,198.3658,1536600
2025-09-09,198.6133,199.8215,198.0687,198.1776,1541100
2025-09-10,197.2665,199.0392,196.6526,198.0885,1176100
2025-09-11,197.732,200.792,197.732,200.5048,1293000
2025-09-12,199.6828,200.6038,198.3063,198.445,1136400
2025-09-15,198.5242,199.0887,194.7809,194.979,1542400
2025-09-16,196.1277,196.6228,192.8894,194.3947,1489200
2025-09-17,194.8007,197.1873,194.2957,195.3355,1628100
2025-09-18,197.0685,205.2582,196.2663,203.6836,2215700
2025-09-19,204.3768,204.4858,201.9209,204.0401,3162100
2025-09-22,202.2477,205.0304,202.2477,204.4561,1821900
2025-09-23,203.6638,207.1992,203.6638,205.7137,1241500
2025-09-24,205.2384,207.5557,205.0997,207.3774,967900
2025-09-25,207.3972,208.5559,206.1495,207.7835,1227000
2025-09-26,209.9225,212.1704,209.0015,210.6949,1156600
2025-09-29,210.8831,211.4277,207.9518,209.2293,1146000
2025-09-30,209.5462,213.6064,209.5462,212.5666,1563500
2025-10-01,210.9326,212.3586,208.6054,208.6351,1622600
2025-10-02,208.952,209.1203,206.6248,207.9716,1369400
2025-10-03,207.7438,209.665,207.2982,208.7737,962400
2025-10-06,208.952,209.4174,206.0207,206.8031,1102100
2025-10-07,207.9518,211.2396,206.9615,209.7343,1277000
2025-10-08,210.8039,212.0813,209.0609,210.2889,952500
2025-10-09,210.8236,211.1703,206.2089,206.9615,1103600
2025-10-10,207.2289,208.3479,203.3667,203.6737,990000
2025-10-13,202.5052,204.6838,201.3069,203.644,773500
2025-10-14,204.565,207.8726,204.3273,207.4864,994800
2025-10-15,204.0699,204.4957,196.2168,198.4747,2509100
2025-10-16,195.1869,197.2071,192.7904,192.9885,2560900
2025-10-17,193.1271,194.8304,192.3943,193.9689,1081900
2025-10-20,194.2164,194.6621,191.1564,191.909,1139700
2025-10-21,193.3945,193.3945,191.81,191.8595,1241000
2025-10-22,192.0774,193.0677,190.0077,192.8993,1549500
2025-10-23,194.2065,194.2065,191.7209,192.5726,965800
2025-10-24,191.9883,192.9389,191.1861,191.3149,1125700
2025-10-27,191.1366,191.919,189.9978,191.3248,1128800
2025-10-28,190.5028,191.196,188.3044,188.9976,942200
2025-10-29,187.9578,188.5519,186.2545,188.1558,1302200
2025-10-30,189.057,191.1366,189.0075,190.0176,1127200
2025-10-31,189.3541,190.3543,188.235,189.6611,1425900
2025-11-03,189.8096,190.176,186.3238,189.3937,1706800
2025-11-04,190.3345,193.5232,189.5719,193.3648,1565500
2025-11-05,193.9391,195.5335,192.5923,192.8597,1381000
2025-11-06,200.0394,200.7722,192.8201,196.0881,1697500
2025-11-07,197.3854,201.1881,197.0685,200.3265,1360100
2025-11-10,198.7718,202.8617,198.4351,201.911,1133700
2025-11-11,202.8815,205.5751,201.3366,205.3473,921000
2025-11-12,205.278,207.5062,204.6937,207.1794,961500
2025-11-13,207.5458,209.6947,205.9514,209.1105,1669700
