date,open,high,low,close,volume
2025-03-14,174.55,175.575,172.3309,175.2764,1336200
2025-03-17,174.2236,178.7243,174.2236,177.4725,688200
2025-03-18,176.6379,177.4526,174.482,174.939,895200
2025-03-19,175.2172,176.8267,174.2237,175.9226,1052200
2025-03-20,174.5416,176.2504,173.866,174.79,864200
2025-03-21,173.3096,174.5118,171.561,173.3891,1422600
2025-03-24,175.4258,178.0388,175.3364,177.6613,1676500
2025-03-25,178.3269,178.8733,176.7869,178.5355,1166300
2025-03-26,177.6911,179.1714,174.8297,175.7537,933800
2025-03-27,175.6543,176.3498,173.5381,174.4223,1586500
2025-03-28,173.7567,174.631,168.9183,169.2859,1101500
2025-03-31,167.9049,171.2232,165.8682,171.0245,1498800
2025-04-01,170.6271,171.9584,169.0673,170.7761,903200
2025-04-02,167.7757,171.8988,167.6664,171.6008,2488100
2025-04-03,165.8284,166.4345,159.9766,160.4435,1873000
2025-04-04,155.3965,155.9727,150.1606,151.6708,2753000
2025-04-07,148.4816,155.615,144.0803,152.3364,3049700
2025-04-08,156.2409,156.5688,147.7563,150.4289,2260000
2025-04-09,148.6902,161.3178,147.339,159.9567,3174800
2025-04-10,156.7675,158.4366,152.4755,156.3999,1688900
2025-04-11,155.4163,158.377,152.5351,157.92,2007500
2025-04-14,159.917,161.6755,158.5558,160.3144,1133500
2025-04-15,160.4734,161.7153,158.8142,159.1718,758200
2025-04-16,157.2841,159.9468,156.4098,157.4928,1070100
2025-04-17,158.5658,159.4897,156.3999,156.7874,1698800
2025-04-21,154.9891,155.317,152.7338,154.244,1075900
2025-04-22,154.542,158.8042,154.542,158.6155,1659200
2025-04-23,162.9969,164.1792,160.4535,161.139,1755400
2025-04-24,161.1489,166.6133,161.139,166.1563,1253400
2025-04-25,165.8086,166.9114,164.6461,165.6099,711100
2025-04-28,165.9079,167.3584,164.0003,165.2124,955000
2025-04-29,165.1031,167.7956,164.666,166.7126,948500
2025-04-30,165.6496,168.6798,163.7818,168.4811,1654600
2025-05-01,166.8319,168.5606,162.1425,166.1761,1861600
2025-05-02,168.7394,169.6336,168.1632,168.968,1160300
2025-05-05,168.0241,169.9912,167.9049,169.1666,1476400
2025-05-06,167.8552,169.0176,166.663,166.7623,777600
2025-05-07,168.0936,169.3455,167.3982,168.6103,840900
2025-05-08,169.5541,172.5943,169.3654,170.4582,1145000
2025-05-09,171.0841,172.0975,169.8422,170.6371,1257900
2025-05-12,176.4293,179.3403,175.3762,178.2176,2214400
2025-05-13,178.8137,181.1485,178.8137,179.3304,1582700
2025-05-14,179.0025,179.231,177.5619,178.1977,1254800
2025-05-15,178.0587,179.5787,177.6314,179.0423,1335200
2025-05-16,179.688,181.6949,178.9826,181.5658,1167600
2025-05-19,179.7576,181.2578,179.7576,180.7014,949400
2025-05-20,179.2906,180.2146,179.1416,179.6284,832800
2025-05-21,178.2673,178.8336,176.1014,176.5286,1270600
2025-05-22,175.853,178.6051,174.7105,177.383,788900
2025-05-23,174.9887,177.3532,174.2435,176.4889,1108500
2025-05-27,178.5455,179.7973,176.8466,179.6384,1178400
2025-05-28,180.145,180.4729,177.3731,177.8103,941800
2025-05-29,178.5852,179.39,177.4427,178.8733,1269900
2025-05-30,178.8733,179.2708,176.7174,177.5818,2078700
2025-06-02,176.6876,176.6876,173.7468,175.1774,1220800
2025-06-03,175.0781,176.7373,174.4721,176.5585,2114800
2025-06-04,177.4427,177.4427,175.6941,176.0617,1106000
2025-06-05,176.9459,177.4327,174.8396,175.7835,1112300
2025-06-06,177.4427,178.1878,176.7373,177.1943,1041000
2025-06-09,177.5917,178.3865,176.9062,177.4824,877200
2025-06-10,177.6513,178.8733,176.9161,178.7044,1154900
2025-06-11,178.5156,180.5524,177.5321,179.7277,1843700
2025-06-12,177.7507,179.231,177.2738,178.8038,1042200
2025-06-13,176.8531,178.1668,175.5295,176.1167,1261500
2025-06-16,177.8583,178.3261,176.674,177.7787,1450000
2025-06-17,176.9825,177.291,174.2357,174.7134,967900
2025-06-18,174.6736,178.0474,174.5342,176.9129,1332700
2025-06-20,178.7341,178.963,175.3901,175.8479,2794300
2025-06-23,175.3404,176.6342,173.6385,176.4351,1461300
2025-06-24,176.4351,178.545,175.8181,178.3858,1523700
2025-06-25,178.1967,178.2664,176.047,177.1517,1115900
2025-06-26,177.8384,179.9682,177.4105,178.963,1075000
2025-06-27,179.5801,180.6151,178.8137,179.6696,1601300
2025-06-30,179.6497,180.5952,178.7142,180.0976,1600800
2025-07-01,179.3213,183.0932,178.6545,182.1876,1094500
2025-07-02,181.5307,182.2573,180.7544,181.1227,977700
2025-07-03,182.1279,183.4913,181.2322,183.3122,719300
2025-07-07,182.9539,183.1629,180.3165,181.5009,1558800
2025-07-08,181.3018,182.3269,179.9682,180.4658,1827300
2025-07-09,181.9587,182.2075,179.2318,181.4113,1168600
2025-07-10,181.3416,182.8046,180.3364,180.5753,1152400
