date,open,high,low,close,volume
2025-03-14,471.8405,482.0773,469.8662,479.5897,565000
2025-03-17,480.0043,488.7998,480.0043,486.3813,573600
2025-03-18,486.4701,486.5787,480.0438,482.6498,513100
2025-03-19,482.6498,495.7988,478.7901,492.6201,369100
2025-03-20,486.1246,490.8037,483.3409,486.7465,436200
2025-03-21,482.8572,488.4346,476.9441,486.3122,1409500
2025-03-24,494.1601,503.1037,489.4316,501.623,448300
2025-03-25,502.541,506.3909,501.3268,504.0119,433400
2025-03-26,506.1244,511.07,498.2765,498.622,348200
2025-03-27,495.6112,495.6112,487.4376,492.4326,337800
2025-03-28,489.5402,491.6823,471.5147,476.026,460900
2025-03-31,468.9876,481.3566,462.7488,477.8917,635600
2025-04-01,477.4081,483.8838,473.2818,482.4031,502500
2025-04-02,476.8948,489.9548,476.8948,488.0101,461000
2025-04-03,463.7459,466.0064,449.3235,449.9553,535200
2025-04-04,433.9732,433.9732,410.2519,416.7671,828100
2025-04-07,405.7011,435.5231,391.0517,422.4531,1146300
2025-04-08,434.6543,444.7135,414.2696,420.5479,661900
2025-04-09,415.6911,470.2611,413.164,466.9245,907400
2025-04-10,453.4399,456.5198,433.3414,450.6561,891900
2025-04-11,445.9277,466.6777,440.3502,462.7488,612200
2025-04-14,467.6648,475.9471,464.9897,468.3559,404200
2025-04-15,470.646,476.1346,468.8987,470.3203,372600
2025-04-16,466.2137,469.5898,452.7094,457.2701,617400
2025-04-17,458.1289,465.6807,457.1122,458.5929,492200
2025-04-21,454.8022,455.7795,440.2219,445.3551,402200
2025-04-22,453.3906,463.4398,453.3906,461.6432,345900
2025-04-23,474.7131,486.5392,461.9985,465.7892,909100
2025-04-24,480.7545,486.2135,455.5821,467.9906,770600
2025-04-25,464.4072,468.8692,458.2473,459.9551,528400
2025-04-28,460.4191,467.1317,457.4477,462.3638,457000
2025-04-29,458.3362,466.0854,454.6146,465.5918,524600
2025-04-30,456.0657,465.4536,450.9918,464.9699,480100
2025-05-01,464.6836,471.6431,458.8989,464.4862,345400
2025-05-02,473.8345,479.5107,470.4288,478.257,341500
2025-05-05,476.603,481.2481,473.8793,476.2068,314300
2025-05-06,467.2435,476.4841,467.2435,471.1061,331100
2025-05-07,474.5726,479.079,471.9876,476.1969,429000
2025-05-08,479.6436,489.3003,477.3854,484.3184,390300
2025-05-09,486.9629,489.7856,484.3877,487.468,394000
2025-05-12,506.8109,512.1989,505.1272,510.7825,595300
2025-05-13,511.2679,518.7655,509.1187,514.7146,393200
2025-05-14,515.2197,520.5284,514.0708,516.6756,567000
2025-05-15,513.2785,515.7843,510.7232,514.5759,298200
2025-05-16,515.0216,519.736,512.0602,519.0922,338200
2025-05-19,513.7935,519.5776,512.8823,517.2402,338000
2025-05-20,512.912,517.369,511.5156,513.9223,422800
2025-05-21,508.9503,513.437,505.157,506.2266,846600
2025-05-22,505.8998,508.4155,501.9975,503.3445,487000
2025-05-23,494.8566,502.9186,494.8566,499.6304,379400
2025-05-27,507.9697,513.0011,503.5623,512.5356,392800
2025-05-28,512.912,513.2091,504.6915,505.2164,409800
2025-05-29,507.7717,508.8414,502.978,505.0381,438300
2025-05-30,503.3841,505.6819,500.1949,504.3646,933000
2025-06-02,500.185,506.0087,495.9262,505.2461,495200
2025-06-03,504.0972,509.5148,498.9965,508.3263,404500
2025-06-04,509.0493,509.495,501.1359,502.6611,640900
2025-06-05,504.2062,506.6228,498.5508,503.5228,531300
2025-06-06,511.1392,514.566,508.257,513.6647,326100
2025-06-09,516.2794,516.537,508.0985,513.1299,402200
2025-06-10,512.2386,514.5066,508.3462,511.7235,455700
2025-06-11,510.3666,514.2788,508.5937,510.7133,335800
2025-06-12,504.84,511.9216,502.1956,510.6142,350300
2025-06-13,503.4633,505.9889,495.2923,496.877,393300
2025-06-16,502.7007,512.1791,501.532,507.9995,359400
2025-06-17,503.7506,507.3458,499.3729,501.8885,340900
2025-06-18,501.839,509.1186,500.4326,501.5815,541300
2025-06-20,504.5924,506.0978,498.9074,505.464,976400
2025-06-23,506.7317,514.982,501.8985,513.9916,504800
2025-06-24,519.2408,522.6083,515.299,516.3488,537100
2025-06-25,518.1018,519.3992,512.7238,519.0031,357000
2025-06-26,519.0131,521.9546,512.1692,520.4492,616500
2025-06-27,522.3904,528.4518,518.1613,523.0144,655100
2025-06-30,524.7674,529.2243,522.7667,528.6201,442100
2025-07-01,525.8073,535.8205,521.2316,533.4435,402000
2025-07-02,534.1962,537.7618,530.2742,537.2468,520900
2025-07-03,536.6624,540.0299,533.5128,538.0985,264100
2025-07-07,538.7919,543.219,528.234,531.2844,455900
2025-07-08,533.3147,534.7311,529.9968,530.9377,385600
2025-07-09,535.3055,536.712,529.7294,534.3052,350600
2025-07-10,536.712,542.4961,535.573,537.3162,407700
2025-07-11,533.3643,534.3449,529.5512,531.1755,358400
2025-07-14,530.6902,535.6918,530.1751,533.8199,355900
2025-07-15,531.9381,531.9381,517.3986,517.666,559700
2025-07-16,519.5182,522.5291,511.3373,519.8154,429600
2025-07-17,518.3098,535.2362,518.3098,534.6519,477300
2025-07-18,536.811,539.495,534.2061,539.3365,406200
2025-07-21,539.5049,539.7823,528.7886,529.3927,329200
2025-07-22,530.5317,532.7503,525.7677,531.4429,305800
2025-07-23,533.6911,534.3745,528.531,531.8192,462000
2025-07-24,514.1995,514.467,496.1144,512.1494,864500
2025-07-25,511.7532,522.3607,511.0995,516.0715,465200
2025-07-28,516.1804,525.0645,512.3474,513.4865,456100
2025-07-29,517.6759,519.8944,512.3375,516.0021,420000
2025-07-30,519.2111,521.3108,511.0301,514.774,483600
2025-07-31,513.2191,520.3601,509.812,513.229,553300
2025-08-01,503.4336,504.1666,491.9051,496.7185,496000
2025-08-04,500.057,506.0682,500.057,503.0378,306400
2025-08-05,506.0285,508.8205,499.8583,501.7958,267300
2025-08-06,503.3955,505.8894,500.7625,505.174,349800
2025-08-07,506.6843,508.0952,494.3637,495.2579,399600
2025-08-08,498.6262,502.0045,496.2913,501.7263,331600
2025-08-11,503.0676,506.108,500.8221,503.4055,356900
2025-08-12,506.734,513.8481,502.2032,513.6891,371200
2025-08-13,515.7956,517.7331,494.8208,505.9987,625200
2025-08-14,504.9554,512.7254,500.5737,510.4004,467300
2025-08-15,511.702,512.3478,499.5205,499.8583,424800
2025-08-18,498.2189,503.167,497.9605,502.392,365800
2025-08-19,501.2792,505.4026,500.9314,503.0179,338700
2025-08-20,501.607,503.8227,498.2387,502.1634,443000
2025-08-21,500.4048,502.2429,496.0131,501.9945,305000
2025-08-22,505.4026,517.445,502.8888,513.6097,441900
2025-08-25,513.1824,514.8914,505.5615,508.2144,350000
2025-08-26,505.79,513.6891,505.3528,513.5798,466600
2025-08-27,513.1625,517.9616,512.5962,514.9411,273900
2025-08-28,515.8353,516.6699,512.2187,513.3215,353100
2025-08-29,513.868,518.4882,510.2315,511.5132,418800
2025-09-02,506.4459,509.5657,500.375,509.5359,384700
2025-09-03,507.0916,510.609,498.5765,503.9519,418100
2025-09-04,506.7241,509.7545,502.7398,508.6218,454100
2025-09-05,508.2244,508.6019,484.5172,486.1467,678100
2025-09-08,488.1935,490.4887,482.2021,489.2864,594100
2025-09-09,487.5476,495.3374,484.9742,490.1807,434900
2025-09-10,489.664,493.9563,486.1268,488.8492,415400
2025-09-11,489.1672,497.9208,487.339,497.7618,465000
2025-09-12,498.05,498.348,492.7044,493.8967,302100
2025-09-15,495.397,495.397,483.305,484.5271,632800
2025-09-16,484.9941,485.9678,480.5428,483.0168,576300
2025-09-17,483.7919,490.2701,479.3207,483.0566,771200
2025-09-18,485.5505,492.2871,484.5967,488.2432,561200
2025-09-19,487.8557,487.9351,483.2255,486.3851,1501000
2025-09-22,484.5271,492.8534,481.2781,491.1941,551400
2025-09-23,490.3694,497.5134,487.1701,490.9656,390000
2025-09-24,491.3631,493.5589,486.4746,488.74,376700
2025-09-25,487.8557,493.072,485.1332,488.7996,382300
2025-09-26,496.798,502.3224,493.8371,496.0926,625200
2025-09-29,496.6192,497.8015,493.4893,496.3906,478000
2025-09-30,496.023,498.517,485.4412,488.1041,743800
2025-10-01,486.564,486.6435,478.0886,483.4839,508700
2025-10-02,484.08,491.2836,484.08,487.5179,490100
2025-10-03,487.5576,490.6476,483.3646,488.8492,455400
2025-10-06,488.73,492.9528,485.6598,490.6476,350600
2025-10-07,493.8868,497.2749,490.9756,494.6022,529000
2025-10-08,495.2182,495.2182,486.6832,487.031,540700
2025-10-09,490.4788,492.4461,484.7556,488.2332,324600
2025-10-10,490.0714,492.9826,475.5053,476.3597,460600
2025-10-13,483.0169,484.2191,477.2341,478.7245,404100
2025-10-14,474.7402,489.3361,474.7402,483.4043,448300
2025-10-15,487.0807,490.5284,475.4556,478.188,500500
2025-10-16,479.1021,481.2582,461.0186,464.7347,600100
2025-10-17,465.0526,467.6956,460.035,467.2385,1065300
2025-10-20,469.0072,473.6671,469.0072,469.653,761800
2025-10-21,468.5998,478.6351,468.5998,476.2902,532500
2025-10-22,476.3299,478.7543,469.1065,469.7225,583600
2025-10-23,473.5479,476.6081,469.4244,475.0879,374500
2025-10-24,477.3732,479.7479,474.7203,476.1114,309700
2025-10-27,480.3639,483.464,477.6017,481.5265,488800
2025-10-28,480.3142,484.537,477.1149,481.437,429700
2025-10-29,474.8892,480.2249,472.8225,475.4755,676700
2025-10-30,459.8065,463.2145,448.1317,451.2019,1265300
2025-10-31,455.7128,455.7128,439.3682,449.8705,1003200
2025-11-03,448.3404,452.742,444.9721,449.483,826500
2025-11-04,447.8436,455.1167,445.5881,449.1054,532400
2025-11-05,448.7279,459.5481,446.4724,456.1302,593300
2025-11-06,454.9477,459.8462,449.6519,454.59,514400
2025-11-07,450.7746,459.6276,447.7839,458.475,697100
2025-11-10,459.1231,460.3595,452.064,457.9466,467500
2025-11-11,458.4052,464.6269,456.6504,463.57,501600
2025-11-12,466.3817,473.2713,464.7565,469.1535,393900
2025-11-13,466.5412,469.3329,456.7701,458.0663,635600
2025-11-14,457.9566,463.2709,453.4997,456.6504,660700
2025-11-17,455.2645,456.6604,436.0912,439.5011,1065700
2025-11-18,434.7452,444.5761,429.8596,441.5052,908600
2025-11-19,442.8213,449.1725,441.1363,448.4746,608200
2025-11-20,454.776,458.6445,439.9498,440.3287,706600
