date,open,high,low,close,volume
2025-03-14,82.0,84.25,81.8,83.51,8580100
2025-03-17,83.88,85.74,83.77,85.09,6639600
2025-03-18,83.51,84.84,83.23,83.99,9528700
2025-03-19,84.43,85.0,82.35,84.42,10323000
2025-03-20,83.14,84.58,82.81,82.97,7534400
2025-03-21,81.64,83.84,80.75,83.13,10786500
2025-03-24,85.67,87.64,85.31,87.51,10403100
2025-03-25,87.51,88.369,86.66,86.94,7780200
2025-03-26,85.74,86.035,80.01,81.66,14156000
2025-03-27,80.25,81.05,78.0,78.96,12678600
2025-03-28,79.44,80.23,77.07,77.94,9783800
2025-03-31,75.22,77.68,74.53,77.48,10768100
2025-04-01,77.15,78.55,75.907,78.49,6956400
2025-04-02,75.725,81.21,75.5,80.16,7163700
2025-04-03,73.22,75.55,71.14,71.27,19579700
2025-04-04,67.52,68.8,62.42,64.37,21792400
2025-04-07,59.8,70.69,59.43,68.17,20012600
2025-04-08,72.64,74.46,67.785,69.5,21129700
2025-04-09,68.91,77.65,68.59,76.0,22451400
2025-04-10,74.0,74.5,69.89,72.65,12227000
2025-04-11,72.99,73.8,70.62,72.67,11227300
2025-04-14,76.5,76.78,73.18,73.59,10648400
2025-04-15,73.17,74.01,72.41,73.2,9119500
2025-04-16,69.125,73.134,69.125,71.87,8003100
2025-04-17,72.51,72.51,70.41,71.2,8567100
2025-04-21,68.68,69.3,66.59,67.67,9472800
2025-04-22,67.67,69.26,67.16,68.67,8795200
2025-04-23,73.21,73.64,70.36,70.76,11589100
2025-04-24,71.56,75.98,71.56,75.29,11772000
2025-04-25,76.41,79.0,76.01,77.91,12462700
2025-04-28,76.95,79.25,76.88,78.31,7531800
2025-04-29,79.405,81.11,78.85,80.73,11766700
2025-04-30,78.07,82.555,77.72,82.27,12433000
2025-05-01,87.77,89.34,86.37,87.84,16458000
2025-05-02,89.1,92.02,89.09,91.02,11102200
2025-05-05,89.7,91.57,89.44,90.38,7358600
2025-05-06,87.42,92.12,87.04,90.77,14475300
2025-05-07,85.88,87.38,82.8,86.45,17846700
2025-05-08,87.52,88.69,86.62,87.27,9722100
2025-05-09,88.1,88.49,85.37,86.52,8270900
2025-05-12,92.71,92.87,90.36,92.32,9793600
2025-05-13,92.53,97.85,92.26,97.25,12100800
2025-05-14,99.15,99.47,96.421,98.22,11725400
2025-05-15,95.34,96.42,94.54,96.07,8292100
2025-05-16,96.62,96.78,95.36,96.42,5900000
2025-05-19,94.43,96.9,93.614,96.7,6161700
2025-05-20,95.58,95.97,94.68,95.67,5882800
2025-05-21,92.77,95.41,92.195,92.43,8339500
2025-05-22,92.43,93.44,91.4,92.56,5523400
2025-05-23,90.0,91.63,89.54,91.2,7452500
2025-05-27,92.9,93.112,91.89,92.49,7884100
2025-05-28,93.09,93.545,92.325,92.79,5570900
2025-05-29,90.7,90.7,86.26,86.37,17909400
2025-05-30,85.94,86.7,83.858,86.64,16492800
2025-06-02,86.31,89.82,86.275,89.78,9415000
2025-06-03,90.46,94.91,90.02,94.5,12112700
2025-06-04,94.77,96.36,94.67,94.94,9528000
2025-06-05,95.65,96.555,94.29,95.18,7932600
2025-06-06,96.11,97.63,95.26,97.25,6622800
2025-06-09,97.98,98.825,96.77,96.8,8000700
2025-06-10,97.0,97.471,92.25,93.7,8785700
2025-06-11,92.725,94.38,91.25,94.21,9307500
2025-06-12,94.3,97.43,94.22,95.77,8765700
2025-06-13,94.5,94.94,92.12,92.35,6217300
2025-06-16,92.7,95.34,92.525,95.09,7734700
2025-06-17,94.3,94.698,89.54,89.68,11797600
2025-06-18,89.88,91.474,89.0,90.24,9164100
2025-06-20,90.84,91.23,85.775,86.25,18552800
2025-06-23,86.44,92.38,85.58,91.95,16234000
2025-06-24,94.65,95.12,92.7,94.97,11279800
2025-06-25,95.64,96.66,94.5,96.31,7883500
2025-06-26,97.33,102.12,97.33,101.59,15262400
2025-06-27,101.65,102.25,98.88,99.39,10396100
2025-06-30,102.0,103.132,101.0,102.31,12519500
2025-07-01,102.31,102.72,97.35,98.91,8685500
2025-07-02,98.12,101.21,97.14,101.13,8326300
2025-07-03,101.33,103.5,101.3,102.52,5296700
2025-07-07,101.8,102.21,100.33,101.47,6245100
2025-07-08,103.04,103.67,100.945,103.39,7297000
2025-07-09,103.85,107.32,103.637,106.28,14511700
2025-07-10,106.1,106.55,102.678,106.29,9371000
2025-07-11,106.23,109.45,105.68,108.57,12954500
2025-07-14,108.225,109.89,106.25,108.37,8871000
2025-07-15,108.5,109.2,106.35,107.37,7456400
2025-07-16,107.35,108.57,104.681,108.3,6384000
2025-07-17,108.22,112.55,108.22,111.98,8587100
