date,open,high,low,close,volume
2025-03-14,18.304,18.6844,18.1614,18.6463,5823500
2025-03-17,18.7414,19.1978,18.7414,19.0457,7030200
2025-03-18,19.2549,19.3785,18.7319,19.1788,5968700
2025-03-19,19.2073,20.0061,19.1788,19.7874,8175600
2025-03-20,19.6352,19.8634,19.426,19.5592,5268700
2025-03-21,19.3975,19.6257,19.2359,19.5972,12391700
2025-03-24,19.6447,20.0821,19.5687,19.8159,4674400
2025-03-25,20.0061,20.2343,19.7208,19.8634,5973200
2025-03-26,20.0821,20.4339,19.9775,20.0631,5651400
2025-03-27,20.0821,20.2818,19.8064,20.1582,4516100
2025-03-28,20.1392,20.1867,19.6923,19.892,6917500
2025-03-31,19.6733,20.0821,19.5687,19.987,5482500
2025-04-01,19.911,20.1582,19.6542,20.0916,5874700
2025-04-02,19.8254,20.2533,19.7113,20.1962,6641300
2025-04-03,18.789,18.808,16.8017,16.8682,12814200
2025-04-04,16.0505,16.1551,14.1298,14.434,19932800
2025-04-07,14.1202,15.2423,13.6638,14.2248,16885300
2025-04-08,14.6812,14.7763,13.0553,13.3405,13389900
2025-04-09,13.0458,16.0885,12.9127,15.8888,16533000
2025-04-10,14.938,15.0521,13.4642,13.8825,23757700
2025-04-11,13.7779,14.4626,13.4071,14.3009,10997500
2025-04-14,14.6622,14.7478,14.0822,14.453,11485000
2025-04-15,14.4245,14.7763,14.0822,14.1583,11557200
2025-04-16,14.2153,14.9665,14.1107,14.6147,8015000
2025-04-17,14.8904,15.4705,14.8524,15.3183,7370500
2025-04-21,14.8619,14.9095,14.4055,14.7383,7766800
2025-04-22,15.1249,15.5694,14.9896,15.3278,7871400
2025-04-23,15.5888,16.043,14.8929,15.1249,14371500
2025-04-24,15.4341,15.7917,15.1829,15.7144,6879800
2025-04-25,15.4921,15.9947,15.4921,15.8014,4636600
2025-04-28,15.8111,16.0913,15.7531,15.9947,4924500
2025-04-29,15.6758,15.9174,15.4535,15.6951,5756000
2025-04-30,15.4728,15.4728,14.8156,15.0186,8149400
2025-05-01,14.9219,15.898,14.9219,15.6758,8845700
2025-05-02,15.869,16.0333,15.4921,15.9077,6772800
2025-05-05,15.5598,15.5888,14.9606,14.9799,9149000
2025-05-06,15.1345,15.5018,15.1152,15.2022,7390100
2025-05-07,15.2505,15.2892,14.69,14.9606,8299600
2025-05-08,15.3762,15.8207,15.0669,15.6371,12759000
2025-05-09,15.9464,16.4199,15.7627,16.159,7697100
2025-05-12,17.2994,17.6666,16.9805,17.1158,8596400
2025-05-13,17.1834,18.1015,17.1061,17.8406,8695200
2025-05-14,17.6376,17.8309,17.4443,17.5603,8031400
2025-05-15,17.0674,17.2027,16.7872,17.1641,17476200
2025-05-16,17.2897,17.2897,16.7195,16.9998,6012600
2025-05-19,16.7485,16.7678,16.3813,16.7388,4781200
2025-05-20,16.8548,16.8548,16.5842,16.6712,4577700
2025-05-21,16.6422,16.6712,16.13,16.1493,6219500
2025-05-22,15.9754,16.2943,15.6081,16.1783,5043500
2025-05-23,15.7337,16.3136,15.7047,16.2846,6822200
2025-05-27,16.5262,16.7485,16.188,16.7292,4525200
2025-05-28,16.9225,16.9998,16.5359,16.6035,4641100
2025-05-29,16.8645,16.8645,16.4682,16.7582,4838700
2025-05-30,16.6229,16.6905,16.3136,16.4392,7731500
2025-06-02,17.1061,17.1931,16.6615,16.7485,6342500
2025-06-03,16.7968,17.7246,16.4586,17.657,5999000
2025-06-04,17.657,18.1015,17.1737,17.3187,6289200
2025-06-05,17.4637,17.541,17.1544,17.2511,5514200
2025-06-06,17.6086,18.0532,17.4927,17.8793,6673600
2025-06-09,17.9566,18.3625,17.8696,18.0049,7972800
2025-06-10,18.1982,19.1356,18.1982,18.6331,10103200
2025-06-11,18.8457,19.1646,18.4301,18.952,8856300
2025-06-12,18.6717,19.3579,18.3818,19.2806,8324400
2025-06-13,20.1891,20.392,19.5029,20.305,13081800
2025-06-16,19.9378,20.2857,19.4449,19.8121,10386600
2025-06-17,20.0248,20.624,19.7155,20.0827,11389600
2025-06-18,20.0634,20.5563,19.5609,19.6285,7439700
2025-06-20,19.7445,19.8218,19.0776,19.2999,14423600
2025-06-23,19.5319,19.5995,17.7536,17.7729,16563000
2025-06-24,17.4057,17.8599,17.3284,17.57,10156600
2025-06-25,17.4927,17.5893,17.1448,17.2027,6790800
2025-06-26,17.338,18.0532,17.2801,17.8309,6583500
2025-06-27,17.8116,18.2175,17.657,17.9372,8122600
2025-06-30,17.8599,17.9662,17.5507,17.6763,5266800
2025-07-01,17.7439,18.5751,17.5313,18.3045,7076900
2025-07-02,18.6427,18.9327,18.2658,18.836,6496800
2025-07-03,18.9327,19.0003,18.7394,18.8747,3506100
2025-07-07,18.778,19.1646,18.3915,18.7587,6747800
2025-07-08,18.7297,20.0441,18.7201,19.8121,8222500
2025-07-09,19.8315,19.9764,19.5029,19.7638,5522300
2025-07-10,19.5609,19.8121,19.1646,19.7155,6139200
2025-07-11,19.6382,19.8605,19.4256,19.4352,5445600
2025-07-14,19.3386,19.3676,18.5171,18.8167,5426800
2025-07-15,18.807,18.9713,17.9952,18.0242,7760100
2025-07-16,18.0339,18.1015,17.4443,17.5313,6408300
2025-07-17,17.628,18.2948,17.4733,18.2078,5857500
2025-07-18,18.4978,18.6524,18.0532,18.1885,5363400
2025-07-21,18.2948,18.4011,17.8503,17.9759,5568100
2025-07-22,18.0641,18.5147,18.0641,18.3579,5846800
2025-07-23,18.4657,18.9849,18.3481,18.8086,4991700
2025-07-24,18.7302,19.1808,18.4853,18.9065,5281000
2025-07-25,18.9555,19.0829,18.4559,18.7106,4360000
2025-07-28,19.0045,19.2984,18.9359,19.171,6239700
2025-07-29,19.1024,19.4747,18.7596,19.2788,6102700
2025-07-30,19.122,19.22,18.7204,19.0829,7927100
2025-07-31,18.789,19.269,18.7106,18.8967,7390800
2025-08-01,18.7008,18.7498,17.8681,18.0837,7681400
2025-08-04,18.0053,18.2208,17.8387,17.8975,6345400
2025-08-05,17.8877,18.2404,17.6134,18.211,6221500
2025-08-06,18.5245,18.5931,17.4959,17.6918,8698100
2025-08-07,18.9261,19.9645,18.4559,19.0633,22957900
2025-08-08,19.2494,19.7882,18.9261,19.6021,11141000
2025-08-11,19.8078,20.1408,19.3669,19.5139,7647200
2025-08-12,19.6216,20.0723,19.4355,20.0233,5926500
2025-08-13,19.8763,20.2878,19.7882,20.1408,7860500
2025-08-14,20.0233,20.131,19.6412,20.0723,6147400
2025-08-15,20.0527,20.3662,19.9155,20.0625,7108500
2025-08-18,20.0233,20.1115,19.651,19.9939,4675200
2025-08-19,19.9057,20.5229,19.7686,19.8274,5463300
2025-08-20,20.0821,20.3466,19.7588,19.9253,4999300
2025-08-21,19.8078,20.3074,19.5531,20.2094,4544400
2025-08-22,20.3172,21.2576,20.2878,21.1988,7028800
2025-08-25,21.2086,21.9825,21.0323,21.9041,7058300
2025-08-26,21.6396,21.865,21.4437,21.669,4432900
2025-08-27,21.6984,22.3254,21.5025,22.1295,5542200
2025-08-28,22.2274,22.5899,21.9923,22.5115,6853700
2025-08-29,22.5115,22.9327,22.4037,22.7466,5662300
2025-09-02,22.7368,23.3834,22.5801,23.354,6787400
2025-09-03,22.8838,23.207,22.0903,22.2176,8313500
2025-09-04,22.2764,23.0209,21.9923,22.9621,6422300
2025-09-05,22.5311,23.0013,22.1099,22.2862,5994300
2025-09-08,22.5311,22.6095,21.7278,21.8062,7499900
2025-09-09,21.8748,22.4233,21.2086,21.2184,6788800
2025-09-10,21.3556,22.8544,21.1302,22.8152,8443900
2025-09-11,22.4919,22.5801,22.198,22.5115,6920900
2025-09-12,22.825,23.2266,22.3548,22.3744,4929900
2025-09-15,22.5409,22.7662,22.1784,22.4429,5405700
2025-09-16,22.776,24.4609,22.6389,24.0103,11232600
2025-09-17,23.8144,24.4805,23.6381,23.6674,8494900
2025-09-18,23.6479,23.7654,23.158,23.4127,5073300
2025-09-19,23.4519,23.4519,22.8152,23.0013,11096100
2025-09-22,22.7662,23.3344,22.5311,23.1287,6074400
2025-09-23,23.4029,24.4119,23.256,23.5009,7254700
2025-09-24,24.0495,24.4903,23.8928,23.9221,14224300
