date,open,high,low,close,volume
2025-03-14,286.2677,286.9788,282.5664,284.3391,1143900
2025-03-17,284.1735,289.3066,282.43,287.943,1178800
2025-03-18,288.7028,288.7028,281.8748,284.2417,1356200
2025-03-19,284.2417,287.4073,283.0924,286.3651,1028500
2025-03-20,284.6995,286.8034,282.7222,285.3132,860600
2025-03-21,283.2093,284.1054,279.8878,284.0761,2875100
2025-03-24,286.18,287.2807,284.1443,285.8294,1023000
2025-03-25,286.93,286.93,283.5112,285.5469,791000
2025-03-26,285.7807,288.3034,284.6605,287.5924,789000
2025-03-27,287.2905,289.6866,284.7092,287.456,627800
2025-03-28,288.3814,289.2872,284.5047,284.6801,604700
2025-03-31,283.141,288.693,281.0956,287.2612,1150100
2025-04-01,285.0367,288.6822,283.3021,287.5748,702100
2025-04-02,285.5658,289.4564,284.5369,289.0546,751400
2025-04-03,283.4589,285.6246,276.5207,277.53,1067300
2025-04-04,273.0907,273.6395,257.4307,258.195,1762300
2025-04-07,253.8635,261.7916,244.1225,253.9125,2081000
2025-04-08,261.4192,261.4192,238.811,243.6325,1670700
2025-04-09,242.1822,265.5351,239.7322,264.7903,2285500
2025-04-10,262.4089,263.2811,251.9134,256.7937,1854500
2025-04-11,258.4302,265.7801,255.1179,263.6241,1003100
2025-04-14,266.6229,269.014,263.8299,267.1226,818000
2025-04-15,261.6739,265.5743,259.9296,259.9884,1305300
2025-04-16,260.5862,262.7716,253.8145,256.0881,1556800
2025-04-17,258.1461,260.4196,257.1072,257.6364,2233300
2025-04-21,256.1567,257.6364,248.9538,252.4229,1082900
2025-04-22,254.6965,262.0366,253.8929,260.0472,1463900
2025-04-23,264.3003,268.1124,257.6561,259.4396,1001400
2025-04-24,260.5764,263.9377,257.8422,263.4673,813600
2025-04-25,261.3114,263.2223,259.4396,261.7621,668500
2025-04-28,262.3012,264.6531,259.8022,264.0553,916100
2025-04-29,264.7511,267.6126,263.1243,265.5057,1145900
2025-04-30,262.36,266.6326,259.4592,265.6625,2560300
2025-05-01,253.4421,271.5522,248.9244,266.7111,3669700
2025-05-02,267.0442,275.9816,266.809,272.0617,1446900
2025-05-05,268.671,271.2973,266.4562,266.76,960400
2025-05-06,266.7209,269.3276,261.3212,262.2619,1185200
2025-05-07,262.2816,263.6045,257.7247,259.3122,1379200
2025-05-08,261.2036,266.515,259.2142,264.2415,1073400
2025-05-09,264.8981,267.0246,263.9671,265.7017,913100
2025-05-12,272.6595,276.1189,268.3672,270.68,1358300
2025-05-13,270.6702,271.5129,267.8086,268.1614,868300
2025-05-14,266.9659,267.2109,262.7716,266.0447,944300
2025-05-15,265.5743,269.945,264.9765,268.9258,1253500
2025-05-16,268.6808,273.3847,266.9365,273.3455,918200
2025-05-19,270.6604,273.0613,270.6016,271.7775,732600
2025-05-20,271.1798,272.1205,269.3962,270.1508,1050700
2025-05-21,268.4162,269.3864,264.0161,264.2709,605000
2025-05-22,263.4085,264.6531,260.253,263.8495,1016700
2025-05-23,261.6936,265.4273,261.4976,264.4375,527600
2025-05-27,266.1819,269.3178,266.0545,269.063,788100
2025-05-28,269.4942,271.0916,265.9957,266.3191,1454900
2025-05-29,266.8581,268.1909,263.1439,267.7009,1291800
2025-05-30,269.1218,273.8551,265.6821,273.3259,2872900
2025-06-02,273.0613,273.4141,270.0332,273.1201,1346400
2025-06-03,272.6007,277.9514,271.0034,277.6182,1395600
2025-06-04,278.02,279.196,274.1393,274.5999,1401300
2025-06-05,275.2173,277.4516,270.3958,270.6898,1151300
2025-06-06,273.6689,275.8836,272.1107,274.1785,1078600
2025-06-09,273.8061,276.1189,272.1597,274.3157,1101200
2025-06-10,274.6489,276.5696,272.7183,276.2365,1340900
2025-06-11,276.0306,278.0396,274.1001,276.5598,1069800
2025-06-12,275.1683,278.412,273.5513,277.6084,678400
2025-06-13,278.216,279.3234,273.6787,274.7567,932900
2025-06-16,277.4026,278.314,273.1789,274.8155,889400
2025-06-17,274.0805,274.7763,271.464,271.5031,1154600
2025-06-18,271.7971,273.6297,269.6902,269.8666,718800
2025-06-20,270.5232,270.7192,265.0549,265.0843,2050300
2025-06-23,264.5943,267.8968,261.2036,267.7106,1133000
2025-06-24,268.9356,275.3936,267.6616,275.3741,1580700
2025-06-25,275.3741,277.04,274.5999,276.354,1617300
2025-06-26,277.089,277.6672,275.3348,277.334,1462800
2025-06-27,276.501,279.049,275.7856,276.697,2433400
2025-06-30,275.5014,277.6476,272.5321,276.4128,1286100
2025-07-01,274.608,283.277,272.6848,281.5413,1324400
