date,open,high,low,close,volume
2025-03-14,62.2311,62.9654,61.5959,62.5188,7577700
2025-03-17,62.1219,64.0868,62.1219,63.3723,6834900
2025-03-18,62.84,63.9543,62.4918,63.5265,10089400
2025-03-19,65.0487,67.7052,64.3722,67.0685,15969500
2025-03-20,65.775,67.148,65.775,66.0238,7627400
2025-03-21,65.2676,66.7103,64.3125,66.2626,11824100
2025-03-24,67.5062,69.0782,67.4465,68.9489,8475200
2025-03-25,68.8195,69.4662,68.3619,69.1379,5202200
2025-03-26,68.9588,69.2971,66.8297,67.2376,6915300
2025-03-27,66.9292,68.2723,66.3223,67.8246,8033400
2025-03-28,67.1978,67.8147,65.8745,66.2526,9489700
2025-03-31,65.1383,65.7651,64.0737,65.2577,10087900
2025-04-01,65.2378,66.3023,64.7901,65.7352,6361100
2025-04-02,64.5911,67.745,64.5214,67.556,5700500
2025-04-03,64.014,64.4816,61.8649,62.3425,9716800
2025-04-04,60.2333,60.2631,56.8306,58.7906,15461000
2025-04-07,57.2087,62.8599,56.164,60.5914,15572200
2025-04-08,62.8599,63.6459,58.8702,59.7656,12856900
2025-04-09,59.4871,66.7202,58.8602,65.8447,12062100
2025-04-10,63.8051,65.0089,61.6859,63.8051,13077300
2025-04-11,63.0191,65.3074,62.7007,65.0686,6469100
2025-04-14,66.6804,66.8496,64.6707,65.1283,6785500
2025-04-15,65.3373,66.4814,65.0786,65.4268,6183000
2025-04-16,64.3125,65.4567,63.427,64.4418,5633400
2025-04-17,64.6906,65.6656,64.2428,64.7304,6052600
2025-04-21,63.616,64.4219,62.2331,63.2678,6601800
2025-04-22,64.014,65.6457,63.9245,65.4169,7601200
2025-04-23,75.6348,76.0427,70.5607,70.7895,19054400
2025-04-24,72.1128,76.1721,70.4711,75.6448,14920900
2025-04-25,74.7692,76.2517,73.7643,75.4657,14324600
2025-04-28,75.6945,76.2119,74.5802,75.4955,5879700
2025-04-29,75.5453,76.5004,75.2767,76.2915,5443100
2025-04-30,74.2519,76.779,73.9335,76.5601,6624100
2025-05-01,78.0923,78.9479,77.7242,78.2316,8436500
2025-05-02,79.2265,80.5896,78.3609,80.2513,7706800
2025-05-05,79.6941,80.4801,79.2564,79.7638,6762500
2025-05-06,79.2464,79.6444,78.6992,79.3061,6054000
2025-05-07,79.3061,80.6692,78.8684,80.4304,8289300
2025-05-08,81.3955,81.4054,79.7041,80.1717,8622500
2025-05-09,80.5398,81.0274,79.913,80.4702,6917900
2025-05-12,82.9575,84.5494,82.4601,84.0321,9860300
2025-05-13,84.3305,86.3602,84.1912,85.3454,8089100
2025-05-14,85.5642,85.6339,84.9374,85.1961,5751200
2025-05-15,84.9375,85.7135,84.2907,85.5344,5957700
2025-05-16,85.8627,86.5194,85.3951,86.4398,7690600
2025-05-19,84.4101,86.3303,84.4101,85.9722,8316000
2025-05-20,85.5742,86.0816,85.1961,85.8528,4421800
2025-05-21,85.2359,86.7781,84.9573,85.2558,6507700
2025-05-22,85.0071,85.5046,84.3504,84.828,5266000
2025-05-23,83.445,85.5642,83.0172,85.1165,4476000
2025-05-27,86.4696,88.0516,86.3105,87.8824,7492200
2025-05-28,87.7531,88.3302,87.3949,87.6835,6116600
2025-05-29,88.5491,88.6883,87.5044,88.4695,7740200
2025-05-30,88.5889,89.5241,87.7034,89.4743,21458600
2025-06-02,89.0963,89.9221,88.3202,89.9022,6116900
2025-06-03,90.4295,91.4145,90.2504,91.2155,6525700
2025-06-04,91.494,91.9418,91.0165,91.4443,6070300
