date,open,high,low,close,volume
2025-03-14,284.18,298.01,282.39,292.89,10061800
2025-03-17,297.76,314.8,293.51,306.85,8871500
2025-03-18,299.5,302.0,275.72,278.84,8636600
2025-03-19,286.195,300.2,277.5,297.03,6935500
2025-03-20,293.82,315.408,292.405,306.74,8401500
2025-03-21,301.05,315.27,296.13,314.03,9505700
2025-03-24,328.09,342.38,323.5,339.72,9119900
2025-03-25,341.0,352.0,332.04,346.29,7757500
2025-03-26,340.5,343.2,322.1,327.62,8294500
2025-03-27,322.05,326.01,252.51,261.7,20188900
2025-03-28,286.81,286.91,264.07,272.38,15471800
2025-03-31,255.93,268.4,244.0,264.97,10510400
2025-04-01,264.22,284.8,257.0,282.7,7624200
2025-04-02,273.33,299.72,272.9,290.39,7313600
2025-04-03,264.52,268.0,249.08,261.98,8959500
2025-04-04,243.38,245.97,208.51,219.37,16840300
2025-04-07,203.78,253.61,200.5,232.22,13612300
2025-04-08,255.05,261.607,227.2,235.28,11230600
2025-04-09,234.31,280.99,218.287,274.96,13063800
2025-04-10,270.0,278.48,250.51,263.83,10364800
2025-04-11,258.295,263.0,239.0,249.95,8966900
2025-04-14,258.94,262.08,234.39,236.07,7438400
2025-04-15,235.6,248.18,230.52,245.47,6784600
2025-04-16,234.525,241.95,224.4,229.81,7300800
2025-04-17,231.39,239.95,226.1,238.22,5286000
2025-04-21,233.53,238.495,222.02,228.13,5778200
2025-04-22,232.0,243.56,227.05,237.71,6342300
2025-04-23,255.505,268.0,250.1,252.35,7302600
2025-04-24,253.725,275.92,252.0,267.88,6773100
2025-04-25,272.3,278.88,266.505,276.83,5770400
2025-04-28,278.64,286.828,273.5,284.98,6313800
2025-04-29,286.5,291.39,281.27,288.88,4797100
2025-04-30,247.91,273.81,246.0,269.31,9277900
2025-05-01,282.0,288.25,276.8,279.49,5912200
2025-05-02,291.99,309.342,286.845,307.58,6998000
2025-05-05,299.19,306.79,295.41,301.84,4444600
2025-05-06,294.645,307.27,290.96,304.62,4539500
2025-05-07,300.55,304.52,292.87,303.46,11595900
2025-05-08,344.0,357.64,335.13,339.51,14355300
2025-05-09,343.045,351.375,328.52,328.54,7760100
2025-05-12,350.56,358.67,343.37,347.9,7826600
2025-05-13,348.53,380.7,347.7,370.1,9729200
2025-05-14,373.49,379.58,368.45,376.54,6324300
2025-05-15,373.94,378.23,361.44,366.61,6322200
2025-05-16,369.26,373.73,358.0,362.34,4740200
2025-05-19,355.27,375.84,354.01,370.63,6224300
2025-05-20,371.448,371.448,360.864,363.055,5533500
2025-05-21,359.68,374.57,358.0,358.35,7567100
2025-05-22,360.52,367.47,350.817,351.47,5329400
2025-05-23,341.72,356.55,340.2,354.29,5318800
2025-05-27,362.0,384.36,355.16,380.91,7683400
2025-05-28,381.38,392.87,375.12,390.26,6778300
2025-05-29,400.095,402.903,381.43,384.23,5134100
2025-05-30,386.87,394.24,372.53,393.0,7840300
2025-06-02,392.31,402.25,381.6,401.91,6202100
2025-06-03,401.91,408.0,390.41,398.51,4651300
2025-06-04,398.39,417.45,398.21,416.52,4804600
2025-06-05,414.17,428.99,406.78,414.14,5973700
2025-06-06,421.0,426.52,413.23,417.89,5495500
2025-06-09,401.25,404.5,382.85,383.6,7829200
2025-06-10,390.0,396.77,374.68,383.61,4949300
2025-06-11,386.3,387.95,377.9,383.43,3598500
2025-06-12,380.5,384.1,362.45,380.58,6527800
2025-06-13,372.78,381.0,360.749,364.49,4351700
2025-06-16,367.79,377.01,364.49,370.68,3544900
2025-06-17,370.95,371.0,358.71,360.45,2960000
2025-06-18,360.66,361.89,338.65,344.37,5816300
2025-06-20,344.23,344.76,321.68,324.7,8731800
2025-06-23,324.36,336.04,320.0,335.4,5498900
2025-06-24,346.915,352.39,341.93,349.48,5303000
2025-06-25,355.4,358.237,336.67,338.8,4109500
2025-06-26,342.41,347.95,328.94,347.45,5305900
2025-06-27,348.49,348.83,332.1,333.78,18537800
2025-06-30,341.32,361.758,340.05,350.08,8204900
2025-07-01,347.0,358.53,331.0,336.69,5379800
2025-07-02,342.53,348.55,333.205,336.0,4127400
2025-07-03,332.0,343.5,325.58,341.64,3525800
2025-07-07,341.87,346.78,338.22,345.0,3158400
2025-07-08,352.14,359.0,341.5,344.75,3023100
2025-07-09,350.27,362.64,344.75,352.74,4234900
2025-07-10,359.355,359.355,334.526,346.32,5618400
2025-07-11,342.0,345.93,332.32,335.1,3584600
2025-07-14,342.9,362.53,342.11,355.9,6338800
2025-07-15,348.0,354.376,345.41,352.96,3389500
2025-07-16,355.58,358.56,348.71,355.5,3703500
2025-07-17,356.59,369.4,351.0,363.78,4602400
2025-07-18,372.59,375.495,361.0,364.46,4836500
2025-07-21,360.6,375.5,359.4,366.17,4582400
2025-07-22,363.3,364.905,343.0,350.0,4775200
2025-07-23,352.98,363.68,349.21,362.12,3626100
2025-07-24,363.82,364.78,355.0,359.94,2673300
2025-07-25,360.0,369.79,357.029,364.14,2883700
2025-07-28,366.5,371.695,362.17,370.96,2823000
2025-07-29,373.96,379.23,359.46,361.63,3270300
2025-07-30,362.53,366.8,358.55,363.31,2247100
2025-07-31,380.0,397.92,377.52,390.7,7940700
2025-08-01,377.46,385.92,366.47,379.17,6336300
2025-08-04,383.01,395.56,368.188,395.01,4986200
2025-08-05,398.0,399.94,376.909,377.93,6389800
2025-08-06,385.19,393.45,378.36,390.57,12843900
2025-08-07,397.25,453.76,385.1,437.34,20738700
2025-08-08,448.6,464.98,447.018,455.98,9487800
2025-08-11,455.0,473.7,449.211,465.58,5976600
2025-08-12,466.92,470.28,458.48,467.0,4536800
2025-08-13,470.38,472.05,438.77,446.4,6334100
2025-08-14,434.58,445.0,426.0,433.34,5005100
2025-08-15,434.5,441.5,421.4,438.68,3404000
2025-08-18,438.005,444.0,432.61,438.54,2713000
2025-08-19,430.64,434.07,407.52,412.6,5456700
2025-08-20,405.02,412.81,385.19,412.38,6374400
2025-08-21,411.62,431.86,408.8,418.76,5061500
2025-08-22,418.76,446.92,412.33,441.68,6208200
2025-08-25,440.3,454.39,434.02,450.68,4018600
2025-08-26,448.01,471.92,444.0,469.33,5593700
2025-08-27,469.0,474.98,458.65,462.94,2968600
2025-08-28,463.2,488.7,463.0,483.75,5898500
2025-08-29,480.72,485.528,472.42,478.59,5148100
2025-09-02,464.0,481.86,452.25,481.73,5279100
2025-09-03,487.69,499.87,485.08,487.35,5052300
2025-09-04,497.8,511.0,490.658,499.97,6215200
2025-09-05,506.0,507.87,469.8,490.24,8290500
2025-09-08,537.075,555.5,535.7,547.04,16516900
2025-09-09,546.815,559.24,544.923,558.17,8503500
2025-09-10,562.83,576.01,561.5,567.12,6730300
2025-09-11,568.0,576.44,560.79,571.31,6133500
2025-09-12,573.055,587.88,572.11,582.0,6730300
2025-09-15,578.54,595.27,574.227,593.14,6246600
2025-09-16,596.7,605.38,589.28,603.8,8588900
2025-09-17,603.57,613.69,587.23,606.66,8915200
2025-09-18,616.325,632.881,613.78,621.52,9258500
2025-09-19,628.48,653.06,617.56,649.59,73131600
2025-09-22,647.05,657.0,639.515,643.5,9307100
2025-09-23,641.0,670.189,637.51,651.18,7799900
2025-09-24,652.75,662.499,635.5,641.92,5991500
2025-09-25,624.87,643.924,619.49,639.91,6418200
2025-09-26,652.67,671.18,646.47,669.86,6122400
2025-09-29,685.4,745.61,683.5,712.36,11947800
2025-09-30,713.0,720.56,699.22,718.54,6759600
2025-10-01,714.835,727.49,697.506,704.09,6210800
2025-10-02,710.19,710.99,674.4,683.64,6075400
2025-10-03,691.02,695.0,673.17,682.76,4205800
2025-10-06,684.475,687.0,545.0,587.0,14417700
2025-10-07,595.215,644.47,592.26,631.85,11768700
2025-10-08,631.39,654.98,616.24,629.7,5472900
2025-10-09,615.94,618.99,591.5,600.32,6289300
2025-10-10,599.61,601.83,566.9,569.89,6479100
2025-10-13,590.0,591.32,562.28,590.11,4062400
2025-10-14,576.94,596.77,566.49,590.03,3572700
2025-10-15,603.38,615.38,592.32,602.3,3535600
2025-10-16,612.81,616.28,594.68,605.68,3541900
2025-10-17,600.34,612.74,589.2,599.31,3298200
2025-10-20,593.31,595.697,553.0,565.94,6529800
2025-10-21,567.69,568.0,547.129,552.64,4199900
2025-10-22,568.73,571.582,553.24,564.82,4442800
2025-10-23,560.84,591.31,560.84,589.7,3216100
2025-10-24,607.565,627.11,605.5,620.0,4100400
2025-10-27,634.25,645.7,620.73,643.1,3765100
2025-10-28,643.99,649.647,620.87,626.82,2545100
2025-10-29,627.41,633.755,617.2,631.2,3014700
2025-10-30,622.95,638.38,619.75,620.62,3560200
2025-10-31,621.56,652.87,621.56,637.33,4312100
2025-11-03,646.985,654.9,620.6,632.14,3255000
2025-11-04,630.175,630.54,607.93,608.68,3704300
2025-11-05,610.0,623.78,589.0,617.05,6042800
2025-11-06,651.47,656.3,607.23,621.36,8418400
2025-11-07,614.0,633.59,576.41,619.93,6656200
2025-11-10,635.95,675.0,635.41,651.32,4666700
2025-11-11,647.4,647.87,583.0,594.91,7447000
2025-11-12,602.0,603.0,578.0,584.86,4444700
2025-11-13,579.44,580.428,542.48,556.15,5190900
2025-11-14,534.34,570.991,529.0,557.7,4173200
2025-11-17,554.445,558.94,532.31,539.27,3908600
2025-11-18,533.355,541.8,522.0,526.01,3927300
2025-11-19,530.11,545.26,525.43,530.05,4006400
2025-11-20,554.25,562.56,519.2,520.82,4432600
2025-11-21,521.65,529.98,489.3,520.26,6031800
2025-11-24,525.47,564.8,523.0,559.8,5008900
2025-11-25,555.12,557.77,535.85,556.03,2757700
2025-11-26,565.76,590.54,563.5,586.37,3435900
2025-11-28,589.79,599.59,583.4,599.48,1825500
2025-12-01,588.13,624.73,576.0,623.59,4544300
2025-12-02,632.53,679.7,631.19,653.0,5200000
2025-12-03,654.87,667.09,645.0,662.21,3000700
2025-12-04,671.28,698.47,668.48,683.78,4972000
2025-12-05,687.445,702.3,678.69,691.94,3520400
2025-12-08,697.675,706.69,683.53,689.76,3008400
2025-12-09,689.585,726.83,684.0,724.62,3938600
2025-12-10,717.16,721.417,698.51,703.28,3577800
2025-12-11,697.0,723.49,696.0,716.98,3575200
2025-12-12,714.28,716.297,668.74,670.67,4171400
2025-12-15,682.57,691.9,661.56,675.165,3776100
2025-12-16,668.5,682.942,654.0,677.3,3233200
2025-12-17,684.59,688.99,656.87,657.13,2997200
2025-12-18,675.0,704.13,674.0,694.37,3596900
2025-12-19,702.0,732.0,700.004,721.37,7834000
2025-12-22,731.97,738.01,722.03,733.6,3192600
2025-12-23,727.38,737.0,710.25,728.45,2229400
2025-12-24,727.85,734.77,721.55,727.5,947400
2025-12-26,727.71,732.0,708.2,714.23,1766900
2025-12-29,705.025,705.39,682.0,698.82,3222400
2025-12-30,697.89,699.73,683.616,693.71,2249100
2025-12-31,693.71,698.786,672.28,673.82,1930000
2026-01-02,683.37,683.5,610.58,618.32,5611200
2026-01-05,617.7,642.28,603.77,632.91,3846900
2026-01-06,629.94,632.04,595.51,617.24,4584400
2026-01-07,618.0,643.58,611.0,632.92,2934700
2026-01-08,621.86,628.5,605.151,616.53,3029300
2026-01-09,616.22,649.77,612.287,647.72,3553700
2026-01-12,638.63,663.88,624.79,658.65,4375400
2026-01-13,655.11,679.69,642.8,668.63,3778600
2026-01-14,673.0,675.0,596.76,617.76,8443400
2026-01-15,626.405,629.8,600.2,606.99,4158700
2026-01-16,615.265,615.265,559.82,568.76,8576800
2026-01-20,540.96,578.762,532.21,565.52,9763600
2026-01-21,555.01,560.0,530.15,532.56,6676800
2026-01-22,538.93,539.86,514.35,521.94,5650600
2026-01-23,521.5,535.7,509.04,524.41,4835100
2026-01-26,531.97,558.37,529.03,535.44,5657000
2026-01-27,546.82,556.43,536.3,543.56,4658200
2026-01-28,546.795,557.97,537.68,542.36,4767700
2026-01-29,550.1,569.92,542.0,569.24,5289400
2026-01-30,559.79,563.47,463.08,473.11,12170500
2026-02-02,502.55,509.0,476.0,483.0,6043700
2026-02-03,483.0,484.99,448.57,461.79,7127700
2026-02-04,402.0,410.25,382.4,387.34,15434600
2026-02-05,387.055,388.6,360.12,375.23,8725500
2026-02-06,399.32,410.21,380.3,406.72,6463800
2026-02-09,421.34,471.73,419.52,460.38,10320500
2026-02-10,473.155,482.0,461.705,472.92,6146100
2026-02-11,459.0,471.97,438.18,456.81,10648600
2026-02-12,404.0,404.88,365.01,366.91,18794900
2026-02-13,365.0,391.85,359.0,390.55,9094400
2026-02-17,384.0,388.11,368.18,376.38,5212100
2026-02-18,379.995,407.18,372.5,404.39,5754200
2026-02-19,399.02,415.44,396.0,412.0,6165600
2026-02-20,415.0,435.0,414.59,418.68,8669800
2026-02-23,401.63,404.0,375.7,380.62,7207700
2026-02-24,381.42,398.113,366.67,393.22,5191800
2026-02-25,393.81,427.18,391.72,421.63,5922700
2026-02-26,420.69,445.9,417.562,444.93,5884600
2026-02-27,431.79,447.528,426.5,434.77,4889900
2026-03-02,418.69,436.59,410.55,432.98,4099000
2026-03-03,414.01,444.16,406.1,438.89,5193600
2026-03-04,445.0,485.16,443.3,482.81,8394400
2026-03-05,486.24,511.77,484.75,508.56,7623800
2026-03-06,507.03,509.5,491.2,502.14,5177300
2026-03-09,498.345,520.36,494.0,517.23,5332500
2026-03-10,512.65,517.0,473.0,477.39,6688500
2026-03-11,482.96,483.99,456.95,461.45,5712900
2026-03-12,462.48,468.5,448.6,449.33,5004700
2026-03-13,450.8,465.0,446.66,458.67,3791400
2026-03-16,460.84,465.99,446.88,453.3,3998200
2026-03-17,450.32,469.09,447.725,459.09,4331500
2026-03-18,453.61,471.721,442.2,442.57,3514900
2026-03-19,428.325,441.17,416.0,439.92,4760100
2026-03-20,432.495,443.2,422.01,442.39,4658831
