date,open,high,low,close,volume
2025-03-14,140.0411,141.8608,138.1824,140.479,1565800
2025-03-18,141.4755,142.4479,138.2148,139.3468,1292300
2025-03-19,140.3531,144.3491,138.0987,142.8204,1638000
2025-03-20,141.2626,144.4197,141.2626,142.5591,992900
2025-03-21,141.2432,144.2088,139.7919,142.9171,1749400
2025-03-24,146.139,149.1191,145.6649,148.7611,1724900
2025-03-25,149.332,150.9884,146.5841,150.5801,3835800
2025-03-26,150.6092,151.3251,147.0873,148.3064,2110400
2025-03-27,145.9069,147.7887,140.2467,143.5847,1921800
2025-03-28,142.2205,143.8459,138.06,140.1983,1654200
2025-03-31,137.3924,142.5204,135.0122,141.8528,2009700
2025-04-01,142.3172,145.065,140.0725,144.591,2170700
2025-04-02,141.2819,149.8254,141.2819,149.4868,2113600
2025-04-03,141.0981,141.0981,125.477,126.3526,3035100
2025-04-04,117.6543,120.1603,109.5607,114.2098,7645200
2025-04-07,110.3009,123.8466,107.0403,120.6828,6475200
2025-04-08,127.0638,130.1357,116.7739,119.2121,4718900
2025-04-09,117.4705,139.2597,114.9645,137.7504,4616400
2025-04-10,132.3514,134.5768,126.459,131.3645,3935100
2025-04-11,129.2553,134.2285,125.9559,133.2706,3184500
2025-04-14,136.4635,138.8718,131.8435,133.8898,2297800
2025-04-15,135.0993,137.9342,133.9285,136.7345,1683500
2025-04-16,134.8284,136.4539,132.2063,135.0703,1783300
2025-04-17,136.4055,138.1858,135.0799,136.6571,1210000
2025-04-21,134.1994,135.2009,129.4778,132.632,1532500
2025-04-22,135.2831,138.2245,134.7606,137.1215,1150300
2025-04-23,143.1832,148.3547,140.5805,141.2142,1523000
2025-04-24,141.6012,148.9256,140.445,148.0064,1341600
2025-04-25,147.0002,149.3997,145.932,148.8869,1290700
2025-04-28,148.945,151.4606,147.0002,148.4031,1294700
2025-04-29,148.0354,148.6885,145.9262,147.8322,1146300
2025-04-30,143.9814,147.9484,141.4368,147.5807,1722200
2025-05-01,148.7031,151.18,147.1637,147.3291,1075500
2025-05-02,151.0058,153.8311,149.7383,151.9734,1942700
2025-05-05,151.3735,157.8619,150.1157,155.5437,2157000
2025-05-06,153.9085,158.3302,151.6251,154.4503,1707600
2025-05-07,154.876,158.2141,154.6148,156.8208,1478900
2025-05-08,159.53,163.2357,158.9882,160.4685,1785300
2025-05-09,160.633,162.2004,159.172,159.5977,1659100
2025-05-12,167.8799,168.9636,163.6324,166.9705,1892500
2025-05-13,168.0735,170.1343,165.9739,166.9027,2291500
2025-05-14,167.7155,170.6617,166.6608,170.1247,1817900
2025-05-15,167.5026,168.7217,162.6358,163.226,3115600
2025-05-16,163.2744,165.3256,162.9938,164.629,1702100
2025-05-19,161.3393,164.4258,159.9267,163.168,940100
2025-05-20,161.6199,162.5487,159.9363,160.6427,1984100
2025-05-21,157.9625,159.5106,153.7247,153.8214,1561000
2025-05-22,153.686,155.6839,153.1103,154.6922,961000
2025-05-23,151.0639,156.4628,150.4737,155.0889,1008800
2025-05-27,157.4497,159.796,156.1435,159.2591,1079400
2025-05-28,160.1299,160.1299,158.1754,158.6689,999900
2025-05-29,160.0331,160.0331,157.7545,159.5493,1112100
2025-05-30,159.0268,160.4975,157.3046,160.1299,3004200
2025-06-02,159.3268,161.6296,157.8755,161.378,1318900
2025-06-03,161.0006,163.2647,159.588,163.0615,1279900
2025-06-04,163.3421,165.2192,163.2163,163.526,1364700
2025-06-05,163.4485,164.9289,162.2198,164.4742,1163900
2025-06-06,166.9414,169.2055,166.7479,168.238,1865200
2025-06-09,167.7929,168.9733,164.5032,166.7092,2359300
2025-06-10,166.3319,166.7112,161.678,163.1099,1450100
2025-06-11,163.6711,164.7741,162.6068,163.3034,1415300
2025-06-12,161.1264,165.6159,160.7588,165.2676,2457000
2025-06-13,162.9938,163.9711,159.5397,161.1555,1143300
2025-06-16,162.9868,166.0455,162.4949,162.7043,750300
2025-06-17,161.3795,162.2757,159.3729,160.9022,1086900
2025-06-18,161.2236,164.9203,161.1555,163.0062,1497200
2025-06-20,164.3408,164.896,161.3405,161.4672,2491600
2025-06-23,161.2431,162.149,156.6551,161.0678,1119400
2025-06-24,163.2888,165.8506,162.7092,165.422,1099300
2025-06-25,166.0552,166.5763,163.766,164.4284,1233300
2025-06-26,165.1396,167.6284,164.3301,166.6786,877700
2025-06-27,168.0229,171.101,166.9708,168.695,1591500
2025-06-30,170.2731,170.3987,167.8573,168.7145,1491700
2025-07-01,168.0813,171.3835,166.6884,170.2049,2485400
2025-07-02,169.9321,173.6727,169.2697,173.3707,2546300
2025-07-03,174.2084,175.2799,172.0946,173.3512,684400
2025-07-07,173.3512,173.9649,168.1495,170.3315,1269700
2025-07-08,170.9452,173.2343,169.5756,170.5653,1033700
2025-07-09,171.9582,173.9259,170.916,172.3869,927300
2025-07-10,172.9226,175.5332,172.455,175.465,980100
2025-07-11,173.9941,174.6049,172.533,172.7765,713900
2025-07-14,172.8837,176.8463,172.1726,175.6696,1331600
2025-07-15,175.2702,175.4261,169.8445,169.9711,1090300
2025-07-16,171.2277,175.3579,170.2146,175.2605,1747000
2025-07-17,174.3351,179.6342,173.7214,178.4263,1868000
2025-07-18,179.9849,180.7641,177.5447,178.3776,2397900
2025-07-21,178.8841,178.8841,173.7604,174.2571,1653400
2025-07-22,173.9941,174.9195,170.8575,173.6337,1266400
2025-07-23,175.3384,176.0787,174.0954,175.8936,871800
2025-07-24,176.4976,178.8744,174.8806,177.6178,1222700
2025-07-25,178.8549,181.5921,176.7508,181.3973,1320300
2025-07-28,181.3973,182.9851,180.8031,182.5078,1335400
2025-07-29,183.3455,184.2806,180.8762,183.063,1243900
2025-07-30,184.0956,185.1573,181.6311,182.8682,951800
2025-07-31,183.3163,184.456,179.3712,180.7252,1802800
2025-08-01,175.2312,178.475,169.2015,178.0951,2193800
2025-08-04,179.527,184.1053,178.2217,183.667,1381600
2025-08-05,185.0015,186.94,180.2673,183.1117,1602700
2025-08-06,183.365,186.56,182.9753,184.3878,1390600
2025-08-07,186.5406,186.5406,180.9005,182.1084,1240800
2025-08-08,183.5208,184.9528,182.3665,183.5501,952900
2025-08-11,183.1994,184.2271,181.709,181.7188,751700
2025-08-12,182.9753,188.1478,181.8161,187.7679,1278900
2025-08-13,189.2096,190.2032,182.498,185.9951,1194100
2025-08-14,185.2158,186.9789,183.891,185.5178,885700
2025-08-15,185.3717,186.4237,182.576,182.9169,928300
2025-08-18,182.9948,185.6639,181.8941,184.3683,1388800
2025-08-19,183.6475,184.8456,174.7247,175.9131,2409200
2025-08-20,174.637,175.8254,171.3835,174.2961,1709400
2025-08-21,173.6045,174.4909,172.835,173.6435,1041500
2025-08-22,173.7896,179.1764,173.6727,176.3807,1500300
2025-08-25,176.5657,176.5657,172.3966,173.5168,1564700
2025-08-26,173.2051,174.7442,172.4356,174.2961,1971500
2025-08-27,174.0039,176.254,174.0039,174.8611,1556100
2025-08-28,175.4553,177.0577,175.4553,175.6014,1024300
2025-08-29,175.6014,176.2638,173.5168,174.5591,899200
2025-09-02,171.3835,175.241,168.9385,175.1241,1430700
2025-09-03,174.0428,175.1728,170.4386,172.2407,1244000
2025-09-04,173.098,175.5186,171.9047,175.3871,1171300
2025-09-05,176.6631,177.1502,170.01,172.718,1638800
2025-09-08,172.4161,173.0444,168.8703,171.6855,1731200
2025-09-09,170.8283,172.0751,170.3412,170.5361,979900
2025-09-10,171.0329,175.2215,170.4874,174.2961,1202700
2025-09-11,174.4617,180.3453,174.0185,179.9264,1412400
2025-09-12,180.4037,181.0077,178.0561,178.0561,837100
2025-09-15,179.4004,179.5076,174.3156,175.2605,1311900
2025-09-16,175.6526,176.4269,173.202,175.0742,1120300
2025-09-17,174.9272,178.5098,174.1234,175.3487,1175500
2025-09-18,176.8484,182.2591,176.8484,179.789,1365900
2025-09-19,179.7694,180.2105,177.2307,179.3773,2112000
2025-09-22,177.9462,178.8088,175.9633,178.3873,1053800
2025-09-23,178.5441,183.1511,176.7994,177.5639,1056400
2025-09-24,177.7208,177.7208,164.4322,164.8997,1889200
2025-09-25,161.4984,163.5078,159.6262,160.0869,2265500
2025-09-26,161.5572,162.8805,159.6066,159.8223,2619200
2025-09-29,161.5964,161.9983,159.2929,160.1849,1807600
2025-09-30,159.9105,161.0083,151.4513,156.7248,3514200
2025-10-01,154.3919,155.2937,150.8779,151.0886,2313200
2025-10-02,150.7358,151.0886,146.6973,147.6285,4022500
2025-10-03,148.5891,150.2457,146.217,149.3831,4091700
2025-10-06,149.9418,150.4613,145.9131,147.1286,2077900
2025-10-07,147.5501,148.2166,143.7665,145.6975,2171300
2025-10-08,146.4523,146.8836,144.5703,146.8345,1927100
2025-10-09,147.011,148.4421,143.2078,144.3448,1799300
2025-10-10,144.8741,145.5603,137.9343,138.0911,1997500
2025-10-13,141.1494,142.2256,139.5418,140.7867,1790000
