date,open,high,low,close,volume
2025-03-14,143.7917,147.059,143.4689,146.6286,795700
2025-03-17,146.6775,149.1231,146.5308,148.184,936400
2025-03-18,147.372,147.8612,146.2177,147.284,645400
2025-03-19,147.196,147.8123,146.1199,147.4699,702400
2025-03-20,147.5579,148.0959,146.609,147.5383,1062300
2025-03-21,147.0981,148.7318,144.6819,145.396,1938400
2025-03-24,144.7797,147.2351,144.7797,146.384,694300
2025-03-25,146.1492,146.3742,144.1145,145.1123,875800
2025-03-26,145.1514,147.5481,144.9754,146.8927,634000
2025-03-27,147.734,148.6438,147.0101,147.6557,661600
2025-03-28,148.9568,150.0622,148.3014,149.1427,858300
2025-03-31,149.8959,151.8817,149.8959,151.2165,1116200
2025-04-01,151.0698,151.8915,149.6611,151.5687,770800
2025-04-02,151.3828,152.2339,150.2579,151.8328,718500
2025-04-03,152.2046,154.1904,151.6959,151.9111,1159000
2025-04-04,151.1187,152.6056,143.8699,144.5938,1431800
2025-04-07,141.4341,145.9145,138.5092,141.9037,2060800
2025-04-08,145.1417,147.0981,142.2656,143.6547,1874900
2025-04-09,141.9819,147.6459,139.4385,145.6503,1471600
2025-04-10,145.7579,148.4775,143.1069,146.0416,1170500
2025-04-11,145.6992,149.1427,144.1243,148.184,926200
2025-04-14,148.9079,152.4002,148.0177,151.6078,1002300
2025-04-15,152.3709,154.1024,151.4709,152.8698,1439400
2025-04-16,153.6328,154.3176,152.0089,152.9089,1481900
2025-04-17,152.8991,155.736,152.8991,154.1121,904400
2025-04-21,153.3686,153.5154,151.0698,153.1339,1765700
2025-04-22,154.4545,157.9762,154.0828,156.6262,1602300
2025-04-23,157.1251,157.9566,154.4447,156.1175,1790300
2025-04-24,155.9219,156.5773,154.7284,156.1958,1498200
2025-04-25,155.6284,156.186,153.5936,154.6991,1245900
2025-04-28,154.0241,155.3643,152.7622,155.2762,1147600
2025-04-29,154.9339,156.5969,154.4545,156.2153,650800
2025-04-30,156.5284,157.5458,153.2219,157.1349,1640200
2025-05-01,157.2621,158.1523,155.7067,156.6947,1219500
2025-05-02,157.3403,158.1327,156.186,157.9859,663000
2025-05-05,157.8588,158.0251,155.8827,157.8881,1107500
2025-05-06,157.986,159.3555,157.6827,158.436,1042700
2025-05-07,157.7316,159.9131,157.7121,159.1207,1332300
2025-05-08,162.388,163.8065,157.3305,157.7414,1841800
2025-05-09,157.9664,158.1327,154.3763,156.3817,1107000
2025-05-12,154.7088,156.4599,150.4731,151.8524,1275000
2025-05-13,152.0285,152.5078,150.1111,150.3165,1001000
2025-05-14,150.1796,150.297,146.7362,148.9372,1504700
2025-05-15,150.297,152.635,149.1133,152.5763,1088700
2025-05-16,151.8817,154.2491,151.5883,154.2491,1206200
2025-05-19,154.4643,156.5186,153.6621,156.499,1226900
2025-05-20,156.3914,156.8121,155.3349,155.6382,1075300
2025-05-21,155.1393,155.4817,153.2611,153.5448,1127400
2025-05-22,153.1828,153.4763,150.7861,151.9111,1135000
2025-05-23,153.0556,154.0926,151.4318,153.8578,984700
2025-05-27,154.7037,154.7037,153.1397,153.9365,911600
2025-05-28,153.4053,153.9562,150.9953,151.2117,1050900
2025-05-29,150.4641,151.979,149.6181,151.8216,743500
2025-05-30,151.7232,152.8741,151.1133,152.156,3090000
2025-06-02,151.1527,152.3626,150.7297,152.1167,935300
2025-06-03,152.7364,152.7659,150.5723,152.0872,1259200
2025-06-04,151.8904,152.0577,149.5591,149.6673,901500
2025-06-05,149.7853,150.3559,148.9886,149.864,867200
2025-06-06,150.4838,151.074,148.8312,149.6968,624500
2025-06-09,149.0181,150.3067,148.2606,149.4902,791800
2025-06-10,149.5788,150.7887,148.9492,150.4837,871400
2025-06-11,150.4444,150.9756,149.9427,149.9821,919400
2025-06-12,150.3165,152.0675,150.1001,151.9691,783800
2025-06-13,151.7232,152.0281,150.0411,150.4936,646200
2025-06-16,151.1133,151.6543,148.9099,149.5591,738300
2025-06-17,149.3722,150.0214,148.2213,149.8148,511000
2025-06-18,150.0116,150.7002,149.6575,149.9034,501000
2025-06-20,149.8345,151.6445,149.8345,151.0543,1558300
2025-06-23,151.9888,154.2611,151.9888,153.8185,820000
2025-06-24,153.3561,154.5365,153.1495,153.8873,746300
2025-06-25,153.1299,153.2479,150.228,150.2378,672700
2025-06-26,150.3264,151.3986,149.6575,150.4247,573300
2025-06-27,150.0509,151.4674,149.8837,150.0018,1551600
2025-06-30,149.746,151.674,149.5886,151.5953,810200
2025-07-01,151.4084,153.2381,150.3755,151.1428,980300
2025-07-02,150.4444,151.1625,147.5327,149.0377,808800
2025-07-03,148.4869,150.3165,148.1721,149.7952,412900
2025-07-07,149.8345,150.8576,149.6476,150.2968,638000
2025-07-08,149.264,150.1001,148.0541,149.5099,721900
2025-07-09,149.5394,150.9363,148.8115,150.6018,680300
2025-07-10,149.6673,152.2052,149.6673,151.8511,531100
2025-07-11,151.2314,152.5101,150.3952,151.674,436900
2025-07-14,151.674,154.0545,151.5953,152.8643,733400
2025-07-15,152.3921,152.638,150.3067,151.5855,530600
2025-07-16,151.7724,152.6479,151.3297,152.3036,631100
2025-07-17,152.5298,153.3955,151.4281,152.7364,488300
2025-07-18,153.061,154.9005,153.061,154.1037,751400
2025-07-21,154.1037,156.5039,154.1037,155.6383,753400
2025-07-22,156.1006,157.9597,155.9039,156.1891,495500
2025-07-23,156.3858,156.799,153.907,154.5267,509100
2025-07-24,155.0677,155.9629,154.5169,155.1366,451100
2025-07-25,154.8218,155.4317,153.5725,154.2808,533700
2025-07-28,153.8479,154.0348,151.7134,152.156,734500
2025-07-29,152.8643,153.9758,152.0085,153.5627,614300
2025-07-30,154.1332,154.9693,153.2086,153.6512,656400
2025-07-31,153.3266,154.3103,152.0281,153.3758,1166500
2025-08-01,154.9202,154.9202,152.097,153.2676,829900
2025-08-04,153.4643,157.1531,153.3463,156.8482,1092800
2025-08-05,156.8974,157.3892,153.8873,154.0742,863200
2025-08-06,154.0643,155.9825,153.0216,154.4578,1409800
2025-08-07,158.3631,163.7143,158.2844,160.0648,2039500
2025-08-08,160.1829,163.6553,160.0746,161.6092,1416100
2025-08-11,161.8551,162.465,160.6649,162.347,1306500
2025-08-12,162.5142,163.2421,161.0288,163.0159,1007000
2025-08-13,162.7699,164.2651,161.8256,164.2553,861400
2025-08-14,164.2553,164.7078,162.9864,163.4192,658400
2025-08-15,163.2815,163.9405,162.1699,162.6716,968700
2025-08-18,162.6519,162.6519,161.1469,161.3436,870000
2025-08-19,161.2059,163.1733,161.0977,163.1044,669700
2025-08-20,163.6848,165.1111,162.8683,163.3798,766200
2025-08-21,163.0454,164.4225,162.9175,164.0684,514400
2025-08-22,164.6586,166.1046,164.4324,165.4652,720000
2025-08-25,164.5654,164.9807,163.3294,163.5964,638000
2025-08-26,163.4976,164.5951,162.6867,164.1501,2011000
2025-08-27,164.1501,164.7731,163.4976,164.3875,927900
2025-08-28,164.16,164.16,163.2504,163.5766,650700
2025-08-29,163.4679,164.8522,163.0625,164.2688,724200
2025-09-02,163.8832,164.8818,163.5074,163.6063,964000
2025-09-03,163.3888,163.9029,162.4692,163.369,655300
2025-09-04,164.1205,164.605,161.164,162.9438,980900
2025-09-05,163.3591,164.7039,162.9834,164.6149,847700
2025-09-08,164.6149,164.6841,161.5101,162.0341,1030400
