date,open,high,low,close,volume
2025-03-14,201.4096,202.4424,199.6143,202.3362,995700
2025-03-17,202.1817,205.2993,201.9308,204.3824,932900
2025-03-18,204.1411,204.9519,201.8729,202.9346,856800
2025-03-19,202.9732,204.9422,201.5447,203.5041,609800
2025-03-20,203.9963,204.8457,202.1142,204.1411,627600
2025-03-21,202.9636,203.8129,200.7146,202.2686,1486900
2025-03-24,203.7743,207.1719,202.201,206.9016,512700
2025-03-25,207.0078,209.3339,203.311,205.2608,816500
2025-03-26,206.4576,207.2973,205.087,206.641,712800
2025-03-27,207.278,209.7586,205.2125,205.7241,659400
2025-03-28,207.2298,207.5097,204.228,206.1487,452400
2025-03-31,207.482,210.0415,205.088,208.8639,880000
2025-04-01,209.7884,210.1291,205.7595,208.7569,597700
2025-04-02,208.7861,210.6643,206.7229,209.8274,542600
2025-04-03,207.083,209.7592,199.6771,200.3389,1186100
2025-04-04,197.7405,199.9983,186.3543,186.5586,1707900
2025-04-07,184.8653,190.1497,177.6638,183.7461,1792700
2025-04-08,188.7191,189.4003,180.1356,182.2085,1277100
2025-04-09,178.5104,196.4072,175.5617,195.0156,1695100
2025-04-10,192.7675,195.0156,183.3471,188.3979,1300700
2025-04-11,186.8506,188.797,183.0455,187.8238,1234600
2025-04-14,190.3443,196.3586,188.8651,195.5313,1034300
2025-04-15,196.2223,196.923,194.5387,195.1226,1384800
2025-04-16,195.4048,197.6334,193.5558,194.6944,1028600
2025-04-17,195.2881,199.5019,195.2881,197.9254,1172900
2025-04-21,196.0179,197.3707,193.6045,196.378,641400
2025-04-22,199.5993,201.6624,198.373,200.9033,626200
2025-04-23,202.8983,204.6208,199.8133,200.8838,613400
2025-04-24,200.6892,203.0346,199.5798,201.1855,536300
2025-04-25,201.6137,201.6137,198.7526,200.2415,642800
2025-04-28,200.4751,202.7037,199.9983,202.2269,510400
2025-04-29,201.8084,202.6258,199.4922,201.6234,714500
2025-04-30,201.3218,205.2437,198.7137,204.3484,1114400
2025-05-01,203.3947,206.684,199.5603,203.3947,1195200
2025-05-02,206.7619,207.6182,204.7376,206.5088,780200
2025-05-05,204.9809,205.9736,203.3557,204.3873,709000
2025-05-06,202.4312,203.6185,201.4288,202.295,590600
2025-05-07,202.3241,204.0467,201.458,202.3144,1012000
2025-05-08,202.6258,202.8107,198.6747,198.9667,744900
2025-05-09,199.6868,200.7671,198.1297,200.0177,522100
2025-05-12,201.9738,203.6574,201.5943,202.9956,672600
2025-05-13,203.1222,203.1222,198.4704,199.21,794800
2025-05-14,198.1297,198.7137,195.2978,196.1931,858400
2025-05-15,197.2441,200.2707,196.7576,200.0664,1029700
2025-05-16,201.0493,202.7815,199.4825,202.5188,806800
2025-05-19,200.3778,203.1221,199.9593,203.0248,849100
2025-05-20,201.9154,203.599,201.3996,202.9956,603400
2025-05-21,201.3412,201.9252,196.3196,196.3294,626300
2025-05-22,196.6019,196.6019,193.0887,194.4998,902800
2025-05-23,194.0521,194.0619,191.5413,192.7189,882100
2025-05-27,194.9766,196.7089,192.7091,196.0569,857400
2025-05-28,196.524,197.4874,195.5021,196.5629,752000
2025-05-29,197.4193,200.6795,195.7357,200.4946,856300
2025-05-30,200.2805,201.7305,198.8499,201.2245,2083700
2025-06-02,200.1734,201.6527,197.7599,201.5943,545100
2025-06-03,200.4556,201.3412,195.7941,198.4898,1001000
2025-06-04,198.0616,200.0567,195.7746,199.1224,943300
2025-06-05,198.9083,200.3778,197.2247,197.5264,875300
2025-06-06,198.9083,199.9204,196.6602,197.7015,597400
2025-06-09,197.4874,202.8399,197.3999,201.3704,1150300
2025-06-10,202.2852,203.891,201.0006,202.3923,1125000
2025-06-11,202.1003,203.5114,200.1832,201.0006,836200
2025-06-12,201.1174,203.7353,201.059,203.2292,587700
2025-06-13,201.5359,203.1805,198.9375,200.6503,664900
2025-06-16,202.5285,203.7742,201.1953,201.6624,733300
2025-06-17,201.5943,202.2463,199.5311,200.7671,681300
2025-06-18,201.1466,202.548,200.2221,200.9812,883300
2025-06-20,201.6527,203.1027,200.2026,201.458,1264800
2025-06-23,201.9835,204.2316,199.6382,202.1003,975900
2025-06-24,202.3436,203.1514,199.9885,200.6016,1351900
2025-06-25,198.0422,199.1613,195.6189,195.8233,1483900
2025-06-26,196.4656,199.2976,195.7941,198.6553,990100
2025-06-27,199.1516,201.0785,198.0811,198.8986,1483700
2025-06-30,198.9378,199.9292,195.9244,199.7525,1317000
2025-07-01,199.8213,202.6777,197.5145,199.5366,1077800
2025-07-02,198.6924,200.0176,195.6004,198.2802,866400
2025-07-03,198.4961,200.1844,197.4851,198.8397,347800
2025-07-07,198.3489,200.901,197.7697,198.7317,883700
2025-07-08,197.5832,199.3894,197.2789,197.7599,782300
2025-07-09,197.7992,199.3795,196.8372,196.9354,934900
2025-07-10,196.9943,200.4691,196.8274,198.9673,825100
2025-07-11,196.2777,199.0458,196.2777,198.1427,513200
2025-07-14,198.3881,199.9587,197.8385,198.2311,678300
2025-07-15,198.0446,198.2704,194.7955,195.8066,621300
2025-07-16,196.2385,198.4176,195.6691,198.1427,606500
2025-07-17,198.2114,199.3403,197.0237,198.4078,667500
2025-07-18,198.7317,199.566,197.5931,198.8986,474900
