date,open,high,low,close,volume
2025-03-14,138.6216,141.1675,138.2412,140.7774,1386800
2025-03-17,140.8652,143.1672,139.4995,141.2651,1645900
2025-03-18,141.2163,142.0845,139.9287,141.1968,1182200
2025-03-19,140.4652,140.6896,137.7339,138.5631,1548500
2025-03-20,139.0118,139.3142,137.3047,138.329,1387300
2025-03-21,138.3485,140.2213,136.5439,137.6657,2607200
2025-03-24,136.7487,138.5533,135.9879,136.2708,1093100
2025-03-25,136.1732,137.0316,133.5785,135.744,1729400
2025-03-26,135.9098,138.1924,135.8611,137.6657,1329800
2025-03-27,138.2802,140.6603,137.9388,139.5483,1346400
2025-03-28,141.031,143.694,140.6408,142.6502,1596800
2025-03-31,143.811,146.3082,143.255,143.8988,1863700
2025-04-01,143.2355,144.0939,142.2601,143.3916,1186400
2025-04-02,143.5964,143.8793,141.8796,142.6015,982400
2025-04-03,145.2645,150.2783,145.0889,148.2298,2764800
2025-04-04,151.1952,151.6829,142.6697,143.6159,3275400
2025-04-07,141.4992,143.9183,138.4851,138.8655,3007700
2025-04-08,140.8456,140.8456,135.783,137.412,2723900
2025-04-09,136.1049,141.7528,134.037,135.588,2990700
2025-04-10,135.8806,141.0407,135.0905,139.6361,1984500
2025-04-11,139.7239,143.1867,138.5728,142.5039,1549000
2025-04-14,141.7528,145.7717,141.7528,145.1767,1091100
2025-04-15,145.9863,145.9863,143.1184,143.2745,1471300
2025-04-16,144.5719,144.8743,142.5722,142.8063,1124600
2025-04-17,142.9721,145.879,142.4454,144.7572,946100
2025-04-21,144.367,145.3132,142.2503,143.5184,838200
2025-04-22,144.6499,146.0741,143.5379,145.5961,1071400
2025-04-23,144.0354,144.1622,141.031,143.5574,1510800
2025-04-24,143.733,143.733,141.626,142.4551,1209500
2025-04-25,141.3431,141.7528,138.4265,140.436,1342100
2025-04-28,140.2409,141.5967,138.8167,140.7286,1409000
2025-04-29,140.7091,142.7283,140.2311,142.2796,1205500
2025-04-30,143.3818,143.85,140.7188,143.4013,1421200
2025-05-01,141.4407,143.9378,140.8554,142.8356,1255500
2025-05-02,143.8208,144.0549,141.8211,143.4989,1115900
2025-05-05,144.2012,144.9133,142.2893,144.5134,841800
2025-05-06,144.6889,146.8154,144.5133,145.5376,1124200
2025-05-07,145.401,146.6008,144.4158,144.4451,1041100
2025-05-08,144.0647,144.6889,141.5675,141.8309,1182400
2025-05-09,141.8406,143.4696,140.9237,143.3331,724600
2025-05-12,140.4652,141.9186,134.4759,135.2368,2412400
2025-05-13,134.9306,135.4801,130.7993,131.339,2330800
2025-05-14,131.6236,131.8395,129.1899,131.3194,1994400
2025-05-15,132.7717,137.8549,132.2712,137.747,2529200
2025-05-16,137.9629,140.6419,137.7274,139.8961,1495100
2025-05-19,139.5624,141.0835,139.2484,141.0246,956600
2025-05-20,140.5241,141.5937,139.5232,141.1325,1119100
2025-05-21,141.0442,141.947,140.0825,140.7989,1699300
2025-05-22,140.3278,140.8381,138.0414,139.1993,1163400
2025-05-23,140.7204,141.2208,138.7577,140.9264,740300
2025-05-27,140.9461,141.4662,140.0923,140.4652,1093000
2025-05-28,139.7881,140.2984,137.8059,138.2376,920000
2025-05-29,137.3839,139.3367,137.0895,138.8951,1097000
2025-05-30,139.5722,140.9951,138.1886,140.2984,3771600
2025-06-02,139.1797,140.4849,138.2867,139.7587,791400
2025-06-03,139.5821,139.5821,137.5017,139.2092,1097100
2025-06-04,139.111,139.111,136.2161,136.2456,1436400
2025-06-05,136.589,137.7961,135.9414,137.4035,793600
2025-06-06,137.5507,138.797,136.8049,137.433,719100
2025-06-09,136.7853,137.6685,134.8325,137.1974,894900
2025-06-10,137.2073,139.5134,136.8049,138.6302,924200
2025-06-11,138.6989,139.4349,137.5704,137.9825,826900
2025-06-12,138.9736,139.0718,137.5507,138.6793,709600
2025-06-13,139.5722,140.4849,138.5026,138.797,741200
2025-06-16,139.4054,140.1807,137.0699,137.8451,1126000
2025-06-17,137.8451,138.4928,135.7942,138.2867,1196400
2025-06-18,138.375,139.0129,137.2367,138.4634,976200
2025-06-20,138.3554,139.5919,137.4624,138.6105,2415900
2025-06-23,139.376,141.3975,139.3465,141.2993,861600
2025-06-24,140.2199,140.7793,139.1699,139.5232,990800
2025-06-25,138.5615,139.0718,136.6774,137.433,1077900
2025-06-26,137.9433,138.2867,135.3133,135.8334,929900
2025-06-27,135.1367,136.226,134.1946,135.3428,1564800
2025-06-30,135.4605,136.5891,134.8619,136.5105,1298100
2025-07-01,136.7657,140.5045,136.4615,139.8961,1397700
2025-07-02,139.376,139.8274,137.4722,137.6881,1205700
2025-07-03,137.8451,138.6694,136.9914,137.433,683800
2025-07-07,137.3937,137.8647,136.3143,137.3447,888300
2025-07-08,136.0199,138.5517,134.44,138.3848,1381900
2025-07-09,138.1886,139.5526,137.2956,139.1503,1413300
2025-07-10,137.6489,140.9755,137.5605,140.0138,922200
2025-07-11,139.0325,140.3475,138.1101,139.6311,948500
2025-07-14,139.8961,141.6526,139.7292,140.6713,998600
2025-07-15,139.9942,140.3671,138.0807,138.1984,957900
2025-07-16,138.1003,139.4152,137.1386,139.0718,941900
2025-07-17,138.5811,140.0629,137.4035,139.5526,1195000
2025-07-18,139.8078,141.9666,139.3465,140.2395,1934400
2025-07-21,140.5045,141.6232,139.9059,140.1708,753100
2025-07-22,140.0335,143.5564,139.4349,142.2022,1137200
2025-07-23,141.6624,142.0452,137.7863,139.2288,1173300
2025-07-24,139.268,139.425,137.8353,137.8844,1188000
2025-07-25,137.5704,138.4241,137.0699,137.6979,893900
2025-07-28,136.9423,137.9138,135.2741,136.118,1065800
2025-07-29,136.0297,138.3652,135.333,138.3161,1138000
2025-07-30,137.1582,138.532,136.589,137.0404,1109000
2025-07-31,135.9119,138.4437,134.9306,137.6194,2078200
2025-08-01,139.8176,143.6741,138.0806,142.997,2693100
2025-08-04,142.997,144.891,142.8106,144.2531,1304000
2025-08-05,139.4741,140.0531,138.0905,138.8559,6160000
2025-08-06,139.3465,140.7106,138.8264,139.2582,2087800
2025-08-07,138.5124,141.9961,138.5124,141.7213,1771100
2025-08-08,142.1236,142.9185,141.8685,142.6437,1986700
2025-08-11,143.0853,143.468,141.9961,142.8302,1093700
2025-08-12,142.3742,143.1046,138.841,140.2326,1657600
2025-08-13,140.2227,141.8907,139.9168,141.8512,1174200
2025-08-14,141.9203,142.3545,140.9136,141.5354,1085300
2025-08-15,141.0715,143.0848,141.0222,142.0387,923800
