date,open,high,low,close,volume
2025-03-14,3550.0,3578.0601,3520.9199,3554.9099,164200
2025-03-17,3555.1799,3627.4399,3550.52,3620.8201,129200
2025-03-18,3634.21,3634.21,3585.96,3614.27,87200
2025-03-19,3616.0,3620.48,3571.3701,3591.6101,134600
2025-03-20,3584.0901,3610.0,3567.0901,3573.3799,81300
2025-03-21,3594.29,3617.28,3547.8,3606.3401,208700
2025-03-24,3639.1799,3680.0,3619.73,3657.8201,115900
2025-03-25,3655.8501,3678.3899,3612.78,3672.23,135200
2025-03-26,3680.0,3693.8799,3663.0,3681.6799,129200
2025-03-27,3700.0,3838.0,3680.0,3828.1101,285600
2025-03-28,3817.8201,3832.0901,3745.49,3771.0,166700
2025-03-31,3776.8401,3842.8201,3776.8401,3812.78,209700
2025-04-01,3801.0,3830.26,3786.9199,3813.27,221800
2025-04-02,3778.0,3822.8401,3760.9199,3809.26,100000
2025-04-03,3770.8999,3916.8101,3770.8999,3826.1499,182000
2025-04-04,3792.72,3845.1001,3652.22,3653.24,209900
2025-04-07,3550.0,3572.3401,3434.0,3478.3799,313800
2025-04-08,3535.54,3603.6899,3473.3301,3499.0801,206100
2025-04-09,3468.27,3708.04,3433.6499,3575.1201,248600
2025-04-10,3551.04,3650.0,3513.3301,3615.24,180700
2025-04-11,3598.3999,3681.6399,3598.3999,3659.6001,144400
2025-04-14,3671.29,3700.3501,3648.0901,3680.78,118300
2025-04-15,3699.75,3699.75,3631.1699,3631.1699,113200
2025-04-16,3638.03,3661.54,3565.0,3566.8601,89700
2025-04-17,3575.1899,3630.71,3575.1899,3603.47,84300
2025-04-21,3591.8999,3618.75,3506.6201,3569.24,129900
2025-04-22,3592.22,3682.0,3592.22,3678.6599,115700
2025-04-23,3679.0,3712.9099,3629.6599,3652.1101,114400
2025-04-24,3626.5701,3700.0,3565.8601,3609.6499,122400
2025-04-25,3623.8401,3623.8401,3533.3201,3609.3301,103800
2025-04-28,3636.0,3636.0,3604.24,3617.9099,87100
2025-04-29,3603.73,3706.73,3603.73,3704.95,111300
2025-04-30,3704.95,3774.54,3662.73,3762.6001,159800
2025-05-01,3721.28,3757.48,3711.71,3732.9199,103300
2025-05-02,3790.8701,3790.8701,3737.5701,3756.3301,77300
2025-05-05,3767.49,3783.23,3730.8301,3775.55,105300
2025-05-06,3768.0601,3773.48,3733.9099,3747.02,71800
2025-05-07,3740.1499,3773.04,3738.3,3745.54,86500
2025-05-08,3742.2,3742.2,3658.1499,3674.73,86800
2025-05-09,3700.54,3700.54,3636.99,3663.73,82000
2025-05-12,3699.0701,3706.0901,3565.02,3664.25,135000
2025-05-13,3665.0,3694.8401,3638.98,3644.75,77900
2025-05-14,3647.0,3665.02,3633.1699,3645.4299,99900
2025-05-15,3654.47,3758.3701,3654.47,3758.3701,135700
2025-05-16,3760.4199,3791.3201,3747.2,3786.4199,161300
2025-05-19,3813.8,3882.53,3797.45,3879.97,139100
2025-05-20,3875.0,3900.0,3834.55,3880.1499,106600
2025-05-21,3910.0,3910.0,3837.01,3872.6001,114300
2025-05-22,3871.8799,3900.0,3846.9099,3859.25,105500
2025-05-23,3855.01,3882.8701,3821.96,3826.46,151200
2025-05-27,3750.0,3860.9199,3641.55,3695.6599,322900
2025-05-28,3702.96,3790.1001,3702.96,3744.4199,205400
2025-05-29,3730.5901,3730.5901,3668.8899,3689.6299,135200
2025-05-30,3706.3,3764.3799,3695.6001,3733.04,191000
2025-06-02,3709.45,3769.77,3702.1899,3749.8101,138300
2025-06-03,3740.0,3768.4399,3708.0,3748.0,96000
2025-06-04,3740.0,3752.8999,3699.3701,3717.04,95100
2025-06-05,3733.8,3737.5,3686.4299,3725.25,84500
2025-06-06,3730.01,3737.1599,3677.0601,3719.24,98900
2025-06-09,3711.1399,3711.1399,3642.55,3697.48,173600
2025-06-10,3700.0,3723.3,3694.01,3713.5701,178400
2025-06-11,3703.22,3723.99,3650.0,3658.5901,115300
2025-06-12,3660.0701,3688.3701,3620.0801,3683.47,156600
2025-06-13,3664.8101,3686.0,3625.8,3642.6001,119900
2025-06-16,3644.03,3644.97,3565.99,3603.1699,146800
2025-06-17,3597.51,3646.96,3597.51,3604.6499,138800
2025-06-18,3620.6299,3642.1699,3596.3501,3603.6299,131700
2025-06-20,3606.5,3656.28,3591.1001,3655.3301,206100
2025-06-23,3664.6399,3727.4299,3642.3101,3709.54,214700
2025-06-24,3697.24,3697.24,3575.4099,3577.54,161400
2025-06-25,3568.48,3583.8401,3477.8799,3489.54,227700
2025-06-26,3502.98,3525.6001,3442.76,3522.25,204200
2025-06-27,3517.04,3612.1001,3517.04,3609.49,367900
2025-06-30,3628.1799,3723.4199,3583.1101,3712.23,185400
2025-07-01,3707.51,3750.99,3688.6101,3718.5901,134600
2025-07-02,3695.27,3720.1499,3661.76,3685.3401,111400
2025-07-03,3723.4399,3770.29,3695.1499,3769.26,84800
2025-07-07,3763.9099,3795.23,3746.49,3790.6399,115800
2025-07-08,3782.3501,3783.5,3721.05,3742.0801,108300
2025-07-09,3731.6399,3748.75,3703.28,3742.1799,83500
2025-07-10,3749.73,3779.95,3700.0,3728.48,188300
2025-07-11,3710.51,3731.6499,3681.8301,3705.6399,105600
2025-07-14,3711.21,3778.49,3695.5901,3772.3,126900
2025-07-15,3749.8501,3789.9299,3690.49,3696.9399,68000
2025-07-16,3693.75,3693.75,3632.1499,3682.6201,110800
2025-07-17,3674.25,3719.96,3637.0701,3649.4199,96300
2025-07-18,3665.22,3715.9299,3650.0,3713.9299,100700
2025-07-21,3714.3601,3774.5,3705.3501,3729.7,107600
2025-07-22,3730.29,3775.98,3706.04,3773.71,101500
2025-07-23,3764.0,3773.8701,3705.8899,3771.1899,123000
2025-07-24,3774.53,3891.7,3762.1799,3841.5,174300
2025-07-25,3861.0601,3893.21,3814.1101,3820.9099,80700
2025-07-28,3802.8999,3822.0,3780.77,3796.5601,77300
2025-07-29,3824.6001,3879.46,3803.9299,3873.8501,171100
2025-07-30,3891.28,3919.5,3817.45,3843.1101,124300
2025-07-31,3828.99,3860.9299,3754.4199,3768.3799,162300
2025-08-01,3816.8799,3859.1201,3755.8899,3858.8601,104900
2025-08-04,3870.6101,3972.1899,3870.6101,3967.76,113000
2025-08-05,3961.6001,4021.9299,3961.6001,4011.25,152500
2025-08-06,4023.05,4094.6899,4020.0,4072.8,109300
2025-08-07,4072.8,4081.0601,4012.3101,4060.3301,73300
2025-08-08,4060.3201,4078.8,4027.79,4035.1599,93600
2025-08-11,4043.99,4055.6299,4017.3899,4036.79,96400
2025-08-12,4041.6201,4045.99,3974.0901,4000.6699,95600
2025-08-13,4022.9199,4049.6201,4013.1499,4036.4299,108300
2025-08-14,4030.8601,4041.1001,3989.53,3992.48,80500
2025-08-15,4005.6001,4021.01,3989.25,4006.9099,100200
2025-08-18,4030.0,4066.6799,4023.75,4039.95,137300
2025-08-19,4029.3,4138.3599,4029.3,4128.7998,114200
2025-08-20,4154.2798,4187.3901,4121.3398,4158.1001,121800
2025-08-21,4109.29,4147.4902,4100.02,4127.6899,91400
2025-08-22,4151.1499,4157.5698,4089.1399,4110.6099,119400
2025-08-25,4100.0,4141.5,4086.8899,4139.8301,80200
2025-08-26,4145.8501,4187.3701,4117.2002,4180.1699,117500
2025-08-27,4216.02,4216.02,4164.02,4205.4102,113500
2025-08-28,4187.2998,4222.4399,4172.77,4197.0898,78900
2025-08-29,4213.9902,4229.6802,4182.2598,4198.5298,89700
2025-09-02,4198.0,4225.0,4165.1699,4179.8398,96700
2025-09-03,4174.9399,4195.48,4165.8198,4189.48,92200
2025-09-04,4195.1499,4238.1899,4180.0,4232.96,80600
2025-09-05,4237.0498,4248.1401,4200.0,4219.4102,92400
2025-09-08,4218.0,4259.2202,4218.0,4242.8799,112900
2025-09-09,4224.0,4291.1201,4204.3101,4291.1201,94100
2025-09-10,4282.0,4304.9399,4238.8901,4252.8999,99300
2025-09-11,4263.8799,4388.1099,4263.8799,4354.54,163200
2025-09-12,4316.6802,4363.29,4316.6802,4322.1499,100900
2025-09-15,4334.8101,4357.8101,4198.5601,4233.2998,166800
2025-09-16,4237.6001,4285.3398,4212.3398,4223.9302,118900
2025-09-17,4234.9902,4236.6201,4194.2798,4232.5698,106800
2025-09-18,4223.6099,4235.6802,4112.5098,4132.8301,242600
2025-09-19,4146.2202,4149.73,4114.5,4140.3599,184600
2025-09-22,4166.6201,4188.3599,4105.2002,4121.0,192600
2025-09-23,4034.73,4179.2202,3969.5901,4120.0,263700
2025-09-24,4109.7202,4228.0,4050.01,4176.8901,183000
2025-09-25,4176.8901,4176.8901,4090.1699,4136.0698,143000
2025-09-26,4139.3501,4217.5498,4118.29,4198.0298,87200
2025-09-29,4189.5601,4276.0,4139.9102,4273.8398,132100
2025-09-30,4270.0,4332.6802,4270.0,4290.2402,121600
2025-10-01,4267.3198,4286.3799,4197.8501,4247.96,118800
2025-10-02,4222.2798,4293.0298,4184.5898,4253.71,106400
2025-10-03,4245.54,4252.54,4177.21,4215.0801,91400
2025-10-06,4213.5298,4224.0801,4101.7998,4174.4302,136500
2025-10-07,4170.0,4170.0,4068.23,4085.9299,115900
2025-10-08,4073.6299,4090.1299,4020.01,4027.76,112700
2025-10-09,4054.99,4054.99,3916.6299,3967.28,171300
2025-10-10,3986.8,4093.9199,3941.29,4075.3101,156600
2025-10-13,4056.6599,4146.4199,4056.6599,4097.9702,93400
2025-10-14,4095.24,4113.4399,4051.46,4055.99,112200
2025-10-15,4022.0,4076.3401,4000.0,4027.03,120300
2025-10-16,4035.8201,4047.4099,4002.3,4007.9099,76500
2025-10-17,4019.51,4036.22,3981.3601,4030.1699,110100
2025-10-20,4030.1699,4034.1001,3945.1201,3968.5701,119600
2025-10-21,3985.3999,4015.0,3952.7,4006.21,102600
2025-10-22,4010.0,4040.0,3974.3799,3997.26,79600
2025-10-23,3986.0,3986.51,3744.02,3850.0,307000
2025-10-24,3880.3501,3880.3501,3788.9099,3805.5601,125400
2025-10-27,3775.0,3835.0,3775.0,3814.21,127000
2025-10-28,3785.05,3878.3701,3785.05,3803.0,140500
2025-10-29,3793.5,3826.6699,3692.3201,3709.1201,147000
2025-10-30,3670.6001,3756.3301,3670.6001,3705.6299,136500
2025-10-31,3669.6001,3708.02,3654.76,3674.4299,145600
2025-11-03,3665.3101,3665.3101,3492.6001,3576.1399,227400
2025-11-04,3594.1101,3690.05,3572.48,3675.8999,186300
2025-11-05,3683.8799,3749.9399,3652.6101,3661.8101,131500
2025-11-06,3630.0,3714.4199,3613.1201,3673.6599,137700
2025-11-07,3695.3899,3718.8401,3645.96,3718.26,115700
2025-11-10,3681.1101,3741.8799,3657.03,3728.0901,107800
2025-11-11,3735.0,3778.04,3720.54,3756.24,75800
2025-11-12,3778.26,3808.0,3752.5,3788.7,101700
2025-11-13,3867.0601,3886.28,3817.0801,3819.29,127000
2025-11-14,3837.4099,3878.9399,3817.48,3856.8701,124600
2025-11-17,3863.8,3893.55,3851.02,3855.26,123400
2025-11-18,3847.1399,3860.21,3807.6001,3827.8899,102700
2025-11-19,3824.1001,3853.3899,3772.8101,3808.55,101500
2025-11-20,3805.02,3858.8401,3783.0901,3849.8101,123400
2025-11-21,3867.04,3939.0,3845.6299,3897.8799,123700
2025-11-24,3876.53,3903.8101,3840.0,3851.52,141700
2025-11-25,3841.55,3962.0901,3818.8601,3948.0701,110500
2025-11-26,3932.1599,3975.0,3932.1599,3967.95,67900
2025-11-28,3951.5901,3979.99,3944.01,3954.3301,51400
2025-12-01,3949.99,3996.25,3942.8301,3946.99,91500
2025-12-02,3946.6101,3946.6101,3808.48,3826.77,157800
2025-12-03,3837.3701,3870.4399,3806.6101,3822.9199,115000
2025-12-04,3858.74,3872.8,3817.6899,3840.5,110000
2025-12-05,3837.6599,3868.46,3781.5801,3822.6599,116100
2025-12-08,3790.0,3829.6001,3763.0,3766.96,229300
2025-12-09,3694.8899,3720.6299,3460.23,3496.77,380000
2025-12-10,3473.49,3503.0901,3388.5701,3421.1299,264800
2025-12-11,3449.97,3490.8501,3395.5,3469.1001,271600
2025-12-12,3484.78,3490.8701,3416.8501,3445.71,165300
2025-12-15,3453.6699,3511.0,3442.04,3488.71,224100
2025-12-16,3466.01,3491.95,3408.52,3417.4199,168000
2025-12-17,3401.0,3441.02,3390.02,3393.3501,180400
2025-12-18,3384.27,3430.55,3344.04,3426.6101,250500
2025-12-19,3423.0601,3457.98,3376.8899,3392.3401,327800
2025-12-22,3381.78,3424.99,3380.23,3413.8101,136800
2025-12-23,3436.29,3486.2,3419.3601,3463.6101,196200
2025-12-24,3447.01,3479.73,3447.01,3456.02,91600
2025-12-26,3459.3101,3467.0,3438.6599,3448.7,66600
2025-12-29,3471.1101,3471.1101,3400.6001,3415.8101,137800
2025-12-30,3405.0,3413.0,3378.0901,3398.8501,89200
2025-12-31,3390.0,3409.3501,3383.95,3391.5,88200
2026-01-02,3375.3101,3384.25,3285.1599,3303.8201,175300
2026-01-05,3259.95,3288.0,3232.48,3268.3,160300
2026-01-06,3243.6399,3267.3899,3210.72,3244.9199,183500
2026-01-07,3238.6699,3353.49,3238.6699,3318.0801,336200
2026-01-08,3307.75,3336.77,3285.4299,3313.99,231600
2026-01-09,3303.6899,3429.0,3303.6899,3421.1699,243400
2026-01-12,3439.0,3529.1299,3428.22,3523.0,235700
2026-01-13,3510.74,3529.99,3441.8301,3505.75,139800
2026-01-14,3508.78,3529.76,3457.78,3472.6599,134800
2026-01-15,3440.3,3478.1799,3381.8999,3465.45,150400
2026-01-16,3456.6299,3528.3999,3410.72,3522.02,192100
2026-01-20,3479.96,3577.0,3477.1101,3573.98,296300
2026-01-21,3576.8201,3678.5701,3576.8201,3671.6799,254200
2026-01-22,3657.99,3707.96,3640.76,3698.6299,186300
2026-01-23,3711.52,3731.6599,3652.3799,3700.0,173800
2026-01-26,3724.96,3805.8899,3702.22,3786.03,190100
2026-01-27,3801.8401,3819.53,3742.72,3799.99,146700
2026-01-28,3781.9099,3806.3899,3722.01,3782.1399,118600
2026-01-29,3780.52,3837.5,3685.0,3703.76,143500
2026-01-30,3699.9199,3724.72,3667.0,3704.29,165000
2026-02-02,3693.4199,3745.6499,3638.0,3722.4099,190900
2026-02-03,3691.8501,3787.3401,3662.6799,3671.6101,149000
2026-02-04,3700.0,3787.0,3680.8101,3720.5,187700
2026-02-05,3673.4299,3702.9099,3577.8301,3605.03,178300
2026-02-06,3580.6299,3685.4299,3580.6299,3681.26,140700
2026-02-09,3658.25,3681.0,3616.8201,3634.29,116000
2026-02-10,3623.5,3672.6299,3590.5,3664.8401,99700
2026-02-11,3667.23,3763.1299,3648.0601,3735.8501,96700
2026-02-12,3747.98,3844.6399,3747.98,3788.71,142700
2026-02-13,3812.25,3887.03,3811.23,3858.1599,106300
2026-02-17,3859.8601,3879.99,3714.0601,3742.0,123200
2026-02-18,3728.98,3756.1101,3680.6399,3744.6399,93900
2026-02-19,3738.8,3759.77,3696.1799,3745.49,101500
2026-02-20,3759.3999,3779.49,3627.4199,3748.52,132500
2026-02-23,3740.6499,3859.3601,3740.0,3829.27,121000
2026-02-24,3816.8701,3856.4399,3773.8799,3784.4199,100000
2026-02-25,3748.51,3769.0,3638.4299,3671.8201,162700
2026-02-26,3675.0,3687.1699,3620.0,3660.0,128200
2026-02-27,3681.5,3765.3799,3655.1599,3755.5801,216400
2026-03-02,3761.01,3882.47,3747.5,3882.47,271300
2026-03-03,3650.0,3765.0,3561.5701,3637.1699,275300
2026-03-04,3666.1101,3719.77,3595.6799,3717.0,157400
2026-03-05,3685.72,3784.6001,3666.3,3742.02,168800
2026-03-06,3766.3,3766.3,3634.52,3641.29,112900
2026-03-09,3680.1299,3705.9299,3617.6299,3672.6799,152500
2026-03-10,3676.75,3770.05,3663.99,3726.02,122200
2026-03-11,3706.3701,3731.3601,3660.1599,3712.4199,111500
2026-03-12,3700.48,3724.8201,3612.0,3614.27,118000
2026-03-13,3630.46,3637.51,3537.6201,3562.8501,119700
2026-03-16,3556.47,3570.0,3474.6599,3488.8799,139900
2026-03-17,3495.3701,3513.95,3432.96,3439.6399,129300
2026-03-18,3421.3701,3429.3401,3360.8201,3361.98,118300
2026-03-19,3350.5,3391.49,3311.3501,3341.5801,155800
2026-03-20,3336.6799,3371.0996,3281.3701,3282.8999,173884
