date,open,high,low,close,volume
2025-03-14,39.3744,40.1177,39.2864,39.9905,35979900
2025-03-17,40.0199,40.8512,39.6971,40.5284,37242800
2025-03-18,40.8023,40.9099,40.3817,40.7338,37644500
2025-03-19,40.8023,41.7607,40.3915,41.2815,42471100
2025-03-20,40.8414,41.7803,40.7338,41.5456,41018100
2025-03-21,41.2326,41.7216,40.9685,41.5358,65011000
2025-03-24,41.9857,42.2008,41.8096,42.1226,30646100
2025-03-25,42.3964,42.5725,42.0932,42.3279,25445300
2025-03-26,42.504,42.7583,41.79,41.8781,30012100
2025-03-27,41.8781,42.1421,41.5847,41.6238,25619200
2025-03-28,41.5064,41.6825,40.0883,40.3426,34253000
2025-03-31,39.8829,40.9783,39.7069,40.812,36390000
2025-04-01,40.4111,40.7827,40.0688,40.5773,25578500
2025-04-02,39.9807,41.0468,39.9221,40.9294,28216100
2025-04-03,37.7802,37.9856,36.2057,36.4013,115497900
2025-04-04,34.5137,35.0027,32.9293,33.6335,107761200
2025-04-07,34.2008,35.8242,32.8022,34.7973,137329100
2025-04-08,36.0492,36.5088,33.5748,34.2594,79116300
2025-04-09,33.301,37.0174,32.3425,36.3328,161173500
2025-04-10,35.5211,35.5993,33.8682,35.0614,90451800
2025-04-11,34.4257,35.433,34.0443,35.1592,63671900
2025-04-14,35.6873,36.1763,35.4722,35.8634,46830600
2025-04-15,36.9685,37.8976,36.9685,37.1543,84677800
2025-04-16,37.0272,37.3206,36.1568,36.5088,52872700
2025-04-17,36.6849,37.037,36.4208,36.5871,47144400
2025-04-21,36.2546,36.4599,35.6873,36.1078,34928300
2025-04-22,36.7436,37.6433,36.5773,37.4771,42288900
2025-04-23,38.5431,39.2472,37.8194,37.8976,54428400
2025-04-24,37.8096,38.8267,37.7509,38.7093,42457100
2025-04-25,38.6702,38.9147,38.4551,38.8169,32694200
2025-04-28,38.9245,39.1983,38.592,38.9049,37428000
2025-04-29,38.7582,39.257,38.6115,39.1103,33792500
2025-04-30,38.4942,39.1201,37.9661,39.0027,40994600
2025-05-01,38.9441,39.5504,38.7093,39.2864,33569100
2025-05-02,40.0101,40.323,39.8047,40.1666,41613000
2025-05-05,39.9514,40.5773,39.7265,40.2155,32829200
2025-05-06,39.7558,40.3622,39.6678,39.9416,29541800
2025-05-07,40.1372,40.4306,39.9612,40.0296,30925900
2025-05-08,40.3817,41.2228,40.3426,40.6849,41861700
2025-05-09,40.812,41.0565,40.7729,40.8707,27222800
2025-05-12,42.3671,42.993,41.9954,42.4062,44875100
2025-05-13,42.4649,43.5113,42.4649,43.306,43232500
2025-05-14,43.2179,43.9319,43.1593,43.7558,42419500
2025-05-15,43.6189,43.9906,43.0419,43.4038,47379400
2025-05-16,43.3646,43.8047,42.6996,43.7069,49488100
2025-05-19,43.1397,44.147,43.1397,43.7852,37915700
2025-05-20,43.6091,43.9221,43.4331,43.7069,33424300
2025-05-21,43.394,43.5113,42.2008,42.2986,55594100
2025-05-22,42.2302,42.6116,42.015,42.3573,29026200
2025-05-23,41.5455,42.4747,41.4184,42.2497,34875100
2025-05-27,42.8267,43.2473,42.3475,43.2473,36322000
2025-05-28,43.2375,43.4624,42.993,43.0908,35673800
2025-05-29,43.394,43.482,42.9343,43.2668,28545100
2025-05-30,43.2179,43.3255,42.7583,43.1593,66537500
2025-06-02,42.9148,43.1788,42.4062,43.1104,28582600
2025-06-03,43.0419,43.7461,42.9734,43.6678,31320200
2025-06-04,43.6189,44.0981,43.3646,43.3842,30591700
2025-06-05,43.4722,43.5994,43.0419,43.4038,32020900
2025-06-06,43.9645,44.4367,43.9153,44.24,37013000
2025-06-09,44.3777,44.663,44.053,44.1416,32414000
2025-06-10,44.0727,44.4662,44.0235,44.358,32229100
2025-06-11,44.4662,44.6728,43.8268,44.0038,47873500
2025-06-12,43.6792,43.9252,43.3054,43.8956,30165400
2025-06-13,43.2857,43.7382,42.9512,43.3742,43281700
2025-06-16,43.9153,44.1613,43.63,43.689,34103600
2025-06-17,43.5513,43.9448,43.3447,43.512,27489600
2025-06-18,43.5415,44.4662,43.4923,44.3285,37684700
2025-06-20,44.5744,44.9089,44.5351,44.7614,64591600
2025-06-23,44.663,45.6172,44.3777,45.5484,42683600
2025-06-24,45.9911,46.4239,45.814,45.9025,45437600
2025-06-25,45.8238,46.2173,45.7058,46.0894,33532400
2025-06-26,46.1878,46.8076,46.1386,46.6895,40127000
2025-06-27,46.6797,46.8961,46.1485,46.3551,56705000
2025-06-30,46.8469,46.8469,46.2665,46.5518,47921200
2025-07-01,46.2567,47.6339,46.178,47.3683,48540900
2025-07-02,47.5749,47.9389,47.2798,47.9192,48003600
2025-07-03,48.1553,48.5095,48.0176,48.1357,21620300
2025-07-07,47.9488,48.4111,47.5848,47.87,35567900
2025-07-08,46.7289,47.0142,46.0009,46.3846,88086500
2025-07-09,46.3944,46.6797,45.9517,46.0796,46227900
2025-07-10,46.1386,46.4534,46.0206,46.2075,44225000
2025-07-11,45.8828,46.0501,45.4992,45.9714,31653000
2025-07-14,46.0501,46.3059,45.7943,46.3059,36381200
2025-07-15,46.1189,46.2468,45.204,45.4008,55145000
2025-07-16,45.4992,45.8041,44.2793,45.2827,61296600
2025-07-17,44.8991,46.4534,44.7023,46.2567,56480700
2025-07-18,46.2468,46.6108,46.1386,46.5518,48314200
2025-07-21,46.7682,47.2601,46.4337,46.7092,32199700
2025-07-22,46.8273,47.388,46.6895,46.9945,34749400
2025-07-23,47.2306,47.5257,47.0338,47.3585,31380100
2025-07-24,47.7028,48.2045,47.4274,47.6044,42967600
2025-07-25,47.6044,47.7618,47.1617,47.6635,24461200
2025-07-28,47.6635,47.752,47.2995,47.447,20590400
2025-07-29,47.6044,47.7225,47.1125,47.1716,26216500
2025-07-30,47.4765,47.7127,46.965,47.1814,32265900
2025-07-31,46.9847,47.2503,46.4239,46.5026,40016300
2025-08-01,45.6074,45.6566,44.5843,44.9188,52310400
2025-08-04,45.2139,45.3614,44.8991,45.1057,31038900
2025-08-05,45.204,45.2532,44.0235,44.8204,36798300
2025-08-06,44.9679,45.1942,44.6531,44.6826,27916800
2025-08-07,44.9679,45.0171,44.053,44.1908,30609900
2025-08-08,44.417,45.5484,44.2498,45.2631,37131600
2025-08-11,45.3123,45.7648,45.0663,45.4106,35559400
2025-08-12,45.7254,46.8863,45.6074,46.7289,35481200
2025-08-13,46.906,46.9847,46.2272,46.4731,29465100
2025-08-14,46.3255,46.9551,46.1288,46.9355,21073800
2025-08-15,46.9748,47.0437,46.1386,46.178,26276900
