date,open,high,low,close,volume
2025-03-14,67.7286,68.1177,66.6468,67.8425,4177000
2025-03-17,68.6397,70.1106,67.8235,70.0062,4399000
2025-03-18,69.1711,69.9208,68.8769,69.3988,2396900
2025-03-19,69.7879,70.4332,68.9054,70.0252,2489100
2025-03-20,69.7879,71.3443,69.6741,69.731,2664700
2025-03-21,68.8579,69.9587,67.7381,69.8069,6849500
2025-03-24,70.3004,71.9896,70.2339,71.8092,3256100
2025-03-25,71.9054,72.6454,71.2326,71.7132,2310800
2025-03-26,71.9054,72.7511,71.1077,71.915,2398300
2025-03-27,71.6555,72.7895,71.6555,71.9534,2327400
2025-03-28,71.4921,71.9534,69.4451,69.6277,2547500
2025-03-31,68.5417,71.4152,68.3303,70.7425,3529000
2025-04-01,70.7905,71.8092,70.3004,71.4729,2346500
2025-04-02,70.7329,73.3181,70.4253,72.7799,2160700
2025-04-03,63.7173,64.5438,59.4502,59.7962,10734600
2025-04-04,56.9515,59.8442,55.1063,58.0855,8429600
2025-04-07,57.1437,62.564,56.0962,58.8448,9968200
2025-04-08,61.5068,61.9489,52.8574,53.9819,7837000
2025-04-09,54.2894,61.3435,52.8478,61.1705,12482500
2025-04-10,58.9024,59.0274,55.0198,57.4224,7115400
2025-04-11,56.6247,58.2681,55.0198,58.0759,5163800
2025-04-14,62.0162,62.0162,58.7198,59.3541,9499300
2025-04-15,59.4118,60.4978,58.4027,58.7583,4036800
2025-04-16,58.1816,59.0466,56.8554,57.3071,3158000
2025-04-17,57.6915,59.95,57.6915,59.5559,3862400
2025-04-21,58.9024,59.8635,57.951,59.6905,3088500
2025-04-22,60.6804,61.9105,59.998,60.911,4699300
2025-04-23,64.0921,65.6393,60.8726,60.9975,4941700
2025-04-24,61.5069,63.5923,60.4305,63.4289,3671600
2025-04-25,63.4193,65.5625,63.4001,65.0723,5171700
2025-04-28,65.351,66.0718,63.6115,64.8513,3462100
2025-04-29,64.2362,64.4957,63.525,64.0825,2453200
2025-04-30,62.9676,64.1593,62.1123,64.0921,3534600
2025-05-01,64.6687,65.1877,64.1113,64.4284,2596300
2025-05-02,65.8988,66.5908,64.8513,65.4183,3315500
2025-05-05,64.5341,66.2256,64.5341,65.0243,2103700
2025-05-06,64.1882,64.5245,63.4962,64.0825,2235800
2025-05-07,64.7071,66.1199,64.438,65.7162,2983000
2025-05-08,66.4466,67.6575,65.5336,66.7157,2519100
2025-05-09,66.783,66.8695,65.8316,66.1679,1881800
2025-05-12,72.3474,73.4238,69.0703,70.5118,5019300
2025-05-13,71.5594,71.8285,70.6848,70.8963,2935700
2025-05-14,70.5599,71.4344,70.1659,70.5311,3529100
2025-05-15,70.089,70.4926,69.57,70.0025,2148500
2025-05-16,70.5599,71.002,69.8391,70.9251,2137800
2025-05-19,69.522,69.8103,68.2822,68.8108,3356400
2025-05-20,68.7147,69.9352,68.1188,68.3783,4254600
2025-05-21,67.2731,68.8685,66.7638,67.4173,3541100
2025-05-22,67.177,68.3206,67.0521,68.0035,3125000
2025-05-23,65.1108,67.9651,64.9282,67.1962,3591100
2025-05-27,68.657,69.4643,67.8305,69.4066,3619900
2025-05-28,69.6181,70.0794,68.7243,68.7339,4762000
2025-05-29,65.7066,66.216,61.8048,63.7365,11675200
2025-05-30,63.4674,64.5438,63.2944,63.698,6442200
2025-06-02,64.1882,65.7066,63.525,65.6105,4785500
2025-06-03,65.6682,67.5807,65.4952,67.1193,4007400
2025-06-04,66.8503,67.2539,66.2544,66.956,2496300
2025-06-05,66.6965,68.5994,66.0045,67.7152,3325400
2025-06-06,68.3111,70.5118,68.3111,70.1755,3845700
2025-06-09,70.9635,70.9731,69.7334,69.916,4424600
2025-06-10,70.3869,72.5012,70.1563,71.9919,4247300
2025-06-11,72.1744,72.4628,69.57,69.8199,3485400
2025-06-12,69.522,69.8007,69.0222,69.7142,2455700
2025-06-13,68.5705,69.2529,66.5235,66.8887,2916700
2025-06-16,67.8017,68.5513,66.9944,68.4552,2989300
2025-06-17,67.6768,67.9458,66.5139,66.6869,4375100
2025-06-18,66.6577,66.9597,65.9853,66.0243,2799100
2025-06-20,66.3264,66.57,65.1863,65.7904,5187900
2025-06-23,65.0402,65.1474,62.994,64.6699,3985200
2025-06-24,65.3422,67.3592,65.1863,67.0766,4386400
2025-06-25,66.8233,67.2423,65.6345,66.2581,2837600
2025-06-26,66.6089,66.9987,65.8489,66.6771,2148100
2025-06-27,67.252,67.7197,65.4786,66.4725,4743000
2025-06-30,66.7356,66.8428,65.0499,65.4104,3711700
2025-07-01,65.5663,70.3213,65.3812,68.8403,5341200
2025-07-02,69.5029,70.0875,68.47,69.7562,3687100
2025-07-03,70.3506,70.9742,69.8341,70.2531,1785000
2025-07-07,69.7562,69.99,68.012,68.7039,4196000
2025-07-08,69.2105,70.9157,69.0059,70.3895,3915000
2025-07-09,70.6721,71.2275,70.029,70.6039,2799700
2025-07-10,70.7111,72.8352,70.5259,71.8316,3649900
2025-07-11,70.8085,71.2665,69.9023,69.9511,3039900
2025-07-14,68.6746,69.1911,67.5736,69.1326,4043400
2025-07-15,69.0839,70.0485,67.0864,67.1059,3330100
2025-07-16,67.3495,67.3495,64.6796,65.1376,4335200
2025-07-17,65.2838,66.0925,64.9817,65.9366,3058500
2025-07-18,66.1705,66.1899,64.7771,65.8197,3540200
2025-07-21,66.0633,66.3166,64.0755,64.4945,4405000
2025-07-22,64.8161,66.7453,64.7868,66.4043,3466700
2025-07-23,67.0571,67.4177,66.4043,66.7064,4195800
2025-07-24,67.3007,68.0121,65.2643,65.5663,3232500
2025-07-25,66.0633,66.4725,65.0889,65.7125,2553400
2025-07-28,65.9756,67.213,65.5566,66.0535,2443300
2025-07-29,66.1022,66.1412,64.4555,64.7381,3172000
2025-07-30,64.7381,65.4299,63.7247,64.1048,3284800
2025-07-31,63.6468,64.056,63.1304,63.3935,3149200
2025-08-01,62.8673,62.9452,61.7662,62.4775,3188700
2025-08-04,63.0037,64.8843,63.0037,64.5238,2822700
