date,open,high,low,close,volume
2025-03-14,18.1959,18.479,17.9505,18.4224,3424300
2025-03-17,18.3469,18.8565,18.2997,18.6866,4329000
2025-03-18,18.7432,18.7904,18.5734,18.7432,2265700
2025-03-19,18.8754,19.0924,18.7055,18.9509,2872400
2025-03-20,18.8282,19.0924,18.7715,18.8848,2607100
2025-03-21,18.696,18.8565,18.5167,18.7527,12327300
2025-03-24,18.8659,19.0075,18.6961,18.9414,3187600
2025-03-25,19.0075,19.0736,18.8093,18.9037,2098300
2025-03-26,18.8754,19.0547,18.6394,18.7432,2292000
2025-03-27,18.6489,18.9037,18.5167,18.7338,2496300
2025-03-28,18.6111,18.7149,18.1581,18.1959,3509100
2025-03-31,18.0231,18.5797,17.9847,18.4742,4407100
2025-04-01,18.4166,18.6565,18.2918,18.5317,4068100
2025-04-02,18.311,18.7333,18.2918,18.6469,2574500
2025-04-03,17.9271,17.9847,17.2074,17.2266,10242300
2025-04-04,16.9674,17.5049,16.4972,16.8043,11448300
2025-04-07,16.0941,17.0826,15.7006,16.1901,10424400
2025-04-08,16.6603,16.9674,15.7678,15.9885,8021100
2025-04-09,15.5951,18.0135,15.5951,17.8312,10625700
2025-04-10,17.5529,17.6008,16.4876,17.0058,5617100
2025-04-11,16.8043,17.3033,16.5644,17.1786,5794800
2025-04-14,17.4089,17.5337,17.1018,17.3321,3745600
2025-04-15,17.4857,17.668,17.2074,17.2458,3386400
2025-04-16,17.1402,17.3705,16.7179,16.8427,3504900
2025-04-17,16.8907,17.1498,16.8043,16.9003,4102900
2025-04-21,16.7083,16.8427,16.478,16.6507,4107400
2025-04-22,16.9099,17.3705,16.9099,17.3225,3403900
2025-04-23,17.8504,18.2534,17.5145,17.6488,3836600
2025-04-24,17.6872,18.1095,17.5816,17.9943,2549500
2025-04-25,17.8983,18.0615,17.7736,17.9655,3536200
2025-04-28,17.9175,18.1671,17.8312,17.9751,3351600
2025-04-29,17.8983,18.0231,17.8024,17.9943,2965300
2025-04-30,17.6872,18.0711,17.4377,18.0039,5809500
2025-05-01,18.1479,18.2534,17.8983,17.9847,4898500
2025-05-02,18.4166,19.3187,18.0423,19.2515,8990800
