date,open,high,low,close,volume
2025-03-14,33.9342,34.06,33.5568,33.6632,2878900
2025-03-17,33.9535,35.0469,33.8761,34.6115,2771700
2025-03-18,34.5244,34.6018,34.0309,34.147,2582300
2025-03-19,33.9148,34.1857,33.5084,33.731,2320600
2025-03-20,33.9438,34.1954,33.6923,33.789,2188000
2025-03-21,33.5858,34.1664,33.46,33.5278,8046100
2025-03-24,33.0633,33.5568,32.5021,32.744,2845000
2025-03-25,32.8601,33.0827,32.5602,32.6085,2746800
2025-03-26,32.4731,33.2472,32.4731,33.073,2486300
2025-03-27,33.0246,33.7213,32.9569,33.3729,1771000
2025-03-28,33.4697,33.8858,33.0246,33.3052,2084700
2025-03-31,33.2859,33.6052,32.8021,32.8408,3646700
2025-04-01,32.7924,33.044,32.028,32.415,3616000
2025-04-02,32.444,33.7116,32.0667,33.3923,2921600
2025-04-03,33.5568,33.8084,31.6699,31.8441,4663700
2025-04-04,31.6409,31.6699,30.7023,30.9829,4058000
2025-04-07,30.683,33.4213,30.4217,31.699,8127500
2025-04-08,32.2989,32.2989,29.9282,30.4411,3959300
2025-04-09,30.2863,33.3439,30.1992,33.0149,4120500
2025-04-10,32.715,32.9762,31.6409,32.5505,3200700
2025-04-11,32.5505,33.3246,32.057,33.1988,2237500
2025-04-14,33.2568,33.7116,32.9666,33.3342,1892700
2025-04-15,33.0827,33.131,32.2312,32.357,1856500
2025-04-16,32.4537,32.6376,31.7957,31.9506,1747100
2025-04-17,32.2021,32.773,32.0086,32.6956,1796800
2025-04-21,32.3279,33.1601,31.9602,33.0827,2462500
2025-04-22,33.3633,33.8277,33.2762,33.5858,2061000
2025-04-23,33.8664,34.2051,33.0536,33.46,1654300
2025-04-24,33.4116,33.7213,33.0246,33.4891,1718600
2025-04-25,33.3052,33.5374,32.4247,32.8601,2031400
2025-04-28,32.9278,33.5084,32.6859,33.0053,2465800
2025-04-29,32.7537,33.2762,32.5892,33.2278,1570100
2025-04-30,33.3246,33.7213,33.044,33.7116,2657300
2025-05-01,33.6149,33.6149,32.9278,33.0536,2097200
2025-05-02,33.4117,33.76,33.2278,33.3826,1553600
2025-05-05,33.2859,33.6826,33.1214,33.2859,1617500
2025-05-06,33.2278,33.6536,33.0827,33.2859,2207500
2025-05-07,33.3439,33.46,32.8214,33.3439,1682600
2025-05-08,33.2762,34.0212,33.2181,33.6439,2030300
2025-05-09,33.431,33.8471,33.3729,33.5374,2530000
2025-05-12,34.1083,34.7373,33.6923,34.1374,2341700
2025-05-13,34.1083,34.3986,33.76,33.8084,2951800
2025-05-14,33.6729,33.8568,33.2278,33.7019,3304800
2025-05-15,33.6342,34.5631,33.4794,34.4277,1771200
2025-05-16,34.5534,34.9792,34.4276,34.9211,2036200
2025-05-19,34.6115,35.0082,34.2148,34.4954,2421200
2025-05-20,34.5341,34.9308,34.1664,34.2341,1865400
2025-05-21,34.2728,34.2922,33.5665,33.5858,2129300
2025-05-22,33.4117,33.4794,32.9569,33.1214,1740700
2025-05-23,32.7827,33.0343,32.444,32.8408,1777100
2025-05-27,33.1504,33.5278,32.9278,33.4407,2172800
2025-05-28,33.3052,33.5374,32.715,32.7634,2424300
2025-05-29,33.044,33.3246,32.5795,32.9859,3105400
2025-05-30,32.8698,33.0246,32.2408,32.2602,4182100
2025-06-02,32.0376,32.1441,31.4861,32.1247,4161600
2025-06-03,31.8054,32.3376,31.4861,32.1344,3616300
2025-06-04,32.2021,32.4053,31.9215,32.1247,7199700
2025-06-05,26.5997,27.4802,26.1546,26.3674,21205800
2025-06-06,26.6964,27.3641,26.6964,27.1996,12389300
2025-06-09,27.4893,27.6259,26.2699,26.982,9354900
2025-06-10,27.2064,27.899,26.943,27.0894,6378300
2025-06-11,27.0796,27.304,26.7577,26.826,7659400
2025-06-12,26.5528,26.7479,26.0651,26.6211,8340900
2025-06-13,26.4455,26.4943,25.6846,25.792,7013100
2025-06-16,26.0944,26.1821,24.9335,25.2847,9775400
2025-06-17,25.2652,25.5188,24.9043,25.1774,6687800
2025-06-18,25.0896,25.5383,24.953,25.0213,6797100
2025-06-20,25.1189,25.5871,25.0018,25.0506,15733300
2025-06-23,25.2262,25.987,24.9823,25.831,7651800
2025-06-24,25.9188,26.0261,25.6261,25.6456,4771400
2025-06-25,25.4018,25.6456,25.1676,25.4213,3686200
2025-06-26,25.4115,25.6944,25.3432,25.5481,5787300
2025-06-27,25.7334,25.9188,25.5091,25.8115,5011100
2025-06-30,25.8505,26.3675,25.7627,26.2504,4130000
2025-07-01,26.2504,27.3918,26.0943,27.1674,5433100
2025-07-02,27.46,28.2502,27.2942,28.0063,4018700
2025-07-03,27.9575,27.9966,27.5771,27.5771,2183500
2025-07-07,27.382,27.4795,26.9235,27.0991,5544400
2025-07-08,27.0308,27.9088,26.9528,27.7722,4487400
2025-07-09,27.86,28.0356,27.1479,27.6259,4432800
2025-07-10,27.7429,28.8843,27.5966,28.377,4655000
2025-07-11,27.9673,28.5526,27.7819,28.299,2947400
2025-07-14,28.299,28.338,27.4405,27.5283,5178600
2025-07-15,27.6551,27.6551,26.7967,26.8162,4232400
2025-07-16,26.904,27.2259,26.5333,26.9918,4830500
2025-07-17,27.0016,28.4453,27.0016,28.3282,4766900
2025-07-18,28.5233,28.6501,27.9868,28.2112,3807700
2025-07-21,28.3672,28.5038,27.5966,27.6551,3097900
2025-07-22,27.8697,29.4793,27.7234,29.45,5425500
2025-07-23,29.5476,30.3865,29.1964,30.1426,5840800
2025-07-24,29.9768,30.5621,29.8402,30.3865,3417600
2025-07-25,30.4645,30.4645,29.7817,30.2012,2647800
2025-07-28,29.8988,30.1036,29.4793,29.5768,3121000
2025-07-29,29.5866,29.6354,29.2842,29.5964,2587000
2025-07-30,29.411,29.5671,28.4355,28.6599,2554800
2025-07-31,27.86,28.2209,27.7332,28.1429,5935600
2025-08-01,28.3868,28.4355,27.5478,28.0453,3717700
2025-08-04,28.0648,29.0111,27.9966,28.9233,3117700
2025-08-05,29.0111,29.85,28.933,29.5964,2575200
2025-08-06,29.7915,30.0939,29.4793,29.7622,3336400
2025-08-07,30.0451,30.3572,29.8305,30.2304,2819500
2025-08-08,29.7037,30.1329,29.4403,30.0353,2939100
2025-08-11,30.0158,30.5133,29.9475,29.9963,2526900
2025-08-12,30.1134,30.2987,29.3427,29.7817,3213700
2025-08-13,29.85,30.2207,29.3818,30.0939,3110000
2025-08-14,29.6842,29.8597,29.3037,29.4403,2019900
2025-08-15,29.5866,29.7037,28.9525,29.6842,3504700
2025-08-18,29.6256,30.2109,29.5964,29.7524,3131300
2025-08-19,30.1817,30.5133,29.5769,29.8305,3451400
2025-08-20,29.8597,30.2987,29.5086,29.6842,2897000
2025-08-21,29.5768,29.7134,29.2647,29.7134,3988900
2025-08-22,29.8402,30.5036,29.8207,30.4938,2849400
2025-08-25,30.0646,30.289,29.8988,30.2792,3236900
2025-08-26,29.967,30.1036,28.7184,29.1184,4504600
2025-08-27,28.9916,29.7037,28.8355,29.7037,4117800
2025-08-28,30.7474,30.8352,27.977,28.2599,6616500
2025-08-29,28.3965,29.2744,28.2404,29.2062,5362700
2025-09-02,28.855,29.0111,28.0746,28.4258,3448600
2025-09-03,28.236,28.472,27.5871,27.7248,3453800
