date,open,high,low,close,volume
2025-03-14,56.9624,57.1052,55.8963,56.1724,11905700
2025-03-17,56.3151,57.2385,55.5536,57.1052,9666800
2025-03-18,57.0005,57.3622,56.6769,57.0196,9967900
2025-03-19,56.9815,57.6383,56.6007,57.1909,8304200
2025-03-20,56.9815,58.1333,56.9053,57.5145,12197400
2025-03-21,57.3337,58.3903,56.9624,58.1333,25865100
2025-03-24,57.8668,58.3046,57.0862,58.1143,11976800
2025-03-25,58.2666,58.5331,56.3342,56.3437,10969100
2025-03-26,56.4674,56.8196,55.7154,56.3627,11579500
2025-03-27,56.3342,56.6959,55.9439,56.0676,8751200
2025-03-28,56.5436,57.2195,55.4299,57.1338,10791600
2025-03-31,56.9244,58.6759,56.515,58.0571,11615900
2025-04-01,57.8477,58.1618,56.3913,56.6864,9623800
2025-04-02,56.9339,57.3432,56.3151,56.734,8310000
2025-04-03,57.6859,57.8763,54.8873,55.0396,13246900
2025-04-04,54.6739,55.0107,52.6532,53.2113,14657900
2025-04-07,51.8642,53.2113,50.6999,53.1055,16820500
2025-04-08,53.0862,53.6636,50.1899,51.0656,16335100
2025-04-09,49.2662,52.0085,48.0345,51.7103,24323900
2025-04-10,51.3157,51.4023,46.9761,48.5541,23973300
2025-04-11,48.5638,49.0834,47.4283,48.7947,13411300
2025-04-14,49.5837,49.6511,48.6407,49.4009,14310300
2025-04-15,49.2854,49.5549,47.794,48.1115,15684400
2025-04-16,48.2077,48.4964,46.9953,47.4957,14991000
2025-04-17,47.3225,48.1981,47.207,47.3706,14244100
2025-04-21,47.4861,47.794,46.341,47.0915,10338700
2025-04-22,47.4476,48.1692,47.0338,47.9383,13376000
2025-04-23,45.831,47.4668,45.7444,46.697,24036600
2025-04-24,46.1293,46.9953,45.1575,46.851,20579300
2025-04-25,47.0242,47.1012,45.1863,46.0908,16298800
2025-04-28,46.4853,47.0146,46.1101,46.6297,18574700
2025-04-29,46.5046,47.6112,46.3314,47.361,19932800
2025-04-30,48.2943,48.4483,47.2936,48.304,15951600
2025-05-01,47.6978,48.2847,46.851,47.7362,17163100
2025-05-02,48.2174,48.737,47.8036,48.66,14167200
2025-05-05,48.5638,48.6889,47.4764,48.1693,12394600
2025-05-06,47.8613,47.9191,45.6097,45.7733,18517500
2025-05-07,45.9754,46.3699,45.4942,45.8214,15921800
