date,open,high,low,close,volume
2025-03-14,223.8965,225.8731,222.6512,224.9836,297700
2025-03-17,223.2719,227.8521,223.2719,227.5081,765500
2025-03-18,226.8201,227.5671,224.9034,227.2722,471700
2025-03-19,228.1666,232.6387,227.5376,231.3413,518700
2025-03-20,230.3486,230.6435,227.7243,229.808,362200
2025-03-21,228.4025,230.2012,227.0068,228.9136,1115400
2025-03-24,230.9679,234.172,230.2208,231.7836,472800
2025-03-25,232.4028,235.0173,230.8794,232.8844,482800
2025-03-26,233.5233,236.4327,232.0982,234.1131,395900
2025-03-27,234.3195,237.6023,233.0908,234.8011,445100
2025-03-28,234.8994,234.8994,231.9802,233.4447,420600
2025-03-31,233.022,239.6369,232.3733,238.31,794900
2025-04-01,238.1625,240.7574,234.8895,240.5313,658700
2025-04-02,238.4771,242.7821,237.9266,242.0351,534800
2025-04-03,236.8258,242.0056,234.9682,235.8036,825700
2025-04-04,231.4495,232.0883,220.854,221.1882,740600
2025-04-07,216.9126,223.2227,208.6957,216.4703,945900
2025-04-08,222.2988,223.5176,210.3469,213.502,794800
2025-04-09,211.605,230.0636,211.605,228.314,617300
2025-04-10,224.3727,227.5965,218.151,224.471,812000
2025-04-11,222.9573,228.5794,220.0283,227.6359,575000
2025-04-14,229.0807,233.7592,228.5106,232.4815,341600
2025-04-15,232.9238,233.543,231.2529,231.7246,461800
2025-04-16,231.705,232.855,228.9333,231.2627,476000
2025-04-17,231.9704,234.634,230.8597,231.8131,533700
2025-04-21,230.6533,230.6533,221.2668,224.1761,352700
2025-04-22,226.7414,231.3413,226.4859,230.9777,384500
2025-04-23,234.2015,236.8258,231.4003,232.2161,442800
2025-04-24,230.2503,234.6831,229.12,234.0541,334200
2025-04-25,233.4152,235.4793,231.6558,233.6511,350800
2025-04-28,234.1032,235.0566,230.8499,233.1203,658600
2025-04-29,232.7075,236.5801,232.4618,235.5775,621400
2025-04-30,234.4767,238.6245,231.3512,238.251,781000
2025-05-01,233.1203,233.1203,220.3625,224.1073,1048700
2025-05-02,227.2918,230.555,226.7119,228.9234,599900
2025-05-05,228.2944,230.2012,226.9577,228.2059,741200
2025-05-06,228.2551,230.4272,227.2427,229.5721,533000
2025-05-07,230.0636,233.14,230.0636,232.1473,602500
2025-05-08,233.258,236.3835,231.8819,231.9605,571900
2025-05-09,231.9998,233.4938,230.3781,232.9434,400600
2025-05-12,237.3074,237.3074,229.1495,232.9926,703300
