date,open,high,low,close,volume
2025-03-14,96.07,97.39,95.56,97.16,4924600
2025-03-17,96.76,99.41,96.52,98.9,5703000
2025-03-18,98.36,99.41,97.93,99.22,5370000
2025-03-19,99.93,101.49,98.94,100.73,5504500
2025-03-20,100.41,102.01,100.1,101.51,6282300
2025-03-21,100.85,101.0,99.3,100.69,8617100
2025-03-24,101.72,102.92,101.23,102.67,5831200
2025-03-25,102.86,104.35,102.6,103.08,9346700
2025-03-26,103.12,103.48,101.02,102.34,6645800
2025-03-27,102.23,102.24,100.26,100.8,7610500
2025-03-28,99.94,100.42,98.02,99.36,7404100
2025-03-31,98.56,101.25,97.85,100.88,8522400
2025-04-01,100.4,101.28,99.46,101.24,5958000
2025-04-02,99.71,101.02,98.44,100.05,11755600
2025-04-03,96.94,99.86,96.65,98.5,10996700
2025-04-04,94.73,95.89,89.65,89.7,22572300
2025-04-07,87.04,93.89,85.98,91.54,14290000
2025-04-08,94.5,95.05,89.05,90.64,10816100
2025-04-09,90.22,97.65,86.77,96.77,23603300
2025-04-10,95.23,95.57,91.01,92.64,11631900
2025-04-11,93.06,94.48,91.89,93.67,8303600
2025-04-14,95.28,95.63,93.65,94.27,7876900
2025-04-15,94.66,95.12,93.69,94.23,6615600
2025-04-16,94.78,96.69,94.04,95.25,7874200
2025-04-17,95.6,96.06,94.67,95.12,6673000
2025-04-21,95.05,95.18,92.7,93.58,9990400
2025-04-22,93.9,95.61,93.35,95.05,8611000
2025-04-23,100.0,102.37,98.43,98.92,12865200
2025-04-24,99.03,101.68,98.93,101.14,8984500
2025-04-25,101.39,102.15,100.82,101.9,5413000
2025-04-28,102.5,102.95,101.5,102.18,7816000
2025-04-29,102.4,103.2,101.62,102.74,5478700
2025-04-30,102.34,103.12,101.46,102.87,6702600
2025-05-01,102.76,103.83,101.51,103.19,8206100
2025-05-02,105.0,105.54,104.28,104.93,7363300
2025-05-05,104.54,104.81,103.54,104.24,4822600
2025-05-06,103.32,104.47,103.1,104.12,6123100
2025-05-07,104.49,105.05,103.83,104.8,4392600
2025-05-08,105.13,105.74,103.22,103.29,5274900
2025-05-09,102.97,103.66,102.53,102.86,3609500
2025-05-12,104.55,104.55,101.82,102.87,6974200
2025-05-13,103.19,103.68,102.26,102.95,7066900
2025-05-14,102.99,103.48,102.57,102.95,5738400
2025-05-15,103.21,105.06,102.78,104.86,6941100
2025-05-16,105.44,106.24,104.72,106.04,7292800
2025-05-19,105.69,106.72,105.52,106.66,7933900
2025-05-20,106.3,106.67,105.3,106.54,7906900
2025-05-21,106.42,107.06,104.37,104.64,8076000
2025-05-22,104.2,105.0,103.57,104.5,7715900
2025-05-23,103.86,104.87,103.58,104.5,5205900
2025-05-27,105.36,106.67,105.22,106.17,6910700
2025-05-28,104.26,105.72,103.5,104.51,6364700
2025-05-29,104.5,105.0,103.87,104.5,7128900
2025-05-30,104.52,105.37,104.09,105.26,10524900
2025-06-02,104.53,105.26,102.82,104.17,5005100
2025-06-03,104.0,104.2,102.32,103.1,8429800
2025-06-04,103.17,103.49,102.4,102.43,5682000
2025-06-05,102.96,103.24,102.13,102.83,8242700
2025-06-06,103.05,105.78,100.96,102.09,9114400
2025-06-09,101.46,101.54,99.62,100.04,8560600
2025-06-10,100.24,100.46,98.99,99.34,8711400
2025-06-11,99.16,100.08,98.78,99.4,8453700
2025-06-12,99.49,99.58,98.06,98.56,9101200
2025-06-13,98.19,100.88,98.0,99.74,10330800
2025-06-16,100.68,102.4,100.34,101.49,9288200
2025-06-17,101.32,102.41,101.2,101.73,6858000
2025-06-18,101.81,102.27,100.84,101.37,5188700
2025-06-20,101.62,102.29,101.24,101.3,11349500
2025-06-23,101.45,102.4,100.9,102.36,6203300
2025-06-24,102.74,104.3,102.05,104.12,7160500
2025-06-25,104.14,105.09,104.01,104.29,5691700
2025-06-26,104.57,105.2,104.16,104.58,5071500
2025-06-27,104.73,107.05,104.62,106.53,15637200
2025-06-30,106.5,107.53,106.25,107.41,7006500
2025-07-01,107.36,107.5,103.95,104.78,8531000
2025-07-02,104.73,105.39,102.67,103.63,6514700
2025-07-03,104.47,104.5,103.48,104.32,2931100
2025-07-07,104.62,104.7,103.29,103.83,5892100
2025-07-08,103.52,104.16,101.56,102.41,7750900
2025-07-09,102.95,103.21,101.6,102.96,6241000
2025-07-10,103.11,104.41,102.46,103.86,7225100
2025-07-11,104.08,104.08,102.85,103.2,5890200
2025-07-14,102.66,105.19,102.49,104.33,9819500
2025-07-15,104.38,104.55,102.91,103.48,7361600
2025-07-16,104.19,104.29,102.59,103.19,9259100
2025-07-17,102.98,104.74,102.69,104.65,9489100
2025-07-18,105.13,105.4,102.26,103.64,8571100
2025-07-21,103.02,104.96,103.01,103.78,5528700
2025-07-22,104.23,104.56,103.16,103.16,7924300
2025-07-23,107.06,108.94,105.75,107.76,15115200
2025-07-24,108.35,108.53,104.69,106.21,10261500
2025-07-25,106.18,107.25,105.94,106.14,5875100
2025-07-28,106.33,107.38,105.56,105.84,6624800
2025-07-29,106.68,107.25,106.1,106.47,6352600
2025-07-30,106.46,107.23,105.88,106.76,7165700
2025-07-31,106.13,106.43,104.58,104.92,6714600
2025-08-01,104.75,106.41,104.06,105.41,6339000
2025-08-04,105.64,106.8,105.33,106.79,4623900
2025-08-05,106.66,106.75,104.53,104.83,4834900
2025-08-06,105.0,105.38,101.6,102.95,9105300
2025-08-07,103.35,103.76,101.96,102.96,5406400
2025-08-08,103.27,104.46,103.11,103.14,5076200
2025-08-11,102.77,103.84,102.52,102.75,4166100
2025-08-12,102.9,103.58,101.62,102.64,6446700
2025-08-13,102.8,103.07,101.62,102.5,5859200
2025-08-14,102.64,104.33,102.11,104.15,7246100
2025-08-15,104.42,104.65,102.59,103.17,5342300
2025-08-18,103.0,103.36,102.18,103.05,8516900
2025-08-19,102.32,103.79,102.05,103.75,5229700
2025-08-20,103.9,106.33,103.88,106.05,6062400
2025-08-21,105.83,105.99,104.9,105.21,5926800
2025-08-22,105.71,106.69,105.42,106.17,9397500
2025-08-25,106.16,106.2,105.1,105.11,4507500
2025-08-26,105.05,106.46,104.67,106.39,5613700
2025-08-27,106.43,107.01,105.82,105.87,5706500
2025-08-28,105.7,105.9,104.8,105.75,3936200
2025-08-29,105.64,105.72,104.89,105.5,4066900
2025-09-02,105.47,106.87,104.24,106.66,7768100
2025-09-03,107.0,107.69,105.17,107.53,7518700
2025-09-04,107.59,108.47,106.6,107.29,7355300
2025-09-05,107.11,108.25,106.72,107.22,4063400
