date,open,high,low,close,volume
2025-03-14,134.7039,137.0636,132.8665,136.2513,5222900
2025-03-17,136.4737,144.4134,136.4737,142.9144,5202100
2025-03-18,142.9144,143.7557,139.8584,141.3767,3362900
2025-03-19,141.2414,145.8156,139.4523,144.7905,4050600
2025-03-20,143.1368,145.98,143.0401,143.8525,3131900
2025-03-21,141.8023,144.307,140.8932,143.4076,8381100
2025-03-24,146.0284,147.9819,143.6107,147.0728,3072900
2025-03-25,147.1018,148.1366,144.2876,146.2315,3782400
2025-03-26,145.0613,146.0284,141.1446,141.8313,3523000
2025-03-27,140.9899,141.0866,138.4658,139.7424,2993500
2025-03-28,138.4658,139.1331,133.1373,133.5628,4999800
2025-03-31,131.4255,136.2706,128.8434,135.1778,5797100
2025-04-01,135.5066,138.5142,134.0657,138.0984,4039500
2025-04-02,135.642,143.6784,135.642,142.7984,4064300
2025-04-03,132.9729,135.3906,128.3309,128.7177,11369100
2025-04-04,123.8824,124.685,115.2947,120.9231,13062200
2025-04-07,116.2038,126.4548,111.8519,120.546,13461300
2025-04-08,126.6869,127.8667,113.9602,116.1167,11546100
2025-04-09,115.0916,134.9747,113.3122,132.8375,11512800
2025-04-10,128.8434,129.5881,119.3371,123.2538,9237000
2025-04-11,121.7741,124.3659,119.2501,122.9927,7806900
2025-04-14,126.5515,127.7507,124.1144,126.1743,6846000
2025-04-15,126.1356,130.6519,125.6328,129.1432,6224200
2025-04-16,127.1027,128.3696,122.9443,125.1202,5767300
2025-04-17,127.6539,128.1375,124.4046,126.097,4577000
2025-04-21,122.8186,123.4665,114.7435,116.2618,6702600
2025-04-22,117.8865,121.5034,117.5577,120.7974,5083800
2025-04-23,126.6869,130.062,122.335,122.8186,5621100
2025-04-24,123.3698,131.3192,122.8476,130.12,6577400
2025-04-25,129.1336,130.4295,127.6346,128.4856,4663700
2025-04-28,129.4985,132.2254,128.6804,130.0926,3609000
2025-04-29,128.7973,130.2581,127.4631,130.0536,2270400
2025-04-30,126.4794,128.622,123.5772,128.2714,5751600
2025-05-01,129.0213,132.2936,127.541,129.9075,4007100
2025-05-02,132.5954,135.7411,131.7384,133.8323,4969600
2025-05-05,132.2936,134.7186,132.0014,132.5565,2640800
2025-05-06,129.5666,132.2838,129.3524,130.5016,2864000
2025-05-07,130.7451,133.2285,130.7451,132.5857,3031300
2025-05-08,134.6699,138.4875,133.9297,136.1599,4853000
2025-05-09,136.754,138.468,135.3419,135.7509,3114200
2025-05-12,144.8665,148.0316,142.7045,145.11,6669100
2025-05-13,145.2755,146.8727,144.1166,144.7204,3474100
2025-05-14,145.0126,146.0839,143.766,144.5451,2247800
2025-05-15,143.766,143.99,141.4871,142.9187,3397000
2025-05-16,143.6881,143.6881,141.5455,142.87,3790500
2025-05-19,139.3543,142.0909,138.7407,141.6526,3181200
2025-05-20,140.2405,141.2241,139.3737,140.4353,4566100
2025-05-21,138.3122,139.0913,133.4622,133.9005,4588100
2025-05-22,133.3454,134.2705,132.1572,133.3551,3856800
2025-05-23,130.0146,133.6862,129.7712,132.5662,2613900
2025-05-27,134.3972,135.9262,133.4233,135.6632,3448300
2025-05-28,136.0723,136.267,134.4751,134.7965,2228800
2025-05-29,136.2865,136.2865,133.8518,135.2542,2208800
2025-05-30,134.553,135.2542,132.5078,135.1373,6191200
2025-06-02,134.5627,135.449,132.6344,135.186,3007800
2025-06-03,135.1178,136.1502,133.842,135.3808,3935900
