date,open,high,low,close,volume
2025-03-14,61.906,62.5538,61.3344,62.4109,1182500
2025-03-17,63.154,65.9835,63.0969,65.3929,1765100
2025-03-18,64.7831,65.7358,64.4021,65.1738,1418500
2025-03-19,65.1642,66.5456,65.0023,65.6025,1462700
2025-03-20,65.4786,66.0502,64.9546,65.2309,1346500
2025-03-21,65.2881,65.7454,64.2496,65.1071,2903000
2025-03-24,65.7358,66.5647,65.6025,66.1931,1555400
2025-03-25,66.4408,66.5933,64.6117,65.269,1139100
2025-03-26,65.3452,65.8787,64.7546,65.6596,1106700
2025-03-27,65.5453,66.1455,64.907,65.088,1063100
2025-03-28,65.269,65.5739,63.8971,64.4783,1216700
2025-03-31,64.3816,65.4256,63.7049,64.952,1582200
2025-04-01,65.2226,65.4353,63.5213,64.7296,1340100
2025-04-02,64.0723,65.6866,63.3279,65.561,1148100
2025-04-03,63.5889,64.2463,60.4085,60.5149,1449700
2025-04-04,59.1808,59.8382,56.9188,58.4075,2530800
2025-04-07,56.8994,59.9542,54.56,56.5418,2276600
2025-04-08,57.9628,59.3258,54.1057,54.966,1983800
2025-04-09,53.9413,59.9058,52.414,59.5385,2482700
2025-04-10,57.8081,58.1658,54.9757,57.6728,2200500
2025-04-11,57.1024,58.7651,55.6331,58.6201,1907200
2025-04-14,59.9252,61.2495,59.2292,60.7469,1903300
2025-04-15,60.6502,61.7135,60.3215,61.4719,1486600
2025-04-16,61.4719,61.9746,60.3988,60.9692,1412100
2025-04-17,61.3559,62.6512,61.2592,61.7522,1413500
2025-04-21,60.7759,61.1529,59.5288,60.4858,1388600
2025-04-22,61.6169,62.1872,60.8435,61.8005,1588200
2025-04-23,63.4536,65.213,62.8446,63.1152,1742400
2025-04-24,63.1056,64.0819,62.9122,63.8306,1004100
2025-04-25,63.5213,63.8403,63.1442,63.6566,770200
2025-04-28,63.3183,64.546,63.1443,64.0336,1331000
2025-04-29,63.7533,64.0529,61.7716,62.9509,2443200
2025-04-30,60.0508,62.0712,58.7555,61.6072,3881200
2025-05-01,62.2839,63.1056,61.0949,62.1389,1244100
2025-05-02,63.1829,63.8983,62.3129,62.8832,1254700
2025-05-05,62.3709,63.3859,62.2162,62.5836,691800
2025-05-06,62.2066,62.7092,61.5879,61.8489,1038400
2025-05-07,62.3032,62.9509,61.8006,61.9166,1337100
2025-05-08,62.2646,62.5159,61.3559,61.4235,1402800
2025-05-09,61.5975,62.2742,61.1819,62.0712,1105300
2025-05-12,63.9273,64.9133,63.7629,64.3816,1216100
2025-05-13,64.7103,64.8746,63.2989,63.8403,1215800
2025-05-14,63.6469,64.5846,63.1926,63.9079,2143500
2025-05-15,63.9079,64.7876,63.6179,64.749,923200
2025-05-16,64.8263,65.677,64.3043,65.5803,1103300
2025-05-19,64.9326,65.7253,64.662,65.6383,1044500
2025-05-20,65.2516,66.083,65.2516,65.3483,1217800
2025-05-21,65.2516,65.2516,62.7769,62.8252,1257900
2025-05-22,62.6416,63.2699,61.7909,62.4772,999800
2025-05-23,61.9166,62.8542,61.7329,62.4579,1369700
2025-05-27,63.4343,65.0873,63.1926,64.8553,1619300
2025-05-28,64.923,65.59,64.2849,65.5126,1392000
2025-05-29,66.0443,66.5857,65.4643,66.5567,1643800
2025-05-30,66.2473,66.2473,64.604,65.0873,2502800
2025-06-02,64.5846,65.4836,63.6276,65.3386,1110600
2025-06-03,65.242,68.461,64.8843,68.0357,1838300
2025-06-04,68.0067,69.3117,67.446,68.8574,1886600
2025-06-05,68.9347,70.0174,68.5867,69.4181,1314200
2025-06-06,70.2204,71.8735,69.9788,71.6511,1741000
2025-06-09,71.9605,72.1055,69.9498,70.1624,3455100
2025-06-10,70.4718,70.9551,68.7221,70.4621,2044200
2025-06-11,70.7811,71.7381,70.2108,70.5491,1693600
2025-06-12,70.5008,71.1581,70.2591,71.0324,806100
2025-06-13,70.4331,71.1001,69.1184,69.6984,1065600
2025-06-16,70.3461,71.1581,69.6791,70.3944,2143300
2025-06-17,70.7714,70.7811,69.1474,69.3504,1669000
2025-06-18,69.3891,69.9981,69.0797,69.3214,1775300
2025-06-20,69.4954,70.2688,68.9637,69.0894,3225600
2025-06-23,70.1528,70.1528,66.7307,68.6254,2169500
2025-06-24,68.9927,69.4567,67.4074,67.997,2004700
2025-06-25,67.0593,67.1947,64.3526,64.4203,2886700
2025-06-26,65.01,65.6286,64.5169,65.503,2988900
2025-06-27,66.0443,66.924,65.619,66.315,1996900
2025-06-30,66.4523,66.6484,65.3833,66.1679,1473100
2025-07-01,65.6383,68.551,65.2166,66.8054,1392900
2025-07-02,66.6975,67.1878,66.1581,66.9524,1222200
2025-07-03,66.6092,67.8743,66.6092,67.5016,774300
2025-07-07,67.178,67.2565,65.6874,66.0306,1560600
2025-07-08,65.8737,67.3251,65.6481,66.9819,1149900
2025-07-09,67.2467,68.3352,67.2271,67.6978,1479800
2025-07-10,67.6389,69.2277,67.5409,68.9237,1400900
2025-07-11,67.943,69.669,67.943,69.4042,1490500
2025-07-14,69.3748,70.3163,69.3552,69.8553,1605700
2025-07-15,70.1692,70.277,68.5216,68.5706,1042100
2025-07-16,68.8648,69.7573,67.8841,68.7471,1654400
2025-07-17,68.6196,68.8648,67.0015,67.6978,1366500
2025-07-18,68.041,68.2176,67.4722,67.6193,1369000
2025-07-21,68.1097,68.3549,67.3938,67.6782,873900
2025-07-22,68.0606,69.8847,67.8253,69.7475,848700
2025-07-23,70.1005,70.6497,69.5415,70.1103,1055800
2025-07-24,69.4827,70.0613,69.0904,69.3748,1175100
2025-07-25,69.5807,70.6595,69.1983,70.4143,1540300
2025-07-28,70.1495,70.228,68.1685,68.2568,1287200
2025-07-29,68.4725,69.3257,68.0214,69.0708,2058900
2025-07-30,68.4235,69.0413,64.4222,65.148,3158500
2025-07-31,64.5595,65.501,64.0398,64.1673,4179700
2025-08-01,65.0695,65.0695,62.0489,63.3729,2711900
2025-08-04,63.5788,64.9028,63.216,64.4713,2056300
2025-08-05,64.6184,65.2656,63.8829,64.8243,2195200
2025-08-06,64.9714,65.1578,64.3438,64.7459,1537500
2025-08-07,65.1872,65.2657,63.9417,64.4222,1255100
2025-08-08,64.285,64.6478,61.8136,62.0293,2107600
2025-08-11,61.7842,62.5491,60.7937,60.9113,1535100
2025-08-12,61.6174,62.451,61.0388,62.4412,2294100
2025-08-13,62.4903,64.4419,62.4412,64.2359,1183300
2025-08-14,63.3631,64.1869,62.7256,63.9515,1105600
2025-08-15,64.1869,64.4124,63.3043,64.1771,937200
2025-08-18,64.3928,64.6772,63.7063,63.9025,1156000
2025-08-19,64.334,65.6089,64.1771,65.5795,1306300
2025-08-20,65.707,65.9031,64.7949,65.148,1188500
2025-08-21,64.5792,65.2362,64.3536,65.1382,1031000
2025-08-22,65.3441,68.5118,65.2755,68.0312,1286900
