date,open,high,low,close,volume
2025-03-14,64.5413,65.8327,64.2258,65.5862,4181800
2025-03-17,65.5468,66.8431,65.5369,66.6706,3886300
2025-03-18,66.4143,66.4636,65.7341,66.3453,3097100
2025-03-19,66.3157,67.2917,66.0298,66.7199,4408200
2025-03-20,65.9805,66.572,64.8173,65.4876,4354600
2025-03-21,64.8272,65.2806,64.1666,65.2313,11049700
2025-03-24,66.2171,67.0847,65.9017,66.9959,4104200
2025-03-25,67.0452,67.6219,66.6115,67.1438,4016000
2025-03-26,67.2325,67.5095,65.7144,66.02,3790500
2025-03-27,65.9115,65.9115,64.6201,64.7384,3837900
2025-03-28,64.699,64.9257,62.3626,62.4316,4139200
2025-03-31,61.8303,62.9502,60.8937,62.5006,4839600
2025-04-01,62.3429,63.171,61.3965,62.6386,4176400
2025-04-02,61.8598,64.2948,61.6233,64.1174,3159800
2025-04-03,62.1063,62.9048,59.7305,59.8586,5760500
2025-04-04,58.0645,58.2616,55.0774,56.3689,6934400
2025-04-07,55.5605,58.6362,53.4509,56.0238,6336500
2025-04-08,57.3842,58.1236,53.7663,54.762,6109600
2025-04-09,54.5057,60.4403,54.0177,59.9079,8776000
2025-04-10,58.2912,58.8137,56.2703,58.2123,7081300
2025-04-11,57.7884,58.9517,56.9702,58.4193,7161200
2025-04-14,59.4052,60.46,58.4686,59.7305,5391500
2025-04-15,59.7305,60.4008,59.2179,59.6122,4390700
2025-04-16,58.6362,59.7206,57.7687,58.3503,3909500
2025-04-17,58.8925,59.5432,58.3996,59.0503,3714300
2025-04-21,58.4391,58.6362,56.6055,57.3547,4607600
2025-04-22,57.3448,58.9123,57.3448,58.6264,3411500
2025-04-23,59.4249,60.0164,57.7391,57.7687,7743400
2025-04-24,58.3602,59.7108,58.163,59.4545,4665900
2025-04-25,59.2967,59.7403,58.8334,59.208,3869000
2025-04-28,59.3559,60.3387,58.9221,59.6319,4197200
2025-04-29,59.4052,60.598,59.3855,59.9572,4881700
2025-04-30,59.7403,61.781,59.2277,61.6528,8626200
2025-05-01,66.7593,69.3077,65.1327,68.8098,10603900
2025-05-02,69.2302,70.9609,68.5774,70.7433,6134500
2025-05-05,70.4664,71.1112,69.873,70.0312,5563200
2025-05-06,69.0818,69.962,68.8445,69.4181,5031400
2025-05-07,69.6455,70.1737,68.4983,69.2203,5762100
2025-05-08,69.9324,70.9856,69.5664,69.7247,5140000
2025-05-09,70.2488,70.7532,69.9126,70.6543,5539900
2025-05-12,73.2356,73.5818,72.0389,72.6323,5802000
2025-05-13,73.295,74.2543,72.845,73.829,10638400
2025-05-14,73.4235,74.0268,72.4345,72.5532,5086800
2025-05-15,72.3257,72.7906,72.2862,72.6719,3782500
2025-05-16,73.295,74.818,72.9488,74.7884,7296500
2025-05-19,73.5224,75.4609,72.9488,74.996,6554500
2025-05-20,75.0158,75.7843,73.6312,74.1257,5093200
2025-05-21,72.9983,73.2851,71.129,71.2972,5182000
2025-05-22,71.1884,71.5148,70.5356,70.9807,4882900
2025-05-23,69.8631,70.595,69.4804,70.1994,4450700
2025-05-27,71.3763,71.5543,70.1104,71.5345,3453400
2025-05-28,71.6334,71.7224,70.1895,70.2587,3829800
2025-05-29,70.8422,70.862,69.9818,70.6247,2998100
2025-05-30,70.5159,70.7433,69.7988,70.417,6337900
2025-06-02,69.9324,70.0708,68.5478,69.5664,3564600
