date,open,high,low,close,volume
2025-03-14,333.1362,337.3482,332.3766,335.0301,1936100
2025-03-17,335.1287,339.686,334.3988,337.9894,1683800
2025-03-18,337.3581,337.3581,330.7984,332.1399,3310000
2025-03-19,332.3569,337.3581,332.1004,334.024,2407200
2025-03-20,330.0289,335.1682,329.0819,331.6861,2782900
2025-03-21,326.7145,331.3902,324.7417,331.2225,6766100
2025-03-24,335.9277,338.4924,334.6848,337.0325,2277200
2025-03-25,338.9166,340.1299,336.204,337.9697,1678000
2025-03-26,338.6996,342.5565,334.1916,336.4801,1703200
2025-03-27,336.4505,337.358,332.0609,334.6947,1481100
2025-03-28,332.4259,333.659,323.5974,325.2151,1965200
2025-03-31,321.2103,327.4741,317.6295,325.3236,2837500
2025-04-01,322.5715,327.7009,319.4939,326.0832,1955300
2025-04-02,321.7035,331.7847,321.6739,330.1177,1747600
2025-04-03,315.3312,320.2929,300.8603,301.61,4638700
2025-04-04,281.1317,290.2956,277.6792,284.1699,7216800
2025-04-07,272.2539,290.3548,263.6719,276.2588,7824700
2025-04-08,285.9554,287.8197,264.6288,270.2219,4989000
2025-04-09,267.085,297.7629,265.4771,296.9244,6457300
2025-04-10,292.6532,294.2216,276.0023,285.2353,4116800
2025-04-11,285.0281,291.4004,280.2834,289.467,3197900
2025-04-14,294.6162,298.3745,291.6963,294.0736,2758400
2025-04-15,292.8011,297.6346,288.4214,289.4473,3611300
2025-04-16,288.7371,291.7161,283.7063,286.202,3017200
2025-04-17,288.2044,293.6594,287.9381,290.2562,2717600
2025-04-21,286.7771,288.4324,279.9677,282.2276,2978300
2025-04-22,284.9633,290.6427,284.4677,288.6009,2231200
2025-04-23,298.6812,302.6657,292.5755,293.1603,2458300
2025-04-24,294.8057,305.4906,294.4489,304.1525,2874400
2025-04-25,302.408,305.2725,301.2285,303.7461,2162400
2025-04-28,303.7461,308.6821,301.169,304.3507,2189600
2025-04-29,302.3089,305.9465,300.2373,304.6877,2651000
2025-04-30,312.4288,313.2613,299.5137,306.5412,5124800
2025-05-01,308.6326,316.0763,308.2758,311.1898,2961000
2025-05-02,315.67,321.8054,315.67,320.8241,3765200
2025-05-05,316.562,323.5895,316.562,320.2591,1829100
2025-05-06,318.7128,321.2404,317.0279,318.0587,1724200
2025-05-07,319.8924,319.9518,315.3032,317.464,1555500
2025-05-08,322.0135,325.9683,320.0509,321.389,2553400
2025-05-09,322.7767,324.8482,320.4573,322.7469,1646200
2025-05-12,340.0826,347.903,336.7325,339.5276,4592000
2025-05-13,345.8512,352.1948,344.9989,349.4294,4132500
2025-05-14,348.6167,349.3204,345.7026,346.5749,2052200
2025-05-15,346.3568,348.24,345.4251,346.7235,1580400
2025-05-16,348.4383,351.0946,345.1674,350.4602,2561700
2025-05-19,346.6145,349.8457,345.4647,349.4592,2277700
2025-05-20,347.7444,349.3501,344.424,346.4063,2266000
2025-05-21,343.5815,345.3458,338.6355,339.4879,2093400
2025-05-22,338.9824,344.305,337.5849,342.1443,2174100
2025-05-23,334.651,341.8965,333.2732,340.3602,1936600
2025-05-27,346.8623,350.2223,343.5616,348.4085,2240100
2025-05-28,349.3799,349.6871,345.7819,346.4063,1924400
