date,open,high,low,close,volume
2025-03-14,285.4939,293.0262,283.7251,292.112,2301900
2025-03-17,291.0984,296.8719,290.9991,295.5304,2096500
2025-03-18,295.5801,297.4482,292.9368,293.8013,1973700
2025-03-19,293.8311,295.1528,292.1418,294.3876,1646200
2025-03-20,293.2349,293.8808,291.2375,292.271,1510000
2025-03-21,291.2077,292.9467,288.1173,289.5979,3152100
2025-03-24,290.0252,291.1779,287.4018,289.6078,1464800
2025-03-25,290.5419,291.635,286.5472,289.5681,1158300
2025-03-26,290.7606,295.3714,290.065,293.4635,1132300
2025-03-27,295.4708,297.1203,292.6884,296.4843,1182700
2025-03-28,298.114,300.0915,294.2882,294.5764,2094500
2025-03-31,295.3615,301.7411,295.3515,300.0915,2455400
2025-04-01,300.966,302.4268,297.0707,299.5052,1483800
2025-04-02,298.3227,300.1611,296.226,299.6443,1536000
2025-04-03,299.545,304.9806,297.0011,300.5586,2114300
2025-04-04,295.3515,297.3886,277.8025,278.9155,3195300
2025-04-07,276.6796,279.5316,267.2394,272.5955,2851200
2025-04-08,280.7737,283.3375,269.6243,273.2613,2239100
2025-04-09,266.3152,285.4641,265.0631,282.8307,2609900
2025-04-10,281.0917,286.6863,275.4971,280.5651,1821700
2025-04-11,279.5614,282.8109,274.4438,281.5886,2562600
2025-04-14,283.2977,288.7234,281.8668,286.5273,1381800
2025-04-15,286.9348,287.3223,282.7313,283.0096,1119000
2025-04-16,287.3522,288.644,282.3339,283.2779,1461600
2025-04-17,283.7847,285.484,280.5651,283.7946,2477500
2025-04-21,283.2083,284.1126,275.5766,278.0211,1487100
2025-04-22,282.3239,290.3234,280.4756,288.5943,1635000
2025-04-23,283.417,288.0477,277.9218,282.7015,2102700
2025-04-24,281.2805,282.6022,279.5614,280.2272,1964200
2025-04-25,278.8161,279.7701,274.255,277.3554,2381200
2025-04-28,278.4683,280.8433,277.7727,280.4061,1593200
2025-04-29,279.0347,283.6158,279.0347,283.1587,1762700
2025-04-30,284.202,284.8181,277.5342,284.2815,1983400
2025-05-01,280.8731,283.268,279.3527,281.5091,1370900
2025-05-02,283.9139,285.9808,282.0159,285.5038,1522600
2025-05-05,285.315,287.2428,282.7015,286.0205,1004000
2025-05-06,285.1461,287.9881,284.6989,287.1832,1079900
2025-05-07,287.1832,289.3793,287.1832,288.6042,1318000
2025-05-08,287.4714,291.0488,287.0043,287.1534,1161200
2025-05-09,286.9845,289.1706,286.269,288.0577,834100
2025-05-12,287.1931,289.3992,280.4955,287.8291,1516300
2025-05-13,287.7099,289.3197,283.3375,283.5363,1454400
2025-05-14,283.5363,283.904,279.2335,279.6111,1322600
2025-05-15,280.5452,290.3432,280.2372,290.214,2662000
2025-05-16,290.0252,292.5393,289.2799,292.4797,1402300
2025-05-19,292.6288,294.1392,291.7046,292.7281,1267200
2025-05-20,290.0848,292.1518,288.9619,290.1246,1524500
2025-05-21,289.8762,290.9693,287.5807,288.5943,1858800
2025-05-22,288.7135,289.2501,283.894,285.2852,1146300
2025-05-23,285.7125,286.1199,283.3176,284.3014,745300
2025-05-27,285.9609,288.4849,284.2815,287.9086,1661100
2025-05-28,286.9745,288.8526,286.2292,287.1832,1497400
2025-05-29,286.4578,292.7082,286.4578,292.3008,1749100
2025-05-30,291.4065,296.6433,290.2438,295.3317,2483600
2025-06-02,292.8772,298.1141,292.4996,298.0445,1606000
2025-06-03,297.17,298.3823,290.9891,294.5466,2265200
2025-06-04,294.5566,294.5566,289.8066,289.9457,1347600
2025-06-05,290.8699,292.4698,287.2428,289.6873,1306300
2025-06-06,292.4002,292.6586,289.6277,291.9729,1340000
2025-06-09,290.4028,291.1581,282.4035,287.9782,1748200
2025-06-10,286.8751,288.0974,283.8344,284.4505,1504600
2025-06-11,283.735,285.1163,281.4197,283.8145,1591800
2025-06-12,283.0096,287.6006,282.9897,287.4714,1258500
2025-06-13,285.6268,288.1494,285.1682,285.9459,964800
2025-06-16,286.7435,288.4784,284.8392,285.5869,1273000
2025-06-17,284.5101,285.7066,281.828,282.9647,983500
2025-06-18,282.9647,283.6227,280.5618,281.3195,1217200
2025-06-20,282.4462,285.5471,281.8081,282.9846,2389100
2025-06-23,283.4233,287.611,282.5459,287.3418,1193200
2025-06-24,287.262,288.0896,285.0286,285.9359,1351900
2025-06-25,284.8491,284.8491,281.3893,281.9876,1424800
2025-06-26,282.6855,284.1412,281.5489,282.7354,1749400
2025-06-27,282.1371,285.6468,280.6715,284.2808,3782100
2025-06-30,283.4831,289.0068,281.8579,288.8672,1993300
2025-07-01,288.3388,289.645,284.3606,288.7376,1884100
2025-07-02,287.3218,287.6409,276.8128,279.2556,2546700
2025-07-03,280.7313,284.6597,279.1061,282.9647,1523500
2025-07-07,281.7682,283.4333,277.7501,279.146,1427400
2025-07-08,277.3712,281.2099,276.6334,279.126,1326200
2025-07-09,278.6773,279.5248,276.8129,279.1759,2052800
2025-07-10,278.6773,280.4421,277.5906,279.7143,1675200
2025-07-11,278.5477,278.9864,276.2645,277.2316,1249400
2025-07-14,277.1119,279.475,276.3841,279.3753,1017600
2025-07-15,277.1319,278.2286,274.37,274.8686,1246000
2025-07-16,276.6433,278.1688,274.9483,276.7829,1498000
2025-07-17,274.9683,276.3642,273.1935,274.6492,2771700
2025-07-18,274.2703,276.8827,272.4258,273.3232,2977900
2025-07-21,273.1935,274.9284,272.5355,273.2135,1963700
2025-07-22,273.4129,278.6275,273.4129,277.9096,2360500
2025-07-23,272.2065,272.2065,263.7614,269.3549,5215200
2025-07-24,269.2053,271.8675,268.2282,269.3848,2120900
2025-07-25,269.7836,271.7578,268.298,268.3578,2979100
2025-07-28,267.9789,268.7068,263.7514,265.2071,2541500
2025-07-29,267.271,268.4575,265.7754,267.7596,2442000
2025-07-30,268.0886,269.0258,264.2998,265.7256,1948100
2025-07-31,265.4065,268.3578,264.8083,265.257,2963100
2025-08-01,265.7754,266.9819,263.3227,266.6129,3215000
2025-08-04,266.7127,268.2082,265.8153,266.9519,1386400
2025-08-05,267.9789,268.5971,266.4534,266.8921,1260300
2025-08-06,268.2082,270.1425,267.2212,268.8364,1077900
2025-08-07,269.3748,269.7038,266.2341,268.5173,1588100
2025-08-08,269.0956,270.9601,268.9062,270.4417,961100
2025-08-11,270.8604,272.027,269.3648,270.2024,1276300
2025-08-12,270.9003,271.4686,268.9161,268.976,1436500
2025-08-13,269.9232,275.3571,269.1355,274.2305,1406500
2025-08-14,275.6064,275.9155,273.1935,274.9284,1054400
2025-08-15,276.0252,276.3243,273.1038,273.4029,1504400
2025-08-18,272.8446,273.5525,271.5185,272.1167,1160800
2025-08-19,272.2663,274.5196,272.1267,272.9941,4132100
2025-08-20,274.8985,279.5647,273.5824,278.8568,2438600
2025-08-21,279.2357,279.7741,277.7301,277.9994,1131800
2025-08-22,279.9735,280.8908,276.444,276.8727,1401800
2025-08-25,275.7859,276.8328,273.3531,273.6023,1194400
2025-08-26,272.5654,272.5654,269.8035,271.1994,2496000
2025-08-27,271.1994,272.9642,270.2323,272.2463,1557200
2025-08-28,271.1994,273.0839,270.312,272.4457,1452400
2025-08-29,273.2035,275.397,272.8146,274.2604,1248400
2025-09-02,275.8258,276.0052,272.2363,275.9952,1700800
2025-09-03,274.8187,277.6204,274.8087,277.4011,1117000
2025-09-04,279.1759,280.1729,278.0392,279.0562,1486300
2025-09-05,278.3483,279.3753,275.407,276.5636,2523200
2025-09-08,275.6563,277.2615,273.1138,276.6533,1343800
2025-09-09,275.5167,277.8498,275.5167,276.1747,1319900
2025-09-10,274.9185,276.6733,273.722,276.6334,1559600
2025-09-11,276.5935,282.4761,275.9155,282.0574,1657000
2025-09-12,279.9935,281.6785,276.9225,277.2914,2115200
2025-09-15,276.6334,277.102,272.7548,273.5226,2418200
2025-09-16,274.0011,274.6692,270.651,271.2193,2705600
2025-09-17,271.9871,273.3929,271.1894,271.4487,3390800
2025-09-18,269.8933,274.1906,269.8933,273.4727,2034900
2025-09-19,273.6522,274.6094,272.1965,273.0839,3627700
2025-09-22,272.9343,274.4398,271.9671,272.1965,1821000
2025-09-23,272.0269,275.6862,271.0299,275.0879,1441900
2025-09-24,274.7489,278.7671,274.6891,277.441,1755300
2025-09-25,278.9366,280.2128,276.4639,277.4809,1312500
2025-09-26,279.1759,281.3295,277.6603,279.8638,1032200
2025-09-29,279.5847,279.5847,276.7331,278.7372,1379000
2025-09-30,278.5078,282.0574,276.0352,281.4193,1583600
2025-10-01,280.7413,282.845,279.7342,280.5817,1700100
2025-10-02,278.6375,281.6685,278.1788,280.5418,1731100
2025-10-03,279.6545,284.3406,278.7671,283.1242,1124200
2025-10-06,284.1611,286.5341,283.0843,285.5471,1334800
2025-10-07,286.1553,288.9072,285.0685,288.3887,1179100
2025-10-08,289.1464,289.645,286.1553,286.255,1101700
2025-10-09,287.4016,288.5083,282.9946,283.4931,1185500
2025-10-10,284.8491,285.1781,281.16,282.177,1283800
2025-10-13,281.8879,283.4533,280.9008,281.6984,932500
2025-10-14,282.4861,284.7793,281.0902,283.7922,1263300
