date,open,high,low,close,volume
2025-03-14,95.8989,99.0026,94.8198,98.5729,8718500
2025-03-17,98.9453,99.4992,97.8566,98.2768,8458000
2025-03-18,97.2836,100.8743,96.7775,100.2154,5314200
2025-03-19,100.2632,101.2181,98.7543,99.652,6221300
2025-03-20,99.9289,100.8648,99.5087,99.8812,5277400
2025-03-21,99.9767,102.536,99.3082,101.6001,9215000
2025-03-24,100.3969,101.667,99.5851,99.6138,4169100
2025-03-25,96.9494,97.0162,93.2345,95.9276,6703100
2025-03-26,95.8798,97.0926,95.3641,96.5387,2785900
2025-03-27,97.0449,98.9548,96.5579,97.9712,3196900
2025-03-28,98.6493,99.2604,97.6943,98.9358,2689700
2025-03-31,99.948,101.0271,98.7066,99.5374,4198100
2025-04-01,100.2727,100.2727,99.1267,99.9003,2476300
2025-04-02,100.2727,100.33,98.8116,99.1363,2045100
2025-04-03,101.1417,104.169,100.3109,102.24,4681300
2025-04-04,103.787,104.0926,96.2618,96.4337,4773200
2025-04-07,94.4855,96.1377,91.3437,93.7884,4560500
2025-04-08,95.0299,95.0299,89.6247,90.5606,4335700
2025-04-09,89.6151,92.2031,87.0749,91.2386,6752600
2025-04-10,91.2386,93.7311,89.5292,90.8757,4907700
2025-04-11,90.9521,92.5565,89.1759,92.3177,3419500
2025-04-14,92.3177,95.6029,91.4392,95.345,2927800
2025-04-15,95.4787,96.9876,94.8102,95.9849,2615100
2025-04-16,97.0735,97.933,96.0613,96.6916,2261900
2025-04-17,96.8348,99.6233,96.8348,98.9262,1860100
2025-04-21,98.5156,99.5278,96.2523,97.5319,2793700
2025-04-22,98.2768,100.521,98.1527,99.6711,2276300
2025-04-23,98.8116,98.8116,96.1186,97.6752,2368400
2025-04-24,98.2004,98.3246,96.1854,96.2141,3691200
2025-04-25,96.0708,96.4242,94.7338,95.6793,1716700
2025-04-28,95.4119,96.5579,95.1063,96.3764,2756700
2025-04-29,96.2905,99.8525,95.9276,99.0312,2401900
2025-04-30,100.225,101.2945,99.2509,100.9985,3934700
2025-05-01,101.2181,102.0299,99.6902,101.5142,3154600
2025-05-02,101.9917,102.4692,101.1131,102.0585,3524700
2025-05-05,102.622,102.8034,101.0558,102.1636,2708600
2025-05-06,101.963,102.4405,101.1608,101.6288,2818000
2025-05-07,100.8075,102.1445,99.3559,100.034,5264900
2025-05-08,99.843,100.3491,98.5442,98.6301,2933400
2025-05-09,98.9071,100.7884,98.3341,100.2727,3043400
2025-05-12,98.1909,98.1909,95.1827,95.9562,3494700
2025-05-13,96.4146,96.7393,93.33,93.8935,3157600
2025-05-14,93.6356,93.9603,92.6997,93.8075,2967900
2025-05-15,94.6861,96.3,94.3614,96.2332,2455300
2025-05-16,96.5865,97.742,96.2523,97.7134,2966800
2025-05-19,97.446,98.4583,96.6724,98.3437,1579900
2025-05-20,97.6083,98.6015,97.2072,98.2864,1902500
2025-05-21,98.2004,98.4869,96.8252,96.9494,3019100
2025-05-22,97.2168,97.3027,94.6383,95.4214,2992700
2025-05-23,96.0995,96.6056,94.9439,95.6506,1853100
2025-05-27,95.5933,96.5292,95.4405,96.0231,2094800
2025-05-28,95.8989,96.0326,94.476,95.154,1901700
2025-05-29,94.7052,95.8416,94.1322,95.8321,1811300
2025-05-30,95.5742,96.2332,95.0299,95.8321,5068700
2025-06-02,95.3546,95.4978,94.0558,95.3928,2935600
2025-06-03,94.9821,95.5074,93.9985,95.3641,2867400
2025-06-04,95.4978,96.386,94.7148,95.7175,3852500
2025-06-05,96.0995,96.2236,95.3164,95.7652,2989800
2025-06-06,95.154,95.8321,94.2181,94.4951,2805500
2025-06-09,94.2086,95.1349,93.4828,94.562,2643200
2025-06-10,95.6697,95.918,94.476,95.3928,3863500
2025-06-11,95.2113,95.8989,94.2945,94.9535,3617200
2025-06-12,95.2304,95.7652,94.8675,95.5265,2803800
2025-06-13,95.3074,96.2147,94.6607,94.9695,2301100
2025-06-16,94.8247,96.8903,94.4966,95.5583,4456700
2025-06-17,95.5873,96.0602,94.7282,95.3749,1881200
2025-06-18,95.568,96.205,94.622,95.9251,3549400
