date,open,high,low,close,volume
2025-03-14,241.68,248.0,241.46,247.43,2271100
2025-03-17,246.25,258.14,246.25,255.11,2772700
2025-03-18,252.04,255.99,251.35,253.88,1772700
2025-03-19,255.0,262.14,254.08,258.7,2735900
2025-03-20,255.93,259.86,254.88,258.5,1722700
2025-03-21,254.91,266.95,252.06,262.42,5699800
2025-03-24,266.0,268.24,264.0,267.15,2526000
2025-03-25,267.15,269.71,265.97,269.11,1253600
2025-03-26,269.3,269.3,262.52,263.41,1394900
2025-03-27,261.98,263.98,258.21,262.54,1349800
2025-03-28,262.31,263.24,255.87,256.69,1248900
2025-03-31,253.09,254.97,248.52,254.33,2259500
2025-04-01,252.64,259.48,251.82,258.79,1421500
2025-04-02,253.52,265.73,253.44,264.94,1859500
2025-04-03,252.34,255.19,245.42,248.91,2995200
2025-04-04,243.53,246.22,232.37,232.88,4203200
2025-04-07,229.65,245.66,221.56,233.82,4174300
2025-04-08,237.81,244.3,228.2,231.64,2654500
2025-04-09,230.7,266.65,229.6,264.65,4256800
2025-04-10,256.88,258.55,244.99,254.02,2603500
2025-04-11,253.52,260.42,248.55,259.47,1647500
2025-04-14,264.6,265.59,257.65,260.56,1453800
2025-04-15,262.0,266.08,260.8,264.31,1857200
2025-04-16,256.51,262.08,254.48,259.26,2170800
2025-04-17,262.79,263.16,257.88,260.22,1914600
2025-04-21,257.02,257.16,247.7,251.56,1494800
2025-04-22,255.23,260.67,251.95,258.15,1389100
2025-04-23,266.78,272.81,264.79,265.42,1708400
2025-04-24,270.31,283.0,270.0,281.78,2177700
2025-04-25,279.99,290.5,279.45,289.63,2414000
2025-04-28,288.02,289.41,281.7,285.74,3416100
2025-04-29,289.64,303.6,289.64,302.22,3815600
2025-04-30,294.51,299.98,293.85,297.74,2780600
2025-05-01,301.74,304.7,299.41,299.73,2304200
2025-05-02,305.27,310.58,304.19,308.15,1935500
2025-05-05,307.0,311.98,305.6,308.83,1794200
2025-05-06,302.89,308.65,302.29,305.78,1643000
2025-05-07,306.15,310.88,304.77,308.34,1774300
2025-05-08,311.22,313.0,307.7,307.96,1609500
2025-05-09,309.53,309.53,303.82,305.78,1480000
2025-05-12,320.0,320.0,308.58,311.77,2439800
2025-05-13,312.42,319.57,311.57,318.66,1707200
2025-05-14,316.95,321.86,316.79,319.39,1463300
2025-05-15,318.36,321.87,317.74,318.77,1535400
2025-05-16,320.16,322.19,317.18,321.56,1575100
2025-05-19,318.77,322.27,317.41,320.3,1510700
2025-05-20,316.96,321.0,315.36,320.55,1374200
2025-05-21,317.37,322.64,316.31,317.55,1869500
2025-05-22,315.51,318.6,313.91,316.63,1480800
2025-05-23,312.04,317.28,311.65,315.51,1010500
2025-05-27,319.46,323.28,318.1,323.08,1446700
2025-05-28,322.87,323.39,284.3,288.61,7018700
2025-05-29,293.11,294.13,276.61,284.5,6281800
2025-05-30,284.43,288.21,280.34,287.07,2901700
2025-06-02,286.76,292.87,285.48,292.53,1993100
2025-06-03,289.12,294.81,289.12,293.33,1617400
2025-06-04,293.91,296.09,291.62,294.4,1430300
2025-06-05,294.4,302.0,294.4,296.29,1904400
2025-06-06,299.34,299.64,295.65,296.95,1365700
2025-06-09,307.58,310.95,301.52,301.66,2517000
2025-06-10,302.41,306.08,300.46,305.69,1603300
2025-06-11,306.0,309.39,302.45,307.2,1259400
2025-06-12,306.4,310.0,306.1,307.85,1012800
2025-06-13,302.0,305.3,299.62,300.0,1188800
2025-06-16,300.69,302.4,297.03,300.81,1697100
2025-06-17,299.79,304.44,298.13,299.0,1130400
2025-06-18,297.78,300.1,295.61,296.84,1221000
2025-06-20,299.63,300.76,293.84,295.4,2373300
2025-06-23,294.33,295.82,289.69,293.56,2134500
2025-06-24,295.85,297.14,293.61,296.8,1906300
2025-06-25,297.83,301.26,295.33,297.53,1736800
2025-06-26,299.0,303.87,298.33,303.69,2128200
2025-06-27,307.03,315.9,304.29,305.2,2331800
2025-06-30,306.12,310.12,305.21,308.15,1748300
2025-07-01,306.35,310.99,304.73,309.46,1332100
2025-07-02,307.23,312.75,306.0,310.95,1164600
2025-07-03,326.47,330.09,321.38,326.81,2274700
2025-07-07,326.81,327.98,318.8,320.3,1824300
2025-07-08,322.12,323.71,319.02,323.28,2022900
2025-07-09,324.14,325.54,320.54,322.91,1092100
2025-07-10,325.26,325.26,318.2,322.66,1463700
2025-07-11,321.57,324.32,318.16,320.6,1201500
2025-07-14,320.13,320.97,314.7,317.49,1863100
2025-07-15,319.84,324.49,317.67,318.04,1447200
2025-07-16,318.7,318.7,311.08,314.58,1595700
2025-07-17,313.08,321.23,311.45,320.86,1275800
2025-07-18,321.37,322.15,315.04,315.57,1390900
2025-07-21,315.04,318.83,315.04,316.32,1042100
2025-07-22,317.54,321.69,313.0,319.6,1211400
2025-07-23,320.48,326.52,318.49,326.46,1523600
2025-07-24,325.56,327.5,324.37,324.64,1649500
2025-07-25,325.0,335.16,324.5,332.19,2718300
2025-07-28,334.48,335.0,328.46,333.76,2682400
2025-07-29,355.0,370.61,353.0,366.26,4666700
2025-07-30,367.49,374.05,363.75,371.03,3894000
2025-07-31,371.52,376.45,363.47,364.57,3012700
2025-08-01,358.0,360.31,353.01,356.97,2070000
2025-08-04,358.78,364.89,355.63,364.88,1841900
2025-08-05,366.2,369.14,357.7,360.5,1682100
2025-08-06,361.86,364.07,358.7,360.16,1058800
2025-08-07,363.02,365.4,349.66,354.33,1526600
2025-08-08,356.43,357.59,351.5,352.06,1373000
