date,open,high,low,close,volume
2025-03-14,212.7516,216.4031,207.9758,215.3683,3829900
2025-03-17,215.8161,220.9451,213.2789,217.4378,3547600
2025-03-18,216.821,217.0349,208.1947,209.7866,2716500
2025-03-19,210.0552,219.2586,210.0552,216.9503,3091900
2025-03-20,215.9653,221.3082,212.9207,218.3333,2250500
2025-03-21,214.6868,221.6963,211.478,221.358,3733500
2025-03-24,227.0889,229.9842,225.4572,227.467,2773600
2025-03-25,228.1535,229.7076,220.8804,225.7258,2849900
2025-03-26,222.8703,224.9597,212.9207,215.8757,4059000
2025-03-27,210.891,216.4528,206.4734,208.1449,4178300
2025-03-28,208.8414,214.3286,202.8617,204.3542,5572000
2025-03-31,197.9765,202.5334,194.5638,200.6131,4518500
2025-04-01,199.9366,206.7122,197.091,205.8963,2863100
2025-04-02,201.8071,214.254,201.2499,213.3784,3179100
2025-04-03,199.459,203.0179,188.8229,189.2806,5557500
2025-04-04,179.1619,182.0671,164.2475,170.0978,9358600
2025-04-07,160.7154,188.8328,160.5363,178.8833,7458400
2025-04-08,187.9871,192.3251,181.0722,184.0073,6895700
2025-04-09,185.1913,216.8011,181.689,214.3634,7984300
2025-04-10,207.9459,210.4085,198.5436,203.4587,4048600
2025-04-11,203.4587,207.4783,197.0014,207.1997,2960700
2025-04-14,213.8858,216.1146,202.8418,205.6575,3427300
2025-04-15,205.5581,210.9308,205.3093,207.3689,1986000
2025-04-16,204.0159,206.354,200.4241,203.1602,2433300
2025-04-17,207.2992,207.7669,202.5772,205.6376,1962800
2025-04-21,202.4637,203.8368,187.0578,191.6386,3290900
2025-04-22,196.5537,201.3991,194.8623,199.8669,2457800
2025-04-23,212.1745,216.2439,207.2196,208.7419,2976100
2025-04-24,208.5131,219.0795,208.5131,216.9702,2336500
2025-04-25,217.01,222.8156,215.4081,221.8654,2710400
2025-04-28,221.2187,224.3528,218.582,223.6862,2396300
2025-04-29,223.1787,226.2134,219.388,225.308,2038900
2025-04-30,218.4427,222.7459,215.6568,222.3131,2185200
2025-05-01,231.0289,242.7495,229.1485,239.4015,4557800
2025-05-02,243.048,249.376,240.3447,246.013,3316000
2025-05-05,242.0431,248.7392,240.2422,247.0179,3117800
2025-05-06,257.5246,278.4784,254.8283,272.439,7195600
2025-05-07,275.9612,277.1153,263.3252,266.7678,5165600
2025-05-08,270.3795,272.5982,263.7332,269.2253,2862300
2025-05-09,270.6979,273.5634,264.7182,270.0014,3245900
2025-05-12,284.9158,290.5174,282.0205,283.8413,4744900
2025-05-13,279.0555,294.6763,277.7819,290.0497,3651100
2025-05-14,290.0497,290.5273,281.5031,286.6967,3129300
2025-05-15,283.1746,287.2639,281.8513,282.9657,2187300
2025-05-16,285.5342,290.0973,283.153,290.0475,2104900
2025-05-19,282.3062,293.2855,280.9611,292.9368,1972700
2025-05-20,291.4822,291.9505,288.6029,291.3228,1481300
2025-05-21,287.208,291.1305,284.1593,286.0522,2040900
2025-05-22,284.1393,294.1124,281.6784,290.3962,2390800
2025-05-23,297.5448,301.4852,292.0302,296.394,5373300
2025-05-27,302.7405,309.117,295.1735,307.9214,3611500
2025-05-28,308.31,311.9316,305.5302,306.9151,2512000
2025-05-29,312.7236,313.3414,298.9944,302.2523,2710600
2025-05-30,300.3295,305.3708,298.1575,305.0221,3656100
2025-06-02,305.7594,312.7436,303.448,312.2753,2097100
2025-06-03,340.7401,340.7401,308.3598,311.8768,10696100
2025-06-04,302.8801,309.2664,297.8387,298.4365,4966800
2025-06-05,298.1326,300.8874,288.294,288.8121,4673800
2025-06-06,292.4984,298.6656,284.9464,297.6992,3735300
2025-06-09,299.5872,307.6823,295.9158,298.556,2997400
