date,open,high,low,close,volume
2025-03-14,75.4067,76.0322,74.2535,74.8887,2615300
2025-03-17,74.8106,76.3547,74.7715,75.9638,2008400
2025-03-18,76.1788,76.6869,73.8822,74.664,2389600
2025-03-19,75.0744,76.4231,74.6249,75.6119,2331100
2025-03-20,75.2699,76.0517,74.146,75.1721,2211100
2025-03-21,74.9376,75.3774,74.2828,75.0353,7513400
2025-03-24,75.1331,75.5142,73.8724,75.0842,1894400
2025-03-25,74.9376,75.3481,72.0253,73.3251,2988800
2025-03-26,73.2958,75.1331,73.2371,74.8985,2480000
2025-03-27,74.7128,76.3058,74.2731,76.2081,1462600
2025-03-28,76.1201,76.2765,75.1233,75.6315,1256400
2025-03-31,74.9376,76.8922,74.4685,76.3742,1849600
2025-04-01,76.6674,77.8304,75.4751,77.7815,1746100
2025-04-02,77.2049,78.016,77.1072,78.016,1885200
2025-04-03,75.2113,79.394,75.0842,78.0454,3534400
2025-04-04,76.6772,76.6772,70.4421,71.4096,4001500
2025-04-07,70.6865,73.8919,68.9078,70.4031,3004600
2025-04-08,72.211,72.2403,65.8098,66.9142,4909700
2025-04-09,66.318,71.5171,65.9564,68.898,5013400
2025-04-10,68.644,69.5431,67.3344,68.3801,3846200
2025-04-11,67.4517,71.5465,67.4517,70.364,3064900
2025-04-14,70.8624,71.2435,69.8362,70.7646,2643600
2025-04-15,70.4519,72.0742,70.4519,71.4585,2245000
2025-04-16,71.7517,73.589,71.654,72.4162,3258200
2025-04-17,72.6508,73.6769,72.6508,73.1981,2282800
2025-04-21,72.7876,74.2437,72.3869,73.4228,1426500
2025-04-22,73.1297,73.9408,71.8885,73.8235,1722000
2025-04-23,74.4001,75.2601,73.0906,74.1656,1407300
2025-04-24,75.2699,75.7781,74.4392,75.5435,1620200
2025-04-25,75.4751,76.8042,75.0549,76.6869,1883700
2025-04-28,76.8628,78.8467,76.6869,77.8303,1749800
2025-04-29,77.5274,78.661,77.2049,77.977,1587200
2025-04-30,75.7488,76.8726,74.1949,76.5892,2444800
2025-05-01,76.7553,78.9347,75.954,77.8108,3026300
2025-05-02,78.5731,78.9151,77.2733,78.7685,2182300
2025-05-05,78.3679,79.697,78.104,79.0813,1761900
2025-05-06,79.3549,80.6254,78.8076,80.1172,2866100
2025-05-07,79.6579,80.557,78.231,78.8565,3827500
2025-05-08,82.2965,83.1174,77.2244,79.4722,4827000
2025-05-09,80.0488,80.7329,77.0583,80.5374,2523300
2025-05-12,81.6222,83.0783,80.7329,82.4724,3091200
2025-05-13,83.352,86.4108,82.404,85.7365,3589800
2025-05-14,85.9711,86.0688,83.1272,84.0165,2215300
2025-05-15,83.8986,84.9307,82.7485,84.7636,2306600
2025-05-16,85.029,86.4347,84.3114,86.2872,1768100
2025-05-19,85.9432,86.4642,84.1247,86.1005,2242600
2025-05-20,86.3855,86.7886,85.6778,86.4249,2346500
2025-05-21,85.953,88.2532,85.3141,87.8305,3379800
2025-05-22,87.5553,88.2532,86.7099,87.398,2030900
2025-05-23,87.1031,87.7716,86.8082,87.3784,1254400
2025-05-27,87.339,90.1111,87.339,89.9833,2545400
2025-05-28,90.0324,90.2782,89.0298,89.9735,1653400
2025-05-29,89.767,89.767,87.5946,88.5776,1853600
2025-05-30,88.44,89.2362,87.7126,89.1674,3356000
2025-06-02,89.7769,91.674,88.5973,91.389,2996800
2025-06-03,91.0548,91.0548,89.5115,90.75,2579000
2025-06-04,91.0843,91.8903,89.8064,90.0718,2142700
2025-06-05,90.5239,91.0154,89.7572,90.7107,1470900
2025-06-06,90.3962,91.1629,89.8457,90.5731,1839900
2025-06-09,91.212,92.8733,91.0154,91.271,2330700
2025-06-10,91.4185,92.0476,89.9145,90.5633,2215500
2025-06-11,90.9859,93.9251,89.2067,93.6204,3495900
2025-06-12,91.6544,92.893,90.8876,92.2344,2558200
2025-06-13,94.623,98.7713,94.623,98.2306,6228800
2025-06-16,99.2824,102.6737,98.3977,99.0268,5174000
2025-06-17,100.2654,101.1304,99.1153,100.7373,3057300
2025-06-18,99.5871,100.8061,97.8866,98.6041,5226600
2025-06-20,98.5255,98.6926,96.6677,98.6533,9801200
2025-06-23,98.8892,99.42,94.4854,94.8884,5159600
2025-06-24,92.0083,93.6892,91.33,93.0699,4188100
2025-06-25,92.9716,93.0404,89.8162,89.8457,3489400
2025-06-26,89.885,90.6616,88.9413,89.1477,2908600
2025-06-27,89.1084,89.5606,88.5481,89.4426,3340100
2025-06-30,89.1674,90.75,88.5481,90.4355,3076100
2025-07-01,90.3077,91.5168,90.0619,90.9171,1873100
2025-07-02,91.6839,92.7357,91.33,92.254,2526700
2025-07-03,92.0181,93.3451,92.0181,93.0404,1516400
2025-07-07,92.6767,93.6794,92.2835,93.5712,2417800
2025-07-08,94.623,97.0314,94.279,95.4684,2838100
2025-07-09,95.1145,97.4737,94.4657,97.0707,2511700
2025-07-10,95.8026,96.1073,93.8858,94.1315,2184400
2025-07-11,93.8759,96.6578,93.8465,96.5694,2912000
2025-07-14,96.766,97.6998,95.6158,95.7535,1854300
2025-07-15,95.7535,96.3138,93.6892,94.2691,1713600
2025-07-16,94.1807,94.7606,90.9368,91.0253,3154700
2025-07-17,90.3568,90.9761,89.9243,90.229,2226500
2025-07-18,90.4453,92.3228,90.2979,91.0548,2297500
2025-07-21,90.8778,91.0449,88.9315,89.4426,1816000
2025-07-22,89.5704,90.7009,89.364,90.1602,1972200
2025-07-23,90.5239,92.5686,90.5239,92.1164,2142000
2025-07-24,91.9788,92.4899,91.6151,91.91,2218300
2025-07-25,91.8117,92.0574,91.0646,91.7134,1550100
2025-07-28,92.195,92.195,90.2487,90.9565,1206600
2025-07-29,92.0279,93.4434,91.1629,93.296,2088800
2025-07-30,92.1655,92.7652,90.4355,91.0646,2027500
2025-07-31,90.1701,91.3693,90.0521,91.2514,2024200
2025-08-01,91.2219,91.3202,88.4793,90.003,1655500
2025-08-04,90.3765,92.5194,89.7965,92.0574,2157400
2025-08-05,92.0574,92.4801,89.1183,91.1432,2374900
2025-08-06,90.1799,91.7035,88.3712,88.3712,3845400
2025-08-07,82.7681,83.8986,78.2857,81.4804,7534300
2025-08-08,81.8539,82.2864,78.9541,79.5341,5730800
2025-08-11,80.0944,82.2471,80.0845,81.2248,3050100
2025-08-12,81.4706,82.8468,80.5367,81.4902,3628700
2025-08-13,83.6332,84.97,82.5715,84.9504,4131700
2025-08-14,83.1515,83.9084,82.1488,83.8199,2755600
2025-08-15,83.6716,85.4218,83.6716,84.9373,2428900
2025-08-18,84.7296,85.0361,82.6334,83.5035,3058300
2025-08-19,83.5431,83.8397,82.752,83.0585,1892800
2025-08-20,84.0177,84.6406,83.2069,84.4725,2126400
2025-08-21,84.5912,85.669,84.5912,85.3921,1549100
2025-08-22,85.4514,86.3018,85.0757,85.5404,1634200
