date,open,high,low,close,volume
2025-03-14,303.9193,309.1878,303.1358,306.4164,1352600
2025-03-17,306.5633,311.587,305.584,310.2356,1139500
2025-03-18,312.0864,316.2876,309.8341,315.7489,1348400
2025-03-19,314.1625,316.3071,310.7057,314.1821,1432100
2025-03-20,314.3486,317.3452,312.6251,314.7305,1181000
2025-03-21,315.0439,317.2864,309.462,310.0887,3555000
2025-03-24,310.8819,314.3584,309.1388,313.761,1287800
2025-03-25,314.799,314.848,306.9061,310.2748,1172100
2025-03-26,311.4009,316.1994,310.3335,314.5738,1200100
2025-03-27,315.8174,320.4886,313.193,318.011,1285300
2025-03-28,319.0393,323.1523,317.5312,318.3048,1105900
2025-03-31,319.1373,325.3557,318.8826,322.1828,2128600
2025-04-01,323.7497,326.3447,321.703,324.1414,1669100
2025-04-02,322.7997,325.7572,320.6943,325.0423,1108200
2025-04-03,324.9248,335.4716,323.1229,331.437,2403800
2025-04-04,329.3022,336.7839,314.3486,315.7196,3801000
2025-04-07,310.9798,314.3094,301.4515,308.8548,2918200
2025-04-08,318.0796,319.245,304.8398,307.3369,2483500
2025-04-09,305.3294,318.5301,302.656,313.3595,2463500
2025-04-10,314.0254,324.6995,311.4793,320.4886,2021200
2025-04-11,317.022,325.8845,316.4246,323.3481,1728200
2025-04-14,322.9956,324.2981,319.2744,322.3787,1442400
2025-04-15,323.1327,323.2698,319.7542,321.8205,1082600
2025-04-16,323.1719,328.2152,320.9489,322.6137,1311500
2025-04-17,317.7271,326.5994,317.7271,323.2894,2847300
2025-04-21,323.9455,324.9933,315.4356,318.0404,1408900
2025-04-22,318.4713,330.3989,318.4713,330.0856,1852300
2025-04-23,329.6057,334.5119,326.4916,329.7135,1782700
2025-04-24,328.744,330.2226,325.15,328.744,1341300
2025-04-25,329.782,329.782,324.347,328.411,1400100
2025-04-28,328.695,332.6317,326.1195,327.8822,1347200
2025-04-29,328.2739,331.907,326.6581,330.2227,1272200
2025-04-30,333.9538,335.8046,328.7342,332.9941,1562800
2025-05-01,332.6709,334.3259,327.7255,328.2347,1987800
2025-05-02,336.9014,342.7477,323.1621,327.8137,2471800
2025-05-05,330.0269,330.066,325.7278,326.1098,1472600
2025-05-06,325.9824,330.017,325.0619,326.9029,1825900
2025-05-07,328.0585,328.9105,324.4548,327.5101,1325100
2025-05-08,326.1782,330.2618,323.3677,326.2076,1322300
2025-05-09,326.286,328.4698,324.9639,326.5504,787900
2025-05-12,317.3647,321.4581,303.175,309.1975,3560500
2025-05-13,303.175,303.8213,295.2331,295.6346,3144400
2025-05-14,298.925,300.7954,295.85,297.0643,2517200
2025-05-15,296.937,302.5678,290.1212,302.4601,2723300
2025-05-16,302.9889,314.3192,301.4025,314.2898,2056000
2025-05-19,313.9079,316.1896,311.4107,315.2887,1242600
2025-05-20,317.1395,318.7358,315.6804,318.2657,1329700
2025-05-21,315.9448,319.245,310.4413,310.5196,984400
2025-05-22,309.364,309.9026,303.7724,306.201,1699800
2025-05-23,307.6895,310.0299,304.0759,309.4424,1667800
2025-05-27,310.3335,310.4217,305.2413,308.7471,1573800
2025-05-28,308.4533,309.2563,303.8605,304.4187,1157200
2025-05-29,303.5765,305.633,301.9999,305.584,1745700
2025-05-30,305.8092,312.6348,303.6254,310.0789,2732200
2025-06-02,309.0605,313.3203,305.7113,308.4631,1247800
2025-06-03,307.3118,309.9588,305.334,306.6821,1321100
2025-06-04,306.2786,307.794,304.7534,305.1569,991200
2025-06-05,305.6095,307.981,304.2614,306.0425,1682900
2025-06-06,306.6526,307.5086,304.5468,307.1839,2048300
2025-06-09,305.8653,309.1224,304.104,306.4164,2312900
2025-06-10,307.794,313.0387,306.072,308.6009,2228200
2025-06-11,309.6636,310.805,304.5271,305.2356,2210100
2025-06-12,306.0818,310.7755,303.4447,310.3228,2074400
2025-06-13,309.9883,313.6094,308.7288,312.3204,1866300
2025-06-16,312.2515,312.9403,304.8518,309.4077,1225800
2025-06-17,308.286,310.5984,306.1606,307.5086,1114500
2025-06-18,307.2627,310.9822,306.1015,309.3684,1170300
2025-06-20,309.1027,311.5135,306.9674,309.3192,3249800
2025-06-23,309.9588,312.3696,308.0892,311.8972,1248100
