date,open,high,low,close,volume
2025-03-14,64.05,64.68,62.64,63.84,3305800
2025-03-17,63.36,66.26,63.36,65.68,2109500
2025-03-18,64.83,65.29,63.65,64.33,1672400
2025-03-19,64.67,66.72,64.24,65.9,1658200
2025-03-20,64.99,66.75,64.99,65.63,1130900
2025-03-21,64.6,65.62,63.74,65.56,2539000
2025-03-24,69.08,69.68,67.5,69.53,1644000
2025-03-25,69.28,70.57,69.0,69.42,1966000
2025-03-26,69.1,69.56,65.26,65.76,2278900
2025-03-27,64.81,65.64,62.49,62.86,3517800
2025-03-28,62.65,63.31,61.0,61.56,2157700
2025-03-31,59.68,60.65,58.04,60.43,3553600
2025-04-01,60.51,61.58,59.16,61.54,2018100
2025-04-02,59.99,66.77,59.99,65.03,3700000
2025-04-03,59.61,61.28,56.07,56.19,2391600
2025-04-04,52.76,54.43,49.21,53.5,5780400
2025-04-07,50.17,58.79,50.15,55.22,3083200
2025-04-08,57.49,59.18,52.98,54.03,2563300
2025-04-09,53.65,63.69,53.18,61.99,3358100
2025-04-10,59.59,60.64,56.37,58.36,1911900
2025-04-11,57.86,59.6,56.75,58.78,2033100
2025-04-14,61.22,61.86,58.18,58.5,1273700
2025-04-15,58.51,60.23,58.34,59.38,1232700
2025-04-16,57.54,59.91,57.54,58.87,1003800
2025-04-17,59.75,60.67,58.76,60.14,1959400
2025-04-21,59.01,59.44,56.94,57.84,1142100
2025-04-22,58.64,60.1,58.64,59.5,1200700
2025-04-23,63.77,66.68,62.31,62.59,2672200
2025-04-24,62.74,64.98,62.42,64.29,984600
2025-04-25,64.2,66.04,63.99,65.94,1601000
2025-04-28,65.41,67.49,65.41,66.48,1696800
2025-04-29,66.36,67.56,66.19,67.36,1264900
2025-04-30,65.06,67.26,64.71,67.16,1739000
2025-05-01,69.5,72.73,69.06,71.43,3039400
2025-05-02,72.23,73.85,72.23,72.85,1854200
2025-05-05,71.68,73.93,71.3,72.91,1375400
2025-05-06,70.9,73.11,70.67,72.66,1158700
2025-05-07,72.63,73.85,71.9,73.34,1710900
2025-05-08,74.47,75.68,73.69,74.78,1581300
2025-05-09,75.38,75.81,73.71,74.74,882200
2025-05-12,78.58,79.67,77.16,79.01,1514700
2025-05-13,79.05,81.41,78.63,80.59,1438600
2025-05-14,80.98,81.48,78.84,79.53,1876100
2025-05-15,78.67,80.56,78.46,79.8,1405900
2025-05-16,80.08,81.3,79.44,81.24,1271800
2025-05-19,79.5,81.34,79.0,80.99,761800
2025-05-20,80.9,81.09,80.26,81.05,761500
2025-05-21,79.93,82.21,79.6,79.92,1248700
2025-05-22,80.18,81.25,79.67,80.12,929200
2025-05-23,78.01,80.53,77.14,80.22,705300
2025-05-27,83.13,83.49,81.67,82.35,1354100
2025-05-28,82.65,83.05,81.86,82.7,1301100
2025-05-29,83.19,83.4,81.44,81.55,1122000
2025-05-30,80.14,80.67,78.45,80.06,2302900
2025-06-02,80.15,81.75,79.27,81.75,2591300
2025-06-03,82.42,83.34,81.05,83.26,2690800
2025-06-04,84.67,86.21,83.24,83.89,4094900
2025-06-05,76.85,79.51,70.77,73.05,11619300
2025-06-06,73.88,74.44,71.75,72.72,3207200
2025-06-09,73.03,74.62,71.7,72.46,3397400
2025-06-10,72.73,73.1,70.85,72.44,3878800
2025-06-11,72.95,73.25,71.52,72.22,2769200
2025-06-12,71.52,74.2,71.52,74.13,2160900
2025-06-13,72.72,73.67,71.72,72.16,1845200
2025-06-16,72.6,74.93,72.56,73.76,1854300
2025-06-17,73.02,74.55,72.96,73.45,1566500
2025-06-18,74.14,74.75,73.23,73.82,1496900
2025-06-20,74.43,75.56,73.96,74.53,2813700
2025-06-23,73.96,75.72,73.55,75.44,2061600
2025-06-24,77.0,79.87,76.06,79.35,2945300
2025-06-25,79.75,80.24,78.35,79.43,1821700
2025-06-26,80.06,82.45,79.79,81.51,3138900
2025-06-27,81.93,82.41,80.7,82.12,3397400
2025-06-30,82.94,83.28,81.25,81.33,1822900
2025-07-01,80.5,81.36,79.07,80.11,2042600
2025-07-02,79.16,80.07,78.09,79.52,3045200
