date,open,high,low,close,volume
2025-03-14,140.3644,141.7957,139.7784,141.3634,1035800
2025-03-17,141.4595,143.0157,140.9984,142.5834,958500
2025-03-18,141.9398,142.6218,138.9331,139.1732,1443200
2025-03-19,138.8082,139.6343,138.2799,139.4422,1105700
2025-03-20,139.7112,140.4124,138.8946,139.6151,1257800
2025-03-21,139.7976,141.4883,138.6353,139.1348,1553400
2025-03-24,139.3846,140.9023,138.0301,138.2414,1712500
2025-03-25,138.1454,138.3279,135.3884,136.1761,1556300
2025-03-26,135.8784,138.2703,135.667,137.3481,1571300
2025-03-27,138.3279,140.1915,137.0983,139.8937,1282400
2025-03-28,140.7486,140.9984,139.8264,140.5181,1306100
2025-03-31,140.47,142.6314,140.47,141.4499,1201800
2025-04-01,142.2472,142.2472,140.739,142.0839,1080800
2025-04-02,142.2184,142.4969,140.2971,141.8053,813000
2025-04-03,142.6122,144.6679,142.2088,142.8332,1199500
2025-04-04,142.862,144.8985,137.6651,138.1934,2292900
2025-04-07,136.4451,137.6843,132.1608,133.4288,1900600
2025-04-08,135.4365,135.5613,130.1723,131.0273,1878400
2025-04-09,130.595,135.4268,128.5489,134.3125,1888700
2025-04-10,134.8505,137.0215,132.6795,135.35,1436300
2025-04-11,134.1492,136.6564,132.2857,135.8687,1249600
2025-04-14,136.8197,136.8197,132.9197,135.3884,1594300
2025-04-15,135.4365,135.6862,133.8419,133.9667,1121000
2025-04-16,134.4182,135.0714,131.1617,131.4115,1412100
2025-04-17,131.8822,134.8024,131.8822,134.2741,948600
2025-04-21,134.0724,134.447,131.3251,133.179,1399100
2025-04-22,132.6123,136.5412,132.6123,136.4355,1025900
2025-04-23,135.8735,137.0168,133.4609,134.7883,1244700
2025-04-24,133.5287,134.6333,132.0753,133.2962,1221100
2025-04-25,134.1972,134.5461,131.804,133.9744,825100
2025-04-28,133.8,135.1081,133.2283,134.4686,1361500
2025-04-29,133.7613,139.4877,132.7536,136.8134,2008100
2025-04-30,137.5498,137.9567,134.7205,137.8792,1878800
2025-05-01,136.5517,137.104,134.0131,134.236,1812900
2025-05-02,135.36,135.8929,133.9647,134.7592,1206600
2025-05-05,134.8755,135.0209,133.5384,134.0907,1672400
2025-05-06,129.837,131.6296,125.7094,130.8544,3501400
2025-05-07,130.8544,132.7148,130.6316,132.24,1792500
2025-05-08,131.9203,134.6236,131.8912,133.5287,1638000
2025-05-09,133.5578,133.9163,130.2828,130.5734,1934600
2025-05-12,131.6393,133.9356,130.4184,133.7709,1684500
2025-05-13,133.4996,133.7419,131.649,132.0947,1338200
2025-05-14,131.7749,131.9493,129.1685,129.2654,1655200
2025-05-15,130.2052,130.9804,129.4495,130.7963,1566900
2025-05-16,131.0676,132.0947,130.525,132.0365,3182900
2025-05-19,131.7653,132.1334,129.934,130.651,2056100
2025-05-20,130.6413,132.4435,130.5541,131.3001,1678100
2025-05-21,130.806,131.4261,127.6085,127.7732,1950000
2025-05-22,127.6666,127.8992,126.0776,126.8334,1709800
2025-05-23,127.2597,127.3953,125.6513,126.814,1243200
2025-05-27,127.4729,127.5213,125.9226,126.3101,2190100
2025-05-28,126.659,127.7829,125.7482,126.1164,1548700
2025-05-29,126.097,127.5698,125.8644,126.9206,1222400
2025-05-30,126.9303,127.8701,126.6977,127.7829,2492600
2025-06-02,126.7171,127.1822,125.6319,126.2423,1406800
2025-06-03,125.9904,126.5911,125.0215,126.0485,1374500
2025-06-04,126.0485,127.0659,125.5447,125.6222,1155300
2025-06-05,125.0893,125.2928,123.0448,123.3452,1889700
2025-06-06,123.8103,124.3432,123.0545,123.7231,1080800
2025-06-09,123.3646,124.2172,122.4732,123.539,1476800
2025-06-10,123.9169,124.3238,122.6282,122.9479,1407500
2025-06-11,123.1902,123.4712,121.8627,122.3375,1201900
2025-06-12,122.4635,123.3646,122.0856,123.3258,1394000
2025-06-13,122.5119,123.1514,119.0238,119.2466,1712900
2025-06-16,119.6826,120.7969,119.2466,120.0799,1988400
2025-06-17,119.4792,120.2543,118.1905,118.3068,1273800
2025-06-18,118.1808,118.8687,116.9406,117.1731,1724300
2025-06-20,117.1634,118.2099,116.5917,117.0181,4705300
2025-06-23,117.1925,118.6846,116.9599,118.5005,1687300
2025-06-24,118.5005,118.9559,117.4541,118.2292,1380600
2025-06-25,117.2409,117.6769,115.7003,115.7682,1631400
2025-06-26,115.9522,116.0298,113.7043,114.3438,1830000
2025-06-27,114.8186,115.6325,114.4698,115.4387,5265700
2025-06-30,115.4,116.4464,114.9833,116.3398,2136300
2025-07-01,116.7661,120.2349,116.7661,119.702,2341600
2025-07-02,120.2931,120.9132,118.8203,120.7872,2119700
2025-07-03,120.9616,121.7271,120.4578,120.9616,1078100
2025-07-07,120.3706,121.4267,119.6923,120.6806,1478700
2025-07-08,120.3221,123.1708,119.8474,122.0468,2176800
2025-07-09,122.0856,122.3763,120.6613,122.0856,1491700
2025-07-10,121.824,124.7889,121.2039,123.8684,1645000
2025-07-11,123.0642,123.694,122.3472,122.6088,1376600
2025-07-14,122.0759,123.5778,121.3104,123.4421,1639400
2025-07-15,122.8995,123.5584,119.9636,120.3124,1771900
2025-07-16,119.9442,123.2096,119.9152,122.9576,1567600
2025-07-17,122.9576,125.7772,122.5797,125.2443,1999000
2025-07-18,125.4478,125.8644,123.6843,124.382,1662300
2025-07-21,124.3723,124.8761,122.541,122.6379,1374200
2025-07-22,122.8704,125.8547,122.8704,125.7482,1342000
2025-07-23,125.7288,127.9283,125.6319,127.3469,1555500
2025-07-24,127.8992,127.8992,126.6396,127.3372,1508400
2025-07-25,127.3663,127.7635,126.097,126.7462,1287000
2025-07-28,126.3586,126.3586,123.2871,123.2871,1718400
2025-07-29,123.2096,124.0719,122.105,123.0933,1746800
2025-07-30,123.4324,123.8297,121.8143,122.26,1869800
2025-07-31,122.5507,122.822,120.9907,121.6593,4108700
2025-08-01,123.3064,123.6359,117.58,119.2757,3928400
2025-08-04,119.3726,121.5527,119.0044,120.3318,2194600
2025-08-05,120.3996,122.0371,119.4985,121.4752,1660300
2025-08-06,121.417,122.3957,120.826,121.6011,1652100
2025-08-07,121.7368,122.5701,120.9326,122.1631,1504100
2025-08-08,122.0565,122.5313,120.3706,120.9907,1299600
2025-08-11,121.0101,121.1457,118.1323,118.2971,1767500
