date,open,high,low,close,volume
2025-03-14,31.5765,32.0356,31.1895,31.8916,29242949
2025-03-17,31.9456,32.3327,31.8106,32.1796,18031446
2025-03-18,32.2426,32.5217,32.0176,32.4137,19081161
2025-03-19,32.4497,32.6027,32.3417,32.4857,23197220
2025-03-20,32.3147,33.0258,32.2786,32.8547,18212410
2025-03-21,32.6207,33.1968,32.4767,33.0798,58220322
2025-03-24,33.1158,33.1968,32.8367,32.9447,37273831
2025-03-25,32.8277,33.2598,32.3326,33.2508,33540505
2025-03-26,33.3048,33.9529,33.1788,33.6378,27680327
2025-03-27,33.5568,33.8809,33.3408,33.6378,19053099
2025-03-28,33.5748,33.7369,32.9357,32.9627,24894924
2025-03-31,33.1518,33.3318,32.7197,33.2148,29669322
2025-04-01,33.2508,33.4308,32.8727,33.0528,22127766
2025-04-02,32.9801,33.2889,32.7984,33.2526,20089049
2025-04-03,33.2526,33.298,32.3352,32.4442,28631985
2025-04-04,31.7267,32.1081,30.2825,30.3188,39814678
2025-04-07,29.9464,31.2816,29.4105,30.4005,49231060
2025-04-08,30.4005,31.1544,29.5195,29.8283,36247484
2025-04-09,29.5195,32.0173,29.247,31.9537,48117325
2025-04-10,31.5904,31.6994,30.0554,30.5913,33907980
2025-04-11,30.8456,30.8819,30.1735,30.6276,28608297
2025-04-14,30.3188,31.2907,30.2007,31.0182,21801798
2025-04-15,31.2816,31.5722,31.1181,31.2453,19195223
2025-04-16,31.1544,31.2998,30.3006,30.4732,22073029
2025-04-17,30.6821,31.1544,30.6276,30.891,23021592
2025-04-21,30.6549,30.891,30.2007,30.5186,24482742
2025-04-22,30.7457,31.109,30.6367,31.0636,24656770
2025-04-23,31.3633,31.8175,31.2362,31.3088,30051628
2025-04-24,29.0472,30.2915,28.5567,30.1462,47249214
2025-04-25,30.446,30.8274,30.0917,30.7911,31336510
2025-04-28,30.7911,31.0999,30.5368,30.673,29764712
2025-04-29,30.564,30.9364,30.5186,30.8274,24265287
2025-04-30,30.673,31.1272,30.119,31.0636,30062512
2025-05-01,30.7457,31.0908,30.5822,30.7184,21636306
2025-05-02,30.8819,31.3633,30.8729,31.2998,26487101
2025-05-05,30.9455,31.4996,30.8638,31.2907,21687949
2025-05-06,31.109,31.4269,30.9455,31.327,17182861
2025-05-07,31.4542,31.6812,31.0727,31.2362,26839425
2025-05-08,31.327,31.5359,31.0182,31.0818,37632450
2025-05-09,31.1908,31.2907,31.0182,31.109,18053320
2025-05-12,31.6177,32.1626,31.3633,31.5359,24640338
2025-05-13,31.654,31.8901,31.327,31.5995,20349291
2025-05-14,31.4814,31.6267,31.1998,31.3906,19372772
2025-05-15,31.4632,32.1263,31.3452,32.09,19370318
2025-05-16,32.0809,32.3897,31.9719,32.2262,22184637
2025-05-19,32.1081,32.2716,32.0082,32.1899,15132728
2025-05-20,32.1354,32.4987,32.1081,32.3261,15010556
2025-05-21,32.1717,32.3534,31.7539,31.8811,18449390
2025-05-22,31.981,31.9991,31.3997,31.4178,15394996
2025-05-23,31.0999,31.4996,31.0908,31.3542,14863310
2025-05-27,31.6177,31.8901,31.4087,31.7448,23493740
2025-05-28,31.763,31.8992,31.3997,31.4542,21086267
2025-05-29,31.4542,31.6177,30.7366,31.1363,24132339
2025-05-30,31.2089,31.5722,30.9728,31.3997,33772791
2025-06-02,31.1726,31.2634,30.7275,31.1817,26976748
2025-06-03,31.1998,31.4996,30.9819,31.4814,23528310
2025-06-04,31.5541,31.6994,31.2725,31.2816,20493549
2025-06-05,31.3361,31.4178,30.9637,31.0818,20115297
2025-06-06,31.3361,31.6086,31.2453,31.5177,14674558
2025-06-09,31.5177,31.6994,31.3906,31.4269,16065072
2025-06-10,31.4632,32.3715,31.3543,32.3534,22664040
2025-06-11,32.3897,32.4896,31.8992,31.9537,20289859
2025-06-12,31.9537,32.1445,31.8538,32.0355,15181916
2025-06-13,32.0264,32.208,31.7448,31.7993,18342264
2025-06-16,31.9537,32.2353,31.5813,31.8901,19551175
2025-06-17,31.7539,31.8175,31.2998,31.3633,17498160
2025-06-18,31.3815,31.5268,31.0727,31.1181,17338217
2025-06-20,31.3361,31.6994,31.2271,31.3633,45554391
2025-06-23,31.2362,31.4542,31.0273,31.4178,30696630
2025-06-24,31.5904,32.0446,31.4269,31.981,25948907
2025-06-25,31.9265,31.9628,31.6086,31.6449,23071741
2025-06-26,31.654,31.9991,31.6267,31.981,17958250
2025-06-27,32.0627,32.2989,31.9628,32.0809,28744873
2025-06-30,32.1263,32.4896,32.0446,32.417,19729257
2025-07-01,32.3261,33.298,32.308,32.9983,24388953
2025-07-02,32.9158,33.0991,32.7416,32.8424,25762502
2025-07-03,32.8149,33.3649,32.7966,32.9891,10841680
2025-07-07,32.9249,33.1266,32.4208,32.485,16088760
2025-07-08,32.6133,33.0533,32.4391,32.9983,13563597
2025-07-09,32.9249,33.0258,32.4391,32.6499,15908437
2025-07-10,32.5949,32.9708,32.43,32.4666,16146591
2025-07-11,32.3016,32.4025,32.045,32.0725,17994315
2025-07-14,31.99,32.6958,31.8983,32.6683,19787835
2025-07-15,32.6499,32.7049,31.8067,31.825,18142094
2025-07-16,31.8708,31.9625,31.4217,31.5317,22516794
2025-07-17,31.44,32.1,31.4217,31.8067,18721155
2025-07-18,31.9533,32.0175,31.5592,31.66,15778903
2025-07-21,31.8525,32.1733,31.7792,32.0908,16874712
2025-07-22,32.1825,32.7783,32.1183,32.3291,15528478
2025-07-23,32.4208,32.9066,32.3841,32.8058,17531237
2025-07-24,32.8333,33.0166,32.4208,32.4208,17215618
2025-07-25,31.2933,31.5683,30.4317,30.8717,35130548
2025-07-28,30.8625,30.9359,30.5326,30.7342,20947237
2025-07-29,30.7617,30.8442,29.8634,30.0926,35116571
2025-07-30,30.0926,30.3767,29.6893,29.7901,38032682
2025-07-31,31.1559,31.2567,30.1567,30.4592,43303235
2025-08-01,30.5692,30.6792,29.7626,29.8084,23900587
2025-08-04,29.9001,30.2026,29.7809,29.8451,31347180
2025-08-05,29.9734,30.0926,29.7534,29.7993,29278587
2025-08-06,29.9368,30.0284,29.4509,29.4784,23014230
2025-08-07,29.6618,29.7718,28.9835,29.0293,26822993
2025-08-08,29.0476,29.3685,28.956,29.0293,17371507
2025-08-11,29.0476,29.4143,28.4427,28.791,21291665
2025-08-12,28.8918,29.6618,28.8918,29.4234,21284089
2025-08-13,29.4876,30.2484,29.4143,30.1934,31729166
2025-08-14,30.0009,30.2667,29.8818,30.1567,15556647
2025-08-15,30.2759,30.7434,30.2484,30.6609,22090314
2025-08-18,30.4776,30.7984,30.4409,30.6425,26802933
2025-08-19,30.7342,31.1559,30.6609,31.0642,17918344
2025-08-20,31.11,31.1834,30.3034,30.5142,21651244
2025-08-21,30.4592,30.8075,30.3584,30.7984,17252536
2025-08-22,30.8992,31.5317,30.8992,31.3025,26961169
2025-08-25,31.2109,31.33,31.0,31.1742,18296276
2025-08-26,31.1467,31.1467,30.725,30.8717,23766145
2025-08-27,30.7892,31.0275,30.6609,30.9909,18694587
2025-08-28,31.0275,31.0642,30.4867,30.7709,22818329
2025-08-29,30.7617,31.1559,30.67,31.1375,17850910
2025-09-02,30.89,31.3117,30.8442,31.2842,21662341
2025-09-03,31.3025,31.33,30.6884,31.0642,19108583
2025-09-04,31.1925,31.5775,30.9084,31.1192,29809633
2025-09-05,31.2475,31.5133,30.7892,31.0825,22531732
