date,open,high,low,close,volume
2025-03-14,250.1256,250.4338,246.7161,249.1432,1935700
2025-03-17,251.4643,254.662,249.1047,253.8625,2453600
2025-03-18,253.9877,256.8001,253.2654,256.6653,2770500
2025-03-19,255.288,258.0329,254.2767,255.6829,2878100
2025-03-20,255.2302,257.715,254.7005,256.7134,1990500
2025-03-21,256.6556,257.9077,253.3232,253.641,7238600
2025-03-24,253.5255,254.0744,251.1947,253.2461,2131600
2025-03-25,252.2637,253.718,250.3086,252.3986,2584300
2025-03-26,252.9283,253.6506,251.3873,253.0342,1909800
2025-03-27,253.564,254.5656,251.9266,252.1963,1892900
2025-03-28,252.8802,254.1033,252.1,252.5527,1736100
2025-03-31,253.0246,255.9814,252.0904,255.5095,2414800
2025-04-01,254.2574,254.9027,252.3215,252.5719,1972700
2025-04-02,253.9299,255.7695,251.4451,252.8609,2064900
2025-04-03,255.0376,261.2209,253.7662,258.4663,4242900
2025-04-04,259.5161,263.3398,244.8187,245.0788,5818900
2025-04-07,244.9632,249.8559,240.9469,243.0658,5472700
2025-04-08,247.0821,249.307,242.7095,245.6278,5514500
2025-04-09,243.4703,249.8174,239.3674,244.7609,6336300
2025-04-10,247.1591,251.0117,243.5474,248.8639,3013900
2025-04-11,249.4995,254.7005,249.3454,251.8977,2757000
2025-04-14,251.0117,255.471,248.1126,253.9685,2373700
2025-04-15,254.3826,255.7214,252.4949,253.1787,1567600
2025-04-16,253.3039,255.1724,251.0984,251.7533,2380200
2025-04-17,252.7935,255.4324,251.8014,252.8513,1796800
2025-04-21,253.5736,254.6331,248.3823,250.7324,2493800
2025-04-22,252.2445,256.097,251.1658,255.7695,2744000
2025-04-23,247.188,252.3505,242.6132,251.84,3475900
2025-04-24,251.84,256.5208,249.095,253.5639,2632100
2025-04-25,253.3232,256.6364,251.6666,256.4823,1709100
2025-04-28,256.9927,259.0057,255.9525,258.0425,1778500
2025-04-29,258.3508,262.8294,257.5321,262.3189,1770600
2025-04-30,261.9529,267.8954,260.277,266.8648,2122400
2025-05-01,265.1216,268.088,263.8117,266.8937,2048100
2025-05-02,267.9917,271.6998,267.5102,270.1106,2245600
2025-05-05,269.5423,272.6725,268.3673,272.1428,1510500
2025-05-06,271.6516,275.3982,270.6403,272.5473,1888500
2025-05-07,272.008,275.9183,271.4686,274.3195,1411400
2025-05-08,273.2408,274.5988,271.276,271.5938,1620100
2025-05-09,272.0272,274.1654,271.5649,273.8668,953400
2025-05-12,270.1202,270.4959,257.2142,260.4985,4906400
2025-05-13,260.0555,262.367,258.293,258.4471,3201100
2025-05-14,258.8516,259.3428,255.9237,256.463,2483100
2025-05-15,258.4856,264.1295,257.0216,263.8984,2226200
2025-05-16,263.6479,266.364,263.359,266.1039,1516000
2025-05-19,266.8937,269.552,266.181,267.6931,1617800
2025-05-20,268.0109,268.1554,265.6513,267.6257,1389200
2025-05-21,266.99,271.7961,266.6048,271.353,2221600
2025-05-22,271.536,273.5683,270.0432,271.6035,1783300
2025-05-23,271.4108,275.3308,270.0528,273.5971,2323500
2025-05-27,273.2986,274.4062,271.0063,273.8765,1792900
2025-05-28,274.0883,276.4673,273.5297,275.4367,2297700
2025-05-29,274.464,276.5154,273.7609,275.3308,1486200
2025-05-30,275.7835,279.4048,275.0419,278.3454,4721400
2025-06-02,277.4786,280.0694,276.5829,279.9923,2150100
2025-06-03,278.7114,278.8944,267.8472,271.902,2745700
2025-06-04,271.7864,271.7864,267.279,267.6353,1837000
2025-06-05,267.6353,267.8761,264.1392,264.7652,1958100
2025-06-06,265.0349,265.5453,260.2385,264.1295,1635900
2025-06-09,262.7266,262.9975,256.4182,259.6401,3020200
2025-06-10,260.1626,260.3271,255.7313,257.4632,2640300
2025-06-11,257.4728,260.9657,255.77,260.8979,2749000
2025-06-12,261.8074,263.2394,259.5434,262.1654,2194200
2025-06-13,265.0777,265.0777,260.1239,260.7528,1576400
2025-06-16,260.9076,262.1461,257.3664,258.8274,3208600
2025-06-17,258.9145,261.7397,257.7534,260.9463,1795500
2025-06-18,261.0624,263.4523,259.5047,263.2684,2539500
2025-06-20,262.6105,265.3777,254.667,265.0971,10645700
2025-06-23,265.3583,266.8773,262.2815,263.8102,2363200
2025-06-24,264.4585,264.71,261.2366,262.5718,2344500
2025-06-25,261.8461,264.6617,260.9366,264.1682,1590000
2025-06-26,265.6486,265.6486,262.9104,263.9747,2428700
2025-06-27,263.7232,266.0065,262.6976,265.8421,2682100
2025-06-30,265.3099,266.9548,263.2007,266.6742,2473000
2025-07-01,268.6286,268.6286,262.3783,266.4807,2010200
2025-07-02,266.0743,267.574,262.3202,266.8677,2074800
2025-07-03,266.8774,267.9223,264.6133,267.7191,1234000
2025-07-07,268.2416,273.3986,266.0646,273.3792,2252300
2025-07-08,271.4441,272.7793,265.6582,266.6838,3437300
2025-07-09,266.0743,266.8,262.746,266.6935,2841500
2025-07-10,266.6936,268.8802,265.7937,266.2581,1602100
2025-07-11,267.158,267.9901,265.3293,266.1517,1531600
2025-07-14,267.4675,269.2962,266.7612,268.0674,1470400
2025-07-15,265.2035,266.5387,263.4136,266.0743,1962000
2025-07-16,266.0743,270.2734,264.8262,268.5222,2452200
2025-07-17,267.8836,270.6604,267.4676,268.8028,2018900
2025-07-18,268.8995,269.422,265.397,265.784,2197300
2025-07-21,264.6617,267.9997,263.1717,266.0743,1998800
2025-07-22,266.0743,266.7322,264.3811,265.726,2722700
2025-07-23,265.3196,271.2894,264.4392,267.5063,2665600
2025-07-24,267.4869,269.9542,264.1683,268.1836,2720700
2025-07-25,268.8898,272.6536,268.0384,270.4766,1834700
2025-07-28,269.6542,270.6024,264.9713,265.2229,2233400
2025-07-29,265.726,269.1221,265.1261,265.6873,2147200
2025-07-30,265.9001,269.2672,264.6907,268.7253,1410900
2025-07-31,267.9804,271.7344,267.1096,269.2478,1961500
2025-08-01,271.6764,272.9051,270.0896,271.6473,3011100
2025-08-04,271.6473,277.946,271.4151,277.7816,1727100
2025-08-05,277.888,278.2557,275.1982,275.3724,1571800
2025-08-06,274.5887,274.7628,270.0412,272.2182,1689100
2025-08-07,272.2666,274.3468,269.5091,271.8312,1676000
2025-08-08,272.8181,275.0725,270.912,273.0503,1488500
2025-08-11,271.8312,278.9233,271.8312,276.4754,1567500
2025-08-12,276.7172,276.7753,265.6195,266.9257,2741100
2025-08-13,266.0743,266.829,262.9878,265.0294,2384100
2025-08-14,267.1482,268.2803,265.0293,265.784,1971000
2025-08-15,265.784,267.5449,264.4972,265.0294,2056500
2025-08-18,265.3003,267.0418,261.3817,261.6333,2165000
2025-08-19,261.6333,263.8973,260.7528,262.6782,1767400
2025-08-20,264.1295,266.6354,262.7072,265.6969,1738700
2025-08-21,266.0743,266.6645,264.1779,264.4489,1325700
2025-08-22,265.2422,266.0259,259.9401,260.7722,1591600
2025-08-25,260.8302,262.8427,259.824,262.5815,1712600
2025-08-26,261.5946,264.3618,260.656,262.7943,3298700
2025-08-27,262.4557,263.2394,260.8109,261.3527,1397200
2025-08-28,260.8012,261.5365,257.2696,258.1114,1753300
2025-08-29,258.1114,258.5952,256.9213,257.8599,1562700
2025-09-02,258.2178,259.3595,254.0284,256.7859,2847300
2025-09-03,256.7859,261.014,255.5764,260.6077,2386500
2025-09-04,260.8302,262.7847,258.2856,258.75,1891400
2025-09-05,257.0858,257.4051,252.1223,253.4382,1633900
2025-09-08,253.1189,254.1445,250.1195,254.0574,1973600
2025-09-09,253.7074,255.8754,253.2116,254.2518,1969100
2025-09-10,253.7366,254.0866,251.5881,252.6769,1722300
2025-09-11,253.4838,255.331,252.3464,255.0782,1955300
2025-09-12,254.6018,256.2837,253.0658,255.0004,1565500
2025-09-15,254.9324,257.0711,251.1215,251.627,1820400
2025-09-16,251.2478,255.1171,250.7034,252.5992,1992700
2025-09-17,253.688,255.7004,253.1047,255.0976,1554000
2025-09-18,254.7088,255.7684,252.1034,253.338,1890200
2025-09-19,254.3588,256.0017,252.1422,254.2518,3143900
2025-09-22,253.4935,256.5073,251.9575,253.8143,1143000
2025-09-23,253.8338,255.3115,252.0936,254.6699,1098700
2025-09-24,254.8643,257.46,253.513,257.0711,1405200
2025-09-25,258.2183,263.6722,257.3725,261.2515,2367100
2025-09-26,263.2736,263.7986,260.9015,262.7583,1534800
2025-09-29,263.7208,264.8193,262.1264,264.6638,1397500
2025-09-30,265.2471,266.5401,262.0,262.6708,2893700
2025-10-01,262.6708,262.9916,256.7503,258.4419,2308900
2025-10-02,257.1781,258.6266,254.9615,258.0433,1646200
2025-10-03,258.0433,258.996,257.1003,257.3045,1715100
2025-10-06,256.7698,256.867,251.0048,254.7574,2190600
2025-10-07,256.6142,257.3822,254.1741,256.2643,1628600
2025-10-08,256.2448,259.7932,251.0631,257.5669,2347500
2025-10-09,258.7725,261.4071,256.1281,261.3584,2040900
2025-10-10,261.2029,266.3748,258.9766,263.8958,2146000
2025-10-13,260.8237,264.2555,260.221,263.7305,1687800
2025-10-14,265.9276,267.7067,259.1127,259.7446,1870300
2025-10-15,259.2683,263.1958,257.7225,260.6876,1758400
2025-10-16,261.4264,262.0486,254.5143,255.2046,1419100
2025-10-17,256.167,261.164,254.7671,260.4835,1881200
2025-10-20,260.0557,260.8043,257.4114,260.1724,1556800
2025-10-21,261.2709,262.35,259.7835,261.1348,1779600
2025-10-22,256.342,265.7332,255.0393,260.3571,2070000
2025-10-23,265.1985,265.1985,260.9598,261.4167,1578500
2025-10-24,260.3182,262.875,259.9293,262.0389,1273700
2025-10-27,261.5139,264.5277,260.3473,263.5458,1541100
2025-10-28,263.9638,265.7818,258.5488,258.9182,1860300
2025-10-29,257.5183,257.5183,250.0132,254.2518,2926000
2025-10-30,256.5754,258.4516,255.049,255.574,1568700
2025-10-31,255.574,259.0738,254.9907,258.1017,1644400
2025-11-03,258.0141,258.5974,254.1449,256.8087,1471800
2025-11-04,259.9001,261.0084,256.8087,260.396,1539200
2025-11-05,259.171,263.5555,259.103,260.5418,2379800
2025-11-06,259.9974,264.6249,258.6655,263.8666,1847400
