date,open,high,low,close,volume
2025-03-14,311.7925,316.4853,309.2498,315.8275,927600
2025-03-17,314.3058,322.2285,314.3058,320.1963,709800
2025-03-18,314.6003,318.4291,312.3423,316.662,1016200
2025-03-19,316.23,324.4374,316.1711,321.1878,768100
2025-03-20,318.0855,322.1205,316.1024,319.4599,885900
2025-03-21,316.3086,316.9467,312.2736,316.2202,1244200
2025-03-24,319.401,325.429,319.401,325.0363,775700
2025-03-25,326.558,327.2845,321.826,324.8301,669900
2025-03-26,325.4977,327.3728,320.6478,322.0321,562200
2025-03-27,319.9017,321.6001,313.8836,317.5357,843200
2025-03-28,316.3675,317.7616,306.4126,308.2877,727800
2025-03-31,303.9778,309.4462,298.9808,307.7183,1239200
2025-04-01,308.2582,311.1348,301.2879,309.6032,774700
2025-04-02,305.0774,315.3759,304.4589,314.1487,611000
2025-04-03,302.4856,302.4856,288.9277,289.9585,1594600
2025-04-04,280.1705,281.3584,268.0165,272.5522,1466000
2025-04-07,261.8806,281.486,255.2734,270.6378,1903500
2025-04-08,276.705,279.2084,257.2173,262.2438,1235600
2025-04-09,259.5048,294.1113,257.6984,291.1366,1426800
2025-04-10,281.7315,284.5392,268.8804,276.6068,1089500
2025-04-11,272.4638,281.5351,267.5944,280.6614,722700
2025-04-14,285.1872,285.4915,279.7974,283.3023,650600
2025-04-15,282.6347,286.8366,280.5141,282.1143,594000
2025-04-16,278.315,281.8689,273.0528,275.4384,575400
2025-04-17,277.7947,280.1214,275.6741,276.6657,624100
2025-04-21,272.4933,272.994,264.3251,269.2044,1086800
2025-04-22,272.7583,274.8887,268.9688,274.015,1225500
2025-04-23,284.3724,290.469,278.1481,278.4917,852700
2025-04-24,279.3753,289.6934,277.6081,288.5939,711200
2025-04-25,288.4073,290.9403,285.9039,287.9067,576400
2025-04-28,287.7005,292.2558,287.2685,288.8492,845100
2025-04-29,285.8057,288.4859,283.4397,287.8085,1148800
2025-04-30,284.1368,289.1535,279.0415,288.4761,783200
2025-05-01,291.0188,295.1127,289.0258,289.4971,584100
2025-05-02,295.8784,298.0972,292.835,294.3764,1327500
2025-05-05,285.4229,302.9961,285.4229,296.7816,1745000
2025-05-06,294.5236,297.8812,291.9416,292.8939,694600
2025-05-07,293.9149,295.5054,291.1759,292.5012,828300
2025-05-08,296.2515,303.8993,295.4366,300.8166,790000
2025-05-09,301.4842,302.7015,299.56,301.1111,512900
2025-05-12,317.2412,325.2719,315.6311,324.5552,1416700
2025-05-13,324.7908,330.0824,321.4529,328.4724,965400
2025-05-14,327.3238,328.2761,324.8301,326.7543,940200
2025-05-15,323.5931,327.1568,323.1709,326.0475,652300
2025-05-16,326.4991,328.924,324.2509,328.3742,783000
2025-05-19,325.2424,330.9758,322.1794,330.5046,692100
2025-05-20,329.0811,330.4653,324.2607,325.4977,836000
2025-05-21,322.6015,324.1232,317.0154,317.3099,487200
2025-05-22,315.4741,317.9186,313.4124,315.9159,714700
2025-05-23,310.9298,314.5731,307.0891,313.2106,507800
2025-05-27,323.2616,323.6664,316.2515,322.1262,731000
2025-05-28,323.4196,323.5775,318.8581,318.947,449400
2025-05-29,321.2672,321.4054,317.6832,320.7439,584500
2025-05-30,320.9513,322.2743,316.7749,317.4068,1489400
2025-06-02,317.3771,317.3771,310.1301,313.2205,809100
2025-06-03,313.7734,321.7214,312.3121,320.3589,875800
2025-06-04,321.3165,322.8074,318.6705,318.7396,533200
2025-06-05,319.6776,321.3166,317.1599,319.0259,550900
2025-06-06,322.6593,323.3702,320.1713,322.4323,523700
2025-06-09,324.1008,324.4069,320.9315,321.5535,546900
2025-06-10,323.5578,324.2193,320.2009,322.8469,367800
2025-06-11,323.7553,323.7553,318.6113,319.4801,543600
2025-06-12,317.3475,320.6254,315.205,320.6254,503200
2025-06-13,317.6634,320.5267,313.9313,315.4814,554100
2025-06-16,318.3151,321.2277,316.5379,318.2262,547300
2025-06-17,315.6493,316.0047,310.3079,310.8114,619200
2025-06-18,310.2091,315.2445,309.8438,310.999,701800
2025-06-20,313.2501,313.8919,310.0116,310.2782,1222200
2025-06-23,310.1104,312.6676,303.9988,312.3319,587600
2025-06-24,315.9652,320.5366,313.7437,319.7467,669100
2025-06-25,319.9541,320.8821,313.7141,314.7113,742800
2025-06-26,316.992,321.0796,315.3234,320.0923,1004000
2025-06-27,321.0204,324.5945,319.9244,321.593,911100
