date,open,high,low,close,volume
2025-03-14,33.8677,34.8354,33.8677,34.679,7118000
2025-03-17,34.7377,35.07,34.5715,34.7865,5577400
2025-03-18,34.5128,34.894,34.4346,34.8549,3960700
2025-03-19,34.7181,35.1091,34.5813,35.0504,4406500
2025-03-20,35.0211,35.1775,34.9331,35.1482,3619400
2025-03-21,35.0797,35.373,34.7083,34.9625,8615300
2025-03-24,34.9331,35.2655,34.679,34.9136,4210600
2025-03-25,34.8452,34.894,34.161,34.4346,5309700
2025-03-26,34.5031,34.8647,34.5031,34.7376,2540700
2025-03-27,34.8452,35.0895,34.6986,34.8647,2734700
2025-03-28,35.0895,35.5782,35.0016,35.4316,6252200
2025-03-31,35.4609,36.1354,35.2655,35.4121,9318800
2025-04-01,35.5,36.0767,35.197,35.9692,10763700
2025-04-02,36.1647,36.4384,35.9594,36.0963,5692200
2025-04-03,36.2233,36.8489,36.194,36.5166,5208000
2025-04-04,36.4188,36.8,34.9527,35.2655,9470400
2025-04-07,34.8354,35.588,34.3467,34.6986,10268000
2025-04-08,35.373,35.4512,34.4835,34.7474,11987900
2025-04-09,34.3956,36.0865,33.9362,35.4414,12994600
2025-04-10,35.373,35.8226,34.7181,35.373,10449300
2025-04-11,35.2264,35.8324,35.0211,35.7542,8296700
2025-04-14,35.803,36.4286,35.6076,36.3895,6610600
2025-04-15,36.4286,36.6925,36.2527,36.3211,6008200
2025-04-16,36.3895,36.4286,35.803,35.9497,5771500
2025-04-17,36.1256,36.7511,36.0963,36.3211,4269200
2025-04-21,36.1451,36.3113,35.3339,35.6662,3160400
2025-04-22,36.1647,36.5263,35.9692,36.4188,4173700
2025-04-23,36.3015,36.5361,35.891,36.497,5229200
2025-04-24,36.2918,37.2399,36.1745,37.0444,6127800
2025-04-25,36.9955,37.4647,36.8587,37.3278,6872500
2025-04-28,37.191,37.4647,36.976,37.3767,5098700
2025-04-29,37.2887,37.5526,37.103,37.3767,3585600
2025-04-30,37.4647,37.9827,36.888,37.9045,6391000
2025-05-01,37.8263,38.1195,37.494,37.7286,3640400
2025-05-02,37.9241,38.2955,37.7383,38.1098,3796700
2025-05-05,38.0902,38.1586,37.6895,38.0022,3158600
2025-05-06,37.9338,38.4225,37.8752,38.0413,3434400
2025-05-07,38.0022,38.4128,37.9827,38.1684,3933700
2025-05-08,37.9436,37.9534,37.0541,37.0932,5257100
2025-05-09,37.2399,37.2594,36.4775,36.6925,6167100
2025-05-12,36.3211,36.4775,35.7542,36.0181,8022300
2025-05-13,36.0572,36.282,35.7737,35.8324,4869900
2025-05-14,35.9008,35.9008,35.1873,35.7444,7364400
2025-05-15,35.8919,36.6786,35.7542,36.6097,4980700
2025-05-16,36.6982,36.9834,36.4032,36.8949,8025900
2025-05-19,36.5507,37.0916,36.5507,37.0326,3369800
