date,open,high,low,close,volume
2025-03-14,166.3458,169.9271,165.2507,169.562,3898600
2025-03-17,167.7171,170.1835,157.7626,163.0408,13698500
2025-03-18,163.3861,167.1942,162.3699,166.5135,4972200
2025-03-19,165.744,172.206,163.8202,170.2822,4132000
2025-03-20,168.1512,173.5872,168.023,172.1271,2845300
2025-03-21,170.3513,172.9558,169.1772,172.4724,5074900
2025-03-24,175.9353,179.3093,174.1298,178.4313,3801300
2025-03-25,181.4699,181.5291,177.9281,179.9901,3463600
2025-03-26,180.9372,182.3578,176.5173,177.4151,3255400
2025-03-27,175.6491,177.5236,173.3011,175.7577,2463200
2025-03-28,174.8796,176.9317,169.2266,171.1997,2617300
2025-03-31,169.2068,177.8097,168.9503,176.8922,6130700
2025-04-01,174.8007,177.0501,173.2025,175.8267,3248200
2025-04-02,172.65,181.8349,170.9827,179.7335,3579000
2025-04-03,163.7708,174.0805,156.3913,161.8371,13576300
2025-04-04,154.793,156.3716,144.2269,148.548,11073800
2025-04-07,142.9936,157.5554,141.2967,152.593,8586300
2025-04-08,160.7519,162.1035,147.6799,150.3041,5796500
2025-04-09,147.3641,175.2743,145.322,172.5612,10828400
2025-04-10,167.2239,167.2337,154.6451,159.9824,6294400
2025-04-11,159.2523,159.5384,153.7374,158.8084,5339500
2025-04-14,163.9287,163.9287,157.6146,160.3376,3174500
2025-04-15,161.4721,164.6883,161.038,161.3439,2734400
2025-04-16,159.3312,161.8075,155.7697,157.9106,4003400
2025-04-17,159.1537,162.5672,156.2926,160.5842,2340500
2025-04-21,166.8095,169.0687,159.3411,162.9421,12120200
2025-04-22,165.6749,169.0983,164.7574,167.9144,6890700
2025-04-23,174.6231,182.0125,173.2419,174.0904,7665100
2025-04-24,174.6231,183.5516,173.6464,182.565,6516700
2025-04-25,182.2098,184.1337,180.0788,180.2762,3464000
2025-04-28,180.7892,183.1668,179.2008,180.6708,3185900
2025-04-29,180.6412,181.4403,177.6322,180.6215,2602900
2025-04-30,177.7801,178.3819,172.3737,177.8393,4171100
2025-05-01,177.3263,179.5264,175.9353,177.7999,3232000
2025-05-02,181.5784,186.7974,180.434,185.3077,4696700
2025-05-05,182.9794,186.9257,182.6538,185.3767,3105000
2025-05-06,182.5157,184.7059,181.5291,183.2162,3461900
2025-05-07,184.4198,186.5705,183.0287,184.0449,4733900
