date,open,high,low,close,volume
2025-03-14,93.7296,96.3402,93.0334,95.673,7625800
2025-03-17,95.9631,97.191,95.7407,96.0695,8031100
2025-03-18,97.133,97.5875,95.4603,97.2007,7861500
2025-03-19,97.1717,99.2602,96.9493,97.9742,8784600
2025-03-20,97.8002,99.2311,97.5004,98.9217,11577800
2025-03-21,99.0184,99.5502,97.9839,98.5447,55090400
2025-03-24,98.651,99.5212,98.2062,98.8057,6768300
2025-03-25,99.1828,99.9273,98.0612,99.1538,6556500
2025-03-26,100.2174,101.397,99.2118,99.7823,7168400
2025-03-27,99.4922,100.4011,98.8444,99.4149,4712000
2025-03-28,99.0474,99.8403,98.2449,98.9798,3745400
2025-03-31,98.8347,101.9674,98.6317,101.542,7905800
2025-04-01,101.4357,102.2092,100.5751,101.8998,6809500
2025-04-02,100.9425,102.6829,100.7878,102.5862,6527500
2025-04-03,97.0073,98.0806,91.9699,92.0956,13870900
2025-04-04,89.0499,89.5817,82.7168,83.4323,15158400
2025-04-07,81.2278,86.4586,79.0136,82.8328,12870200
2025-04-08,84.2638,85.3564,78.5785,79.9225,11509800
2025-04-09,78.4238,89.4076,77.2346,88.4794,17841900
2025-04-10,85.5691,85.7141,78.1241,80.5316,15621900
2025-04-11,80.5413,84.0994,79.7291,83.529,9233400
2025-04-14,85.6658,85.6851,82.7555,83.587,6537200
2025-04-15,83.732,84.8053,82.6394,82.8812,5739600
2025-04-16,83.5193,85.4337,83.1616,83.5,6093300
2025-04-17,84.902,87.4835,84.7859,86.0332,7804400
2025-04-21,84.3702,84.9503,83.471,84.6506,6213500
2025-04-22,85.9462,87.4739,84.9116,86.7874,5556800
2025-04-23,87.7736,88.6341,86.1299,86.9518,7699600
2025-04-24,87.7446,89.1562,87.1548,88.7598,6520300
2025-04-25,87.6479,88.9629,87.6092,88.6825,4736600
2025-04-28,88.5858,90.2488,88.5858,89.8524,4667600
2025-04-29,87.9863,89.543,87.3965,88.8372,4828800
2025-04-30,87.7253,87.7446,85.1533,86.1686,8415300
2025-05-01,85.5014,88.3537,85.3274,87.6479,8027600
2025-05-02,88.7211,89.3786,86.7294,88.3827,6895400
2025-05-05,86.8357,86.8357,84.6506,84.7086,9275000
2025-05-06,85.5884,86.6037,84.6796,84.7279,8902400
2025-05-07,85.279,85.3951,84.0027,84.8053,9200900
2025-05-08,86.4006,89.2046,85.7528,85.8785,15884200
2025-05-09,87.88,88.054,85.3757,85.6561,7569300
2025-05-12,90.2972,91.0997,89.0402,89.2143,8799600
2025-05-13,89.659,91.9312,89.2336,91.0513,8293600
2025-05-14,89.9297,90.7129,89.3109,89.5043,7605200
2025-05-15,87.8993,89.9974,87.7252,89.8814,6696200
2025-05-16,90.4712,90.5195,88.4794,89.3689,6696200
