date,open,high,low,close,volume
2025-03-14,253.7701,256.6197,250.6922,256.2325,925100
2025-03-17,255.4381,259.9756,253.9389,259.1019,1240300
2025-03-18,259.0721,263.55,258.3771,262.2592,1745500
2025-03-19,262.1699,265.5854,260.8593,263.9173,1479200
2025-03-20,264.4138,266.0123,262.4479,265.9329,1496800
2025-03-21,266.1911,269.1498,264.4833,265.5258,6526600
2025-03-24,266.3698,267.9286,264.801,265.5953,1056800
2025-03-25,267.591,268.852,263.6989,266.5684,1448900
2025-03-26,267.2931,269.9243,265.9925,269.4576,1036200
2025-03-27,271.1257,272.9724,269.2392,272.0193,1015500
2025-03-28,272.8433,273.6078,271.4533,273.2504,1153800
2025-03-31,274.0348,278.7013,273.6376,276.1099,1916700
2025-04-01,277.0333,278.0063,273.7866,275.4348,1322300
2025-04-02,275.1171,277.8077,274.4717,277.5198,1406600
2025-04-03,279.6942,289.7521,278.0361,287.2997,3339400
2025-04-04,289.2259,294.5378,274.0447,276.4078,4404500
2025-04-07,270.4902,278.3538,265.496,272.605,2766400
2025-04-08,278.5325,279.2672,270.2817,272.7738,2426400
2025-04-09,269.7654,280.6176,267.452,271.9398,4241500
2025-04-10,272.5852,280.2701,270.7583,277.1624,2280500
2025-04-11,275.8617,284.47,275.534,282.3055,1509200
2025-04-14,281.1538,283.4672,278.0063,282.2658,1215000
2025-04-15,284.3011,284.3011,280.2006,282.514,1124600
2025-04-16,284.4898,285.1451,280.9849,282.4147,1398400
2025-04-17,280.9949,285.7905,279.6445,284.6983,1618800
2025-04-21,287.2699,287.2699,275.961,279.1581,1895400
2025-04-22,279.8034,284.3111,278.1552,284.2317,2165800
2025-04-23,282.7622,282.9608,273.2008,282.6828,1992200
2025-04-24,281.7892,282.6232,278.5027,280.3793,1928200
2025-04-25,280.9949,284.1125,277.8773,283.8643,1815800
2025-04-28,284.9565,286.138,283.0799,285.7011,1334100
2025-04-29,286.3763,288.6003,283.3877,288.1039,1250200
2025-04-30,289.7024,291.1918,286.8132,290.5861,1620200
2025-05-01,287.6571,290.3677,284.7182,288.362,1259300
2025-05-02,290.5464,291.8073,288.1337,290.04,1046800
2025-05-05,291.5392,292.1052,289.0074,289.8911,1385600
2025-05-06,290.2088,291.708,287.9847,288.7393,1364100
2025-05-07,293.4555,307.1473,291.3308,302.4113,2515200
2025-05-08,298.8568,300.9716,280.9651,281.7495,4123800
2025-05-09,283.8842,287.1805,280.7963,280.985,2786000
2025-05-12,274.005,276.7056,269.0704,276.3978,3769300
2025-05-13,276.517,278.195,274.2135,277.0135,1980000
2025-05-14,278.2943,281.0743,276.3482,277.1624,1493800
2025-05-15,278.0063,284.3111,276.8844,283.9338,1507700
2025-05-16,284.272,289.0271,283.9935,288.7088,1355600
2025-05-19,289.9125,292.5189,289.2261,291.1063,1553500
2025-05-20,292.0513,295.4038,289.813,291.4047,1540200
2025-05-21,289.813,292.0811,289.6141,289.8428,947200
2025-05-22,289.425,291.345,287.0475,288.5993,1057900
2025-05-23,290.7979,291.8922,287.724,290.8277,1356400
2025-05-27,291.4743,292.6482,290.7282,291.8623,1241500
2025-05-28,290.0916,292.2304,287.3857,287.6842,983300
2025-05-29,286.5004,289.5643,284.4909,289.1764,919400
2025-05-30,289.3554,293.7126,288.5198,289.7235,3890000
2025-06-02,288.7785,290.6785,287.0077,290.5492,1150700
2025-06-03,293.9812,295.1551,286.6993,290.0319,1368100
2025-06-04,289.7931,290.8277,287.2365,287.515,811400
2025-06-05,287.714,288.1716,285.0877,286.9082,1190100
2025-06-06,284.4013,288.2412,283.7547,287.4355,1302600
2025-06-09,285.1872,286.1124,280.6908,282.4715,1120500
2025-06-10,281.8646,284.083,280.1039,282.7599,1239400
2025-06-11,282.5908,286.5799,282.5908,285.1474,1171300
2025-06-12,286.9381,293.6529,285.9035,293.5037,1418100
2025-06-13,293.5534,295.3938,291.6832,294.0011,966900
2025-06-16,293.0163,294.5383,288.868,290.977,1064300
