date,open,high,low,close,volume
2025-03-14,112.9092,114.2765,112.0618,113.7084,1018400
2025-03-17,113.2077,115.9712,113.2077,115.6727,705900
2025-03-18,115.4609,116.1734,114.5172,115.1527,632600
2025-03-19,115.2298,116.2986,114.1032,115.3935,1051000
2025-03-20,115.5572,116.183,114.3824,115.5957,789200
2025-03-21,115.095,115.3838,113.0536,114.7868,1697200
2025-03-24,115.4127,117.3578,115.0468,117.117,717700
2025-03-25,118.4362,118.5421,115.8653,116.7319,745600
2025-03-26,117.2422,117.7526,116.5682,117.6755,971400
2025-03-27,117.9933,119.2354,117.3096,117.4155,643700
2025-03-28,118.9754,118.9754,116.1927,117.7622,1151100
2025-03-31,118.5295,120.7439,117.9856,118.782,1480300
2025-04-01,118.782,118.9374,116.8201,118.4129,1350900
2025-04-02,118.442,119.5978,117.7622,119.2676,844500
2025-04-03,118.0341,119.7629,115.2564,115.4701,1079800
2025-04-04,114.2463,114.2463,107.098,107.2534,1960400
2025-04-07,105.3887,108.8754,102.067,104.9419,1920500
2025-04-08,107.4962,107.9333,102.4555,103.4656,1749000
2025-04-09,101.9796,109.5067,99.4058,108.4966,2350300
2025-04-10,107.5351,108.9919,102.7955,104.9516,1832100
2025-04-11,103.7375,105.243,101.9796,104.8253,1358700
2025-04-14,105.8063,108.4966,105.5635,107.9819,1094400
2025-04-15,108.5937,109.3027,107.6419,108.1372,979000
2025-04-16,108.2052,109.2542,106.525,107.03,851100
2025-04-17,107.5254,110.2157,107.5254,109.0502,581700
2025-04-21,107.9042,108.9919,106.3696,107.6225,785100
2025-04-22,109.225,110.983,108.7685,109.9049,862500
2025-04-23,110.8081,112.6729,110.1574,110.7499,815300
2025-04-24,111.1481,111.9833,110.1866,110.7402,684700
2025-04-25,110.7984,111.3812,110.0214,110.7207,950800
2025-04-28,110.4099,111.42,109.5747,110.9344,960100
2025-04-29,110.4197,110.8373,109.1376,109.7495,1243700
2025-04-30,109.866,110.9635,108.1372,110.5265,1061900
2025-05-01,110.8276,112.5564,109.7204,111.5269,1089500
2025-05-02,114.9068,117.7913,114.0812,117.3931,1793700
2025-05-05,117.0726,117.8399,115.4701,115.7809,975300
2025-05-06,115.5186,116.2762,114.7999,115.5672,753500
2025-05-07,115.5186,116.6938,115.2564,115.5672,931400
2025-05-08,115.9557,116.1596,113.8481,114.1103,1418700
2025-05-09,113.9549,115.1107,113.7024,114.5863,763500
2025-05-12,115.6352,115.7906,114.5086,115.5284,562500
2025-05-13,115.305,115.5283,113.0614,113.8578,949900
2025-05-14,113.3722,113.6539,111.692,112.4107,684500
2025-05-15,113.1488,114.7416,113.1488,114.596,796100
2025-05-16,115.0622,116.4413,114.3823,116.1888,1922100
2025-05-19,114.8388,116.2956,114.4017,115.6352,692900
2025-05-20,114.5571,115.8974,114.5571,115.4118,574900
2025-05-21,114.7611,115.0427,112.0028,112.2067,522900
2025-05-22,112.2941,112.2941,110.4294,111.1092,1234400
2025-05-23,110.9344,111.1675,108.6811,109.7786,1289400
2025-05-27,110.9538,112.0707,109.7689,111.7697,801400
2025-05-28,112.0805,112.7409,111.1578,112.265,631300
2025-05-29,112.1873,114.0327,112.0902,113.547,790100
2025-05-30,113.0614,114.4406,112.4301,114.1103,1314400
2025-06-02,113.1682,114.5765,112.3815,114.4406,528600
2025-06-03,113.8772,114.9553,112.2747,114.3143,1774300
2025-06-04,114.4406,114.8582,113.2459,114.1978,662100
2025-06-05,114.2075,114.2075,112.1096,112.4107,674100
2025-06-06,113.2362,113.8093,111.4103,112.4981,595100
2025-06-09,112.3815,114.965,111.9154,114.1589,1409200
2025-06-10,114.8679,115.5769,113.9452,114.7125,1003000
2025-06-11,114.9747,115.0816,113.4208,114.0424,767800
2025-06-12,114.1103,115.1787,113.6733,115.0816,594500
2025-06-13,114.2075,114.8679,111.7697,112.7797,696900
2025-06-16,113.2168,114.1006,112.5369,112.8186,470200
2025-06-17,112.7118,112.9643,112.0125,112.5661,635900
2025-06-18,112.3621,113.4985,111.8959,112.2941,759100
2025-06-20,112.3038,113.0226,111.6434,112.265,1585800
2025-06-23,112.6438,114.1201,111.352,112.9157,857700
2025-06-24,113.0614,113.4985,111.7114,112.2067,941200
2025-06-25,111.3618,111.8862,109.5941,109.8078,1629900
2025-06-26,110.1671,111.1287,109.3222,111.0412,954200
2025-06-27,111.0121,111.8474,110.0797,110.4876,1151200
2025-06-30,110.4974,111.1738,108.6251,110.468,2825500
2025-07-01,110.2524,112.0561,108.9878,110.7425,1693900
2025-07-02,110.6543,111.4091,109.3309,111.164,1025200
2025-07-03,111.1052,112.3894,110.7817,111.762,610700
2025-07-07,111.4189,113.252,110.5759,111.1248,880300
2025-07-08,110.3798,111.9385,110.1053,111.0758,947000
2025-07-09,111.2719,112.0463,110.6739,110.7817,713600
2025-07-10,110.6249,112.2423,110.5072,111.1738,866500
2025-07-11,110.0269,111.9777,109.7034,111.5169,599400
2025-07-14,111.5169,112.8011,111.3895,111.8502,753300
2025-07-15,111.9483,111.9483,109.9387,110.2622,587100
2025-07-16,110.37,112.0267,110.272,111.8502,595900
2025-07-17,112.1835,112.7129,111.4091,111.8992,619300
2025-07-18,111.8992,112.6737,111.3013,111.6836,654900
2025-07-21,111.9091,113.2716,110.8994,111.0072,693100
2025-07-22,111.1738,113.5461,110.968,113.4089,525200
2025-07-23,113.4481,113.6245,112.3012,112.9285,841700
2025-07-24,112.958,112.958,111.3111,111.3601,874800
2025-07-25,111.5169,112.458,110.3798,111.3013,804700
2025-07-28,111.2523,111.3209,109.9583,110.0171,712700
2025-07-29,110.6641,112.5756,109.9877,112.458,962300
2025-07-30,112.0169,112.1345,109.0662,109.9093,1162400
2025-07-31,109.125,110.0465,106.4979,107.0468,1855900
2025-08-01,108.2428,108.3898,104.3707,104.8412,2037600
2025-08-04,105.0373,105.5862,103.5472,103.6845,847800
2025-08-05,104.1354,105.8411,103.459,105.547,1549800
2025-08-06,105.7333,106.194,104.0864,104.3707,1020700
2025-08-07,104.753,105.3216,104.057,104.8608,753600
2025-08-08,105.0373,105.1353,103.2041,103.4394,646300
2025-08-11,103.4198,103.5668,101.9592,101.9984,782700
