date,open,high,low,close,volume
2025-03-14,95.0032,96.3829,94.1992,96.3035,5822400
2025-03-17,95.4201,97.2862,95.4201,96.6112,6380000
2025-03-18,96.0851,96.1943,94.5565,95.43,6615200
2025-03-19,95.4697,99.0928,95.2613,98.0307,17809500
2025-03-20,97.2564,99.1722,96.1646,96.8693,16960600
2025-03-21,95.1322,95.5888,92.1643,93.951,37706600
2025-03-24,95.7675,97.5344,95.3506,97.4053,18722800
2025-03-25,97.2068,98.0406,96.2737,97.8818,15666200
2025-03-26,97.1671,97.8818,93.8815,93.8815,6411400
2025-03-27,93.3058,93.3356,91.1518,91.4595,10479800
2025-03-28,90.3875,90.6158,86.9035,87.4891,11039900
2025-03-31,85.2061,87.767,84.3326,87.3204,9364400
2025-04-01,86.7149,88.303,85.9108,88.1938,5311300
2025-04-02,87.6678,90.6655,87.231,89.9607,4605100
2025-04-03,84.0249,87.1913,83.608,85.7123,7889600
2025-04-04,80.0643,82.0793,78.1585,80.2728,8909500
2025-04-07,78.0791,84.283,76.1832,80.6202,8147000
2025-04-08,84.1539,84.5708,78.1188,79.7566,6082400
2025-04-09,79.3,89.1567,77.2155,88.3725,10070200
2025-04-10,83.4988,84.7892,80.7095,82.6451,7853300
2025-04-11,83.5683,84.7495,81.6029,84.1142,5355900
2025-04-14,85.8215,86.3674,84.4219,85.1465,4353500
2025-04-15,85.8513,86.3575,84.9281,85.3153,3067800
2025-04-16,85.3153,85.9902,83.3995,84.3921,3320000
2025-04-17,83.9951,85.1962,82.8635,84.1241,5452300
2025-04-21,83.7072,84.541,80.9974,82.0992,2884300
2025-04-22,82.9429,85.4939,82.5757,85.087,6466100
2025-04-23,88.2038,89.5041,87.0623,87.1615,6540700
2025-04-24,87.4593,91.3901,86.8836,90.6754,5149200
2025-04-25,91.8268,92.6904,91.0923,91.7573,5629800
2025-04-28,91.7673,92.9882,91.668,92.3529,6238400
2025-04-29,92.3132,93.0577,90.6754,92.7698,4159500
2025-04-30,92.1246,94.9039,91.4496,94.7153,5809700
2025-05-01,96.0752,97.0976,95.5293,95.569,4745700
2025-05-02,97.2068,98.388,96.512,97.7825,4690400
2025-05-05,96.9884,97.9413,96.4326,97.5244,5743800
