date,open,high,low,close,volume
2025-03-14,168.11,171.63,168.11,171.04,1034100
2025-03-17,171.03,175.6,170.54,175.01,1013300
2025-03-18,175.11,177.12,173.13,176.94,1011900
2025-03-19,176.06,178.81,173.2,173.88,1072500
2025-03-20,170.92,171.71,164.55,165.35,1542100
2025-03-21,162.94,167.94,162.68,167.28,1638900
2025-03-24,166.92,169.26,165.83,166.98,674600
2025-03-25,167.32,168.0,161.02,161.35,930100
2025-03-26,160.92,162.32,157.23,158.25,772100
2025-03-27,158.27,159.08,156.11,158.06,598800
2025-03-28,156.94,158.71,154.77,155.55,1078600
2025-03-31,153.73,153.82,146.64,150.52,1356000
2025-04-01,150.81,151.37,145.66,145.99,1019100
2025-04-02,143.97,150.16,142.76,149.28,1192900
2025-04-03,146.33,146.33,138.7,140.98,1012100
2025-04-04,137.99,140.15,132.99,136.9,1666200
2025-04-07,132.79,139.16,128.03,134.07,1984900
2025-04-08,136.86,137.96,122.06,123.61,1586300
2025-04-09,121.71,139.31,117.26,139.07,1974900
2025-04-10,136.27,136.59,95.97,99.95,6599400
2025-04-11,98.33,101.36,91.86,99.75,11604900
2025-04-14,104.08,107.67,100.22,106.6,3985300
2025-04-15,106.1,107.58,104.69,105.92,2845100
2025-04-16,105.78,107.23,103.12,104.25,1862200
2025-04-17,105.0,106.23,102.65,106.05,1658400
2025-04-21,103.9,103.91,99.8,102.67,2087400
2025-04-22,103.42,107.29,101.0,106.89,1647200
2025-04-23,109.22,116.06,107.6,109.0,2077800
2025-04-24,110.42,115.94,108.1,115.76,2633500
2025-04-25,113.85,115.25,112.12,114.66,1516200
2025-04-28,115.01,117.16,112.39,115.08,1372600
2025-04-29,114.71,117.86,113.94,117.29,1347400
2025-04-30,115.62,118.69,114.75,118.62,1499100
2025-05-01,119.38,120.14,114.24,116.89,990000
2025-05-02,120.22,121.81,118.25,118.46,938300
2025-05-05,118.67,120.89,117.13,119.44,970600
2025-05-06,117.44,120.02,113.89,115.41,2089300
2025-05-07,141.03,144.77,131.3,136.97,4234800
2025-05-08,140.7,143.86,137.0,141.36,2330400
2025-05-09,141.21,143.46,138.46,138.79,920300
2025-05-12,145.45,147.64,139.99,143.08,2343800
2025-05-13,142.23,145.64,141.19,144.02,1294700
2025-05-14,146.0,146.43,138.78,138.95,1595600
2025-05-15,138.2,139.38,135.11,138.89,964300
2025-05-16,138.99,142.6,137.68,140.97,1521100
2025-05-19,138.0,141.5,137.72,141.38,792300
2025-05-20,141.37,143.82,140.34,143.53,956400
2025-05-21,141.39,141.71,134.86,134.98,825800
2025-05-22,133.79,136.26,133.34,135.6,1306500
2025-05-23,134.21,137.0,133.85,136.73,775600
2025-05-27,140.11,140.65,138.61,138.65,802800
2025-05-28,137.96,138.89,136.12,136.25,621500
2025-05-29,138.22,138.6,135.78,137.7,497400
2025-05-30,136.42,136.94,134.08,135.63,807100
2025-06-02,134.8,135.44,132.58,135.04,514100
2025-06-03,135.23,139.73,132.65,138.49,654200
2025-06-04,138.9,145.93,138.81,143.22,849400
2025-06-05,143.36,144.88,140.78,141.2,728900
2025-06-06,143.12,145.65,143.12,144.7,938000
2025-06-09,146.56,149.03,144.89,147.46,925200
2025-06-10,149.4,152.43,147.37,151.0,780800
2025-06-11,151.43,154.43,149.25,151.11,718900
2025-06-12,150.16,152.64,148.54,151.89,910600
2025-06-13,148.62,152.64,148.62,149.45,699400
2025-06-16,150.29,151.59,147.92,151.03,823500
2025-06-17,149.38,150.54,143.16,145.05,979200
2025-06-18,145.16,147.1,143.06,145.29,633000
2025-06-20,146.09,147.74,144.36,147.45,1542800
2025-06-23,146.21,148.32,144.37,147.38,1487900
2025-06-24,149.01,149.68,146.84,148.4,823800
2025-06-25,148.01,152.51,146.0,150.21,749200
2025-06-26,151.34,153.72,150.18,151.59,880100
2025-06-27,152.04,152.63,148.41,150.01,814700
2025-06-30,150.87,152.92,148.7,151.73,857000
2025-07-01,151.0,160.4,150.35,154.4,1009100
2025-07-02,154.01,158.38,152.84,157.49,637200
2025-07-03,158.08,158.72,156.17,157.12,247100
2025-07-07,156.48,156.72,152.73,153.9,782900
2025-07-08,154.55,160.0,154.11,158.39,752400
2025-07-09,162.89,163.59,156.4,158.97,653900
2025-07-10,160.84,168.12,160.09,163.66,828700
2025-07-11,161.81,162.66,158.26,159.4,519000
2025-07-14,157.49,160.41,155.48,158.04,646900
2025-07-15,159.07,159.49,153.81,154.42,542600
2025-07-16,154.63,155.57,151.67,154.94,526600
2025-07-17,154.93,156.95,153.82,156.7,905600
2025-07-18,158.01,158.18,153.31,154.48,493600
2025-07-21,155.63,155.69,146.26,149.79,1055700
2025-07-22,157.42,167.83,155.48,163.36,1884100
2025-07-23,166.98,169.6,165.88,167.95,790800
