date,open,high,low,close,volume
2025-03-14,273.2163,278.0746,270.9114,277.5878,6976900
2025-03-17,275.571,280.8962,274.2893,278.929,4484300
2025-03-18,278.2038,278.6807,274.1502,276.9221,5881700
2025-03-19,275.7001,280.3895,275.4915,277.5779,5245400
2025-03-20,275.263,281.0452,275.263,277.2202,5504700
2025-03-21,274.4185,280.0219,272.2725,278.7999,9804100
2025-03-24,281.8997,284.9001,281.383,284.1053,6763800
2025-03-25,283.7575,288.5662,283.7575,286.7381,4301700
2025-03-26,286.4698,287.1653,277.7666,279.1675,5070300
2025-03-27,278.7204,279.0781,274.2198,276.0081,3757200
2025-03-28,274.9152,275.412,267.444,268.219,4973400
2025-03-31,262.8341,266.7088,257.5089,266.6194,7585800
2025-04-01,267.1161,269.0635,264.0959,268.4475,4598200
2025-04-02,264.235,271.8552,264.0263,269.7788,5396900
2025-04-03,258.4527,260.867,252.7996,253.5746,8872600
2025-04-04,246.0934,248.6666,237.9764,239.1984,9705000
2025-04-07,228.5082,251.3093,228.5082,242.626,11965200
2025-04-08,252.3029,255.7206,238.7116,242.4075,9340300
2025-04-09,239.3375,266.4307,239.3375,263.4501,12491100
2025-04-10,258.7195,259.9534,246.908,253.8635,9692300
2025-04-11,253.0177,255.1472,246.4602,253.7441,6089000
2025-04-14,258.7195,258.7195,251.8933,253.2963,6038100
2025-04-15,253.1172,255.4557,252.55,253.6745,5227700
2025-04-16,250.6892,255.3462,245.4751,248.6095,7190900
2025-04-17,248.5399,250.3211,245.5845,246.0423,5566900
2025-04-21,239.2459,241.2858,231.6236,235.0964,9240000
2025-04-22,237.0567,243.0172,234.4397,242.1913,7145300
2025-04-23,251.3659,256.5204,248.2712,249.2464,5818900
2025-04-24,256.9284,263.675,255.7343,263.3964,7857600
2025-04-25,263.4163,267.705,262.8988,266.5309,5651700
2025-04-28,266.8294,268.1727,262.0331,264.3318,4977700
2025-04-29,264.0929,267.2572,263.864,266.4413,3139800
2025-04-30,263.4958,267.5458,261.7047,267.3866,4624100
2025-05-01,272.0535,273.2476,267.6752,268.0035,5208900
2025-05-02,273.1083,274.9591,270.9092,273.7252,4323400
2025-05-05,272.0236,274.8099,270.9689,271.2873,4219600
2025-05-06,268.4912,273.4466,267.2175,272.0137,4681600
2025-05-07,272.362,277.417,272.362,276.8597,4267600
2025-05-08,277.8349,281.656,277.009,278.3623,4789900
2025-05-09,280.233,281.0888,272.5312,274.0636,4324200
2025-05-12,283.5964,287.5468,281.8351,287.3976,5937400
2025-05-13,289.5669,291.2983,287.507,287.7459,6711600
2025-05-14,292.0545,294.592,287.8354,289.3081,7926200
2025-05-15,288.1439,290.5321,286.5319,289.328,4635600
2025-05-16,289.6564,290.7311,288.2931,289.7161,3846000
2025-05-19,286.6811,288.4722,285.497,286.2134,5781200
2025-05-20,286.6712,287.0195,283.8054,286.6413,4032300
2025-05-21,283.0093,286.2135,279.7255,280.8898,5689800
2025-05-22,281.1087,284.9397,279.6459,282.0242,6642700
2025-05-23,277.6259,279.3574,270.3121,271.7849,8887800
2025-05-27,271.8247,277.208,268.9588,275.8249,10958000
2025-05-28,276.3423,277.4369,272.2326,274.6706,12758600
2025-05-29,262.2918,266.4711,253.2466,265.6054,28053100
2025-05-30,266.7597,268.4115,259.4161,264.063,12388500
2025-06-02,261.8142,262.4908,257.8637,260.3315,9213500
2025-06-03,260.7097,263.4461,260.0728,263.1675,7838500
2025-06-04,262.8889,264.1924,260.3315,261.8739,7372500
2025-06-05,262.4112,267.4264,262.3416,265.8244,8642900
2025-06-06,268.6404,273.5461,266.8891,273.1581,7507000
2025-06-09,271.5062,272.8496,268.3319,270.9092,5728300
2025-06-10,270.7301,272.4018,265.5258,266.899,6309700
2025-06-11,267.1776,268.1827,264.1029,264.6004,6568100
2025-06-12,263.3964,267.6951,262.1028,265.5955,8054000
2025-06-13,262.1824,264.3914,256.7294,257.1274,7659300
2025-06-16,259.1076,262.6799,258.6797,262.5804,7177000
2025-06-17,262.5506,269.1678,260.8092,261.4659,9110100
2025-06-18,263.9137,264.1927,256.6082,258.6314,7628000
2025-06-20,259.8175,261.9902,258.3923,259.7577,12859200
2025-06-23,259.7676,263.8539,257.8839,262.5284,9283800
2025-06-24,264.8206,272.465,264.5516,270.2624,9713900
2025-06-25,271.0896,273.0829,266.0864,266.8638,6074300
2025-06-26,267.8804,270.1029,264.2725,269.8338,6708000
2025-06-27,270.9501,273.2524,268.5282,272.5049,21741400
2025-06-30,273.5413,275.4549,269.4949,271.7773,8541900
2025-07-01,271.1693,273.0829,269.7342,270.9999,6256800
2025-07-02,270.6112,270.8006,264.7609,268.309,6115200
2025-07-03,268.7973,273.8105,268.4186,271.2391,5031800
2025-07-07,270.6013,273.0829,267.3123,268.897,6283500
2025-07-08,269.8837,275.8736,268.8272,272.7341,6661200
2025-07-09,273.4417,274.6377,268.4684,270.0132,6373600
2025-07-10,269.9933,270.5813,262.329,263.0865,7244600
2025-07-11,261.7011,262.0699,256.399,257.2062,7011200
2025-07-14,257.7344,261.3523,256.6381,258.8108,6533900
2025-07-15,260.1264,260.9337,256.3691,256.7179,5201500
2025-07-16,258.0633,258.1132,253.6681,257.0866,5649500
2025-07-17,257.1265,259.3291,255.791,259.0102,5837400
2025-07-18,259.4288,262.0998,258.2527,261.5018,6381200
2025-07-21,262.7376,263.4253,260.7643,261.4021,6714700
2025-07-22,262.1197,265.0001,261.1231,262.7078,5001400
2025-07-23,263.0367,267.5814,261.6214,266.3256,5620700
2025-07-24,267.0831,268.3986,264.7509,266.804,5877100
2025-07-25,267.113,270.1926,266.1163,268.2093,4015400
2025-07-28,268.598,269.4352,265.6977,269.3455,4533700
2025-07-29,270.691,273.0829,266.4153,266.4951,5137100
2025-07-30,265.9768,266.8738,262.4486,263.9237,3928200
2025-07-31,264.113,264.1529,256.9969,257.4653,7340300
2025-08-01,254.1365,255.1332,249.2928,249.9008,7646900
2025-08-04,250.1599,252.6515,249.8011,251.4755,4403500
2025-08-05,252.1631,252.4422,246.1832,246.6616,6761000
2025-08-06,248.5353,249.4224,246.1932,248.336,5834700
2025-08-07,249.8509,252.1632,236.1768,240.0738,10010200
2025-08-08,240.4824,242.1368,237.034,239.705,8812000
2025-08-11,238.1203,241.0605,230.7949,231.9012,10740100
2025-08-12,232.2201,232.8879,225.722,230.8846,13178000
2025-08-13,232.2301,236.5556,228.8415,236.2366,10209200
2025-08-14,236.2068,236.2068,232.0906,232.5889,7544800
2025-08-15,235.3596,243.6817,233.8447,241.6286,12942800
2025-08-18,238.9675,243.7016,238.6884,243.1534,8809200
2025-08-19,244.18,247.6683,242.6352,245.1766,8642200
2025-08-20,244.8776,246.7414,243.6318,245.6251,8195100
2025-08-21,244.2198,245.4657,239.2167,245.0072,5646800
2025-08-22,244.9574,248.6948,243.293,247.459,6694300
2025-08-25,248.5353,248.5353,245.964,247.0404,4957700
2025-08-26,245.8743,247.9972,242.0372,242.9242,8862300
2025-08-27,244.9275,249.532,244.7879,249.3227,6506900
2025-08-28,251.6349,254.7943,249.4523,253.6781,8461200
2025-08-29,254.5452,256.7777,252.0236,255.3923,7363200
2025-09-02,253.9671,254.1365,247.9174,252.0137,9312500
2025-09-03,254.2063,257.1365,249.7114,255.5917,17417900
2025-09-04,239.2565,244.3992,233.8347,243.1933,30967500
2025-09-05,244.0105,250.2895,243.5421,249.9207,13029400
2025-09-08,249.9606,252.0934,246.4723,251.4256,12602200
2025-09-09,250.4788,254.4854,250.3692,251.2163,10901900
2025-09-10,251.904,253.1399,240.9209,241.7581,11363600
2025-09-11,242.8843,246.3427,242.685,245.4557,6944900
2025-09-12,245.2763,246.7613,240.4425,241.9475,8386400
2025-09-15,242.4358,243.891,240.0339,241.7083,7244600
2025-09-16,241.7083,241.8677,236.446,238.509,8779800
2025-09-17,239.5833,242.6084,238.9942,241.8197,10124000
2025-09-18,243.7665,246.8915,242.5585,243.8863,9344400
2025-09-19,245.6235,246.8016,242.9578,246.6918,11813900
2025-09-22,244.8847,250.0763,242.7681,249.2876,7523800
2025-09-23,249.3375,250.9549,243.7366,244.1659,7669800
2025-09-24,245.2741,248.439,242.6184,245.4937,6707100
2025-09-25,244.106,244.2657,239.1041,240.5617,8145500
2025-09-26,240.3021,244.1359,239.9627,243.0377,4974600
2025-09-29,244.3256,245.4239,242.4786,244.705,6373500
2025-09-30,244.6551,244.8148,235.43,236.6181,10801100
2025-10-01,236.1089,242.0793,233.1337,235.3102,10016600
2025-10-02,235.0506,239.0142,233.2236,238.495,7679200
2025-10-03,238.3653,242.4187,238.1157,239.9727,8849800
2025-10-06,238.9443,250.0664,235.0306,245.3839,13922600
2025-10-07,246.0828,246.9614,237.1672,239.3537,8387400
2025-10-08,239.3537,240.9311,235.2702,240.0425,7120200
2025-10-09,238.8844,245.5636,236.7678,244.9346,7929100
2025-10-10,246.1227,248.6486,240.3321,241.2905,7988300
2025-10-13,242.4986,248.9482,241.9794,248.3491,8276500
2025-10-14,247.7102,247.8799,239.164,239.3836,9123900
2025-10-15,240.4818,240.9311,235.5198,236.1987,8389200
2025-10-16,252.782,256.3262,242.2789,245.6036,24869700
2025-10-17,246.1727,250.3759,241.7698,242.6883,10851200
2025-10-20,244.6052,254.9884,243.9063,253.8702,9963900
2025-10-21,254.0899,266.6995,253.5907,262.9855,13354700
2025-10-22,261.7775,261.9771,256.0966,256.2264,9370000
2025-10-23,257.1849,258.1433,253.7105,254.639,6110100
2025-10-24,257.0052,258.0834,253.5907,254.4193,5490800
2025-10-27,256.6657,257.6841,254.5092,255.0583,4942400
2025-10-28,255.0583,258.4229,253.7304,253.8503,6435600
2025-10-29,251.5939,253.1614,248.6387,251.0548,7904200
2025-10-30,250.0963,258.8622,249.5971,256.2364,7767800
2025-10-31,254.3894,261.3981,252.2229,259.9904,6878300
2025-11-03,259.581,261.1385,254.6889,260.9189,7054300
2025-11-04,257.734,258.8422,253.0516,254.03,6792200
2025-11-05,254.2895,256.4161,251.6039,252.2728,5241200
2025-11-06,250.1362,250.1362,234.1021,238.8844,11041800
2025-11-07,235.7694,240.5817,235.41,239.4934,5741500
2025-11-10,239.6132,241.5202,234.7012,241.3205,6486600
2025-11-11,241.5102,245.3041,240.7714,244.106,5762800
2025-11-12,245.344,248.0296,243.2873,245.6235,4278200
2025-11-13,244.8548,245.5037,239.5234,240.0425,5542100
2025-11-14,237.9259,244.7849,237.0374,243.2673,5512900
2025-11-17,241.6799,242.4387,235.2103,236.648,5280900
2025-11-18,235.8593,237.4068,229.8989,233.1237,8045100
