date,open,high,low,close,volume
2025-03-14,338.51,354.5,337.14,353.735,4365500
2025-03-17,353.0,370.86,352.566,364.83,4255100
2025-03-18,362.1,368.467,356.71,363.15,3185600
2025-03-19,366.22,381.26,362.256,375.05,4056600
2025-03-20,371.28,377.49,364.46,369.03,2883000
2025-03-21,358.91,372.19,353.03,362.24,8119500
2025-03-24,370.0,373.63,361.66,372.64,4146900
2025-03-25,378.08,392.694,377.0,384.95,4258400
2025-03-26,383.895,384.773,370.36,371.41,3275300
2025-03-27,368.72,371.46,360.28,366.56,2666100
2025-03-28,365.82,367.64,353.48,357.11,3457500
2025-03-31,345.785,353.64,337.89,352.58,3297000
2025-04-01,358.94,363.17,351.25,362.38,2682100
2025-04-02,353.16,376.27,353.029,371.49,2472000
2025-04-03,350.942,360.91,341.81,347.39,4304400
2025-04-04,328.02,334.045,310.31,321.63,7032800
2025-04-07,300.06,341.77,298.0,324.36,6299600
2025-04-08,342.71,351.06,318.38,325.04,5300600
2025-04-09,324.6,382.65,324.49,378.01,7657000
2025-04-10,369.0,375.987,354.204,368.61,4552600
2025-04-11,366.98,378.79,360.654,377.9,3383300
2025-04-14,386.955,389.253,372.82,378.66,3048000
2025-04-15,383.4,400.02,379.67,392.8,5204800
2025-04-16,386.11,395.35,373.48,379.84,4186700
2025-04-17,383.8,384.94,373.101,375.62,2098300
2025-04-21,363.8,372.09,355.66,362.69,2904900
2025-04-22,368.84,374.71,362.9,368.45,2577100
2025-04-23,382.5,396.305,382.5,385.75,3580600
2025-04-24,386.0,414.849,386.0,414.05,4624900
2025-04-25,414.69,425.735,412.6,424.88,3335500
2025-04-28,424.84,428.0,415.33,423.08,2798700
2025-04-29,424.49,432.37,423.08,430.99,2407100
2025-04-30,419.01,429.55,414.41,428.87,3187200
2025-05-01,431.51,439.63,427.75,431.88,3080100
2025-05-02,438.18,443.7,434.4,440.58,2708700
2025-05-05,436.0,451.15,435.404,443.47,3281000
2025-05-06,432.202,447.5,430.57,443.21,3431200
2025-05-07,425.42,429.84,417.062,422.52,6673400
2025-05-08,427.485,432.906,424.72,428.63,3619000
2025-05-09,418.945,420.0,404.63,410.57,4693300
2025-05-12,419.69,429.47,415.1,429.44,3278500
2025-05-13,428.21,448.0,427.0,440.2,3734600
2025-05-14,442.5,445.47,431.26,435.94,2847300
2025-05-15,423.59,433.86,422.09,431.84,2531900
2025-05-16,435.87,440.89,431.82,439.26,2133400
2025-05-19,432.43,445.5,431.69,444.35,2015600
2025-05-20,441.89,443.01,436.695,442.25,2132600
2025-05-21,436.8,450.67,432.06,434.74,4321100
2025-05-22,430.715,448.88,430.0,444.07,2590900
2025-05-23,438.5,459.93,437.4,455.59,4487800
2025-05-27,464.0,474.23,459.6,472.22,3997200
2025-05-28,472.985,473.41,465.98,468.83,2893400
2025-05-29,472.0,472.49,453.425,458.81,3324000
2025-05-30,462.03,473.12,456.765,471.37,4488700
2025-06-02,471.0,479.97,465.525,479.17,3483400
2025-06-03,480.765,491.2,477.45,488.76,7632200
2025-06-04,454.75,470.95,445.26,460.56,15453600
