date,open,high,low,close,volume
2025-03-14,58.8892,59.182,58.4986,59.0649,16250700
2025-03-17,58.9673,59.758,58.9087,59.4456,15335800
2025-03-18,59.2309,59.3578,58.2546,58.8696,16669000
2025-03-19,59.1918,60.1193,59.0649,59.6702,15488800
2025-03-20,59.0454,59.5726,58.9087,59.182,16528600
2025-03-21,58.7427,58.9673,58.0203,58.8696,65935200
2025-03-24,59.5921,59.924,59.4359,59.5237,28335600
2025-03-25,59.3968,59.758,59.2601,59.5433,20877600
2025-03-26,59.5823,60.3731,59.5628,60.3341,30621200
2025-03-27,60.4219,60.5098,59.8752,59.9435,25720200
2025-03-28,60.1974,60.3145,59.0746,59.4163,24931700
2025-03-31,59.1918,60.4317,58.8111,60.2462,29335700
2025-04-01,59.924,60.5684,59.6116,60.3341,17381400
2025-04-02,59.7483,60.4024,59.6507,60.3536,18610700
2025-04-03,58.3585,58.8892,56.275,56.3241,40006300
2025-04-04,55.6853,56.4814,53.5035,53.6018,42924400
2025-04-07,52.4617,55.1546,51.2136,53.474,46816200
2025-04-08,53.7983,54.9089,51.8131,52.275,37377000
2025-04-09,52.1669,57.4248,51.7639,57.13,53380800
2025-04-10,56.8253,56.9433,54.0538,55.6165,31964600
2025-04-11,55.6951,56.8057,55.3118,56.3438,23036900
2025-04-14,56.8941,57.2086,56.1177,56.4224,15657700
2025-04-15,56.8745,56.9138,56.0784,56.216,18543600
2025-04-16,55.5968,56.0981,54.4666,54.8008,20551300
2025-04-17,55.2332,55.4396,54.732,54.8008,15910400
2025-04-21,54.2111,54.3782,52.904,53.4347,15578800
2025-04-22,54.2701,54.329,53.6509,54.0932,19961800
2025-04-23,55.1841,55.9998,54.5452,54.673,30231500
2025-04-24,54.3487,55.5968,54.2111,55.3217,22782300
2025-04-25,55.243,55.8032,55.1054,55.7344,16493500
2025-04-28,55.5575,56.3438,55.4494,55.8622,23140600
2025-04-29,55.7148,56.501,55.6558,56.3536,13466000
2025-04-30,56.1177,56.9138,55.4887,56.7369,19921200
2025-05-01,56.786,57.4642,56.6877,57.1202,16420800
2025-05-02,58.044,58.3978,57.7295,58.3094,18753200
2025-05-05,57.985,58.6239,57.8671,58.2995,14758500
2025-05-06,57.6214,58.4863,57.5723,58.2013,13766500
2025-05-07,58.1816,58.8696,58.0538,58.5452,14078300
2025-05-08,58.9285,59.243,58.4076,58.6828,16196700
2025-05-09,59.6165,59.7836,58.4175,58.7418,17480700
2025-05-12,60.5501,60.786,60.0686,60.6091,23700000
2025-05-13,60.6189,61.1693,60.5501,60.7172,18591200
2025-05-14,60.5698,60.8057,59.8032,60.2356,34509200
2025-05-15,61.985,64.6189,61.8376,63.1546,60718000
2025-05-16,62.8106,62.9285,61.8966,62.5256,30289900
2025-05-19,62.3388,63.0268,62.0931,62.8204,16249000
2025-05-20,62.6435,62.7516,61.985,62.329,14995200
2025-05-21,61.9064,62.8106,61.8867,62.1128,15595900
