date,open,high,low,close,volume
2025-03-14,188.6298,191.8125,187.9061,191.1978,1509700
2025-03-17,190.3055,193.855,189.5519,193.508,1532100
2025-03-18,192.3479,193.3097,190.7417,191.763,1656400
2025-03-19,191.7134,195.1538,191.4358,194.6977,1470800
2025-03-20,193.2502,194.8266,191.178,192.804,1583200
2025-03-21,190.4939,190.7615,188.2928,189.542,2574600
2025-03-24,190.2856,193.1609,189.6511,192.9131,2049900
2025-03-25,192.7742,193.389,190.5037,191.8125,2092400
2025-03-26,202.7981,210.8887,202.2727,202.9667,3687300
2025-03-27,200.8648,206.0998,200.8648,204.4936,2324700
2025-03-28,204.7216,204.7216,200.8053,201.4894,1684800
2025-03-31,202.114,204.9794,200.8251,203.7797,2595500
2025-04-01,203.7996,206.427,202.5404,206.0998,1638000
2025-04-02,204.4341,207.4284,204.0772,206.893,1613700
2025-04-03,201.1027,207.6168,199.8832,203.1055,2244300
2025-04-04,202.8279,202.8279,188.5208,188.7092,3969300
2025-04-07,186.0222,194.7077,183.0379,188.9174,5369400
2025-04-08,192.7247,194.0533,186.7956,188.491,3735100
2025-04-09,186.756,203.4327,185.8339,202.2529,4053900
2025-04-10,202.471,203.5616,196.0759,201.0036,2869500
2025-04-11,201.4993,205.9511,198.4257,204.2854,2116100
2025-04-14,204.9596,208.7867,204.3151,207.8349,2183100
2025-04-15,208.3405,210.1153,205.9015,206.427,1843700
2025-04-16,205.5743,206.6154,201.2118,202.9766,1967600
2025-04-17,204.216,205.7429,202.8477,204.0078,1712100
2025-04-21,202.7486,202.8577,195.6297,198.7033,1405300
2025-04-22,200.7359,204.8109,199.9526,204.0871,1565100
2025-04-23,205.4553,208.5587,204.3052,205.9213,1786500
2025-04-24,205.5148,208.5388,203.3633,207.9638,1507100
2025-04-25,207.6465,208.1224,204.563,206.6253,1172800
2025-04-28,206.4567,207.2202,204.0276,206.5063,1716100
2025-04-29,205.3859,207.7655,204.9695,207.478,1380200
2025-04-30,206.5955,210.1946,203.8491,209.8773,2053500
2025-05-01,208.5389,209.0842,205.0191,207.7655,1439800
2025-05-02,209.5006,212.3561,208.2017,209.7485,1373100
2025-05-05,209.2031,210.73,208.3108,210.0162,1069100
2025-05-06,208.9553,211.8405,208.0729,211.4935,1351400
2025-05-07,211.5133,214.3589,211.1663,213.2782,1970000
2025-05-08,214.4084,216.3418,212.9906,213.1294,1542000
2025-05-09,213.3376,213.645,212.1776,212.9113,965200
2025-05-12,216.1534,216.1534,210.8589,215.1421,1913300
2025-05-13,215.5486,216.4013,213.3872,213.4963,1394700
2025-05-14,212.5345,213.06,211.0275,212.366,1330300
2025-05-15,212.9322,217.2431,212.813,217.0245,1376700
2025-05-16,217.0245,219.4481,215.8028,219.3687,1431500
2025-05-19,219.3687,221.8023,218.5244,221.5341,1137100
2025-05-20,217.7,221.5142,217.4318,221.3751,1400300
2025-05-21,219.6865,221.2758,219.17,219.5674,1298000
2025-05-22,218.9118,221.4347,218.425,220.1732,1210200
2025-05-23,218.5244,221.5738,217.541,220.799,1296300
2025-05-27,222.9247,224.6431,221.842,224.365,1603800
2025-05-28,224.4941,225.3483,223.3816,223.5703,994900
2025-05-29,223.5902,224.4345,221.7129,223.2425,974200
2025-05-30,223.9676,226.2721,222.9247,224.9808,2393600
