date,open,high,low,close,volume
2025-03-14,25.8736,26.8308,25.8252,26.7147,5673100
2025-03-17,26.7051,27.3625,26.6664,27.2272,6436200
2025-03-18,27.5753,28.1167,27.4786,27.817,8083700
2025-03-19,27.7783,28.4261,27.5849,28.2617,7606100
2025-03-20,27.9717,28.3197,27.875,28.049,8876400
2025-03-21,27.962,28.049,27.5753,27.7686,20652800
2025-03-24,27.7686,28.5711,27.7396,28.3874,6177800
2025-03-25,28.3778,28.5711,28.1554,28.3391,7221400
2025-03-26,28.6872,28.8322,27.8653,27.9137,7677400
2025-03-27,27.9717,27.991,27.4882,27.5753,4549500
2025-03-28,27.4496,27.7686,27.2755,27.6816,3071400
2025-03-31,27.7106,28.1457,27.5946,27.9427,4766900
2025-04-01,28.0103,28.2424,27.7396,28.107,4917200
2025-04-02,27.73,28.1264,27.6333,28.0297,4404300
2025-04-03,26.4924,27.1982,26.4053,26.4537,9398300
2025-04-04,25.3224,25.5061,23.7078,24.2879,19111100
2025-04-07,23.5531,25.0711,23.0406,24.2105,9828400
2025-04-08,25.013,25.2257,23.5144,23.7851,10535600
2025-04-09,23.3113,25.4385,22.9246,25.013,12185800
2025-04-10,24.3169,24.3556,23.2727,23.8818,7984000
2025-04-11,23.9108,24.4329,23.3597,24.3266,7200300
2025-04-14,24.8777,24.8777,24.0848,24.3846,4894600
2025-04-15,24.2299,24.8003,24.2299,24.4813,4355800
2025-04-16,24.5779,25.3128,24.5199,24.781,5176300
2025-04-17,25.1581,25.4095,24.7036,24.9937,5327400
2025-04-21,24.636,24.694,23.7948,23.9881,3971600
2025-04-22,24.2879,24.5586,23.9978,24.2492,4653600
2025-04-23,24.4329,24.8873,24.1332,24.5199,5754600
2025-04-24,24.6843,24.7617,24.3652,24.6166,4945400
2025-04-25,24.2299,24.5586,24.2009,24.5296,3411100
2025-04-28,24.5779,24.9067,24.5296,24.868,5145400
2025-04-29,24.6263,24.868,24.4136,24.665,5463600
2025-04-30,24.2685,24.2879,23.5917,23.7464,6837200
2025-05-01,23.6497,24.2782,23.6304,24.0655,6283100
2025-05-02,24.3459,24.9163,23.9205,24.8197,7847000
2025-05-05,24.4329,24.7326,24.2782,24.4329,8125500
2025-05-06,23.6207,23.6884,21.9094,22.1704,26249900
2025-05-07,22.3348,22.5959,21.716,21.8514,11371200
2025-05-08,21.948,22.5862,21.832,22.3541,11948400
2025-05-09,22.6442,22.6829,22.3155,22.6152,5661900
2025-05-12,23.495,23.8335,23.06,23.3307,10753500
2025-05-13,23.4177,24.0655,23.3017,23.9398,7106500
2025-05-14,23.8044,24.1622,23.7368,24.1525,7321300
2025-05-15,23.8306,24.1037,23.5575,24.0842,6863200
2025-05-16,24.2306,24.3379,23.9282,24.1915,6942300
2025-05-19,23.8794,24.0355,23.5867,23.8989,5107200
2025-05-20,23.7916,24.7085,23.7916,24.2696,12958000
2025-05-21,24.2696,24.3769,23.8306,23.8891,7166200
2025-05-22,23.7038,23.9477,23.3917,23.8111,4895200
2025-05-23,23.655,23.9867,23.5672,23.9184,4434600
2025-05-27,24.1623,24.3769,23.8306,24.2501,5538100
2025-05-28,24.4159,24.4452,23.8599,23.9574,7409000
2025-05-29,24.0452,24.4159,23.9867,24.1233,7051700
2025-05-30,23.8989,24.1428,23.6453,23.7136,12206400
2025-06-02,24.1233,24.6305,23.9867,24.4647,6721800
2025-06-03,24.5134,24.9622,24.1525,24.8158,5112000
2025-06-04,24.7573,25.0304,24.2306,24.2793,6178300
2025-06-05,24.3866,24.4647,24.0257,24.2208,5425700
2025-06-06,24.4452,25.0402,24.3671,24.9524,4692000
2025-06-09,25.0304,25.5767,24.8451,25.3133,6397500
2025-06-10,25.5377,25.6938,25.1475,25.2353,6398800
2025-06-11,25.4011,25.5084,25.0012,25.1475,8398500
2025-06-12,25.0597,25.5182,24.8256,25.4987,6034700
2025-06-13,25.8498,26.0742,24.8939,26.0449,10274500
2025-06-16,25.8303,26.1132,25.5182,25.8401,6987400
2025-06-17,26.1327,26.2595,25.762,26.0352,5543400
2025-06-18,26.0547,26.3278,25.8498,26.0937,5137600
2025-06-20,26.0157,26.7765,26.0157,26.3083,21178800
2025-06-23,26.5229,26.757,25.9766,26.0547,9366900
2025-06-24,25.645,26.4156,25.5572,26.1522,6815200
2025-06-25,25.9571,25.9961,25.4304,25.4304,6952600
2025-06-26,25.4401,25.7035,25.167,25.3133,6287700
2025-06-27,25.3523,25.3523,24.8549,24.9817,9629100
2025-06-30,24.8353,24.9817,24.6598,24.7573,5878100
2025-07-01,24.6598,24.7183,24.2013,24.4744,8169900
2025-07-02,24.5622,24.611,24.016,24.4159,7266900
2025-07-03,24.689,24.7476,24.3964,24.6012,3494300
2025-07-07,24.4452,24.6403,23.9379,24.211,7062100
2025-07-08,24.2403,24.9914,24.1233,24.5622,7858100
2025-07-09,24.4939,24.8061,24.4257,24.5232,6385200
2025-07-10,24.4159,24.5037,24.1233,24.4842,5184700
2025-07-11,24.4354,24.8158,24.2696,24.6598,5663400
2025-07-14,24.6207,25.1182,24.4159,24.8256,4891600
2025-07-15,24.7963,24.8939,23.9964,24.0355,6440800
2025-07-16,24.0745,24.172,23.577,23.5965,7215400
2025-07-17,23.5672,23.8794,23.4892,23.8501,5095200
2025-07-18,24.1135,24.1428,23.6941,23.7916,7667400
2025-07-21,23.7038,23.7331,22.504,22.5235,8979200
2025-07-22,22.4357,23.0698,22.3869,22.9917,9017500
2025-07-23,23.021,23.0307,22.543,22.8454,6380700
2025-07-24,22.8942,23.2551,22.8942,23.1771,7169300
2025-07-25,23.1868,23.2648,22.9625,23.0502,3331300
2025-07-28,23.2648,23.3234,23.0795,23.2258,4782100
2025-07-29,23.2746,23.7136,23.2356,23.6258,6290800
2025-07-30,23.3917,23.9672,23.3136,23.694,7763700
2025-07-31,23.4307,23.9087,23.4209,23.7916,10990900
2025-08-01,23.4209,23.5965,23.0015,23.1185,6986100
2025-08-04,23.0307,23.4794,23.021,23.3429,9167700
2025-08-05,23.9282,23.9282,22.8356,23.7233,10614400
2025-08-06,23.8989,23.9379,23.4697,23.655,9665400
2025-08-07,23.8404,24.1037,23.1283,23.1868,6147300
2025-08-08,23.2746,23.7038,23.1185,23.4307,4443700
2025-08-11,23.4404,23.6258,23.3136,23.3721,4708000
