date,open,high,low,close,volume
2025-03-14,173.97,181.85,172.0,181.18,5690600
2025-03-17,178.9,189.59,178.55,186.5,3269900
2025-03-18,183.545,186.455,165.55,166.52,5400800
2025-03-19,167.81,179.763,161.64,176.09,5733400
2025-03-20,180.465,196.63,177.0,185.42,8333300
2025-03-21,180.0,194.58,177.778,190.95,6170600
2025-03-24,200.29,215.25,199.0,213.63,5091100
2025-03-25,221.72,225.8,214.22,221.66,7071900
2025-03-26,221.28,222.66,201.84,204.87,4382400
2025-03-27,202.22,211.99,195.65,203.95,5002100
2025-03-28,203.53,205.68,196.09,204.41,2716300
2025-03-31,197.65,213.77,193.5,209.08,4844500
2025-04-01,208.3,213.18,202.55,212.59,2169400
2025-04-02,207.61,230.763,206.844,226.32,4671600
2025-04-03,205.21,211.1,177.22,181.79,10777600
2025-04-04,170.0,172.99,154.645,162.57,11057900
2025-04-07,149.67,188.3,148.25,167.87,6916500
2025-04-08,184.91,197.42,171.78,176.32,10277900
2025-04-09,176.48,221.9,173.96,220.44,10823500
2025-04-10,203.0,208.975,193.52,203.66,6469400
2025-04-11,200.0,206.98,192.56,206.2,3914900
2025-04-14,214.41,215.6,197.86,204.73,2745800
2025-04-15,209.3,220.5,208.99,213.81,5224100
2025-04-16,208.74,212.91,200.52,209.3,2436000
2025-04-17,210.22,216.8,208.56,211.41,2442000
2025-04-21,209.13,212.185,194.02,195.83,3391100
2025-04-22,204.1,220.0,203.5,211.95,4811600
2025-04-23,223.69,225.23,213.44,220.94,5245200
2025-04-24,222.62,236.785,220.0,235.02,3781900
2025-04-25,235.29,242.79,234.36,237.15,2948800
2025-04-28,239.04,243.43,235.54,241.53,2532000
2025-04-29,240.74,244.226,237.01,243.59,1681200
2025-04-30,234.2,244.76,229.4,244.35,2672600
2025-05-01,248.0,264.17,245.0,251.87,4380400
2025-05-02,254.4,258.82,250.889,257.1,2198100
2025-05-05,254.48,262.524,253.82,259.57,2131700
2025-05-06,255.0,260.974,253.49,258.81,3192800
2025-05-07,256.78,263.0,255.79,259.17,5617100
2025-05-08,275.7,293.62,270.0,285.53,9215800
2025-05-09,281.34,284.228,267.61,268.12,8150000
2025-05-12,278.515,279.87,267.18,279.62,4094100
