date,open,high,low,close,volume
2025-03-14,147.3586,150.4686,146.4208,150.2581,6671500
2025-03-17,150.4495,152.5835,150.0093,151.8849,7615200
2025-03-18,152.861,154.1528,151.9806,153.8849,9289500
2025-03-19,154.038,157.4542,153.971,156.9854,11503900
2025-03-20,156.105,158.1911,155.416,157.6744,9545900
2025-03-21,157.4064,157.7892,156.0859,157.6552,21625500
2025-03-24,157.5978,159.2629,157.2438,157.9136,8068000
2025-03-25,158.9279,160.593,157.9997,158.794,7869200
2025-03-26,160.1624,161.6839,160.0475,160.7365,10076100
2025-03-27,160.0476,160.9758,158.7079,159.4734,6862700
2025-03-28,159.5212,159.9327,158.1815,158.9375,4923000
2025-03-31,159.0332,161.6456,158.9758,160.0858,10675300
2025-04-01,160.0858,161.3394,159.0045,161.2533,6378600
2025-04-02,160.1911,160.7461,158.7078,159.3011,7044900
2025-04-03,153.2246,154.4016,149.0906,149.3969,15501000
2025-04-04,145.2246,145.8945,136.6026,137.1098,20374700
2025-04-07,132.7557,139.8945,131.3777,134.1146,17817000
2025-04-08,137.9423,138.2677,129.062,131.0332,12904400
2025-04-09,129.2055,141.1194,128.1146,139.7414,16846800
2025-04-10,137.0524,137.4447,127.7031,129.1672,20991200
2025-04-11,129.1959,131.2151,126.3538,129.7892,17224400
2025-04-14,132.5165,132.5739,128.3252,129.4926,9628200
2025-04-15,128.5357,130.7462,128.4687,128.7462,9334800
2025-04-16,129.5691,131.6265,128.995,129.5309,8637200
2025-04-17,130.8036,134.2007,130.5739,131.9328,8434400
2025-04-21,130.1624,130.4208,126.6313,127.9711,9967500
2025-04-22,129.4352,132.2868,129.1289,131.3873,7984700
2025-04-23,131.3012,132.5835,129.3299,130.794,10002000
2025-04-24,131.9806,133.3969,131.3108,133.0811,7745800
2025-04-25,132.373,133.062,131.3395,132.7557,6878500
2025-04-28,132.9854,134.4113,132.7079,134.0668,6715500
2025-04-29,132.7175,133.9806,132.6026,133.3012,7343800
2025-04-30,132.0572,132.2007,128.3634,130.2007,13858000
2025-05-01,129.5883,132.0093,129.3012,130.3921,10199800
2025-05-02,131.9423,133.7605,129.4639,132.5356,12393200
2025-05-05,130.8802,131.1002,129.3586,129.6648,9665000
2025-05-06,130.4782,131.3969,129.2246,129.7605,9916200
2025-05-07,130.2103,130.4304,128.8227,129.9423,8422100
2025-05-08,130.8036,132.9088,130.5931,131.1385,8669300
2025-05-09,132.9184,133.3682,131.7701,132.5261,5965700
2025-05-12,136.3155,137.5213,134.5165,135.5213,8028200
2025-05-13,135.4352,137.0619,134.8514,136.2198,8536800
2025-05-14,135.6552,136.105,134.6696,135.5691,6453600
2025-05-15,133.971,136.3251,133.5021,136.1337,7545400
2025-05-16,136.5548,136.8419,134.6409,135.9806,8200100
2025-05-19,135.0895,135.1379,132.8133,134.1403,7713600
2025-05-20,133.9466,134.3921,132.7262,132.9586,6503900
2025-05-21,132.329,132.823,131.2345,131.3023,9073200
2025-05-22,130.7502,131.7188,129.5685,131.0408,8877600
2025-05-23,130.1691,132.4937,129.8494,132.2515,7025900
2025-05-27,133.0652,133.6366,132.1256,133.501,8348900
2025-05-28,134.4212,134.4309,131.3992,131.7479,6876300
2025-05-29,132.2128,133.6076,131.8254,133.5785,7554300
2025-05-30,132.5809,133.133,130.9633,132.4065,12858900
2025-06-02,134.1403,134.334,132.145,133.5107,9076600
2025-06-03,133.3267,136.1743,132.3097,135.167,9001300
2025-06-04,135.0411,136.2131,133.0167,133.0555,8735600
2025-06-05,133.811,133.9466,132.4065,132.6002,6342600
2025-06-06,133.7528,136.1937,133.7528,135.8063,6563500
2025-06-09,136.1356,137.6756,135.3026,136.339,7159500
2025-06-10,137.7531,140.3877,137.4529,138.8476,9841500
2025-06-11,139.6613,140.562,138.1309,140.2327,9256700
2025-06-12,139.9615,140.6395,138.9251,140.4168,6999400
2025-06-13,142.4605,142.9642,140.0003,141.3272,14148000
2025-06-16,141.1529,142.2571,139.2254,141.4435,10105100
2025-06-17,142.7026,145.2694,141.8987,144.1749,11330300
2025-06-18,144.7464,145.4534,143.061,143.5356,9841900
2025-06-20,143.8553,145.1919,143.2547,144.8529,23705900
2025-06-23,147.3422,147.3713,141.7244,142.2474,10540600
2025-06-24,140.0003,141.7922,138.6636,139.0414,10778400
2025-06-25,138.9058,139.671,138.034,138.7314,7386100
2025-06-26,139.1866,140.5233,138.8961,139.9034,7415700
2025-06-27,140.01,140.1262,138.0922,139.2738,9213500
2025-06-30,138.5474,139.5741,137.9275,138.6927,6980300
2025-07-01,138.838,141.6759,138.034,140.9979,8508200
2025-07-02,142.3927,143.3613,140.9011,143.3322,8228700
2025-07-03,143.1966,144.3008,142.7317,143.71,5173300
2025-07-07,142.7704,143.5163,141.0076,142.7704,9460900
2025-07-08,142.693,148.427,142.6348,148.427,14082100
2025-07-09,148.1364,149.1244,147.6909,148.2139,9495900
2025-07-10,147.9911,150.4029,146.916,149.3278,8395100
2025-07-11,149.444,150.9938,148.7467,150.432,8333200
2025-07-14,150.0349,150.0349,146.393,146.8869,10706300
2025-07-15,146.8385,147.5262,145.5309,145.9571,7346300
2025-07-16,146.0249,146.7223,144.5333,145.2113,7923400
2025-07-17,144.4752,147.071,143.9328,146.6254,8359600
2025-07-18,150.1511,151.0132,141.9278,145.3275,45782600
2025-07-21,146.4511,146.9063,144.4461,144.9788,17982200
2025-07-22,144.572,146.1993,143.8165,145.3275,26196500
2025-07-23,146.1702,148.3302,145.744,148.3108,13162800
2025-07-24,147.8943,151.1003,147.4197,150.9357,15701000
2025-07-25,150.9357,151.294,149.1244,149.9768,7875500
2025-07-28,150.5192,151.6331,150.0833,151.3715,8755400
2025-07-29,151.759,152.2723,150.5676,152.098,6446000
2025-07-30,151.2359,151.4006,147.904,148.737,9191700
2025-07-31,147.226,149.0953,146.393,146.8773,10237100
2025-08-01,147.749,149.7927,145.6278,146.6448,10706500
2025-08-04,146.4995,147.3035,145.1144,146.2961,10116600
2025-08-05,146.2864,148.2914,145.1919,148.2333,8604100
2025-08-06,149.6281,150.2867,147.4391,147.9815,7840900
2025-08-07,148.9597,150.277,148.0299,148.3495,6510400
2025-08-08,149.1535,150.8582,148.6789,150.1414,6332800
2025-08-11,150.4611,151.0325,148.1849,148.6304,6169700
2025-08-12,149.2503,151.1488,148.5433,149.5893,6641600
2025-08-13,149.7153,151.11,149.3569,150.9744,6581900
2025-08-14,150.8098,150.8098,149.26,150.2867,7337300
2025-08-15,150.5967,153.5605,150.4126,151.6331,11617000
2025-08-18,151.2263,151.5749,149.8896,150.4417,8174300
2025-08-19,150.2948,150.7649,148.718,148.8649,8567500
2025-08-20,149.2762,150.3242,148.7963,150.0597,8076300
2025-08-21,149.668,152.4592,149.5798,152.3417,7533600
2025-08-22,152.1164,155.5148,152.1164,154.9174,9084300
2025-08-25,154.6432,155.0545,153.9283,154.937,7030000
2025-08-26,154.2612,156.6999,153.3211,154.1143,10270000
