date,open,high,low,close,volume
2025-03-14,51.5329,52.374,51.3131,52.2593,5187700
2025-03-17,52.3644,52.8805,51.8961,52.288,4838700
2025-03-18,52.0395,52.374,51.4947,52.3453,4937100
2025-03-19,52.3071,52.7276,52.0873,52.4791,4313500
2025-03-20,52.6034,52.9952,52.3262,52.546,3984600
2025-03-21,52.374,52.8327,51.8101,52.1351,7961400
2025-03-24,51.9821,52.7849,51.8005,51.9248,4144600
2025-03-25,51.705,51.8388,50.3192,50.5103,5105000
2025-03-26,50.7684,51.619,50.6154,51.4756,3618100
2025-03-27,51.5616,52.1637,51.3227,52.0586,5189900
2025-03-28,52.3835,52.9474,52.1159,52.5556,3830200
2025-03-31,52.9952,53.798,52.632,53.5878,7010900
2025-04-01,53.626,53.7885,53.1003,53.7693,4612200
2025-04-02,54.0083,54.0561,53.3966,53.7407,3264000
2025-04-03,54.4766,54.5244,53.1577,53.7598,7118800
2025-04-04,54.4575,54.467,50.3765,50.3956,8633400
2025-04-07,49.2296,50.0802,47.6431,48.5797,7889000
2025-04-08,48.8665,49.0576,46.8785,47.4615,9528800
2025-04-09,47.0506,50.0993,45.9419,49.9369,9854400
2025-04-10,49.8891,50.2523,48.5319,49.631,5827600
2025-04-11,49.6597,50.6728,48.7613,50.4052,5152800
2025-04-14,50.6537,51.8579,50.2618,51.705,4039800
2025-04-15,51.8866,52.0873,51.2558,51.294,4359300
2025-04-16,51.705,51.705,50.5199,50.711,6082300
2025-04-17,50.3001,51.5903,50.1758,50.8161,8734000
2025-04-21,50.5772,50.8066,49.1436,49.7553,3608600
2025-04-22,50.2714,51.2844,50.1089,51.036,4703800
2025-04-23,50.8448,52.0873,50.453,50.9691,5342000
2025-04-24,50.7397,51.2176,50.4243,50.9882,3980400
2025-04-25,50.883,51.0837,50.5772,50.6059,5352200
2025-04-28,50.6059,51.4565,50.4147,51.3609,3889100
2025-04-29,51.1029,52.0682,51.0073,51.9057,5046600
2025-04-30,51.9152,52.2019,50.9308,51.9726,6157800
2025-05-01,54.1325,54.4957,52.288,52.4027,7996200
2025-05-02,52.4982,52.8423,52.0204,52.5651,7472100
2025-05-05,52.4504,52.4982,51.5521,52.0108,4314900
2025-05-06,52.0873,52.6703,51.6859,52.2593,4100300
2025-05-07,52.0873,53.2246,51.8961,52.7085,4070100
2025-05-08,52.4313,53.0908,52.1637,52.5651,4673600
2025-05-09,52.632,52.8423,52.2497,52.6511,3312200
2025-05-12,52.2497,52.9379,52.0777,52.4218,5756700
2025-05-13,52.46,52.546,51.3609,51.4278,5801700
2025-05-14,51.1889,51.6285,50.2045,51.6094,7964700
2025-05-15,51.6094,52.6416,51.5903,52.6034,5850900
2025-05-16,52.5365,53.3202,52.288,53.301,4679000
2025-05-19,52.9665,53.7216,52.5651,53.712,6461000
2025-05-20,54.7633,56.044,54.4766,55.4323,11479600
2025-05-21,55.1169,55.3654,53.9223,54.0274,7410200
2025-05-22,53.6833,53.8267,52.6703,53.1959,5419300
2025-05-23,53.5209,53.9701,52.5842,53.798,5958200
2025-05-27,54.1803,54.4192,53.7885,54.2185,5276500
2025-05-28,54.1994,54.2568,53.0143,53.4062,6772800
2025-05-29,53.3946,54.2748,53.2205,54.1877,4612200
2025-05-30,54.0426,55.0196,53.9749,54.8165,9415800
2025-06-02,54.5166,55.3098,54.1684,54.9132,4643800
2025-06-03,55.1357,55.2034,54.4779,54.8358,4737200
2025-06-04,54.8939,54.9326,54.2264,54.2458,5398000
2025-06-05,54.2845,54.4876,53.8008,54.1684,4821500
2025-06-06,54.536,54.536,53.6557,53.9459,4402700
2025-06-09,53.9362,54.3328,53.7041,53.8492,5535100
2025-06-10,53.8298,54.1007,53.4719,53.7912,5926500
2025-06-11,53.6654,54.033,53.559,53.7525,5298100
2025-06-12,53.7621,54.1491,53.53,54.0813,4955000
2025-06-13,54.1007,54.4296,53.4719,53.6944,4289000
2025-06-16,53.9072,54.3328,52.8045,52.9399,4208200
2025-06-17,52.8239,52.8819,51.6147,52.0113,11059300
2025-06-18,52.2532,52.7271,51.8372,52.4079,10128600
2025-06-20,52.4756,52.9883,52.2822,52.4466,14473100
2025-06-23,52.6691,54.1684,52.4756,54.0523,9467300
2025-06-24,53.9556,54.5456,53.8202,54.1491,7600600
2025-06-25,53.9749,54.0136,53.0947,53.3946,4113100
2025-06-26,53.2785,53.5977,53.0076,53.3752,5695100
2025-06-27,53.8008,54.3909,53.3365,54.0426,6225500
2025-06-30,53.6944,54.7584,53.3946,54.6714,6009800
2025-07-01,54.8165,55.8225,54.3328,55.7644,5922600
2025-07-02,55.6193,56.2674,55.1647,55.542,7517700
2025-07-03,55.3775,55.7257,54.8068,55.0003,3095600
2025-07-07,54.9229,55.1357,54.2458,54.594,4271900
2025-07-08,54.2361,54.652,53.5493,54.4779,4397600
2025-07-09,54.6327,55.3582,54.4392,55.2808,2890300
2025-07-10,54.8165,56.4125,54.6714,56.2578,3655100
2025-07-11,55.6387,55.9482,55.2518,55.5129,4726300
2025-07-14,55.4356,55.7644,54.9326,55.3292,3219200
2025-07-15,55.126,55.2421,54.3522,54.7004,2985600
2025-07-16,54.7294,55.4839,54.565,55.3001,4411100
2025-07-17,55.0486,56.074,54.8648,55.7257,3787800
2025-07-18,55.8708,56.7607,55.7257,56.19,5451500
2025-07-21,56.2577,56.4415,55.7838,55.8031,4380200
2025-07-22,55.9289,56.7124,55.5613,56.5963,4018000
2025-07-23,56.635,56.9445,56.0063,56.3835,5192200
2025-07-24,56.4512,57.2057,56.2674,56.8285,3970500
2025-07-25,56.8285,57.0509,56.5383,56.8285,2908700
2025-07-28,56.6834,56.7704,55.9289,56.103,2908100
2025-07-29,56.2481,56.7704,55.9966,56.7414,2976400
2025-07-30,56.7317,57.0703,56.103,56.3448,4091900
2025-07-31,55.8515,56.5963,55.6484,56.5383,9138000
2025-08-01,57.1477,58.7921,57.1186,58.4342,7653300
2025-08-04,58.6566,59.5659,58.3374,59.1306,6820200
2025-08-05,59.3144,59.6529,58.6373,59.0822,10023100
2025-08-06,59.2467,59.8754,58.9565,58.9758,5408700
2025-08-07,58.8501,59.9528,58.6276,59.7207,5414600
2025-08-08,59.9722,60.2237,59.5465,59.7884,3894600
2025-08-11,59.9722,60.1366,59.4692,59.4788,4151700
2025-08-12,59.4788,59.7497,58.9855,59.3047,3460800
2025-08-13,59.5659,60.1172,59.3241,60.0689,4103200
2025-08-14,59.8077,59.9625,58.9855,59.179,3875600
2025-08-15,59.3047,59.3144,58.7534,59.1403,6543700
2025-08-18,59.208,59.266,58.3761,58.4245,2865500
2025-08-19,58.5502,59.3241,58.5309,59.295,2831800
2025-08-20,59.5659,60.4171,59.3628,59.5079,3051900
2025-08-21,59.2467,59.5562,58.9662,59.2467,2557800
2025-08-22,59.4885,60.3784,59.4885,59.8754,4595200
2025-08-25,59.1983,59.6723,57.7377,58.2214,9794200
2025-08-26,58.26,58.3278,57.2541,57.8635,6067600
2025-08-27,58.0182,58.5212,57.9892,58.3665,3534000
2025-08-28,58.4245,58.4342,57.7667,57.8538,3771800
2025-08-29,57.8344,58.2214,57.7087,57.9408,4254000
2025-09-02,57.5926,57.8441,56.9542,57.2057,3838300
2025-09-03,56.9639,57.2831,56.635,56.9929,4454500
2025-09-04,57.4862,57.6216,56.5673,56.8671,5589800
2025-09-05,57.0315,57.3348,56.5325,56.9337,4896000
2025-09-08,56.7282,56.9043,56.3173,56.6989,5238600
2025-09-09,56.6402,57.6871,56.5619,57.5794,5634300
2025-09-10,57.237,58.3132,56.7086,58.1371,7993600
2025-09-11,57.8534,58.8122,57.8045,58.7144,4658000
2025-09-12,58.46,59.2329,58.3622,58.7535,3979900
2025-09-15,58.7535,59.4384,58.7046,59.2721,6002400
2025-09-16,59.1253,59.2427,58.0784,58.1176,4550900
2025-09-17,58.3426,58.685,58.1665,58.3132,3492100
2025-09-18,57.8632,58.822,57.5305,58.4502,4527500
2025-09-19,58.7437,58.8905,58.0197,58.5578,9145900
2025-09-22,58.6263,58.9883,57.8045,58.5285,6387100
2025-09-23,58.46,59.8885,58.3622,59.8004,4318500
2025-09-24,59.7613,60.1918,59.5656,59.7026,4464100
2025-09-25,59.7613,59.8004,58.2839,58.3817,4096700
2025-09-26,58.7144,59.1253,58.4111,59.0275,3114400
2025-09-29,59.2623,59.7515,59.047,59.6047,3467200
2025-09-30,59.7124,59.8885,59.4286,59.8493,2829400
2025-10-01,59.9863,60.4168,59.5754,59.5852,3635200
2025-10-02,59.2819,60.2505,59.2819,59.7711,3583700
2025-10-03,59.8396,60.7103,59.8396,60.2016,4021900
2025-10-06,60.2994,60.4462,59.7124,60.1722,5905300
2025-10-07,60.6614,61.0234,59.4775,59.5558,9524000
2025-10-08,59.908,59.9276,58.8122,59.2623,5312300
2025-10-09,59.5362,59.908,58.7242,58.959,4198000
2025-10-10,59.1449,59.8298,58.9883,59.6537,3937800
2025-10-13,59.4482,60.0646,59.321,60.0157,2979500
2025-10-14,60.0744,60.5244,59.908,60.1918,4398900
2025-10-15,60.3777,60.6321,59.9961,60.3581,4449800
2025-10-16,60.4266,61.1702,59.3014,59.3112,5117600
2025-10-17,59.3112,59.4286,58.7927,59.2721,4457100
2025-10-20,59.6047,60.3288,59.5362,60.1233,3726000
2025-10-21,60.2994,60.4168,59.1449,59.5558,3590000
2025-10-22,59.5265,60.2505,59.4286,59.5852,3928300
2025-10-23,60.0548,60.0744,59.0666,59.3699,3015600
2025-10-24,59.6439,60.3385,59.3993,59.7417,3669200
2025-10-27,59.5362,60.0254,58.9981,59.4873,4020200
2025-10-28,59.6537,59.6732,58.3132,58.3328,4476500
2025-10-29,58.235,58.46,57.5207,57.7164,4507800
2025-10-30,57.8632,58.7144,57.7751,58.235,5005200
2025-10-31,58.4502,59.4286,56.9826,57.4229,7892500
2025-11-03,57.0707,57.4033,55.8966,57.2272,5929700
2025-11-04,57.4327,58.2643,57.4327,58.0393,6614800
2025-11-05,58.2252,58.7829,57.7751,58.4013,7846100
2025-11-06,58.4111,59.4091,58.4111,59.1938,5342400
