date,open,high,low,close,volume
2025-03-14,180.55,186.208,180.55,183.5,6090100
2025-03-17,183.0,191.72,182.98,189.86,7357600
2025-03-18,188.03,188.56,180.57,185.21,5747700
2025-03-19,186.0,192.67,185.195,190.66,6218500
2025-03-20,188.07,195.21,187.865,192.93,5600800
2025-03-21,190.72,194.4,187.197,190.62,73637400
2025-03-24,192.81,199.56,188.58,198.98,7042200
2025-03-25,199.0,201.03,196.85,199.72,4524200
2025-03-26,199.24,199.67,191.46,192.87,3848800
2025-03-27,192.12,195.35,189.65,194.02,4410300
2025-03-28,193.8,193.8,182.07,182.61,4557200
2025-03-31,178.01,183.26,173.87,182.77,6074800
2025-04-01,182.05,183.015,178.26,182.42,3740700
2025-04-02,180.11,192.69,179.49,189.25,5384800
2025-04-03,179.5,182.12,173.35,173.99,7251900
2025-04-04,165.65,170.225,162.56,163.16,6515500
2025-04-07,156.13,175.99,155.4,166.3,7716300
2025-04-08,173.385,176.275,163.3,165.75,4890500
2025-04-09,164.39,190.44,164.375,188.58,8136300
2025-04-10,184.07,184.84,172.63,178.52,4375900
2025-04-11,178.52,180.763,173.81,180.49,3451700
2025-04-14,185.0,186.184,179.415,181.85,3174800
2025-04-15,181.33,185.69,180.51,181.55,2745000
2025-04-16,177.41,182.64,176.6,179.39,3806700
2025-04-17,181.25,182.89,177.98,181.24,2496100
2025-04-21,178.23,180.105,168.95,171.82,3666800
2025-04-22,175.135,179.0,173.51,176.61,3329000
2025-04-23,183.36,187.0,180.44,181.19,2589900
2025-04-24,181.12,187.6,180.06,187.22,3327900
2025-04-25,187.22,191.1,183.2,187.76,4515100
2025-04-28,188.81,190.69,186.55,187.88,3083600
2025-04-29,186.15,191.853,185.85,191.23,2853500
2025-04-30,186.19,193.3,183.755,192.89,3169900
2025-05-01,194.405,197.75,192.663,196.2,4151600
2025-05-02,200.07,205.89,199.43,205.09,4256500
2025-05-05,203.215,207.23,201.05,205.4,5617500
2025-05-06,193.75,195.415,185.25,190.11,9580800
2025-05-07,189.76,190.09,175.5,176.99,8621700
2025-05-08,180.461,183.753,178.36,182.96,4158800
2025-05-09,183.19,185.59,180.58,183.52,3423200
2025-05-12,191.61,192.83,185.9,192.1,4918100
2025-05-13,192.09,198.45,191.78,197.8,3844500
2025-05-14,197.17,199.27,195.95,196.84,3505300
2025-05-15,195.58,199.47,194.96,197.1,3558400
2025-05-16,197.995,202.63,196.83,202.0,4188500
2025-05-19,198.775,203.42,198.75,202.18,3336800
2025-05-20,200.9,206.0,198.51,205.18,6046500
2025-05-21,202.49,209.64,201.5,204.77,5674300
2025-05-22,204.5,206.535,200.66,200.87,3169700
2025-05-23,197.615,207.22,197.25,206.15,4365700
2025-05-27,205.44,208.56,202.522,204.89,5325200
2025-05-28,204.75,210.71,204.24,206.59,6635000
2025-05-29,208.8,209.2,202.683,204.58,3080600
2025-05-30,204.1,209.39,202.7,208.65,4853400
2025-06-02,209.22,213.4,207.61,212.79,4527600
2025-06-03,213.43,215.2,211.3,213.7,4272300
2025-06-04,213.29,220.64,212.4,220.23,5140400
2025-06-05,219.37,220.59,213.85,215.84,3646400
2025-06-06,218.81,220.88,217.75,218.45,2586900
2025-06-09,218.03,219.83,216.955,217.49,2710300
2025-06-10,216.59,219.21,210.927,214.97,3916700
2025-06-11,214.185,219.53,212.24,217.8,3091500
2025-06-12,218.08,219.42,215.675,216.6,2511300
2025-06-13,214.19,220.17,213.0,218.96,2955900
2025-06-16,220.0,223.29,219.63,221.73,3920000
2025-06-17,221.29,222.18,218.24,219.39,3157100
2025-06-18,216.98,221.31,214.94,220.58,5072200
2025-06-20,222.0,223.81,219.82,220.46,6878900
2025-06-23,225.255,230.87,222.482,230.32,5159800
2025-06-24,231.75,237.42,231.39,236.17,5602800
2025-06-25,236.66,238.47,231.75,232.68,3070300
2025-06-26,232.65,239.833,231.75,239.64,3202400
2025-06-27,239.705,242.63,235.68,242.315,7324600
2025-06-30,244.3,247.08,241.958,246.51,8089900
2025-07-01,247.62,248.74,236.54,238.01,5776700
2025-07-02,237.71,242.28,236.7,238.8,3968300
2025-07-03,239.41,242.15,237.83,238.79,1699700
2025-07-07,239.34,246.94,236.57,246.89,5710000
2025-07-08,247.47,248.38,238.7,241.47,2888600
2025-07-09,244.99,246.39,240.98,246.06,2763200
2025-07-10,245.61,247.26,237.76,238.24,3252500
2025-07-11,238.29,241.96,237.0,240.44,2842800
2025-07-14,240.15,243.6,238.79,242.85,2600600
2025-07-15,239.39,239.57,234.6,236.77,3484600
2025-07-16,236.94,237.845,233.92,234.5,2613200
2025-07-17,235.45,236.055,232.1,235.02,3013100
2025-07-18,235.715,239.2,233.5,239.17,3408500
2025-07-21,240.44,242.655,237.68,240.53,2465200
2025-07-22,240.33,240.485,234.45,239.82,1725300
2025-07-23,240.03,241.57,236.0,240.56,2558200
2025-07-24,240.49,244.2,240.34,243.69,1918200
2025-07-25,244.78,250.23,243.36,249.92,3052400
2025-07-28,250.0,250.71,244.02,246.44,2134100
2025-07-29,247.9,248.01,240.38,243.2,2308200
2025-07-30,244.79,248.35,244.45,248.0,2629900
2025-07-31,248.3,252.87,247.47,250.25,2612000
2025-08-01,247.72,249.24,242.01,248.35,2945700
2025-08-04,251.47,258.73,248.78,258.02,3351800
2025-08-05,257.96,259.87,252.7,255.28,3633200
2025-08-06,257.24,259.85,254.39,258.08,5425500
2025-08-07,272.64,278.15,259.12,270.99,10884100
2025-08-08,269.46,270.07,254.39,259.19,5343300
2025-08-11,258.19,260.14,251.13,256.09,4738900
2025-08-12,258.17,264.51,257.99,264.32,2901600
2025-08-13,263.5,264.22,250.21,254.2,4379400
2025-08-14,253.66,253.66,247.1,247.44,3433600
2025-08-15,248.31,249.69,243.56,248.0,3084800
2025-08-18,248.99,254.16,248.695,253.34,3214600
2025-08-19,250.53,253.29,248.1,248.37,2568500
2025-08-20,244.0,246.42,233.11,243.82,6572900
2025-08-21,243.47,245.34,241.959,245.18,2439600
2025-08-22,245.0,248.185,242.809,247.32,2812700
2025-08-25,247.08,247.51,242.77,245.28,2020000
2025-08-26,245.56,249.56,244.9,248.79,3104500
2025-08-27,248.01,248.42,244.04,245.65,2977300
2025-08-28,245.82,248.48,244.14,247.33,1858900
2025-08-29,247.35,248.814,242.96,245.25,1966600
2025-09-02,240.89,244.74,238.2,244.1,2683900
2025-09-03,244.045,254.1,243.065,248.83,3541400
2025-09-04,248.83,250.7,244.26,248.78,2507100
2025-09-05,249.715,251.49,243.55,246.85,2195800
2025-09-08,249.4,254.96,248.299,250.6,3333600
2025-09-09,252.09,257.105,249.78,256.53,3042800
2025-09-10,257.57,258.8,252.55,257.43,4631000
2025-09-11,258.82,262.48,258.22,260.19,2357200
2025-09-12,259.04,261.43,255.465,257.98,2215900
2025-09-15,257.77,260.56,256.29,258.09,2592400
2025-09-16,257.94,263.43,257.23,263.09,2926600
