date,open,high,low,close,volume
2025-03-14,465.5016,474.8241,464.1008,471.0557,1018000
2025-03-17,470.8879,479.5199,469.0925,475.8402,893000
2025-03-18,475.6232,479.4804,472.4762,474.6761,931700
2025-03-19,472.2987,476.3039,470.74,472.9399,841700
2025-03-20,469.5759,474.0546,461.7726,470.5821,1153400
2025-03-21,467.2083,469.28,461.9798,466.0541,1685000
2025-03-24,470.2073,476.7083,467.7607,473.4825,903800
2025-03-25,475.2088,475.6528,470.7104,472.4664,808200
2025-03-26,474.9721,478.3459,470.74,477.093,811200
2025-03-27,475.4061,483.9591,472.348,473.2457,1193200
2025-03-28,471.1444,473.078,456.5047,459.0302,1183600
2025-03-31,456.1296,468.1476,453.7735,464.6333,1496300
2025-04-01,464.6432,474.7308,461.3269,473.6418,1253600
2025-04-02,468.6822,469.7216,460.1092,466.1677,1394700
2025-04-03,451.9619,459.0302,442.1119,442.9534,2287700
2025-04-04,422.1743,434.3804,415.8188,425.5401,3609600
2025-04-07,412.9381,436.6078,408.1566,419.0956,3007400
2025-04-08,429.104,431.2126,401.9991,408.8397,1816400
2025-04-09,403.6227,451.0908,400.3558,448.0417,2914700
2025-04-10,439.8944,444.7155,424.2235,439.7261,1956600
2025-04-11,439.7855,458.7233,437.0632,454.516,1245100
2025-04-14,459.6637,468.0288,456.8325,462.9702,1283600
2025-04-15,460.0102,462.4356,456.0207,456.6246,1143600
2025-04-16,453.4271,456.9513,444.171,447.8734,1015600
2025-04-17,450.7344,454.2586,446.9924,447.5269,1044800
2025-04-21,445.8935,447.319,431.569,437.1226,969300
2025-04-22,441.7655,453.6449,441.7655,450.0909,751600
2025-04-23,458.2976,467.217,449.8038,451.853,1025500
2025-04-24,453.9121,461.8219,452.3777,459.8419,828400
2025-04-25,459.4856,461.2774,452.744,454.6843,983400
2025-04-28,454.6843,460.5052,452.4866,455.5753,755100
2025-04-29,452.8232,458.2481,447.8635,456.0108,799600
2025-04-30,455.8228,460.6141,447.4577,458.9015,1325900
2025-05-01,460.327,480.5913,459.5846,475.1961,1855300
2025-05-02,482.2346,487.3626,475.8494,476.8295,1108800
2025-05-05,475.7406,480.3241,472.4539,476.5028,805200
2025-05-06,473.2458,476.9284,470.2364,470.5235,887700
2025-05-07,470.3156,472.6123,464.5442,467.6526,1011200
2025-05-08,473.1073,489.2237,471.7213,485.0659,1568800
2025-05-09,485.7885,488.9663,484.2046,487.6497,653500
2025-05-12,502.6375,508.8346,488.996,490.6393,1597200
2025-05-13,491.0353,496.6186,488.0159,493.5597,1500100
2025-05-14,493.7576,495.985,491.0749,492.5004,1601200
2025-05-15,512.1509,526.1983,503.0929,511.1313,3211700
2025-05-16,510.6165,528.4159,510.6165,526.1389,2322000
2025-05-19,520.7239,527.119,516.3087,524.5056,1273000
2025-05-20,522.387,524.4263,518.546,521.0407,1250500
2025-05-21,514.3486,517.754,508.9237,509.4879,1060100
2025-05-22,507.6665,513.9427,506.2112,510.468,949200
2025-05-23,505.8153,511.5768,503.578,504.9342,850800
2025-05-27,507.6367,509.7651,500.717,504.5085,1103500
2025-05-28,505.2411,506.5775,500.7665,502.885,739800
2025-05-29,505.3698,505.3698,497.0344,498.3906,994200
2025-05-30,500.1032,508.6861,498.054,501.1724,1686500
2025-06-02,501.0734,504.162,495.985,502.7365,993700
2025-06-03,501.509,509.4978,500.9348,507.9932,1107700
2025-06-04,509.2702,511.5371,502.3504,502.6771,992700
2025-06-05,504.9738,509.7255,501.9544,505.6172,1126000
2025-06-06,514.408,520.714,512.8142,514.7644,1473800
2025-06-09,514.7743,520.318,512.3984,516.4374,1101000
2025-06-10,514.705,515.3781,503.8452,510.6363,1294000
2025-06-11,513.0023,516.3681,507.4784,515.6059,1037000
2025-06-12,513.2894,514.8832,509.8246,511.6659,797000
2025-06-13,507.8446,511.2105,502.6276,504.4689,824500
2025-06-16,510.1018,521.1496,507.6961,519.1697,1278800
2025-06-17,517.6352,519.7141,514.6753,517.8629,862500
2025-06-18,516.7542,526.0399,516.1008,519.7042,959700
2025-06-20,523.1394,524.6738,513.725,516.1404,1389700
2025-06-23,513.2498,517.6649,500.5784,508.9138,1261400
2025-06-24,513.3883,513.3883,502.7761,508.9336,1215600
2025-06-25,507.9535,508.8346,497.8758,501.6475,1189200
2025-06-26,504.0829,504.3105,498.2916,503.4196,1199400
2025-06-27,503.4393,509.2009,501.994,508.1812,1835500
2025-06-30,508.4593,508.8267,500.9714,504.9735,1408600
2025-07-01,501.1899,511.2598,491.5073,504.8445,1375200
2025-07-02,505.3608,516.9799,503.8812,516.7118,1096800
2025-07-03,516.404,519.9592,515.8379,517.3672,470300
2025-07-07,515.4109,515.8677,503.4542,506.7611,1017000
2025-07-08,503.8613,511.1704,503.8315,505.3907,1285000
2025-07-09,507.4464,508.5288,496.0557,505.8077,1152400
2025-07-10,508.1713,525.3218,506.9696,515.6095,1268800
2025-07-11,510.6441,512.3125,506.1355,508.8664,1046900
2025-07-14,508.9558,509.2339,498.6576,504.0996,1087100
2025-07-15,504.1394,508.0819,499.6308,499.9883,1173100
2025-07-16,499.5215,505.1523,495.6584,504.2188,1150600
2025-07-17,502.3022,509.3928,488.6572,495.6883,1778500
2025-07-18,498.8959,499.7202,493.4637,496.3635,1064500
2025-07-21,501.2793,502.749,492.5997,492.8083,1111000
2025-07-22,493.6624,504.6757,492.7487,502.193,975800
2025-07-23,506.344,512.233,502.4014,511.6073,995100
2025-07-24,509.1842,513.9212,507.8734,511.1009,850000
2025-07-25,511.1108,515.4109,505.2516,513.8021,858400
2025-07-28,512.8487,512.9381,505.5297,507.0193,824700
2025-07-29,508.1415,511.2399,502.4611,508.9558,1139100
2025-07-30,506.9101,509.1743,501.2495,504.3578,1121000
2025-07-31,508.4593,522.9186,508.4593,520.7438,1549300
2025-08-01,515.4109,516.5728,496.5423,497.5155,1623100
2025-08-04,498.0319,508.6281,489.8787,507.0292,1087400
2025-08-05,507.4861,508.5685,500.5146,505.0629,1027900
2025-08-06,506.3142,510.4753,503.8713,506.1156,966700
2025-08-07,509.661,510.4951,498.161,503.1364,958500
2025-08-08,505.2417,512.7097,503.8216,506.8406,883700
2025-08-11,508.926,511.7265,498.8959,503.474,1098000
2025-08-12,505.6687,509.929,498.3,502.3518,1285800
2025-08-13,503.5534,510.9718,497.0885,509.9886,1853600
2025-08-14,481.646,482.0035,467.2463,475.5286,5100700
2025-08-15,472.8572,488.9849,470.7022,485.4197,2674700
2025-08-18,482.9867,488.8459,476.6806,487.7336,1391600
2025-08-19,487.9422,495.7478,483.6818,486.0553,1493700
2025-08-20,486.0057,492.858,484.0394,489.3127,1438800
2025-08-21,487.8031,489.8489,481.2686,483.3938,844800
2025-08-22,486.9689,495.6485,485.9163,492.56,1133400
2025-08-25,492.8182,492.9274,484.2876,484.5259,729600
2025-08-26,484.6352,486.9888,476.6905,484.3869,1502800
2025-08-27,482.7384,490.2461,482.1028,489.6701,912400
2025-08-28,491.5769,491.5769,486.2241,488.0415,1120400
2025-08-29,481.4672,484.4167,471.3378,475.33,1535100
2025-09-02,469.6496,478.5575,467.5939,473.4828,1600700
2025-09-03,471.9237,474.5355,463.5321,466.273,1515400
2025-09-04,466.8292,471.6158,463.7308,471.6158,1486800
2025-09-05,472.0528,475.0817,466.9881,469.9872,1262400
2025-09-08,470.593,478.4085,467.7925,478.1801,1271500
2025-09-09,476.6012,480.0372,466.5511,472.311,1204300
2025-09-10,470.3844,476.1741,467.9613,468.0904,1347400
2025-09-11,468.2394,475.3101,467.8322,473.1651,1368700
2025-09-12,470.6823,471.0895,466.0546,467.2562,1764500
2025-09-15,468.9941,469.7786,459.6293,465.8659,1787700
2025-09-16,468.7161,472.2117,463.6513,465.4587,1659200
2025-09-17,468.3188,471.9634,461.1189,465.8758,1522500
2025-09-18,464.0188,474.8235,462.7774,472.8274,1785000
2025-09-19,472.7083,474.4263,465.6176,466.3823,2754900
2025-09-22,464.704,468.9345,461.536,465.7864,1678800
2025-09-23,468.0904,471.6158,464.992,468.4082,997200
2025-09-24,467.9911,473.9198,465.0615,465.6971,976900
2025-09-25,466.0745,467.4846,460.8012,463.4726,1343700
2025-09-26,463.8301,467.7627,460.116,460.7813,1106200
2025-09-29,462.6086,465.995,460.0464,462.2709,1055900
2025-09-30,461.4039,462.0517,452.116,455.6837,1954800
2025-10-01,453.4315,455.2552,445.8976,450.1728,2141700
2025-10-02,452.9531,460.7462,451.7872,460.228,1511900
2025-10-03,459.4108,463.1579,457.916,461.2844,989400
2025-10-06,463.108,463.8654,454.5576,455.7336,1150200
2025-10-07,458.1751,464.3737,456.9194,459.9191,1237600
2025-10-08,460.7861,465.0214,454.0195,459.1617,915300
2025-10-09,460.2978,461.0053,453.4415,454.6473,992700
2025-10-10,455.2951,459.0321,440.3667,444.8113,1581100
2025-10-13,447.8209,448.4488,435.952,437.5963,1758500
2025-10-14,434.5767,448.2793,431.5073,446.4058,1258400
2025-10-15,447.8907,450.8006,444.7714,446.914,1019900
2025-10-16,448.7976,456.1621,444.0141,455.5841,1574500
2025-10-17,460.9256,464.1046,453.0428,456.9194,1136300
2025-10-20,456.0325,462.2909,454.3184,460.8459,813800
2025-10-21,459.5204,465.1709,457.1686,458.2349,953900
2025-10-22,458.5438,470.5921,458.5438,460.7661,1293400
2025-10-23,463.9551,468.3698,459.1218,467.8018,1161800
2025-10-24,471.8179,475.9536,468.9279,471.1303,1187200
2025-10-27,478.9034,481.335,472.5255,476.4519,1273100
2025-10-28,473.811,474.8574,466.2671,466.576,1064700
2025-10-29,470.2135,476.2426,467.4131,471.8578,1134800
2025-10-30,470.5124,478.156,463.6163,463.8056,1035000
2025-10-31,461.972,462.9386,457.1387,460.0387,1116400
2025-11-03,458.215,462.2012,452.9332,460.3476,957500
2025-11-04,455.7136,468.0509,454.4281,466.6856,1576900
2025-11-05,466.3867,474.6481,464.7922,472.0571,891600
2025-11-06,473.5021,479.6209,467.9015,473.7413,1258600
2025-11-07,462.3208,469.6255,456.0724,466.1774,1912500
2025-11-10,467.2836,474.9072,462.0816,472.7547,922900
2025-11-11,472.9241,478.5646,470.3829,476.3024,1179100
2025-11-12,477.3488,483.2583,476.123,479.1227,1068200
2025-11-13,479.6608,481.1257,471.2598,471.778,1005300
2025-11-14,471.6585,477.9965,469.3764,474.5883,1180100
2025-11-17,473.6316,478.1062,471.4791,474.3392,1318400
2025-11-18,469.8447,475.4752,468.3798,472.2165,1117500
2025-11-19,472.7247,474.7577,466.5461,473.1333,1202100
2025-11-20,476.3522,482.5408,472.077,474.688,1543200
2025-11-21,475.9935,489.3473,474.8674,485.5604,1835800
2025-11-24,486.9356,492.606,482.4312,485.5504,2182900
2025-11-25,488.3707,498.7946,486.537,496.4128,2188500
2025-11-26,475.4852,486.1384,467.7918,468.2502,5473600
2025-11-28,465.3005,472.0372,461.4139,462.8888,1682600
2025-12-01,462.1215,472.8643,459.8194,466.4963,1824400
2025-12-02,470.0939,472.1368,464.8221,467.5327,1303600
2025-12-03,469.3763,480.7869,466.9448,480.1591,1157700
2025-12-04,479.3319,481.8332,473.5718,481.3649,1379800
2025-12-05,479.7305,483.7666,472.0571,473.4722,1224900
2025-12-08,477.3687,487.3043,463.3173,464.7424,1896600
2025-12-09,463.2874,467.7022,460.2081,461.2644,1173700
2025-12-10,461.0551,468.3499,454.3384,467.2836,1677800
2025-12-11,470.2533,479.0828,468.5093,474.2993,1186500
2025-12-12,476.5715,485.4906,475.9536,483.1288,1852100
2025-12-15,483.1288,487.3043,483.1288,486.3277,1473200
2025-12-16,485.3212,487.4638,482.5408,483.7666,1632200
2025-12-17,483.2783,488.7294,478.0364,479.3419,1641500
2025-12-18,481.3749,485.4508,468.1606,473.4124,1927500
2025-12-19,473.4622,474.8574,467.3035,468.9478,2990700
2025-12-22,469.8746,471.1103,466.0379,467.154,1173200
2025-12-23,468.7685,469.5557,463.8056,464.6028,1083700
2025-12-24,464.4235,466.7853,462.7991,465.8286,343300
2025-12-26,466.1176,467.7918,464.5231,467.3135,503200
2025-12-29,467.8715,470.1238,464.1843,468.619,981500
2025-12-30,468.2602,471.5688,466.7554,468.32,826700
2025-12-31,466.99,470.23,465.57,465.57,812100
2026-01-02,466.0,470.48,458.92,466.8,1175500
2026-01-05,462.31,467.89,458.96,466.1,1320200
2026-01-06,465.1,487.46,464.31,485.98,1621000
2026-01-07,487.14,489.1,473.69,475.2,1286900
2026-01-08,473.92,503.88,472.72,500.8,1796900
2026-01-09,500.7,503.55,484.86,488.08,1725600
2026-01-12,486.32,497.02,484.33,490.74,1547500
2026-01-13,492.33,499.59,490.0,499.52,849100
2026-01-14,503.23,516.09,501.22,512.1,1890900
2026-01-15,513.8,519.18,508.15,515.04,1203700
2026-01-16,516.26,516.81,510.0,514.4,1323300
2026-01-20,514.56,515.26,507.09,508.68,1377100
2026-01-21,512.69,530.2,511.13,529.51,1620600
2026-01-22,529.26,532.61,521.16,522.38,1159300
2026-01-23,518.26,521.63,506.42,514.43,1590500
2026-01-26,515.72,518.66,512.57,516.54,750600
2026-01-27,517.33,521.49,513.85,519.19,1043300
2026-01-28,519.94,528.77,519.09,525.01,1106700
2026-01-29,530.0,537.26,521.54,530.07,1493500
2026-01-30,524.93,529.99,518.7,528.0,1517800
2026-02-02,527.25,534.7,522.39,532.25,1557900
2026-02-03,533.26,545.32,533.0,545.0,1605300
2026-02-04,548.0,571.56,548.0,567.26,3209200
2026-02-05,563.83,574.94,561.2,565.73,1913100
2026-02-06,568.0,584.06,567.55,583.11,1440400
2026-02-09,580.0,587.74,574.3,585.67,1101800
2026-02-10,586.11,593.76,583.59,593.41,1609100
2026-02-11,592.5,614.34,590.5,612.69,1826300
2026-02-12,612.87,626.25,596.78,598.11,2767800
2026-02-13,598.86,610.96,597.2,602.92,1565100
2026-02-17,593.05,607.04,593.05,600.84,1863200
2026-02-18,603.81,603.81,590.92,593.27,2558200
2026-02-19,633.61,674.19,628.72,662.0,6653300
2026-02-20,664.25,666.92,646.4,662.49,2989900
2026-02-23,652.18,669.8,644.44,646.84,2074700
2026-02-24,643.3,647.81,634.76,644.54,1399200
2026-02-25,645.27,646.93,623.49,623.61,2100500
2026-02-26,624.96,627.0,614.6,619.46,1421700
2026-02-27,615.0,631.51,613.49,629.71,2015300
2026-03-02,625.76,636.45,619.79,630.88,996900
2026-03-03,620.0,623.55,609.21,619.22,1071400
2026-03-04,619.23,622.72,612.95,614.04,1073200
2026-03-05,607.61,610.36,586.3,590.69,1642100
2026-03-06,585.24,589.85,577.63,589.77,1412700
2026-03-09,586.47,600.82,578.32,599.48,1499500
2026-03-10,597.08,603.03,591.43,592.72,1092800
2026-03-11,590.76,598.0,585.3,594.04,998400
2026-03-12,591.46,593.67,582.31,585.83,1622500
2026-03-13,585.0,589.67,571.6,577.5,1381700
2026-03-16,581.97,582.94,570.73,572.48,1150900
2026-03-17,576.37,576.85,562.19,574.26,1462300
2026-03-18,573.75,578.41,569.13,571.02,1226400
2026-03-19,563.19,570.01,557.94,567.58,1449100
2026-03-20,568.57,573.516,551.275,559.73,2680301
