date,open,high,low,close,volume
2025-03-14,142.4938,144.5829,138.9667,144.3594,2814600
2025-03-17,143.8639,149.0137,143.6598,147.5465,2224700
2025-03-18,147.974,147.974,143.6307,144.4469,1933500
2025-03-19,144.68,148.8873,144.3886,146.808,1883200
2025-03-20,146.1861,147.8088,145.5157,147.1189,1392200
2025-03-21,146.2347,147.3716,143.6307,146.1181,4766100
2025-03-24,148.0809,151.2388,147.8088,151.0833,2023100
2025-03-25,149.723,150.7141,145.9918,147.1286,2582200
2025-03-26,147.6533,148.8193,143.7278,145.1659,2241800
2025-03-27,144.5829,145.0882,140.6671,140.842,2706500
2025-03-28,140.5602,141.6388,135.9157,138.0728,2799200
2025-03-31,137.8882,140.8129,135.323,139.229,3860200
2025-04-01,140.0064,142.2024,137.655,141.9109,2117800
2025-04-02,140.7351,145.0396,139.8703,144.4663,2164400
2025-04-03,139.0833,140.2687,135.7894,137.0914,3789300
2025-04-04,135.9449,136.3432,131.689,133.6031,3800800
2025-04-07,131.174,137.5286,126.2671,132.7967,3819500
2025-04-08,135.5465,138.9473,130.0275,132.2525,3515200
2025-04-09,130.6979,142.1246,127.1708,141.6388,3469500
2025-04-10,138.6558,140.3659,133.8655,138.2574,2162700
2025-04-11,136.8874,141.5319,135.6242,140.978,1663400
2025-04-14,142.8825,144.3886,141.5805,142.1635,1324500
2025-04-15,142.8242,143.9805,141.2501,142.0857,1587500
2025-04-16,141.5125,145.1756,141.5125,143.9805,2077800
2025-04-17,145.7489,147.6339,145.0299,146.4776,2040300
2025-04-21,144.7286,146.0015,139.7538,142.1926,2572900
2025-04-22,143.6987,145.6031,143.0477,144.6703,2097000
2025-04-23,148.5667,151.9286,146.5359,147.2938,1785000
2025-04-24,147.8088,150.7141,147.0023,149.3926,1957400
2025-04-25,155.6307,159.8185,153.221,155.3489,3387600
2025-04-28,154.6687,156.5343,154.2703,155.8056,2264700
2025-04-29,155.6792,156.8744,154.3286,155.3391,1624800
2025-04-30,153.1529,156.5343,151.8412,155.9902,2044700
2025-05-01,156.923,161.0428,156.923,157.2922,2051800
2025-05-02,159.6825,160.5861,158.7983,159.8866,1510600
2025-05-05,159.4881,162.9667,159.4881,161.9173,1497700
2025-05-06,160.1878,162.7432,160.1489,161.9076,1602100
2025-05-07,161.6938,163.3359,161.3635,162.442,2016800
2025-05-08,164.3756,165.1724,161.927,161.9756,1679100
2025-05-09,162.0242,162.6752,161.5092,161.8493,1399300
2025-05-12,165.1918,165.5707,161.2954,161.2954,1931200
2025-05-13,162.0145,162.5877,159.5853,161.1011,2060800
2025-05-14,161.4023,162.1408,160.3724,160.9748,1901700
2025-05-15,160.8096,163.3359,160.8096,163.0347,1629000
2025-05-16,163.6177,165.2404,162.8404,165.2307,1196900
2025-05-19,163.608,166.3869,162.3643,165.9497,1113300
2025-05-20,165.0946,165.7651,163.987,165.3084,933700
2025-05-21,164.1813,165.3473,162.1116,162.5489,1131100
2025-05-22,162.5586,164.1424,161.9562,163.1902,1172900
2025-05-23,162.7626,164.2785,161.5384,163.3554,1151600
2025-05-27,164.91,167.2517,164.5699,165.8428,1847000
2025-05-28,165.7651,166.1149,163.8995,164.774,1840700
2025-05-29,167.2614,169.2047,165.6388,167.378,2204600
2025-05-30,166.7464,167.6501,165.1821,166.659,4130900
2025-06-02,165.561,167.9999,163.6274,167.825,1340500
2025-06-03,167.8056,169.2048,166.9214,168.8161,1363600
2025-06-04,168.6801,171.8768,168.1068,171.012,1609300
2025-06-05,171.4979,172.9262,170.5359,170.9246,1555500
2025-06-06,171.9642,172.7707,171.2744,171.8282,1748400
2025-06-09,172.4112,173.3634,170.7011,171.6727,1689300
2025-06-10,172.8193,172.8388,170.4096,172.6541,1766400
2025-06-11,172.6153,173.6452,170.5359,170.8566,2042300
2025-06-12,170.7205,173.0331,170.5359,171.527,1924700
2025-06-13,170.2746,171.0574,168.9538,170.7051,1520900
2025-06-16,171.9086,173.8459,171.0378,172.2608,1394500
2025-06-17,172.1238,173.611,171.3509,172.2608,1185600
2025-06-18,171.801,174.3938,171.3215,172.7892,1470300
2025-06-20,173.1805,173.9828,171.3998,171.6346,2641300
2025-06-23,171.9184,173.748,170.4997,173.5132,1183200
2025-06-24,174.5014,174.9906,172.6717,173.8263,1558500
2025-06-25,173.2001,173.7676,166.4099,168.533,2964200
2025-06-26,167.31,167.7992,160.1088,165.9304,4734200
2025-06-27,166.0479,168.6309,163.5529,167.6622,2658900
2025-06-30,168.807,170.7345,166.8208,170.5682,2505700
2025-07-01,169.6289,170.9987,166.4784,167.5546,2250400
2025-07-02,166.6838,169.4038,166.3414,168.445,1568700
2025-07-03,168.9733,169.7463,168.2591,168.8755,780900
2025-07-07,169.0125,170.4018,166.7915,167.9362,1267700
2025-07-08,167.4568,167.7307,164.815,167.1143,1266600
2025-07-09,167.2904,168.2297,165.8913,167.4861,1004100
2025-07-10,167.6427,168.2982,165.6173,166.8012,1217200
2025-07-11,165.5684,166.312,164.4237,164.8346,1494000
2025-07-14,165.177,167.7112,164.9618,167.2415,1184300
2025-07-15,168.1612,168.4939,166.5175,167.4372,1424200
2025-07-16,168.0536,169.3647,167.085,169.2473,1490100
2025-07-17,169.2669,173.1708,169.1788,172.9457,1706100
2025-07-18,173.5621,174.8047,172.3587,174.1394,1393300
2025-07-21,175.0787,176.8985,172.4076,173.2882,1620100
2025-07-22,173.7774,175.6364,173.2197,175.47,1662600
2025-07-23,176.0473,176.0473,174.1883,175.3722,1264500
2025-07-24,175.1961,177.515,174.6188,176.1354,1882600
2025-07-25,177.5834,178.0726,171.0378,174.0709,2602200
2025-07-28,173.2588,175.1961,171.8988,171.9281,1547000
2025-07-29,173.6111,174.7167,171.664,174.4525,1609400
2025-07-30,175.02,175.9886,172.3293,173.4741,1128000
2025-07-31,174.3938,176.6735,172.1141,172.6326,1963300
2025-08-01,172.8185,172.8381,167.2415,168.4939,1662100
2025-08-04,168.5526,170.167,167.9166,169.1788,1347700
2025-08-05,169.1788,169.5115,167.447,168.4548,1041300
2025-08-06,168.7287,169.3843,165.5391,165.8326,1285400
2025-08-07,166.1457,167.6916,165.588,167.535,1164500
2025-08-08,167.7503,168.1906,165.8228,166.2435,905200
2025-08-11,165.4608,166.5273,164.9814,165.089,983300
2025-08-12,165.5488,166.4001,163.6996,165.6173,1098800
2025-08-13,166.0283,167.0067,163.2691,164.9422,1488400
2025-08-14,163.5627,163.9638,160.8133,162.6332,1313000
2025-08-15,162.5255,164.8053,162.2418,163.2985,1950400
2025-08-18,163.5333,163.7388,161.1362,161.4591,1625700
2025-08-19,161.6939,163.1028,161.4786,162.9756,1312200
2025-08-20,163.0539,164.5215,161.009,161.7624,1657900
2025-08-21,160.598,161.3319,159.0032,160.2458,1470300
2025-08-22,161.2927,164.4824,160.51,163.455,1355900
2025-08-25,163.0734,164.2476,161.7917,162.2809,789700
2025-08-26,162.6332,166.4588,162.6136,164.2965,3334700
2025-08-27,164.6096,166.6936,164.3747,166.0674,1346400
2025-08-28,166.6251,166.8208,164.4433,164.9325,1010100
2025-08-29,164.8346,166.2435,162.7212,164.0225,1628400
2025-09-02,161.5275,162.3396,158.2009,159.4337,1404700
2025-09-03,158.9054,159.5903,155.7842,158.015,1669600
2025-09-04,158.1618,159.6392,157.1051,159.3261,1366800
2025-09-05,160.7252,162.0167,159.4044,159.7175,1352700
2025-09-08,158.5042,158.8662,155.7842,157.7313,1879700
2025-09-09,157.5258,160.4904,156.6452,160.4415,1893700
2025-09-10,162.9952,171.1552,162.8973,170.1376,3004200
2025-09-11,169.9909,171.1748,169.5506,170.9008,1582800
2025-09-12,170.0007,171.801,169.7169,169.7561,1341300
2025-09-15,169.8152,173.2541,169.8152,172.4756,2199800
2025-09-16,172.4855,172.8008,169.5885,171.3129,1590100
2025-09-17,171.5494,172.3869,168.3766,168.6426,1730600
2025-09-18,169.0663,170.7316,168.2386,168.8495,1012600
2025-09-19,169.0466,170.7808,168.1894,169.559,3146600
2025-09-22,168.6623,173.5694,167.1843,172.1308,1837400
2025-09-23,172.0322,172.5742,170.3374,171.5691,1019400
2025-09-24,170.8498,171.2144,169.0959,169.4801,1308700
2025-09-25,169.4802,170.0812,168.1499,168.8495,1272600
2025-09-26,169.421,169.5393,167.9529,168.9481,785200
2025-09-29,170.16,170.6527,166.9281,167.6178,1277600
2025-09-30,168.7609,170.3867,166.7803,170.3473,1516400
2025-10-01,170.0024,170.8301,167.7262,168.9382,1345800
