date,open,high,low,close,volume
2025-03-14,66.68,66.7,64.41,64.56,3209400
2025-03-17,64.82,66.27,64.79,65.79,2634800
2025-03-18,65.65,66.44,64.87,64.98,2173100
2025-03-19,64.75,65.5,63.39,64.3,2638100
2025-03-20,64.28,66.85,63.6,64.59,3366400
2025-03-21,64.11,67.19,63.16,66.75,4905400
2025-03-24,67.11,70.19,66.77,69.74,6310200
2025-03-25,69.08,70.3,66.5,67.14,5257200
2025-03-26,67.15,73.53,65.14,69.21,17791000
2025-03-27,70.76,77.07,70.06,76.95,14380800
2025-03-28,77.24,78.35,71.95,72.75,9102700
2025-03-31,72.53,75.5,71.23,75.07,7821500
2025-04-01,75.26,77.11,74.82,75.34,5866800
2025-04-02,75.01,79.24,74.67,77.57,5566100
2025-04-03,68.55,71.68,67.14,67.22,16316800
2025-04-04,62.0,70.74,61.87,67.55,13450900
2025-04-07,70.11,75.79,69.54,72.84,10307500
2025-04-08,75.0,75.8,68.86,69.7,8345500
2025-04-09,69.25,75.27,69.05,72.57,10918800
2025-04-10,72.19,75.0,70.25,71.74,7401100
2025-04-11,71.59,72.66,68.93,72.11,8216100
2025-04-14,73.52,75.28,72.21,73.71,4291200
2025-04-15,73.65,73.98,71.59,71.8,4732600
2025-04-16,72.07,73.59,70.71,73.21,4629000
2025-04-17,73.57,79.24,73.57,79.14,7226100
2025-04-21,79.68,80.14,77.98,79.65,5945000
2025-04-22,80.02,82.26,79.46,82.16,5896500
2025-04-23,84.43,85.55,81.96,83.43,6147700
2025-04-24,82.8,83.08,79.81,81.23,4289500
2025-04-25,81.7,81.93,79.93,80.57,3137800
2025-04-28,80.29,81.57,79.53,80.17,3132900
2025-04-29,80.17,81.68,79.81,80.89,2403200
2025-04-30,79.96,82.22,78.7,81.77,3435600
2025-05-01,81.55,81.98,80.67,81.27,2505900
2025-05-02,82.88,85.5,82.83,84.29,5318000
2025-05-05,84.35,85.94,83.9,83.95,3414800
2025-05-06,83.49,84.76,83.11,83.79,3218900
2025-05-07,84.18,85.23,83.8,84.44,3495000
2025-05-08,84.89,85.98,83.7,85.38,2717900
2025-05-09,85.39,86.28,84.72,85.47,2108000
2025-05-12,90.0,90.1,87.49,89.0,6166500
2025-05-13,88.78,89.29,85.68,85.71,4733500
2025-05-14,85.67,86.82,84.9,86.06,4004100
2025-05-15,85.41,86.95,85.1,86.58,2572300
2025-05-16,86.73,87.2,86.37,86.51,2662900
2025-05-19,85.01,87.43,85.0,86.61,3653800
2025-05-20,87.79,90.76,86.78,90.62,3964300
2025-05-21,88.74,89.68,87.86,88.92,3360100
